.HEADER
..NAMES
Time,V U1.J20
.DATA
0.0e+000,1.2286
4.59e-011,1.2286
9.18e-011,1.2286
1.378e-010,1.2286
1.837e-010,1.2286
2.296e-010,1.2286
2.755e-010,1.2286
3.215e-010,1.2286
3.674e-010,1.2238
4.133e-010,1.1457
4.592e-010,1.0055
5.052e-010,0.8625
5.511e-010,0.7096
5.970e-010,0.5388
6.430e-010,0.3931
6.889e-010,0.3012
7.348e-010,0.2418
7.807e-010,0.2123
8.266e-010,0.2023
8.726e-010,0.2007
9.185e-010,0.1953
9.644e-010,0.1933
1.0104e-009,0.1915
1.0563e-009,0.1931
1.1022e-009,0.1997
1.1481e-009,0.2182
1.1940e-009,0.2465
1.2400e-009,0.2823
1.2859e-009,0.3155
1.3318e-009,0.3390
1.3778e-009,0.3445
1.4237e-009,0.3342
1.4696e-009,0.3147
1.5155e-009,0.2973
1.5614e-009,0.2881
1.6074e-009,0.2905
1.6533e-009,0.2995
1.6992e-009,0.3068
1.7452e-009,0.3031
1.7911e-009,0.2868
1.8370e-009,0.2623
1.8829e-009,0.2391
1.9288e-009,0.2257
1.9748e-009,0.2258
2.0207e-009,0.2361
2.0666e-009,0.2509
2.1125e-009,0.2642
2.1585e-009,0.2713
2.2044e-009,0.2705
2.2503e-009,0.2695
2.2963e-009,0.3527
2.3422e-009,0.5018
2.3881e-009,0.6698
2.4340e-009,0.8511
2.4800e-009,1.0372
2.5259e-009,1.1535
2.5718e-009,1.2158
2.6177e-009,1.2516
2.6636e-009,1.2648
2.7096e-009,1.2617
2.7555e-009,1.2616
2.8014e-009,1.2650
2.8473e-009,1.2673
2.8933e-009,1.2727
2.9392e-009,1.2777
2.9851e-009,1.2749
3.0311e-009,1.2566
3.0770e-009,1.2235
3.1229e-009,1.1786
3.1688e-009,1.1361
3.2148e-009,1.1099
3.2607e-009,1.1113
3.3066e-009,1.1356
3.3525e-009,1.1690
3.3984e-009,1.1925
3.4444e-009,1.1957
3.4903e-009,1.1784
3.5362e-009,1.1543
3.5821e-009,1.1404
3.6281e-009,1.1489
3.6740e-009,1.1781
3.7199e-009,1.2164
3.7658e-009,1.2469
3.8118e-009,1.2572
3.8577e-009,1.2463
3.9036e-009,1.2240
3.9496e-009,1.2022
3.9955e-009,1.1901
4.0414e-009,1.1910
4.0873e-009,1.2014
4.1333e-009,1.2147
4.1792e-009,1.2271
4.2251e-009,1.2366
4.2710e-009,1.2421
4.3169e-009,1.2431
4.3629e-009,1.2393
4.4088e-009,1.2314
4.4547e-009,1.2224
4.5007e-009,1.2171
4.5466e-009,1.2189
4.5925e-009,1.2276
4.6384e-009,1.2390
4.6843e-009,1.2469
4.7303e-009,1.2467
4.7762e-009,1.2382
4.8221e-009,1.2260
4.8680e-009,1.2166
4.9140e-009,1.2147
4.9599e-009,1.2206
5.0058e-009,1.2304
5.0518e-009,1.2385
5.0977e-009,1.2410
5.1436e-009,1.2375
5.1895e-009,1.2307
5.2354e-009,1.2248
5.2814e-009,1.2224
5.3273e-009,1.2239
5.3732e-009,1.2276
5.4192e-009,1.2313
5.4651e-009,1.2334
5.5110e-009,1.2336
5.5569e-009,1.2325
5.6029e-009,1.2308
5.6488e-009,1.2289
5.6947e-009,1.2270
5.7406e-009,1.2255
5.7865e-009,1.2250
5.8325e-009,1.2261
5.8784e-009,1.2286
5.9243e-009,1.2318
5.9703e-009,1.2340
6.0162e-009,1.2056
6.0621e-009,1.0775
6.1080e-009,0.9327
6.1539e-009,0.7776
6.1999e-009,0.6191
6.2458e-009,0.4552
6.2917e-009,0.3440
6.3376e-009,0.2702
6.3836e-009,0.2295
6.4295e-009,0.2074
6.4754e-009,0.2032
6.5214e-009,0.1959
6.5673e-009,0.1917
6.6132e-009,0.1897
6.6591e-009,0.1918
6.7050e-009,0.1962
6.7510e-009,0.2100
6.7969e-009,0.2336
6.8428e-009,0.2663
6.8888e-009,0.3009
6.9347e-009,0.3297
