.HEADER
..NAMES
Time,V U1.N21
.DATA
0.0e+000,1.2289
4.59e-011,1.2289
9.18e-011,1.2289
1.378e-010,1.2289
1.837e-010,1.2289
2.296e-010,1.2289
2.755e-010,1.2289
3.215e-010,1.2289
3.674e-010,1.2154
4.133e-010,1.1008
4.592e-010,0.9570
5.052e-010,0.8296
5.511e-010,0.6819
5.970e-010,0.5301
6.430e-010,0.3989
6.889e-010,0.3270
7.348e-010,0.2828
7.807e-010,0.2624
8.266e-010,0.2496
8.726e-010,0.2440
9.185e-010,0.2406
9.644e-010,0.2404
1.0104e-009,0.2470
1.0563e-009,0.2496
1.1022e-009,0.2396
1.1481e-009,0.2277
1.1940e-009,0.2226
1.2400e-009,0.2454
1.2859e-009,0.2642
1.3318e-009,0.2811
1.3778e-009,0.2823
1.4237e-009,0.2783
1.4696e-009,0.2705
1.5155e-009,0.2542
1.5614e-009,0.2465
1.6074e-009,0.2444
1.6533e-009,0.2523
1.6992e-009,0.2595
1.7452e-009,0.2626
1.7911e-009,0.2547
1.8370e-009,0.2385
1.8829e-009,0.2212
1.9288e-009,0.2115
1.9748e-009,0.2138
2.0207e-009,0.2210
2.0666e-009,0.2291
2.1125e-009,0.2380
2.1585e-009,0.2458
2.2044e-009,0.2529
2.2503e-009,0.2523
2.2963e-009,0.2472
2.3422e-009,0.2388
2.3881e-009,0.2312
2.4340e-009,0.2271
2.4800e-009,0.2263
2.5259e-009,0.2311
2.5718e-009,0.2380
2.6177e-009,0.2456
2.6636e-009,0.2498
2.7096e-009,0.2488
2.7555e-009,0.2422
2.8014e-009,0.2335
2.8473e-009,0.2281
2.8933e-009,0.2288
2.9392e-009,0.2348
2.9851e-009,0.2413
3.0311e-009,0.2452
3.0770e-009,0.2459
3.1229e-009,0.2438
3.1688e-009,0.2410
3.2148e-009,0.2379
3.2607e-009,0.2362
3.3066e-009,0.2358
3.3525e-009,0.2368
3.3984e-009,0.2389
3.4444e-009,0.2410
3.4903e-009,0.2425
3.5362e-009,0.2426
3.5821e-009,0.2418
3.6281e-009,0.2402
3.6740e-009,0.2382
3.7199e-009,0.2364
3.7658e-009,0.2358
3.8118e-009,0.2372
3.8577e-009,0.2401
3.9036e-009,0.2431
3.9496e-009,0.2445
3.9955e-009,0.2436
4.0414e-009,0.2410
4.0873e-009,0.2380
4.1333e-009,0.2595
4.1792e-009,0.4220
4.2251e-009,0.5701
4.2710e-009,0.7423
4.3169e-009,0.9128
4.3629e-009,1.0505
4.4088e-009,1.1319
4.4547e-009,1.1726
4.5007e-009,1.1969
4.5466e-009,1.2100
4.5925e-009,1.2174
4.6384e-009,1.2219
4.6843e-009,1.2257
4.7303e-009,1.2259
4.7762e-009,1.2174
4.8221e-009,1.2193
4.8680e-009,1.2310
4.9140e-009,1.2454
4.9599e-009,1.2477
5.0058e-009,1.2207
5.0518e-009,1.1971
5.0977e-009,1.1707
5.1436e-009,1.1719
5.1895e-009,1.1862
5.2354e-009,1.2139
5.2814e-009,1.2370
5.3273e-009,1.2372
5.3732e-009,1.2221
5.4192e-009,1.2015
5.4651e-009,1.1915
5.5110e-009,1.1978
5.5569e-009,1.2202
5.6029e-009,1.2468
5.6488e-009,1.2652
5.6947e-009,1.2664
5.7406e-009,1.2529
5.7865e-009,1.2386
5.8325e-009,1.2281
5.8784e-009,1.2231
5.9243e-009,1.2217
5.9703e-009,1.2198
6.0162e-009,1.2223
6.0621e-009,1.2258
6.1080e-009,1.2343
6.1539e-009,1.2431
6.1999e-009,1.2488
6.2458e-009,1.2468
