.HEADER
..NAMES
Time,V U1.M20
.DATA
0.0e+000,1.2293
4.59e-011,1.2293
9.18e-011,1.2293
1.378e-010,1.2293
1.837e-010,1.2293
2.296e-010,1.2293
2.755e-010,1.2293
3.215e-010,1.2293
3.674e-010,1.2191
4.133e-010,1.1288
4.592e-010,0.9873
5.052e-010,0.8409
5.511e-010,0.6867
5.970e-010,0.5139
6.430e-010,0.3815
6.889e-010,0.2903
7.348e-010,0.2364
7.807e-010,0.2096
8.266e-010,0.2050
8.726e-010,0.1996
9.185e-010,0.1980
9.644e-010,0.1965
1.0104e-009,0.1967
1.0563e-009,0.1947
1.1022e-009,0.1952
1.1481e-009,0.1969
1.1940e-009,0.2074
1.2400e-009,0.2299
1.2859e-009,0.2598
1.3318e-009,0.2854
1.3778e-009,0.3001
1.4237e-009,0.2994
1.4696e-009,0.2882
1.5155e-009,0.2748
1.5614e-009,0.2678
1.6074e-009,0.2709
1.6533e-009,0.2823
1.6992e-009,0.2940
1.7452e-009,0.2981
1.7911e-009,0.2904
1.8370e-009,0.2725
1.8829e-009,0.2513
1.9288e-009,0.2346
1.9748e-009,0.2270
2.0207e-009,0.2287
2.0666e-009,0.2367
2.1125e-009,0.2465
2.1585e-009,0.2543
2.2044e-009,0.2580
2.2503e-009,0.2571
2.2963e-009,0.2528
2.3422e-009,0.2469
2.3881e-009,0.2413
2.4340e-009,0.2373
2.4800e-009,0.2358
2.5259e-009,0.2371
2.5718e-009,0.2406
2.6177e-009,0.2450
2.6636e-009,0.2479
2.7096e-009,0.2475
2.7555e-009,0.2433
2.8014e-009,0.2374
2.8473e-009,0.2327
2.8933e-009,0.2318
2.9392e-009,0.2350
2.9851e-009,0.2402
3.0311e-009,0.2447
3.0770e-009,0.2464
3.1229e-009,0.2450
3.1688e-009,0.2419
3.2148e-009,0.2389
3.2607e-009,0.2374
3.3066e-009,0.2378
3.3525e-009,0.2395
3.3984e-009,0.2417
3.4444e-009,0.2433
3.4903e-009,0.2438
3.5362e-009,0.2432
3.5821e-009,0.2419
3.6281e-009,0.2406
3.6740e-009,0.2396
3.7199e-009,0.2392
3.7658e-009,0.2393
3.8118e-009,0.2400
3.8577e-009,0.2410
3.9036e-009,0.2423
3.9496e-009,0.2432
3.9955e-009,0.2435
4.0414e-009,0.2428
4.0873e-009,0.2414
4.1333e-009,0.2400
4.1792e-009,0.2394
4.2251e-009,0.2398
4.2710e-009,0.2410
4.3169e-009,0.2424
4.3629e-009,0.2433
4.4088e-009,0.2431
4.4547e-009,0.2422
4.5007e-009,0.2412
4.5466e-009,0.2404
4.5925e-009,0.2403
4.6384e-009,0.2408
4.6843e-009,0.2415
4.7303e-009,0.2421
4.7762e-009,0.2423
4.8221e-009,0.2423
4.8680e-009,0.2420
4.9140e-009,0.2417
4.9599e-009,0.2414
5.0058e-009,0.2413
5.0518e-009,0.2413
5.0977e-009,0.2414
5.1436e-009,0.2416
5.1895e-009,0.2419
5.2354e-009,0.2421
5.2814e-009,0.2422
5.3273e-009,0.2421
5.3732e-009,0.2419
5.4192e-009,0.2415
5.4651e-009,0.2413
5.5110e-009,0.2413
5.5569e-009,0.2415
5.6029e-009,0.2419
5.6488e-009,0.2422
5.6947e-009,0.2423
5.7406e-009,0.2422
5.7865e-009,0.2419
5.8325e-009,0.2416
5.8784e-009,0.2415
5.9243e-009,0.2416
5.9703e-009,0.2418
6.0162e-009,0.2721
6.0621e-009,0.4177
6.1080e-009,0.5751
6.1539e-009,0.7589
6.1999e-009,0.9465
6.2458e-009,1.0993
6.2917e-009,1.1806
6.3376e-009,1.2306
6.3836e-009,1.2538
6.4295e-009,1.2587
6.4754e-009,1.2640
6.5214e-009,1.2722
6.5673e-009,1.2754
6.6132e-009,1.2765
6.6591e-009,1.2787
6.7050e-009,1.2779
6.7510e-009,1.2779
6.7969e-009,1.2739
6.8428e-009,1.2583
6.8888e-009,1.2280
6.9347e-009,1.1943
6.9806e-009,1.1675
7.0265e-009,1.1599
7.0725e-009,1.1736
7.1184e-009,1.1978
7.1643e-009,1.2151
7.2102e-009,1.2149
7.2561e-009,1.1957
7.3021e-009,1.1703
7.3480e-009,1.1553
7.3939e-009,1.1611
7.4399e-009,1.1857
7.4858e-009,1.2177
7.5317e-009,1.2422
7.5776e-009,1.2507
7.6235e-009,1.2441
7.6695e-009,1.2302
7.7154e-009,1.2175
7.7613e-009,1.2110
7.8072e-009,1.2111
7.8532e-009,1.2145
7.8991e-009,1.1624
7.9450e-009,1.0305
7.9910e-009,0.8934
8.0369e-009,0.7388
8.0828e-009,0.5689
8.1287e-009,0.4189
8.1747e-009,0.3138
8.2206e-009,0.2444
8.2665e-009,0.2073
8.3124e-009,0.1975
8.3583e-009,0.1975
8.4043e-009,0.2022
8.4502e-009,0.2083
8.4961e-009,0.2115
8.5420e-009,0.2064
8.5880e-009,0.1982
8.6339e-009,0.1907
8.6798e-009,0.1937
8.7257e-009,0.2142
8.7717e-009,0.2493
8.8176e-009,0.2840
8.8635e-009,0.3068
8.9095e-009,0.3098
8.9554e-009,0.2965
9.0013e-009,0.2773
9.0472e-009,0.2645
9.0932e-009,0.2644
9.1391e-009,0.2767
9.1850e-009,0.2927
9.2309e-009,0.3023
9.2769e-009,0.2988
9.3228e-009,0.2827
9.3687e-009,0.2601
9.4146e-009,0.2399
9.4605e-009,0.2283
9.5065e-009,0.2269
9.5524e-009,0.2331
9.5983e-009,0.2427
9.6442e-009,0.2519
9.6902e-009,0.2582
9.7361e-009,0.2618
9.7820e-009,0.3322
9.8280e-009,0.4795
9.8739e-009,0.6379
9.9198e-009,0.8171
9.9657e-009,1.0046
1.00117e-008,1.1288
1.00576e-008,1.2029
1.01035e-008,1.2465
1.01494e-008,1.2678
1.01954e-008,1.2683
1.02413e-008,1.2729
1.02872e-008,1.2707
1.03331e-008,1.2674
1.03790e-008,1.2655
1.04250e-008,1.2705
1.04709e-008,1.2748
1.05168e-008,1.2804
1.05627e-008,1.2763
1.06087e-008,1.2549
1.06546e-008,1.2185
1.07005e-008,1.1818
1.07464e-008,1.1571
1.07924e-008,1.1564
1.08383e-008,1.1773
1.08842e-008,1.2042
1.09302e-008,1.2197
1.09761e-008,1.2140
1.10220e-008,1.1903
1.10679e-008,1.1645
1.11139e-008,1.1536
1.11598e-008,1.1648
1.12057e-008,1.1931
1.12516e-008,1.2247
1.12975e-008,1.2457
1.13435e-008,1.2500
1.13894e-008,1.2412
1.14353e-008,1.2276
1.14812e-008,1.2166
1.15272e-008,1.2116
1.15731e-008,1.2119
1.16190e-008,1.2042
1.16649e-008,1.1179
1.17109e-008,0.9818
1.17568e-008,0.8383
1.18027e-008,0.6857
1.18487e-008,0.5131
1.18946e-008,0.3808
1.19405e-008,0.2867
1.19864e-008,0.2287
1.20324e-008,0.1988
1.20783e-008,0.1957
1.21242e-008,0.1966
1.21701e-008,0.2043
1.22161e-008,0.2102
1.22620e-008,0.2119
1.23079e-008,0.2047
1.23538e-008,0.1961
1.23997e-008,0.1899
1.24457e-008,0.1980
1.24916e-008,0.2241
1.25375e-008,0.2609
1.25834e-008,0.2930
1.26294e-008,0.3102
1.26753e-008,0.3072
1.27212e-008,0.2907
1.27672e-008,0.2723
1.28131e-008,0.2631
1.28590e-008,0.2672
1.29049e-008,0.2816
1.29509e-008,0.2964
1.29968e-008,0.3022
1.30427e-008,0.2944
1.30886e-008,0.2756
1.31346e-008,0.2531
1.31805e-008,0.2353
1.32264e-008,0.2269
1.32723e-008,0.2281
1.33182e-008,0.2357
1.33642e-008,0.2455
1.34101e-008,0.2541
1.34560e-008,0.2592
1.35019e-008,0.2719
1.35479e-008,0.3796
1.35938e-008,0.5310
1.36397e-008,0.7018
1.36856e-008,0.8815
1.37316e-008,1.0589
1.37775e-008,1.1561
1.38234e-008,1.2213
1.38694e-008,1.2557
1.39153e-008,1.2699
1.39612e-008,1.2692
