.HEADER
..NAMES
Time,V U1.L20
.DATA
0.0e+000,0.2443
4.59e-011,0.2443
9.18e-011,0.2443
1.378e-010,0.2443
1.837e-010,0.2443
2.296e-010,0.2443
2.755e-010,0.2443
3.215e-010,0.2443
3.674e-010,0.2498
4.133e-010,0.3398
4.592e-010,0.4982
5.052e-010,0.6672
5.511e-010,0.8476
5.970e-010,1.0314
6.430e-010,1.1414
6.889e-010,1.2062
7.348e-010,1.2415
7.807e-010,1.2576
8.266e-010,1.2594
8.726e-010,1.2706
9.185e-010,1.2765
9.644e-010,1.2811
1.0104e-009,1.2831
1.0563e-009,1.2853
1.1022e-009,1.2844
1.1481e-009,1.2830
1.1940e-009,1.2703
1.2400e-009,1.2442
1.2859e-009,1.2110
1.3318e-009,1.1828
1.3778e-009,1.1706
1.4237e-009,1.1813
1.4696e-009,1.2069
1.5155e-009,1.2325
1.5614e-009,1.2424
1.6074e-009,1.2296
1.6533e-009,1.2022
1.6992e-009,1.1768
1.7452e-009,1.1675
1.7911e-009,1.1807
1.8370e-009,1.2105
1.8829e-009,1.2419
1.9288e-009,1.2608
1.9748e-009,1.2615
2.0207e-009,1.2483
2.0666e-009,1.2308
2.1125e-009,1.2175
2.1585e-009,1.2121
2.2044e-009,1.2133
2.2503e-009,1.2183
2.2963e-009,1.2247
2.3422e-009,1.2315
2.3881e-009,1.2381
2.4340e-009,1.2430
2.4800e-009,1.2441
2.5259e-009,1.2400
2.5718e-009,1.2320
2.6177e-009,1.2239
2.6636e-009,1.2200
2.7096e-009,1.2228
2.7555e-009,1.2311
2.8014e-009,1.2407
2.8473e-009,1.2464
2.8933e-009,1.2452
2.9392e-009,1.2378
2.9851e-009,1.2285
3.0311e-009,1.2220
3.0770e-009,1.2216
3.1229e-009,1.2268
3.1688e-009,1.2343
3.2148e-009,1.2399
3.2607e-009,1.2410
3.3066e-009,1.2378
3.3525e-009,1.2326
3.3984e-009,1.2284
3.4444e-009,1.2268
3.4903e-009,1.2278
3.5362e-009,1.2303
3.5821e-009,1.2327
3.6281e-009,1.2343
3.6740e-009,1.2351
3.7199e-009,1.2352
3.7658e-009,1.2347
3.8118e-009,1.2334
3.8577e-009,1.2314
3.9036e-009,1.2292
3.9496e-009,1.2279
3.9955e-009,1.2284
4.0414e-009,1.2308
4.0873e-009,1.2338
4.1333e-009,1.2113
4.1792e-009,1.0907
4.2251e-009,0.9476
4.2710e-009,0.7935
4.3169e-009,0.6345
4.3629e-009,0.4701
4.4088e-009,0.3562
4.4547e-009,0.2759
4.5007e-009,0.2339
4.5466e-009,0.2147
4.5925e-009,0.2101
4.6384e-009,0.2020
4.6843e-009,0.1982
4.7303e-009,0.1944
4.7762e-009,0.1930
4.8221e-009,0.1918
4.8680e-009,0.1931
4.9140e-009,0.1992
4.9599e-009,0.2177
5.0058e-009,0.2450
5.0518e-009,0.2725
5.0977e-009,0.2907
5.1436e-009,0.2943
5.1895e-009,0.2841
5.2354e-009,0.2672
5.2814e-009,0.2525
5.3273e-009,0.2486
5.3732e-009,0.2577
5.4192e-009,0.2736
5.4651e-009,0.2871
5.5110e-009,0.2904
5.5569e-009,0.2799
5.6029e-009,0.2598
5.6488e-009,0.2389
5.6947e-009,0.2251
5.7406e-009,0.2219
5.7865e-009,0.2278
5.8325e-009,0.2386
5.8784e-009,0.2499
5.9243e-009,0.2583
5.9703e-009,0.2617
6.0162e-009,0.2867
6.0621e-009,0.4228
6.1080e-009,0.5716
6.1539e-009,0.7505
6.1999e-009,0.9354
6.2458e-009,1.0910
6.2917e-009,1.1761
6.3376e-009,1.2315
6.3836e-009,1.2581
6.4295e-009,1.2658
6.4754e-009,1.2688
6.5214e-009,1.2733
6.5673e-009,1.2716
6.6132e-009,1.2716
6.6591e-009,1.2751
6.7050e-009,1.2797
6.7510e-009,1.2853
6.7969e-009,1.2835
6.8428e-009,1.2646
6.8888e-009,1.2311
6.9347e-009,1.1945
6.9806e-009,1.1682
7.0265e-009,1.1655
7.0725e-009,1.1862
7.1184e-009,1.2175
7.1643e-009,1.2410
7.2102e-009,1.2423
7.2561e-009,1.2206
7.3021e-009,1.1900
7.3480e-009,1.1681
7.3939e-009,1.1674
7.4399e-009,1.1892
7.4858e-009,1.2223
7.5317e-009,1.2506
7.5776e-009,1.2627
7.6235e-009,1.2573
7.6695e-009,1.2416
7.7154e-009,1.2250
7.7613e-009,1.2143
7.8072e-009,1.2110
7.8532e-009,1.2130
7.8991e-009,1.2180
7.9450e-009,1.2247
7.9910e-009,1.2326
8.0369e-009,1.2404
8.0828e-009,1.2452
8.1287e-009,1.2444
8.1747e-009,1.2375
8.2206e-009,1.2274
8.2665e-009,1.2192
8.3124e-009,1.2176
8.3583e-009,1.2236
8.4043e-009,1.2343
8.4502e-009,1.2439
8.4961e-009,1.2473
8.5420e-009,1.2430
8.5880e-009,1.2335
8.6339e-009,1.2241
8.6798e-009,1.2197
8.7257e-009,1.2219
8.7717e-009,1.2288
8.8176e-009,1.2362
8.8635e-009,1.2404
8.9095e-009,1.2397
8.9554e-009,1.2354
9.0013e-009,1.2304
9.0472e-009,1.2270
9.0932e-009,1.2264
9.1391e-009,1.2279
9.1850e-009,1.2302
9.2309e-009,1.2323
9.2769e-009,1.2338
9.3228e-009,1.2347
9.3687e-009,1.2350
9.4146e-009,1.2343
9.4605e-009,1.2325
9.5065e-009,1.2299
9.5524e-009,1.2275
9.5983e-009,1.2268
9.6442e-009,1.2282
9.6902e-009,1.2313
9.7361e-009,1.2345
9.7820e-009,1.2362
9.8280e-009,1.2354
9.8739e-009,1.2326
9.9198e-009,1.2294
9.9657e-009,1.2274
1.00117e-008,1.2275
1.00576e-008,1.2295
1.01035e-008,1.2321
1.01494e-008,1.2339
1.01954e-008,1.2342
