.HEADER
..NAMES
Time,V U1.U20
.DATA
0.0e+000,0.2451
4.59e-011,0.2451
9.18e-011,0.2451
1.378e-010,0.2451
1.837e-010,0.2451
2.296e-010,0.2451
2.755e-010,0.2451
3.215e-010,0.2451
3.674e-010,0.2451
4.133e-010,0.2893
4.592e-010,0.4408
5.052e-010,0.6003
5.511e-010,0.7856
5.970e-010,0.9684
6.430e-010,1.1208
6.889e-010,1.2044
7.348e-010,1.2429
7.807e-010,1.2654
8.266e-010,1.2738
8.726e-010,1.2728
9.185e-010,1.2740
9.644e-010,1.2808
1.0104e-009,1.2800
1.0563e-009,1.2749
1.1022e-009,1.2586
1.1481e-009,1.2329
1.1940e-009,1.1952
1.2400e-009,1.1537
1.2859e-009,1.1207
1.3318e-009,1.1046
1.3778e-009,1.1109
1.4237e-009,1.1363
1.4696e-009,1.1690
1.5155e-009,1.1920
1.5614e-009,1.1970
1.6074e-009,1.1838
1.6533e-009,1.1628
1.6992e-009,1.1486
1.7452e-009,1.1540
1.7911e-009,1.1799
1.8370e-009,1.2156
1.8829e-009,1.2468
1.9288e-009,1.2605
1.9748e-009,1.2523
2.0207e-009,1.2293
2.0666e-009,1.2048
2.1125e-009,1.1892
2.1585e-009,1.1875
2.2044e-009,1.1986
2.2503e-009,1.2130
2.2963e-009,1.1578
2.3422e-009,1.0263
2.3881e-009,0.8829
2.4340e-009,0.7223
2.4800e-009,0.5479
2.5259e-009,0.3860
2.5718e-009,0.2870
2.6177e-009,0.2285
2.6636e-009,0.2021
2.7096e-009,0.1946
2.7555e-009,0.2052
2.8014e-009,0.2131
2.8473e-009,0.2107
2.8933e-009,0.2072
2.9392e-009,0.2046
2.9851e-009,0.2130
3.0311e-009,0.2351
3.0770e-009,0.2753
3.1229e-009,0.3215
3.1688e-009,0.3601
3.2148e-009,0.3779
3.2607e-009,0.3706
3.3066e-009,0.3428
3.3525e-009,0.3082
3.3984e-009,0.2839
3.4444e-009,0.2778
3.4903e-009,0.2884
3.5362e-009,0.3056
3.5821e-009,0.3167
3.6281e-009,0.3112
3.6740e-009,0.2892
3.7199e-009,0.2591
3.7658e-009,0.2326
3.8118e-009,0.2194
3.8577e-009,0.2230
3.9036e-009,0.2392
3.9496e-009,0.2592
3.9955e-009,0.2756
4.0414e-009,0.2835
4.0873e-009,0.2807
4.1333e-009,0.2740
4.1792e-009,0.3459
4.2251e-009,0.4912
4.2710e-009,0.6566
4.3169e-009,0.8394
4.3629e-009,1.0257
4.4088e-009,1.1633
4.4547e-009,1.2299
4.5007e-009,1.2683
4.5466e-009,1.2794
4.5925e-009,1.2762
4.6384e-009,1.2638
4.6843e-009,1.2606
4.7303e-009,1.2655
4.7762e-009,1.2691
4.8221e-009,1.2703
4.8680e-009,1.2592
4.9140e-009,1.2317
4.9599e-009,1.1874
5.0058e-009,1.1401
5.0518e-009,1.1039
5.0977e-009,1.0919
5.1436e-009,1.1072
5.1895e-009,1.1428
5.2354e-009,1.1808
5.2814e-009,1.2025
5.3273e-009,1.2009
5.3732e-009,1.1802
5.4192e-009,1.1551
5.4651e-009,1.1428
5.5110e-009,1.1545
5.5569e-009,1.1864
5.6029e-009,1.2252
5.6488e-009,1.2549
5.6947e-009,1.2635
5.7406e-009,1.2497
5.7865e-009,1.2239
5.8325e-009,1.1995
5.8784e-009,1.1857
5.9243e-009,1.1865
5.9703e-009,1.1994
6.0162e-009,1.2019
6.0621e-009,1.1153
6.1080e-009,0.9809
6.1539e-009,0.8293
6.1999e-009,0.6688
6.2458e-009,0.4893
6.2917e-009,0.3443
6.3376e-009,0.2613
6.3836e-009,0.2109
6.4295e-009,0.1929
6.4754e-009,0.1950
6.5214e-009,0.2100
6.5673e-009,0.2152
6.6132e-009,0.2127
6.6591e-009,0.2069
6.7050e-009,0.2058
6.7510e-009,0.2165
6.7969e-009,0.2444
6.8428e-009,0.2892
6.8888e-009,0.3353
6.9347e-009,0.3695
6.9806e-009,0.3793
7.0265e-009,0.3643
7.0725e-009,0.3315
7.1184e-009,0.2981
7.1643e-009,0.2786
7.2102e-009,0.2783
7.2561e-009,0.2925
7.3021e-009,0.3095
7.3480e-009,0.3165
7.3939e-009,0.3055
7.4399e-009,0.2801
7.4858e-009,0.2499
7.5317e-009,0.2265
7.5776e-009,0.2183
7.6235e-009,0.2263
7.6695e-009,0.2444
7.7154e-009,0.2643
7.7613e-009,0.2789
7.8072e-009,0.2840
7.8532e-009,0.2784
7.8991e-009,0.2649
7.9450e-009,0.2482
7.9910e-009,0.2333
8.0369e-009,0.2243
8.0828e-009,0.2238
8.1287e-009,0.2310
8.1747e-009,0.2422
8.2206e-009,0.2523
8.2665e-009,0.2569
8.3124e-009,0.2537
8.3583e-009,0.2446
8.4043e-009,0.2345
8.4502e-009,0.2287
8.4961e-009,0.2300
8.5420e-009,0.2376
8.5880e-009,0.2476
8.6339e-009,0.2551
8.6798e-009,0.2567
8.7257e-009,0.2522
8.7717e-009,0.2446
8.8176e-009,0.2377
8.8635e-009,0.2346
8.9095e-009,0.2359
8.9554e-009,0.2404
9.0013e-009,0.2455
9.0472e-009,0.2490
9.0932e-009,0.2499
9.1391e-009,0.2483
9.1850e-009,0.2453
9.2309e-009,0.2422
9.2769e-009,0.2400
9.3228e-009,0.2394
9.3687e-009,0.2406
9.4146e-009,0.2432
9.4605e-009,0.2465
9.5065e-009,0.2491
9.5524e-009,0.2500
9.5983e-009,0.2486
9.6442e-009,0.2454
9.6902e-009,0.2418
9.7361e-009,0.2394
9.7820e-009,0.2394
9.8280e-009,0.2417
9.8739e-009,0.2451
9.9198e-009,0.2480
9.9657e-009,0.2490
1.00117e-008,0.2478
1.00576e-008,0.2452
1.01035e-008,0.2426
1.01494e-008,0.2413
1.01954e-008,0.2416
1.02413e-008,0.2432
1.02872e-008,0.2451
1.03331e-008,0.2465
1.03790e-008,0.2468
1.04250e-008,0.2462
1.04709e-008,0.2451
1.05168e-008,0.2440
1.05627e-008,0.2433
1.06087e-008,0.2431
1.06546e-008,0.2434
1.07005e-008,0.2441
1.07464e-008,0.2449
1.07924e-008,0.2456
1.08383e-008,0.2460
1.08842e-008,0.2458
1.09302e-008,0.2451
1.09761e-008,0.2441
1.10220e-008,0.2433
1.10679e-008,0.2432
1.11139e-008,0.2437
1.11598e-008,0.2447
1.12057e-008,0.2457
1.12516e-008,0.2461
1.12975e-008,0.2458
1.13435e-008,0.2450
1.13894e-008,0.2441
1.14353e-008,0.2435
1.14812e-008,0.2436
1.15272e-008,0.2441
1.15731e-008,0.2449
1.16190e-008,0.2454
1.16649e-008,0.2941
1.17109e-008,0.4457
1.17568e-008,0.6053
1.18027e-008,0.7901
1.18487e-008,0.9730
1.18946e-008,1.1238
1.19405e-008,1.2052
1.19864e-008,1.2436
1.20324e-008,1.2654
1.20783e-008,1.2739
1.21242e-008,1.2727
1.21701e-008,1.2740
1.22161e-008,1.2807
1.22620e-008,1.2794
1.23079e-008,1.2738
1.23538e-008,1.2572
1.23997e-008,1.2312
1.24457e-008,1.1935
1.24916e-008,1.1524
1.25375e-008,1.1199
1.25834e-008,1.1044
1.26294e-008,1.1112
1.26753e-008,1.1367
1.27212e-008,1.1692
1.27672e-008,1.1918
1.28131e-008,1.1963
1.28590e-008,1.1829
1.29049e-008,1.1620
1.29509e-008,1.1483
1.29968e-008,1.1542
1.30427e-008,1.1804
1.30886e-008,1.2162
1.31346e-008,1.2470
1.31805e-008,1.2601
1.32264e-008,1.2514
1.32723e-008,1.2282
1.33182e-008,1.2039
1.33642e-008,1.1886
1.34101e-008,1.1874
1.34560e-008,1.1988
1.35019e-008,1.2161
1.35479e-008,1.2321
1.35938e-008,1.2429
1.36397e-008,1.2477
1.36856e-008,1.2469
1.37316e-008,1.2415
1.37775e-008,1.2337
1.38234e-008,1.2261
1.38694e-008,1.2216
1.39153e-008,1.2226
1.39612e-008,1.2292
1.40071e-008,1.2384
1.40531e-008,1.2455
1.40990e-008,1.2462
1.41449e-008,1.2399
1.41908e-008,1.2294
1.42367e-008,1.2203
1.42827e-008,1.2172
1.43286e-008,1.2216
1.43745e-008,1.2307
1.44204e-008,1.2395
1.44664e-008,1.2436
1.45123e-008,1.2414
1.45582e-008,1.2347
1.46041e-008,1.2274
1.46501e-008,1.2232
1.46960e-008,1.2235
1.47419e-008,1.2274
1.47879e-008,1.2323
1.48338e-008,1.2358
1.48797e-008,1.2367
1.49256e-008,1.2353
1.49715e-008,1.2326
1.50175e-008,1.2298
1.50634e-008,1.2278
1.51093e-008,1.2267
1.51552e-008,1.2268
1.52012e-008,1.2282
1.52471e-008,1.2305
1.52930e-008,1.2332
1.53389e-008,1.2352
1.53849e-008,1.2354
1.54308e-008,1.2336
1.54767e-008,1.2304
1.55226e-008,1.2272
1.55686e-008,1.2259
1.56145e-008,1.2269
1.56604e-008,1.2298
1.57063e-008,1.2331
1.57523e-008,1.2349
1.57982e-008,1.2344
1.58441e-008,1.2321
1.58901e-008,1.2293
1.59360e-008,1.2275
1.59819e-008,1.2275
1.60278e-008,1.2290
1.60738e-008,1.2310
1.61197e-008,1.2324
1.61656e-008,1.2327
1.62115e-008,1.2321
1.62575e-008,1.2309
1.63034e-008,1.2300
1.63493e-008,1.2295
1.63952e-008,1.2294
1.64412e-008,1.2297
1.64871e-008,1.2301
1.65330e-008,1.2306
1.65789e-008,1.2311
1.66249e-008,1.2315
1.66708e-008,1.2315
1.67167e-008,1.2311
1.67626e-008,1.2303
1.68085e-008,1.2295
1.68545e-008,1.2290
1.69004e-008,1.2293
1.69463e-008,1.2301
1.69922e-008,1.2311
1.70382e-008,1.2318
1.70841e-008,1.2317
1.71300e-008,1.2309
1.71759e-008,1.2299
1.72219e-008,1.2292
1.72678e-008,1.2291
1.73137e-008,1.2297
1.73596e-008,1.2305
1.74056e-008,1.2310
1.74515e-008,1.2312
1.74974e-008,1.2309
1.75433e-008,1.2304
1.75893e-008,1.2299
1.76352e-008,1.2298
1.76811e-008,1.2299
1.77271e-008,1.2301
1.77730e-008,1.2303
1.78189e-008,1.2304
1.78648e-008,1.2304
1.79108e-008,1.2305
1.79567e-008,1.2305
1.80026e-008,1.2304
1.80485e-008,1.2302
1.80945e-008,1.2300
1.81404e-008,1.2298
1.81863e-008,1.2298
1.82322e-008,1.2301
1.82782e-008,1.2303
1.83241e-008,1.2306
1.83700e-008,1.2306
1.84159e-008,1.2304
1.84619e-008,1.2301
1.85078e-008,1.2298
1.85537e-008,1.2297
1.85996e-008,1.2299
1.86455e-008,1.2302
1.86915e-008,1.2304
1.87374e-008,1.2305
1.87833e-008,1.2303
1.88292e-008,1.2301
1.88752e-008,1.2299
1.89211e-008,1.2299
1.89670e-008,1.2299
1.90129e-008,1.2300
1.90589e-008,1.2301
1.91048e-008,1.2302
1.91507e-008,1.2302
1.91966e-008,1.2301
1.92426e-008,1.2301
1.92885e-008,1.2301
1.93344e-008,1.2300
1.93803e-008,1.2300
1.94263e-008,1.2300
1.94722e-008,1.2299
1.95181e-008,1.2300
1.95640e-008,1.2301
1.96100e-008,1.2301
1.96559e-008,1.2301
1.97018e-008,1.2301
1.97478e-008,1.2300
1.97937e-008,1.2299
1.98396e-008,1.2299
1.98855e-008,1.2299
1.99315e-008,1.2300
1.99774e-008,1.2301
2.00233e-008,1.2301
2.00692e-008,1.2301
2.01152e-008,1.2300
2.01611e-008,1.2299
2.02070e-008,1.2299
2.02529e-008,1.2299
2.02989e-008,1.2299
2.03448e-008,1.2300
2.03907e-008,1.2300
2.04366e-008,1.2300
2.04826e-008,1.2300
2.05285e-008,1.2299
2.05744e-008,1.2299
2.06203e-008,1.2299
2.06662e-008,1.2299
2.07122e-008,1.2299
2.07581e-008,1.2299
2.08040e-008,1.2299
2.08499e-008,1.2299
2.08959e-008,1.2299
2.09418e-008,1.2299
2.09877e-008,1.2299
2.10336e-008,1.1898
2.10796e-008,1.0562
2.11255e-008,0.9166
2.11714e-008,0.7618
2.12173e-008,0.6007
2.12633e-008,0.4350
2.13092e-008,0.3191
2.13551e-008,0.2536
2.14010e-008,0.2157
2.14470e-008,0.1974
2.14929e-008,0.1951
2.15388e-008,0.1981
2.15847e-008,0.1947
2.16307e-008,0.1961
2.16766e-008,0.2015
2.17225e-008,0.2167
2.17685e-008,0.2392
2.18144e-008,0.2720
2.18603e-008,0.3093
2.19062e-008,0.3411
2.19522e-008,0.3598
2.19981e-008,0.3604
2.20440e-008,0.3450
2.20899e-008,0.3198
2.21359e-008,0.2978
2.21818e-008,0.2866
2.22277e-008,0.2883
2.22736e-008,0.2978
2.23196e-008,0.3067
2.23655e-008,0.3053
2.24114e-008,0.2900
2.24573e-008,0.2659
2.25033e-008,0.2413
2.25492e-008,0.2257
2.25951e-008,0.2243
2.26410e-008,0.2357
2.26869e-008,0.2530
2.27329e-008,0.2690
2.27788e-008,0.2782
2.28247e-008,0.2777
2.28706e-008,0.2685
2.29166e-008,0.3082
2.29625e-008,0.4491
2.30084e-008,0.6050
2.30543e-008,0.7914
2.31003e-008,0.9782
2.31462e-008,1.1314
2.31921e-008,1.2140
2.32380e-008,1.2534
2.32840e-008,1.2721
2.33299e-008,1.2749
2.33758e-008,1.2666
2.34217e-008,1.2627
2.34677e-008,1.2676
2.35136e-008,1.2692
2.35595e-008,1.2701
2.36055e-008,1.2599
2.36514e-008,1.2371
2.36973e-008,1.1976
2.37432e-008,1.1512
2.37892e-008,1.1125
2.38351e-008,1.0935
2.38810e-008,1.1012
2.39269e-008,1.1315
2.39729e-008,1.1700
2.40188e-008,1.1967
2.40647e-008,1.2016
2.41106e-008,1.1851
2.41566e-008,1.1599
2.42025e-008,1.1429
2.42484e-008,1.1482
2.42943e-008,1.1760
2.43403e-008,1.2147
2.43862e-008,1.2483
2.44321e-008,1.2626
2.44780e-008,1.2536
2.45239e-008,1.2292
2.45699e-008,1.2033
2.46158e-008,1.1865
2.46617e-008,1.1844
2.47076e-008,1.1954
2.47536e-008,1.2129
2.47995e-008,1.2300
2.48454e-008,1.2426
2.48913e-008,1.2491
2.49373e-008,1.2491
2.49832e-008,1.2433
2.50291e-008,1.2336
2.50750e-008,1.2237
2.51210e-008,1.2176
2.51669e-008,1.2186
2.52128e-008,1.2267
2.52587e-008,1.2382
2.53047e-008,1.2469
2.53506e-008,1.2479
2.53965e-008,1.2405
2.54424e-008,1.2283
2.54884e-008,1.2177
2.55343e-008,1.2143
2.55802e-008,1.2193
2.56262e-008,1.2296
2.56721e-008,1.2394
2.57180e-008,1.2440
2.57639e-008,1.2416
2.58099e-008,1.2343
2.58558e-008,1.2264
2.59017e-008,1.2219
2.59476e-008,1.2221
2.59936e-008,1.2260
2.60395e-008,1.2311
2.60854e-008,1.2348
2.61313e-008,1.2361
2.61773e-008,1.2350
2.62232e-008,1.2325
2.62691e-008,1.2297
2.63150e-008,1.2272
2.63610e-008,1.2256
2.64069e-008,1.2252
2.64528e-008,1.2265
2.64987e-008,1.2293
2.65446e-008,1.2327
2.65906e-008,1.2352
2.66365e-008,1.2234
2.66824e-008,1.1267
2.67283e-008,0.9805
2.67743e-008,0.8294
2.68202e-008,0.6766
2.68661e-008,0.5076
2.69120e-008,0.3660
2.69580e-008,0.2863
2.70039e-008,0.2352
2.70498e-008,0.2092
2.70957e-008,0.1959
2.71417e-008,0.1961
2.71876e-008,0.1934
2.72335e-008,0.1914
2.72794e-008,0.1961
2.73254e-008,0.2086
2.73713e-008,0.2293
2.74172e-008,0.2574
2.74631e-008,0.2937
2.75091e-008,0.3276
2.75550e-008,0.3527
2.76009e-008,0.3611
2.76469e-008,0.3528
2.76928e-008,0.3309
2.77387e-008,0.3066
2.77846e-008,0.2905
2.78306e-008,0.2871
2.78765e-008,0.2944
2.79224e-008,0.3047
2.79683e-008,0.3085
2.80143e-008,0.2985
2.80602e-008,0.2767
2.81061e-008,0.2508
2.81520e-008,0.2304
2.81980e-008,0.2231
2.82439e-008,0.2302
2.82898e-008,0.2463
2.83357e-008,0.2634
2.83817e-008,0.2754
2.84276e-008,0.2786
2.84735e-008,0.2725
2.85194e-008,0.2603
2.85653e-008,0.2468
2.86113e-008,0.2357
2.86572e-008,0.2295
2.87031e-008,0.2293
2.87490e-008,0.2339
2.87950e-008,0.2408
2.88409e-008,0.2470
2.88868e-008,0.2499
2.89327e-008,0.2483
2.89787e-008,0.2430
2.90246e-008,0.2366
2.90705e-008,0.2326
2.91164e-008,0.2332
2.91624e-008,0.2382
2.92083e-008,0.2453
2.92542e-008,0.2511
2.93001e-008,0.2529
2.93461e-008,0.2500
2.93920e-008,0.2442
2.94379e-008,0.2385
2.94839e-008,0.2357
2.95298e-008,0.2365
2.95757e-008,0.2403
2.96216e-008,0.2447
2.96676e-008,0.2477
2.97135e-008,0.2482
2.97594e-008,0.2464
2.98053e-008,0.2436
2.98513e-008,0.2410
2.98972e-008,0.2398
2.99431e-008,0.2400
2.99890e-008,0.2415
3.00350e-008,0.2437
3.00809e-008,0.2458
3.01268e-008,0.2473
3.01727e-008,0.2475
3.02187e-008,0.2465
3.02646e-008,0.2444
3.03105e-008,0.2420
3.03564e-008,0.2404
3.04024e-008,0.2403
3.04483e-008,0.2417
3.04942e-008,0.2440
3.05401e-008,0.2462
3.05861e-008,0.2471
3.06320e-008,0.2465
3.06779e-008,0.2447
3.07238e-008,0.2427
3.07698e-008,0.2415
3.08157e-008,0.2415
3.08616e-008,0.2428
3.09075e-008,0.2444
3.09535e-008,0.2456
3.09994e-008,0.2460
3.10453e-008,0.2454
3.10912e-008,0.2443
3.11372e-008,0.2433
3.11831e-008,0.2428
3.12290e-008,0.2428
3.12749e-008,0.2433
3.13209e-008,0.2439
3.13668e-008,0.2445
3.14127e-008,0.2449
3.14586e-008,0.2450
3.15045e-008,0.2447
3.15505e-008,0.2443
3.15964e-008,0.2437
3.16423e-008,0.2433
3.16882e-008,0.2432
3.17342e-008,0.2435
3.17801e-008,0.2441
