.HEADER
..NAMES
Time,V U1.T22
.DATA
0.0e+000,1.2284
4.59e-011,1.2284
9.18e-011,1.2284
1.378e-010,1.2284
1.837e-010,1.2284
2.296e-010,1.2284
2.755e-010,1.2284
3.215e-010,1.2284
3.674e-010,1.2284
4.133e-010,1.1701
4.592e-010,1.0158
5.052e-010,0.8960
5.511e-010,0.7436
5.970e-010,0.5914
6.430e-010,0.4528
6.889e-010,0.3502
7.348e-010,0.2981
7.807e-010,0.2682
8.266e-010,0.2544
8.726e-010,0.2461
9.185e-010,0.2417
9.644e-010,0.2473
1.0104e-009,0.2530
1.0563e-009,0.2454
1.1022e-009,0.2363
1.1481e-009,0.2202
1.1940e-009,0.2042
1.2400e-009,0.2158
1.2859e-009,0.2368
1.3318e-009,0.2616
1.3778e-009,0.2851
1.4237e-009,0.2900
1.4696e-009,0.2820
1.5155e-009,0.2695
1.5614e-009,0.2546
1.6074e-009,0.2511
1.6533e-009,0.2565
1.6992e-009,0.2688
1.7452e-009,0.2805
1.7911e-009,0.2786
1.8370e-009,0.2681
1.8829e-009,0.2501
1.9288e-009,0.2329
1.9748e-009,0.2252
2.0207e-009,0.2226
2.0666e-009,0.2251
2.1125e-009,0.2316
2.1585e-009,0.2378
2.2044e-009,0.2445
2.2503e-009,0.2505
2.2963e-009,0.3249
2.3422e-009,0.4917
2.3881e-009,0.6225
2.4340e-009,0.7997
2.4800e-009,0.9592
2.5259e-009,1.0642
2.5718e-009,1.1416
2.6177e-009,1.1802
2.6636e-009,1.2111
2.7096e-009,1.2290
2.7555e-009,1.2339
2.8014e-009,1.2301
2.8473e-009,1.2136
2.8933e-009,1.2019
2.9392e-009,1.2092
2.9851e-009,1.2228
3.0311e-009,1.2489
3.0770e-009,1.2759
3.1229e-009,1.2627
3.1688e-009,1.2366
3.2148e-009,1.1987
3.2607e-009,1.1628
3.3066e-009,1.1613
3.3525e-009,1.1824
3.3984e-009,1.2096
3.4444e-009,1.2324
3.4903e-009,1.2287
3.5362e-009,1.2088
3.5821e-009,1.1864
3.6281e-009,1.1741
3.6740e-009,1.1857
3.7199e-009,1.2068
3.7658e-009,1.2299
3.8118e-009,1.2449
3.8577e-009,1.2440
3.9036e-009,1.2402
3.9496e-009,1.2357
3.9955e-009,1.2319
4.0414e-009,1.2316
4.0873e-009,1.2278
4.1333e-009,1.2198
4.1792e-009,1.2147
4.2251e-009,1.2128
4.2710e-009,1.2194
4.3169e-009,1.2331
4.3629e-009,1.2451
4.4088e-009,1.2509
4.4547e-009,1.2451
4.5007e-009,1.2305
4.5466e-009,1.2164
4.5925e-009,1.2087
4.6384e-009,1.2132
4.6843e-009,1.2264
4.7303e-009,1.2392
4.7762e-009,1.2461
4.8221e-009,1.2430
4.8680e-009,1.2336
4.9140e-009,1.2257
4.9599e-009,1.2219
5.0058e-009,1.2239
5.0518e-009,1.2283
5.0977e-009,1.2306
5.1436e-009,1.2308
5.1895e-009,1.2295
5.2354e-009,1.2290
5.2814e-009,1.2307
5.3273e-009,1.2327
5.3732e-009,1.2334
5.4192e-009,1.2314
5.4651e-009,1.2270
5.5110e-009,1.2235
5.5569e-009,1.2229
5.6029e-009,1.2259
5.6488e-009,1.2316
5.6947e-009,1.2361
5.7406e-009,1.2370
5.7865e-009,1.2337
5.8325e-009,1.2279
5.8784e-009,1.2233
5.9243e-009,1.2224
5.9703e-009,1.2251
6.0162e-009,1.2127
6.0621e-009,1.0958
6.1080e-009,0.9568
6.1539e-009,0.8213
6.1999e-009,0.6660
6.2458e-009,0.5123
6.2917e-009,0.3920
6.3376e-009,0.3183
6.3836e-009,0.2821
6.4295e-009,0.2606
6.4754e-009,0.2492
6.5214e-009,0.2429
6.5673e-009,0.2433
6.6132e-009,0.2541
6.6591e-009,0.2528
6.7050e-009,0.2441
6.7510e-009,0.2304
6.7969e-009,0.2092
6.8428e-009,0.2039
6.8888e-009,0.2244
6.9347e-009,0.2480
6.9806e-009,0.2772
7.0265e-009,0.2945
7.0725e-009,0.2899
7.1184e-009,0.2783
7.1643e-009,0.2601
7.2102e-009,0.2491
7.2561e-009,0.2514
7.3021e-009,0.2617
7.3480e-009,0.2778
7.3939e-009,0.2833
7.4399e-009,0.2760
7.4858e-009,0.2602
7.5317e-009,0.2401
7.5776e-009,0.2275
7.6235e-009,0.2238
7.6695e-009,0.2238
7.7154e-009,0.2292
7.7613e-009,0.2352
7.8072e-009,0.2409
7.8532e-009,0.2477
7.8991e-009,0.2521
7.9450e-009,0.2531
7.9910e-009,0.2511
8.0369e-009,0.2439
8.0828e-009,0.2349
8.1287e-009,0.2274
8.1747e-009,0.2250
8.2206e-009,0.2311
8.2665e-009,0.2417
8.3124e-009,0.2518
8.3583e-009,0.2560
8.4043e-009,0.2512
8.4502e-009,0.2420
8.4961e-009,0.2331
8.5420e-009,0.2288
8.5880e-009,0.2310
8.6339e-009,0.2361
8.6798e-009,0.2414
8.7257e-009,0.2449
8.7717e-009,0.2452
8.8176e-009,0.2439
8.8635e-009,0.2419
8.9095e-009,0.2400
8.9554e-009,0.2390
9.0013e-009,0.2386
9.0472e-009,0.2385
9.0932e-009,0.2388
9.1391e-009,0.2393
9.1850e-009,0.2410
9.2309e-009,0.2433
9.2769e-009,0.2451
9.3228e-009,0.2451
9.3687e-009,0.2426
9.4146e-009,0.2387
9.4605e-009,0.2359
9.5065e-009,0.2356
9.5524e-009,0.2382
9.5983e-009,0.2422
9.6442e-009,0.2452
9.6902e-009,0.2458
9.7361e-009,0.2440
9.7820e-009,0.2706
9.8280e-009,0.4348
9.8739e-009,0.5756
9.9198e-009,0.7532
9.9657e-009,0.9279
1.00117e-008,1.0556
1.00576e-008,1.1381
1.01035e-008,1.1800
1.01494e-008,1.2021
1.01954e-008,1.2146
1.02413e-008,1.2223
1.02872e-008,1.2251
1.03331e-008,1.2218
1.03790e-008,1.2109
1.04250e-008,1.2170
1.04709e-008,1.2260
1.05168e-008,1.2449
1.05627e-008,1.2729
1.06087e-008,1.2697
1.06546e-008,1.2427
1.07005e-008,1.2082
1.07464e-008,1.1690
1.07924e-008,1.1573
1.08383e-008,1.1786
1.08842e-008,1.2056
1.09302e-008,1.2336
1.09761e-008,1.2369
1.10220e-008,1.2172
1.10679e-008,1.1924
1.11139e-008,1.1722
1.11598e-008,1.1773
1.12057e-008,1.1985
1.12516e-008,1.2250
1.12975e-008,1.2472
1.13435e-008,1.2517
1.13894e-008,1.2462
1.14353e-008,1.2393
1.14812e-008,1.2314
1.15272e-008,1.2289
1.15731e-008,1.2272
1.16190e-008,1.2214
1.16649e-008,1.2174
1.17109e-008,1.2157
1.17568e-008,1.2198
1.18027e-008,1.2318
1.18487e-008,1.2439
1.18946e-008,1.2511
1.19405e-008,1.2483
1.19864e-008,1.2349
1.20324e-008,1.2196
1.20783e-008,1.2095
1.21242e-008,1.2107
1.21701e-008,1.2236
1.22161e-008,1.2382
1.22620e-008,1.2479
1.23079e-008,1.2475
1.23538e-008,1.2378
1.23997e-008,1.2275
1.24457e-008,1.2214
1.24916e-008,1.2218
1.25375e-008,1.2270
1.25834e-008,1.2313
1.26294e-008,1.2331
1.26753e-008,1.2325
1.27212e-008,1.2309
1.27672e-008,1.2311
1.28131e-008,1.2323
1.28590e-008,1.2330
1.29049e-008,1.2321
1.29509e-008,1.2287
1.29968e-008,1.2252
1.30427e-008,1.2239
1.30886e-008,1.2259
1.31346e-008,1.2310
1.31805e-008,1.2362
1.32264e-008,1.2381
1.32723e-008,1.2358
1.33182e-008,1.2301
1.33642e-008,1.2244
1.34101e-008,1.2223
1.34560e-008,1.2243
1.35019e-008,1.2293
1.35479e-008,1.2340
1.35938e-008,1.2356
1.36397e-008,1.2340
1.36856e-008,1.2305
1.37316e-008,1.2277
1.37775e-008,1.2270
1.38234e-008,1.2279
1.38694e-008,1.2295
1.39153e-008,1.2302
1.39612e-008,1.2299
1.40071e-008,1.2294
1.40531e-008,1.2294
1.40990e-008,1.2304
1.41449e-008,1.2315
1.41908e-008,1.2318
1.42367e-008,1.2306
1.42827e-008,1.2286
1.43286e-008,1.2269
1.43745e-008,1.2267
1.44204e-008,1.2282
1.44664e-008,1.2305
1.45123e-008,1.2324
1.45582e-008,1.2326
1.46041e-008,1.2312
1.46501e-008,1.2290
1.46960e-008,1.2272
1.47419e-008,1.2270
1.47879e-008,1.2282
1.48338e-008,1.2299
1.48797e-008,1.2311
1.49256e-008,1.2311
1.49715e-008,1.2302
1.50175e-008,1.2292
1.50634e-008,1.2287
1.51093e-008,1.2290
1.51552e-008,1.2294
1.52012e-008,1.2296
1.52471e-008,1.2294
1.52930e-008,1.2290
1.53389e-008,1.2288
1.53849e-008,1.2292
1.54308e-008,1.2299
1.54767e-008,1.2304
1.55226e-008,1.2303
1.55686e-008,1.2296
1.56145e-008,1.2287
1.56604e-008,1.2281
1.57063e-008,1.2283
1.57523e-008,1.2290
1.57982e-008,1.2299
1.58441e-008,1.2305
1.58901e-008,1.2303
1.59360e-008,1.2296
1.59819e-008,1.2288
1.60278e-008,1.2284
1.60738e-008,1.2286
1.61197e-008,1.2291
1.61656e-008,1.2296
1.62115e-008,1.2298
1.62575e-008,1.2296
1.63034e-008,1.2293
1.63493e-008,1.2291
