.HEADER
..NAMES
Time,V U1.Y23
.DATA
0.0e+000,1.2276
4.59e-011,1.2276
9.18e-011,1.2276
1.378e-010,1.2276
1.837e-010,1.2276
2.296e-010,1.2276
2.755e-010,1.2276
3.215e-010,1.2276
3.674e-010,1.2276
4.133e-010,1.2077
4.592e-010,1.0920
5.052e-010,0.9475
5.511e-010,0.7923
5.970e-010,0.6298
6.430e-010,0.4591
6.889e-010,0.3195
7.348e-010,0.2325
7.807e-010,0.1942
8.266e-010,0.1720
8.726e-010,0.1661
9.185e-010,0.1675
9.644e-010,0.1794
1.0104e-009,0.1947
1.0563e-009,0.2051
1.1022e-009,0.2127
1.1481e-009,0.2149
1.1940e-009,0.2121
1.2400e-009,0.2153
1.2859e-009,0.2333
1.3318e-009,0.2549
1.3778e-009,0.2733
1.4237e-009,0.2819
1.4696e-009,0.2829
1.5155e-009,0.2721
1.5614e-009,0.2540
1.6074e-009,0.2402
1.6533e-009,0.2381
1.6992e-009,0.2454
1.7452e-009,0.2530
1.7911e-009,0.2551
1.8370e-009,0.2517
1.8829e-009,0.2414
1.9288e-009,0.2240
1.9748e-009,0.2093
2.0207e-009,0.2108
2.0666e-009,0.2249
2.1125e-009,0.2407
2.1585e-009,0.2516
2.2044e-009,0.2558
2.2503e-009,0.2547
2.2963e-009,0.2672
2.3422e-009,0.3964
2.3881e-009,0.5503
2.4340e-009,0.7377
2.4800e-009,0.9294
2.5259e-009,1.0939
2.5718e-009,1.2027
2.6177e-009,1.2614
2.6636e-009,1.2840
2.7096e-009,1.2993
2.7555e-009,1.3033
2.8014e-009,1.3000
2.8473e-009,1.2897
2.8933e-009,1.2715
2.9392e-009,1.2571
2.9851e-009,1.2451
3.0311e-009,1.2469
3.0770e-009,1.2603
3.1229e-009,1.2675
3.1688e-009,1.2519
3.2148e-009,1.2223
3.2607e-009,1.1888
3.3066e-009,1.1707
3.3525e-009,1.1741
3.3984e-009,1.1991
3.4444e-009,1.2300
3.4903e-009,1.2470
3.5362e-009,1.2419
3.5821e-009,1.2217
3.6281e-009,1.2030
3.6740e-009,1.1982
3.7199e-009,1.2084
3.7658e-009,1.2300
3.8118e-009,1.2554
3.8577e-009,1.2696
3.9036e-009,1.2614
3.9496e-009,1.2395
3.9955e-009,1.2169
4.0414e-009,1.2034
4.0873e-009,1.2045
4.1333e-009,1.2162
4.1792e-009,1.2302
4.2251e-009,1.2373
4.2710e-009,1.2350
4.3169e-009,1.2291
4.3629e-009,1.2267
4.4088e-009,1.2296
4.4547e-009,1.2350
4.5007e-009,1.2374
4.5466e-009,1.2346
4.5925e-009,1.2279
4.6384e-009,1.2207
4.6843e-009,1.2185
4.7303e-009,1.2232
4.7762e-009,1.2317
4.8221e-009,1.2396
4.8680e-009,1.2422
4.9140e-009,1.2378
4.9599e-009,1.2281
5.0058e-009,1.2185
5.0518e-009,1.2151
5.0977e-009,1.2201
5.1436e-009,1.2300
5.1895e-009,1.2383
5.2354e-009,1.2402
5.2814e-009,1.2354
5.3273e-009,1.2273
5.3732e-009,1.2211
5.4192e-009,1.2204
5.4651e-009,1.2251
5.5110e-009,1.2313
5.5569e-009,1.2347
5.6029e-009,1.2340
5.6488e-009,1.2304
5.6947e-009,1.2266
5.7406e-009,1.2247
5.7865e-009,1.2257
5.8325e-009,1.2286
5.8784e-009,1.2312
5.9243e-009,1.2316
5.9703e-009,1.2296
6.0162e-009,1.2256
6.0621e-009,1.1581
6.1080e-009,1.0142
6.1539e-009,0.8768
6.1999e-009,0.7165
6.2458e-009,0.5468
6.2917e-009,0.3860
6.3376e-009,0.2649
6.3836e-009,0.2061
6.4295e-009,0.1774
6.4754e-009,0.1681
6.5214e-009,0.1677
6.5673e-009,0.1775
6.6132e-009,0.1917
6.6591e-009,0.2024
6.7050e-009,0.2080
6.7510e-009,0.2121
6.7969e-009,0.2114
6.8428e-009,0.2117
6.8888e-009,0.2257
6.9347e-009,0.2478
6.9806e-009,0.2678
7.0265e-009,0.2794
7.0725e-009,0.2822
7.1184e-009,0.2773
7.1643e-009,0.2625
7.2102e-009,0.2471
7.2561e-009,0.2400
7.3021e-009,0.2434
7.3480e-009,0.2506
7.3939e-009,0.2540
7.4399e-009,0.2529
7.4858e-009,0.2470
7.5317e-009,0.2341
7.5776e-009,0.2171
7.6235e-009,0.2100
7.6695e-009,0.2183
7.7154e-009,0.2331
7.7613e-009,0.2460
7.8072e-009,0.2536
7.8532e-009,0.2560
7.8991e-009,0.2537
7.9450e-009,0.2479
7.9910e-009,0.2423
8.0369e-009,0.2387
8.0828e-009,0.2366
8.1287e-009,0.2354
8.1747e-009,0.2354
8.2206e-009,0.2368
8.2665e-009,0.2391
8.3124e-009,0.2413
8.3583e-009,0.2436
8.4043e-009,0.2452
8.4502e-009,0.2444
8.4961e-009,0.2413
8.5420e-009,0.2373
8.5880e-009,0.2343
8.6339e-009,0.2339
8.6798e-009,0.2372
8.7257e-009,0.2431
8.7717e-009,0.2478
8.8176e-009,0.2482
8.8635e-009,0.2444
8.9095e-009,0.2397
8.9554e-009,0.2370
9.0013e-009,0.2368
9.0472e-009,0.2384
9.0932e-009,0.2411
9.1391e-009,0.2438
9.1850e-009,0.2447
9.2309e-009,0.2435
9.2769e-009,0.2413
9.3228e-009,0.2396
9.3687e-009,0.2391
9.4146e-009,0.2398
9.4605e-009,0.2411
9.5065e-009,0.2424
9.5524e-009,0.2428
9.5983e-009,0.2421
9.6442e-009,0.2412
9.6902e-009,0.2411
9.7361e-009,0.2419
9.7820e-009,0.2502
9.8280e-009,0.3537
9.8739e-009,0.5148
9.9198e-009,0.6879
9.9657e-009,0.8775
1.00117e-008,1.0577
1.00576e-008,1.1800
1.01035e-008,1.2572
1.01494e-008,1.2828
1.01954e-008,1.2995
1.02413e-008,1.3009
1.02872e-008,1.2981
1.03331e-008,1.2892
1.03790e-008,1.2759
1.04250e-008,1.2659
1.04709e-008,1.2576
1.05168e-008,1.2555
1.05627e-008,1.2622
1.06087e-008,1.2669
1.06546e-008,1.2505
1.07005e-008,1.2238
1.07464e-008,1.1948
