.HEADER
..NAMES
Time,V U1.U21
.DATA
0.0e+000,1.2286
4.59e-011,1.2286
9.18e-011,1.2286
1.378e-010,1.2286
1.837e-010,1.2286
2.296e-010,1.2286
2.755e-010,1.2286
3.215e-010,1.2286
3.674e-010,1.2216
4.133e-010,1.1239
4.592e-010,0.9761
5.052e-010,0.8531
5.511e-010,0.7018
5.970e-010,0.5512
6.430e-010,0.4153
6.889e-010,0.3336
7.348e-010,0.2869
7.807e-010,0.2638
8.266e-010,0.2514
8.726e-010,0.2477
9.185e-010,0.2555
9.644e-010,0.2542
1.0104e-009,0.2489
1.0563e-009,0.2363
1.1022e-009,0.2214
1.1481e-009,0.2135
1.1940e-009,0.2081
1.2400e-009,0.2261
1.2859e-009,0.2525
1.3318e-009,0.2798
1.3778e-009,0.2922
1.4237e-009,0.2828
1.4696e-009,0.2739
1.5155e-009,0.2668
1.5614e-009,0.2666
1.6074e-009,0.2679
1.6533e-009,0.2667
1.6992e-009,0.2672
1.7452e-009,0.2650
1.7911e-009,0.2579
1.8370e-009,0.2448
1.8829e-009,0.2341
1.9288e-009,0.2281
1.9748e-009,0.2280
2.0207e-009,0.2310
2.0666e-009,0.2340
2.1125e-009,0.2405
2.1585e-009,0.2461
2.2044e-009,0.2492
2.2503e-009,0.2485
2.2963e-009,0.2447
2.3422e-009,0.2409
2.3881e-009,0.2356
2.4340e-009,0.2318
2.4800e-009,0.2319
2.5259e-009,0.2375
2.5718e-009,0.2457
2.6177e-009,0.2499
2.6636e-009,0.2480
2.7096e-009,0.2418
2.7555e-009,0.2361
2.8014e-009,0.2336
2.8473e-009,0.2341
2.8933e-009,0.2364
2.9392e-009,0.2390
2.9851e-009,0.2413
3.0311e-009,0.2425
3.0770e-009,0.2430
3.1229e-009,0.2429
3.1688e-009,0.2419
3.2148e-009,0.2403
3.2607e-009,0.2386
3.3066e-009,0.2381
3.3525e-009,0.2390
3.3984e-009,0.2405
3.4444e-009,0.2417
3.4903e-009,0.2423
3.5362e-009,0.2427
3.5821e-009,0.2424
3.6281e-009,0.2411
3.6740e-009,0.2389
3.7199e-009,0.2375
3.7658e-009,0.2382
3.8118e-009,0.2407
3.8577e-009,0.2430
3.9036e-009,0.2436
3.9496e-009,0.2424
3.9955e-009,0.2407
4.0414e-009,0.2398
4.0873e-009,0.2398
4.1333e-009,0.2560
4.1792e-009,0.3987
4.2251e-009,0.5521
4.2710e-009,0.7139
4.3169e-009,0.8894
4.3629e-009,1.0325
4.4088e-009,1.1222
4.4547e-009,1.1687
4.5007e-009,1.1961
4.5466e-009,1.2100
4.5925e-009,1.2175
4.6384e-009,1.2176
4.6843e-009,1.2086
4.7303e-009,1.2127
4.7762e-009,1.2187
4.8221e-009,1.2369
4.8680e-009,1.2560
4.9140e-009,1.2661
4.9599e-009,1.2655
5.0058e-009,1.2345
5.0518e-009,1.1989
5.0977e-009,1.1683
5.1436e-009,1.1646
5.1895e-009,1.1872
5.2354e-009,1.2083
5.2814e-009,1.2217
5.3273e-009,1.2143
5.3732e-009,1.1987
5.4192e-009,1.1880
5.4651e-009,1.1883
5.5110e-009,1.2029
5.5569e-009,1.2237
5.6029e-009,1.2402
5.6488e-009,1.2440
5.6947e-009,1.2411
5.7406e-009,1.2349
5.7865e-009,1.2323
5.8325e-009,1.2322
5.8784e-009,1.2281
5.9243e-009,1.2237
5.9703e-009,1.2198
6.0162e-009,1.1855
6.0621e-009,1.0467
6.1080e-009,0.9292
6.1539e-009,0.7905
6.1999e-009,0.6407
6.2458e-009,0.4859
6.2917e-009,0.3644
6.3376e-009,0.2956
6.3836e-009,0.2594
6.4295e-009,0.2504
6.4754e-009,0.2531
6.5214e-009,0.2642
6.5673e-009,0.2704
6.6132e-009,0.2603
6.6591e-009,0.2455
6.7050e-009,0.2246
6.7510e-009,0.2136
6.7969e-009,0.2078
6.8428e-009,0.2152
6.8888e-009,0.2397
6.9347e-009,0.2665
