.HEADER
..NAMES
Time,V U1.R21&P21
.DATA
0.0e+000,-0.6934
3.40e-011,-0.6934
6.80e-011,-0.6934
1.020e-010,-0.6934
1.360e-010,-0.6934
1.700e-010,-0.6934
2.040e-010,-0.6934
2.380e-010,-0.6934
2.720e-010,-0.6934
3.060e-010,-0.6934
3.400e-010,-0.6934
3.740e-010,-0.6934
4.080e-010,-0.6934
4.420e-010,-0.6934
4.760e-010,-0.6934
5.100e-010,-0.6934
5.440e-010,-0.6934
5.780e-010,-0.6934
6.120e-010,-0.6934
6.460e-010,-0.6934
6.800e-010,-0.6934
7.140e-010,-0.6934
7.480e-010,-0.6934
7.820e-010,-0.6934
8.160e-010,-0.6934
8.500e-010,-0.6934
8.840e-010,-0.6934
9.180e-010,-0.6934
9.520e-010,-0.6934
9.860e-010,-0.6934
1.0200e-009,-0.6934
1.0540e-009,-0.6934
1.0880e-009,-0.6934
1.1220e-009,-0.6934
1.1560e-009,-0.6934
1.1900e-009,-0.6934
1.2240e-009,-0.6934
1.2580e-009,-0.6934
1.2920e-009,-0.6934
1.3260e-009,-0.6506
1.3600e-009,-0.4461
1.3940e-009,-0.1041
1.4280e-009,0.2456
1.4620e-009,0.5865
1.4960e-009,0.8542
1.5300e-009,1.0805
1.5640e-009,1.2508
1.5980e-009,1.3404
1.6320e-009,1.3389
1.6660e-009,1.3206
1.7000e-009,1.3039
1.7340e-009,1.2803
1.7680e-009,1.2265
1.8020e-009,1.1627
1.8360e-009,1.1298
1.8700e-009,1.1208
1.9040e-009,1.1032
1.9380e-009,1.0954
1.9720e-009,1.1326
2.0060e-009,1.1853
2.0400e-009,1.2374
2.0740e-009,1.2783
2.1080e-009,1.2980
2.1420e-009,1.2927
2.1760e-009,1.2553
2.2100e-009,1.1667
2.2440e-009,1.0630
2.2780e-009,0.9734
2.3120e-009,0.8123
2.3460e-009,0.6287
2.3800e-009,0.4499
2.4140e-009,0.2190
2.4480e-009,-0.0308
2.4820e-009,-0.3217
2.5160e-009,-0.6191
2.5500e-009,-0.8381
2.5840e-009,-0.9637
2.6180e-009,-1.0443
2.6520e-009,-1.0746
2.6860e-009,-1.0779
2.7200e-009,-1.0457
2.7540e-009,-1.0124
2.7880e-009,-1.0099
2.8220e-009,-1.0334
2.8560e-009,-1.0448
2.8900e-009,-1.0609
2.9240e-009,-1.0895
2.9580e-009,-1.1230
2.9920e-009,-1.1533
3.0260e-009,-1.1737
3.0600e-009,-1.1778
3.0940e-009,-1.1772
3.1280e-009,-1.1626
3.1620e-009,-1.1212
3.1960e-009,-1.0631
3.2300e-009,-0.9382
3.2640e-009,-0.7096
3.2980e-009,-0.4532
3.3320e-009,-0.1728
3.3660e-009,0.1002
3.4000e-009,0.3661
3.4340e-009,0.6016
3.4680e-009,0.7907
3.5020e-009,0.8928
3.5360e-009,0.9536
3.5700e-009,1.0112
3.6040e-009,1.0540
3.6380e-009,1.0744
3.6720e-009,1.0684
3.7060e-009,1.0611
3.7400e-009,1.0625
3.7740e-009,1.0575
3.8080e-009,1.0438
3.8420e-009,1.0643
3.8760e-009,1.1064
3.9100e-009,1.1570
3.9440e-009,1.2052
3.9780e-009,1.2390
4.0120e-009,1.2489
4.0460e-009,1.2382
4.0800e-009,1.1891
4.1140e-009,1.1127
4.1480e-009,1.0185
4.1820e-009,0.8265
4.2160e-009,0.5902
4.2500e-009,0.3688
4.2840e-009,0.1183
4.3180e-009,-0.1164
4.3520e-009,-0.3661
4.3860e-009,-0.6072
4.4200e-009,-0.7914
4.4540e-009,-0.9037
4.4880e-009,-0.9927
4.5220e-009,-1.0498
4.5560e-009,-1.0794
4.5900e-009,-1.0625
4.6240e-009,-1.0313
4.6580e-009,-1.0172
4.6920e-009,-1.0259
4.7260e-009,-1.0298
4.7600e-009,-1.0456
4.7940e-009,-1.0849
4.8280e-009,-1.1320
4.8620e-009,-1.1731
4.8960e-009,-1.2017
4.9300e-009,-1.2100
4.9640e-009,-1.2056
4.9980e-009,-1.1848
5.0320e-009,-1.1343
5.0660e-009,-1.0695
5.1000e-009,-0.9606
5.1340e-009,-0.7439
5.1680e-009,-0.4959
5.2020e-009,-0.2412
5.2360e-009,0.0225
5.2700e-009,0.2841
5.3040e-009,0.5347
5.3380e-009,0.7539
5.3720e-009,0.8880
5.4060e-009,0.9619
5.4400e-009,1.0235
5.4740e-009,1.0570
5.5080e-009,1.0687
5.5420e-009,1.0523
5.5760e-009,1.0407
5.6100e-009,1.0471
5.6440e-009,1.0576
5.6780e-009,1.0547
5.7120e-009,1.0762
5.7460e-009,1.1132
5.7800e-009,1.1549
5.8140e-009,1.1928
5.8480e-009,1.2203
5.8820e-009,1.2306
5.9160e-009,1.2276
5.9500e-009,1.1923
5.9840e-009,1.1260
6.0180e-009,1.0387
6.0520e-009,0.8641
6.0860e-009,0.6302
6.1200e-009,0.3996
6.1540e-009,0.1428
6.1880e-009,-0.0964
6.2220e-009,-0.3487
6.2560e-009,-0.5891
6.2900e-009,-0.7790
6.3240e-009,-0.8911
6.3580e-009,-0.9738
6.3920e-009,-1.0329
6.4260e-009,-1.0694
6.4600e-009,-1.0650
6.4940e-009,-1.0414
6.5280e-009,-1.0282
6.5620e-009,-1.0357
6.5960e-009,-1.0369
6.6300e-009,-1.0416
6.6640e-009,-1.0726
6.6980e-009,-1.1166
6.7320e-009,-1.1608
6.7660e-009,-1.1972
6.8000e-009,-1.2147
6.8340e-009,-1.2150
6.8680e-009,-1.1980
6.9020e-009,-1.1474
6.9360e-009,-1.0803
6.9700e-009,-0.9814
7.0040e-009,-0.7713
7.0380e-009,-0.5242
7.0720e-009,-0.2833
7.1060e-009,-0.0188
7.1400e-009,0.2369
7.1740e-009,0.4897
7.2080e-009,0.7183
7.2420e-009,0.8691
7.2760e-009,0.9514
7.3100e-009,1.0201
7.3440e-009,1.0566
7.3780e-009,1.0731
7.4120e-009,1.0560
7.4460e-009,1.0399
7.4800e-009,1.0414
7.5140e-009,1.0518
7.5480e-009,1.0495
7.5820e-009,1.0693
7.6160e-009,1.1078
7.6500e-009,1.1517
7.6840e-009,1.1911
7.7180e-009,1.2189
7.7520e-009,1.2287
7.7860e-009,1.2249
7.8200e-009,1.1937
7.8540e-009,1.1307
7.8880e-009,1.0490
7.9220e-009,0.8946
7.9560e-009,0.6688
7.9900e-009,0.4349
8.0240e-009,0.1794
8.0580e-009,-0.0638
8.0920e-009,-0.3187
