.HEADER
..NAMES
Time,V U1.R21&P21
.DATA
0.0e+000,0.3710
3.40e-011,0.3710
6.80e-011,0.3710
1.020e-010,0.3710
1.360e-010,0.3710
1.700e-010,0.3710
2.040e-010,0.3710
2.380e-010,0.3710
2.720e-010,0.3710
3.060e-010,0.3710
3.400e-010,0.3710
3.740e-010,0.3710
4.080e-010,0.3710
4.420e-010,0.3710
4.760e-010,0.3710
5.100e-010,0.3710
5.440e-010,0.3710
5.780e-010,0.3710
6.120e-010,0.3710
6.460e-010,0.3710
6.800e-010,0.3710
7.140e-010,0.3710
7.480e-010,0.3710
7.820e-010,0.3710
8.160e-010,0.3710
8.500e-010,0.3710
8.840e-010,0.3710
9.180e-010,0.3710
9.520e-010,0.3710
9.860e-010,0.3710
1.0200e-009,0.3710
1.0540e-009,0.3710
1.0880e-009,0.3710
1.1220e-009,0.3710
1.1560e-009,0.3710
1.1900e-009,0.3710
1.2240e-009,0.3710
1.2580e-009,0.3710
1.2920e-009,0.3710
1.3260e-009,0.3883
1.3600e-009,0.4758
1.3940e-009,0.6215
1.4280e-009,0.7798
1.4620e-009,0.9481
1.4960e-009,1.0908
1.5300e-009,1.2172
1.5640e-009,1.3143
1.5980e-009,1.3662
1.6320e-009,1.3768
1.6660e-009,1.3793
1.7000e-009,1.3807
1.7340e-009,1.3771
1.7680e-009,1.3585
1.8020e-009,1.3306
1.8360e-009,1.3128
1.8700e-009,1.3064
1.9040e-009,1.2945
1.9380e-009,1.2861
1.9720e-009,1.2964
2.0060e-009,1.3134
2.0400e-009,1.3333
2.0740e-009,1.3536
2.1080e-009,1.3661
2.1420e-009,1.3683
2.1760e-009,1.3564
2.2100e-009,1.3203
2.2440e-009,1.2772
2.2780e-009,1.2332
2.3120e-009,1.1248
2.3460e-009,0.9968
2.3800e-009,0.8801
2.4140e-009,0.7557
2.4480e-009,0.6307
2.4820e-009,0.4903
2.5160e-009,0.3484
2.5500e-009,0.2488
2.5840e-009,0.1998
2.6180e-009,0.1686
2.6520e-009,0.1589
2.6860e-009,0.1587
2.7200e-009,0.1812
2.7540e-009,0.2043
2.7880e-009,0.2080
2.8220e-009,0.1949
2.8560e-009,0.1927
2.8900e-009,0.1860
2.9240e-009,0.1680
2.9580e-009,0.1452
2.9920e-009,0.1295
3.0260e-009,0.1247
3.0600e-009,0.1300
3.0940e-009,0.1390
3.1280e-009,0.1557
3.1620e-009,0.1900
3.1960e-009,0.2312
3.2300e-009,0.2904
3.2640e-009,0.3678
3.2980e-009,0.4545
3.3320e-009,0.5688
3.3660e-009,0.6989
3.4000e-009,0.8317
3.4340e-009,0.9550
3.4680e-009,1.0600
3.5020e-009,1.1304
3.5360e-009,1.1806
3.5700e-009,1.2216
3.6040e-009,1.2450
3.6380e-009,1.2536
3.6720e-009,1.2503
3.7060e-009,1.2413
3.7400e-009,1.2358
3.7740e-009,1.2274
3.8080e-009,1.2186
3.8420e-009,1.2244
3.8760e-009,1.2369
3.9100e-009,1.2568
3.9440e-009,1.2853
3.9780e-009,1.3124
4.0120e-009,1.3283
4.0460e-009,1.3372
4.0800e-009,1.3306
4.1140e-009,1.3143
4.1480e-009,1.2786
4.1820e-009,1.1593
4.2160e-009,0.9954
4.2500e-009,0.8437
4.2840e-009,0.6945
4.3180e-009,0.5659
4.3520e-009,0.4375
4.3860e-009,0.3216
4.4200e-009,0.2458
4.4540e-009,0.2178
4.4880e-009,0.1963
4.5220e-009,0.1838
4.5560e-009,0.1758
4.5900e-009,0.1913
4.6240e-009,0.2100
4.6580e-009,0.2129
4.6920e-009,0.1994
4.7260e-009,0.1933
4.7600e-009,0.1819
4.7940e-009,0.1527
4.8280e-009,0.1164
4.8620e-009,0.0899
4.8960e-009,0.0797
4.9300e-009,0.0842
4.9640e-009,0.0986
4.9980e-009,0.1252
5.0320e-009,0.1745
5.0660e-009,0.2321
5.1000e-009,0.2943
5.1340e-009,0.3675
5.1680e-009,0.4446
5.2020e-009,0.5370
5.2360e-009,0.6542
5.2700e-009,0.7779
5.3040e-009,0.9030
5.3380e-009,1.0214
5.3720e-009,1.1082
5.4060e-009,1.1693
5.4400e-009,1.2173
5.4740e-009,1.2401
5.5080e-009,1.2472
5.5420e-009,1.2404
5.5760e-009,1.2284
5.6100e-009,1.2227
5.6440e-009,1.2189
5.6780e-009,1.2137
5.7120e-009,1.2196
5.7460e-009,1.2287
5.7800e-009,1.2433
5.8140e-009,1.2660
5.8480e-009,1.2910
5.8820e-009,1.3083
5.9160e-009,1.3230
5.9500e-009,1.3268
5.9840e-009,1.3213
6.0180e-009,1.2963
6.0520e-009,1.1923
6.0860e-009,1.0276
6.1200e-009,0.8651
6.1540e-009,0.7044
6.1880e-009,0.5683
6.2220e-009,0.4351
6.2560e-009,0.3191
6.2900e-009,0.2412
6.3240e-009,0.2170
6.3580e-009,0.2030
6.3920e-009,0.1930
6.4260e-009,0.1834
6.4600e-009,0.1932
6.4940e-009,0.2077
6.5280e-009,0.2082
6.5620e-009,0.1920
6.5960e-009,0.1825
6.6300e-009,0.1742
6.6640e-009,0.1466
6.6980e-009,0.1100
6.7320e-009,0.0808
6.7660e-009,0.0675
6.8000e-009,0.0700
6.8340e-009,0.0854
6.8680e-009,0.1138
6.9020e-009,0.1673
6.9360e-009,0.2319
6.9700e-009,0.2954
7.0040e-009,0.3687
7.0380e-009,0.4421
7.0720e-009,0.5206
7.1060e-009,0.6314
7.1400e-009,0.7475
7.1740e-009,0.8704
7.2080e-009,0.9928
7.2420e-009,1.0875
7.2760e-009,1.1562
7.3100e-009,1.2119
7.3440e-009,1.2397
7.3780e-009,1.2510
7.4120e-009,1.2449
7.4460e-009,1.2315
7.4800e-009,1.2222
7.5140e-009,1.2166
7.5480e-009,1.2096
7.5820e-009,1.2133
7.6160e-009,1.2210
7.6500e-009,1.2339
7.6840e-009,1.2549
7.7180e-009,1.2800
7.7520e-009,1.2980
7.7860e-009,1.3141
7.8200e-009,1.3224
7.8540e-009,1.3219
7.8880e-009,1.3059
7.9220e-009,1.2197
7.9560e-009,1.0596
7.9900e-009,0.8915
8.0240e-009,0.7255
8.0580e-009,0.5840
8.0920e-009,0.4467
8.1260e-009,0.3270
8.1600e-009,0.2420
8.1940e-009,0.2152
8.2280e-009,0.2044
8.2620e-009,0.1946
8.2960e-009,0.1852
8.3300e-009,0.1915
8.3640e-009,0.2054
8.3980e-009,0.2069
8.4320e-009,0.1904
8.4660e-009,0.1776
8.5000e-009,0.1711
8.5340e-009,0.1453
8.5680e-009,0.1093
8.6020e-009,0.0783
8.6360e-009,0.0635
8.6700e-009,0.0645
8.7040e-009,0.0794
8.7380e-009,0.1063
8.7720e-009,0.1584
8.8060e-009,0.2248
8.8400e-009,0.2879
8.8740e-009,0.3629
8.9080e-009,0.4354
8.9420e-009,0.5064
8.9760e-009,0.6137
9.0100e-009,0.7249
9.0440e-009,0.8460
9.0780e-009,0.9697
9.1120e-009,1.0700
9.1460e-009,1.1444
9.1800e-009,1.2050
9.2140e-009,1.2373
9.2480e-009,1.2524
9.2820e-009,1.2477
9.3160e-009,1.2341
9.3500e-009,1.2223
9.3840e-009,1.2153
9.4180e-009,1.2072
9.4520e-009,1.2086
9.4860e-009,1.2153
9.5200e-009,1.2269
9.5540e-009,1.2466
9.5880e-009,1.2723
9.6220e-009,1.2919
9.6560e-009,1.3090
9.6900e-009,1.3205
9.7240e-009,1.3227
9.7580e-009,1.3128
9.7920e-009,1.2436
9.8260e-009,1.0879
9.8600e-009,0.9158
9.8940e-009,0.7481
9.9280e-009,0.6026
9.9620e-009,0.4629
9.9960e-009,0.3397
1.00300e-008,0.2470
1.00640e-008,0.2143
1.00980e-008,0.2051
1.01320e-008,0.1949
1.01660e-008,0.1866
1.02000e-008,0.1900
1.02340e-008,0.2041
1.02680e-008,0.2076
1.03020e-008,0.1922
1.03360e-008,0.1764
1.03700e-008,0.1709
1.04040e-008,0.1471
1.04380e-008,0.1117
1.04720e-008,0.0789
1.05060e-008,0.0619
1.05400e-008,0.0610
1.05740e-008,0.0748
1.06080e-008,0.1000
1.06420e-008,0.1493
1.06760e-008,0.2162
1.07100e-008,0.2809
1.07440e-008,0.3557
1.07780e-008,0.4269
1.08120e-008,0.4943
1.08460e-008,0.5977
1.08800e-008,0.7058
1.09140e-008,0.8261
1.09480e-008,0.9500
1.09820e-008,1.0548
1.10160e-008,1.1338
1.10500e-008,1.1968
1.10840e-008,1.2335
1.11180e-008,1.2519
1.11520e-008,1.2493
1.11860e-008,1.2364
1.12200e-008,1.2229
1.12540e-008,1.2152
1.12880e-008,1.2067
1.13220e-008,1.2057
1.13560e-008,1.2117
1.13900e-008,1.2221
1.14240e-008,1.2406
1.14580e-008,1.2665
1.14920e-008,1.2876
1.15260e-008,1.3052
1.15600e-008,1.3190
1.15940e-008,1.3229
1.16280e-008,1.3181
1.16620e-008,1.2653
1.16960e-008,1.1152
1.17300e-008,0.9392
1.17640e-008,0.7723
1.17980e-008,0.6217
1.18320e-008,0.4812
1.18660e-008,0.3551
1.19000e-008,0.2556
1.19340e-008,0.2153
1.19680e-008,0.2063
1.20020e-008,0.1953
1.20360e-008,0.1882
1.20700e-008,0.1884
1.21040e-008,0.2025
1.21380e-008,0.2083
1.21720e-008,0.1948
1.22060e-008,0.1769
1.22400e-008,0.1715
1.22740e-008,0.1501
1.23080e-008,0.1155
1.23420e-008,0.0810
1.23760e-008,0.0616
1.24100e-008,0.0586
1.24440e-008,0.0710
1.24780e-008,0.0945
1.25120e-008,0.1404
1.25460e-008,0.2069
1.25800e-008,0.2740
1.26140e-008,0.3477
1.26480e-008,0.4172
1.26820e-008,0.4836
1.27160e-008,0.5819
1.27500e-008,0.6878
1.27840e-008,0.8075
