.HEADER
..NAMES
Time,V U1.R21&P21
.DATA
0.0e+000,1.0645
3.40e-011,1.0645
6.80e-011,1.0645
1.020e-010,1.0645
1.360e-010,1.0645
1.700e-010,1.0645
2.040e-010,1.0645
2.380e-010,1.0645
2.720e-010,1.0645
3.060e-010,1.0645
3.400e-010,1.0645
3.740e-010,1.0645
4.080e-010,1.0645
4.420e-010,1.0645
4.760e-010,1.0645
5.100e-010,1.0645
5.440e-010,1.0645
5.780e-010,1.0645
6.120e-010,1.0645
6.460e-010,1.0645
6.800e-010,1.0645
7.140e-010,1.0645
7.480e-010,1.0645
7.820e-010,1.0645
8.160e-010,1.0645
8.500e-010,1.0645
8.840e-010,1.0645
9.180e-010,1.0645
9.520e-010,1.0645
9.860e-010,1.0645
1.0200e-009,1.0645
1.0540e-009,1.0645
1.0880e-009,1.0645
1.1220e-009,1.0645
1.1560e-009,1.0645
1.1900e-009,1.0645
1.2240e-009,1.0645
1.2580e-009,1.0645
1.2920e-009,1.0645
1.3260e-009,1.0389
1.3600e-009,0.9218
1.3940e-009,0.7256
1.4280e-009,0.5343
1.4620e-009,0.3616
1.4960e-009,0.2366
1.5300e-009,0.1367
1.5640e-009,0.0635
1.5980e-009,0.0259
1.6320e-009,0.0378
1.6660e-009,0.0587
1.7000e-009,0.0768
1.7340e-009,0.0967
1.7680e-009,0.1320
1.8020e-009,0.1679
1.8360e-009,0.1830
1.8700e-009,0.1855
1.9040e-009,0.1913
1.9380e-009,0.1908
1.9720e-009,0.1638
2.0060e-009,0.1281
2.0400e-009,0.0959
2.0740e-009,0.0754
2.1080e-009,0.0681
2.1420e-009,0.0756
2.1760e-009,0.1010
2.2100e-009,0.1537
2.2440e-009,0.2142
2.2780e-009,0.2597
2.3120e-009,0.3125
2.3460e-009,0.3681
2.3800e-009,0.4303
2.4140e-009,0.5367
2.4480e-009,0.6615
2.4820e-009,0.8121
2.5160e-009,0.9675
2.5500e-009,1.0869
2.5840e-009,1.1635
2.6180e-009,1.2129
2.6520e-009,1.2336
2.6860e-009,1.2366
2.7200e-009,1.2269
2.7540e-009,1.2166
2.7880e-009,1.2179
2.8220e-009,1.2283
2.8560e-009,1.2374
2.8900e-009,1.2470
2.9240e-009,1.2575
2.9580e-009,1.2682
2.9920e-009,1.2828
3.0260e-009,1.2984
3.0600e-009,1.3078
3.0940e-009,1.3162
3.1280e-009,1.3184
3.1620e-009,1.3113
3.1960e-009,1.2942
3.2300e-009,1.2286
3.2640e-009,1.0775
3.2980e-009,0.9077
3.3320e-009,0.7416
3.3660e-009,0.5986
3.4000e-009,0.4656
3.4340e-009,0.3535
3.4680e-009,0.2694
3.5020e-009,0.2377
3.5360e-009,0.2270
3.5700e-009,0.2104
3.6040e-009,0.1910
3.6380e-009,0.1792
3.6720e-009,0.1819
3.7060e-009,0.1801
3.7400e-009,0.1734
3.7740e-009,0.1699
3.8080e-009,0.1748
3.8420e-009,0.1600
3.8760e-009,0.1305
3.9100e-009,0.0998
3.9440e-009,0.0802
3.9780e-009,0.0733
4.0120e-009,0.0795
4.0460e-009,0.0990
4.0800e-009,0.1416
4.1140e-009,0.2016
4.1480e-009,0.2601
4.1820e-009,0.3328
4.2160e-009,0.4051
4.2500e-009,0.4748
4.2840e-009,0.5762
4.3180e-009,0.6823
