.HEADER
..NAMES
Time,V U1.Y21
.DATA
0.0e+000,0.2460
4.59e-011,0.2460
9.18e-011,0.2460
1.378e-010,0.2460
1.837e-010,0.2460
2.296e-010,0.2460
2.755e-010,0.2460
3.215e-010,0.2460
3.674e-010,0.2460
4.133e-010,0.2651
4.592e-010,0.4153
5.052e-010,0.5645
5.511e-010,0.7312
5.970e-010,0.9062
6.430e-010,1.0466
6.889e-010,1.1256
7.348e-010,1.1790
7.807e-010,1.2007
8.266e-010,1.2163
8.726e-010,1.2236
9.185e-010,1.2283
9.644e-010,1.2302
1.0104e-009,1.2273
1.0563e-009,1.2156
1.1022e-009,1.2118
1.1481e-009,1.2000
1.1940e-009,1.1935
1.2400e-009,1.1823
1.2859e-009,1.1596
1.3318e-009,1.1287
1.3778e-009,1.1129
1.4237e-009,1.1038
1.4696e-009,1.1214
1.5155e-009,1.1539
1.5614e-009,1.1791
1.6074e-009,1.1873
1.6533e-009,1.1783
1.6992e-009,1.1582
1.7452e-009,1.1451
1.7911e-009,1.1560
1.8370e-009,1.1881
1.8829e-009,1.2255
1.9288e-009,1.2553
1.9748e-009,1.2662
2.0207e-009,1.2541
2.0666e-009,1.2297
2.1125e-009,1.2101
2.1585e-009,1.2002
2.2044e-009,1.2030
2.2503e-009,1.2141
2.2963e-009,1.2270
2.3422e-009,1.2344
2.3881e-009,1.2380
2.4340e-009,1.2382
2.4800e-009,1.2374
2.5259e-009,1.2372
2.5718e-009,1.2362
2.6177e-009,1.2336
2.6636e-009,1.2293
2.7096e-009,1.2264
2.7555e-009,1.2271
2.8014e-009,1.2325
2.8473e-009,1.2412
2.8933e-009,1.2483
2.9392e-009,1.2486
2.9851e-009,1.2413
3.0311e-009,1.2299
3.0770e-009,1.2199
3.1229e-009,1.2177
3.1688e-009,1.2243
3.2148e-009,1.2352
3.2607e-009,1.2440
3.3066e-009,1.2462
3.3525e-009,1.2405
3.3984e-009,1.2312
3.4444e-009,1.2239
3.4903e-009,1.2222
3.5362e-009,1.2259
3.5821e-009,1.2322
3.6281e-009,1.2376
3.6740e-009,1.2393
3.7199e-009,1.2376
3.7658e-009,1.2341
3.8118e-009,1.2312
3.8577e-009,1.2299
3.9036e-009,1.2302
