.HEADER
..NAMES
Time,V U1.G24
.DATA
0.0e+000,0.0000
4.24e-011,0.0000
8.49e-011,0.0000
1.273e-010,0.0000
1.697e-010,0.0000
2.121e-010,0.0000
2.545e-010,0.0000
2.970e-010,0.0000
3.394e-010,0.0000
3.818e-010,0.0000
4.242e-010,0.0000
4.667e-010,0.0000
5.091e-010,0.0000
5.515e-010,0.0000
5.940e-010,0.0000
6.364e-010,0.0000
6.788e-010,0.0000
7.212e-010,0.0000
7.636e-010,0.0000
8.061e-010,0.0000
8.485e-010,0.0000
8.909e-010,-0.0019
9.333e-010,0.0360
9.758e-010,0.1301
1.0182e-009,0.2960
1.0606e-009,0.4506
1.1030e-009,0.5834
1.1455e-009,0.6824
1.1879e-009,0.7513
1.2303e-009,0.8004
1.2728e-009,0.8324
1.3152e-009,0.8535
1.3576e-009,0.8649
1.4000e-009,0.8720
1.4425e-009,0.8781
1.4849e-009,0.8884
1.5273e-009,0.8963
1.5697e-009,0.9025
1.6121e-009,0.9257
1.6546e-009,0.9932
1.6970e-009,1.1069
1.7394e-009,1.2478
1.7819e-009,1.3884
1.8243e-009,1.3835
1.8667e-009,1.1234
1.9091e-009,0.9209
1.9516e-009,0.7682
1.9940e-009,0.6762
2.0364e-009,0.6258
2.0788e-009,0.6173
2.1213e-009,0.6130
2.1637e-009,0.6196
2.2061e-009,0.6365
2.2485e-009,0.6573
2.2910e-009,0.6774
2.3334e-009,0.6864
2.3758e-009,0.6729
2.4182e-009,0.6798
2.4606e-009,0.6983
2.5031e-009,0.6054
2.5455e-009,0.4062
2.5879e-009,0.1808
2.6303e-009,-0.0535
2.6728e-009,-0.2367
2.7152e-009,-0.2577
2.7576e-009,-0.1887
2.8000e-009,-0.1348
2.8425e-009,-0.1002
2.8849e-009,-0.0783
2.9273e-009,-0.0747
2.9698e-009,-0.0781
3.0122e-009,-0.0735
3.0546e-009,-0.0662
3.0970e-009,-0.0613
3.1395e-009,-0.0674
3.1819e-009,-0.0782
3.2243e-009,-0.0763
3.2667e-009,-0.0716
3.3092e-009,-0.0889
3.3516e-009,-0.0939
3.3940e-009,-0.0537
3.4364e-009,0.0042
3.4789e-009,0.0640
3.5213e-009,0.1318
3.5637e-009,0.1687
3.6061e-009,0.1489
3.6485e-009,0.1060
3.6910e-009,0.0670
3.7334e-009,0.0379
3.7758e-009,0.0244
3.8183e-009,0.0259
3.8607e-009,0.0307
3.9031e-009,0.0312
3.9455e-009,0.0267
3.9879e-009,0.0249
4.0304e-009,0.0310
4.0728e-009,0.0365
4.1152e-009,0.0344
4.1577e-009,0.0363
4.2001e-009,0.0442
4.2425e-009,0.0411
4.2849e-009,0.0242
4.3274e-009,0.0027
4.3698e-009,-0.0275
4.4122e-009,-0.0608
4.4546e-009,-0.0759
4.4970e-009,-0.0679
4.5395e-009,-0.0487
4.5819e-009,-0.0274
4.6243e-009,-0.0107
4.6668e-009,-0.0040
4.7092e-009,-0.0060
4.7516e-009,-0.0107
4.7940e-009,-0.0121
4.8364e-009,-0.0101
4.8789e-009,-0.0102
4.9213e-009,-0.0136
4.9637e-009,-0.0153
5.0062e-009,-0.0153
