.HEADER
..NAMES
Time,V U1.K25
.DATA
0.0e+000,0.0000
4.24e-011,0.0000
8.49e-011,0.0000
1.273e-010,0.0000
1.697e-010,0.0000
2.121e-010,0.0000
2.545e-010,0.0000
2.970e-010,0.0000
3.394e-010,0.0000
3.818e-010,0.0000
4.242e-010,0.0000
4.667e-010,0.0000
5.091e-010,0.0000
5.515e-010,0.0000
5.940e-010,0.0000
6.364e-010,0.0000
6.788e-010,0.0000
7.212e-010,0.0000
7.636e-010,0.0000
8.061e-010,0.0000
8.485e-010,0.0000
8.909e-010,0.0010
9.333e-010,0.0490
9.758e-010,0.1497
1.0182e-009,0.3187
1.0606e-009,0.4722
1.1030e-009,0.6062
1.1455e-009,0.7088
1.1879e-009,0.7817
1.2303e-009,0.8263
1.2728e-009,0.8481
1.3152e-009,0.8590
1.3576e-009,0.8641
1.4000e-009,0.8782
1.4425e-009,0.8884
1.4849e-009,0.8946
1.5273e-009,0.9121
1.5697e-009,0.9707
1.6121e-009,1.0796
1.6546e-009,1.2205
1.6970e-009,1.3606
1.7394e-009,1.4667
1.7819e-009,1.5125
1.8243e-009,1.3910
1.8667e-009,1.1280
1.9091e-009,0.9516
1.9516e-009,0.8124
1.9940e-009,0.7096
2.0364e-009,0.6575
2.0788e-009,0.6625
2.1213e-009,0.6781
2.1637e-009,0.6938
2.2061e-009,0.7090
2.2485e-009,0.7021
2.2910e-009,0.6868
2.3334e-009,0.6839
2.3758e-009,0.6904
2.4182e-009,0.5976
2.4606e-009,0.4047
2.5031e-009,0.1964
2.5455e-009,-0.0039
2.5879e-009,-0.1396
2.6303e-009,-0.1564
2.6728e-009,-0.1324
2.7152e-009,-0.1173
2.7576e-009,-0.0631
2.8000e-009,0.0548
2.8425e-009,0.1243
2.8849e-009,0.2203
2.9273e-009,0.3110
2.9698e-009,0.3913
3.0122e-009,0.4698
3.0546e-009,0.5602
3.0970e-009,0.6260
3.1395e-009,0.6412
3.1819e-009,0.6609
3.2243e-009,0.7136
3.2667e-009,0.7801
3.3092e-009,0.8357
3.3516e-009,0.9089
3.3940e-009,0.9721
3.4364e-009,1.0206
3.4789e-009,1.1057
3.5213e-009,1.2075
3.5637e-009,1.2799
3.6061e-009,1.3542
3.6485e-009,1.4263
3.6910e-009,1.4767
3.7334e-009,1.5136
3.7758e-009,1.5415
3.8183e-009,1.5424
3.8607e-009,1.5312
3.9031e-009,1.5368
3.9455e-009,1.5526
3.9879e-009,1.5570
4.0304e-009,1.5482
4.0728e-009,1.5394
4.1152e-009,1.5289
4.1577e-009,1.5198
4.2001e-009,1.5252
4.2425e-009,1.5277
4.2849e-009,1.5163
4.3274e-009,1.5092
4.3698e-009,1.5048
4.4122e-009,1.4933
4.4546e-009,1.4827
4.4970e-009,1.4764
4.5395e-009,1.4673
4.5819e-009,1.4648
4.6243e-009,1.5042
4.6668e-009,1.4415
4.7092e-009,1.2974
4.7516e-009,1.1404
4.7940e-009,0.9712
4.8364e-009,0.7991
4.8789e-009,0.6856
4.9213e-009,0.6231
4.9637e-009,0.5807
5.0062e-009,0.5595
5.0486e-009,0.5617
5.0910e-009,0.5608
