.HEADER
..NAMES
Time,V U1.P26
.DATA
0.0e+000,0.0000
4.24e-011,0.0000
8.49e-011,0.0000
1.273e-010,0.0000
1.697e-010,0.0000
2.121e-010,0.0000
2.545e-010,0.0000
2.970e-010,0.0000
3.394e-010,0.0000
3.818e-010,0.0000
4.242e-010,0.0000
4.667e-010,0.0000
5.091e-010,0.0000
5.515e-010,0.0000
5.940e-010,0.0000
6.364e-010,0.0000
6.788e-010,0.0000
7.212e-010,0.0000
7.636e-010,0.0000
8.061e-010,0.0000
8.485e-010,0.0000
8.909e-010,-0.0022
9.333e-010,0.0316
9.758e-010,0.1201
1.0182e-009,0.2793
1.0606e-009,0.4411
1.1030e-009,0.5813
1.1455e-009,0.6910
1.1879e-009,0.7631
1.2303e-009,0.8096
1.2728e-009,0.8262
1.3152e-009,0.8338
1.3576e-009,0.8372
1.4000e-009,0.8495
1.4425e-009,0.8620
1.4849e-009,0.8779
1.5273e-009,0.8893
1.5697e-009,0.8982
1.6121e-009,0.9234
1.6546e-009,0.9952
1.6970e-009,1.1132
1.7394e-009,1.2540
1.7819e-009,1.3869
1.8243e-009,1.4857
1.8667e-009,1.5367
1.9091e-009,1.5477
1.9516e-009,1.5407
1.9940e-009,1.5320
2.0364e-009,1.5304
2.0788e-009,1.5345
2.1213e-009,1.5465
2.1637e-009,1.5671
2.2061e-009,1.5895
2.2485e-009,1.6014
2.2910e-009,1.6022
2.3334e-009,1.5936
2.3758e-009,1.5807
2.4182e-009,1.5702
2.4606e-009,1.5646
2.5031e-009,1.5552
2.5455e-009,1.5337
2.5879e-009,1.5015
2.6303e-009,1.4681
2.6728e-009,1.4445
2.7152e-009,1.4351
2.7576e-009,1.4395
2.8000e-009,1.4535
2.8425e-009,1.4707
2.8849e-009,1.4835
2.9273e-009,1.4894
2.9698e-009,1.4889
3.0122e-009,1.4814
3.0546e-009,1.4678
3.0970e-009,1.4544
3.1395e-009,1.4471
3.1819e-009,1.4483
3.2243e-009,1.4561
3.2667e-009,1.4658
3.3092e-009,1.4731
3.3516e-009,1.4773
3.3940e-009,1.4812
3.4364e-009,1.4885
3.4789e-009,1.4999
3.5213e-009,1.5112
3.5637e-009,1.5183
3.6061e-009,1.5199
3.6485e-009,1.5170
3.6910e-009,1.5106
3.7334e-009,1.5034
3.7758e-009,1.4978
3.8183e-009,1.4953
3.8607e-009,1.4965
3.9031e-009,1.5015
3.9455e-009,1.5092
3.9879e-009,1.5167
4.0304e-009,1.5203
4.0728e-009,1.5187
4.1152e-009,1.5133
4.1577e-009,1.5074
4.2001e-009,1.5029
4.2425e-009,1.5005
4.2849e-009,1.4992
4.3274e-009,1.4972
4.3698e-009,1.4941
4.4122e-009,1.4912
4.4546e-009,1.4899
4.4970e-009,1.4901
4.5395e-009,1.4916
4.5819e-009,1.4939
4.6243e-009,1.4965
4.6668e-009,1.4987
4.7092e-009,1.4997
4.7516e-009,1.4989
4.7940e-009,1.4962
4.8364e-009,1.4923
4.8789e-009,1.4886
4.9213e-009,1.4871
4.9637e-009,1.4884
5.0062e-009,1.4915
5.0486e-009,1.4949
5.0910e-009,1.4973
5.1334e-009,1.4984
