.HEADER
..NAMES
Time,V U1.V26
.DATA
0.0e+000,1.4982
4.24e-011,1.4982
8.49e-011,1.4982
1.273e-010,1.4982
1.697e-010,1.4982
2.121e-010,1.4982
2.545e-010,1.4982
2.970e-010,1.4982
3.394e-010,1.4982
3.818e-010,1.4982
4.242e-010,1.4982
4.667e-010,1.4982
5.091e-010,1.4982
5.515e-010,1.4982
5.940e-010,1.4982
6.364e-010,1.4982
6.788e-010,1.4982
7.212e-010,1.4982
7.636e-010,1.4982
8.061e-010,1.4982
8.485e-010,1.4987
8.909e-010,1.5203
9.333e-010,1.4273
9.758e-010,1.2899
1.0182e-009,1.1465
1.0606e-009,0.9805
1.1030e-009,0.8144
1.1455e-009,0.6988
1.1879e-009,0.6166
1.2303e-009,0.5556
1.2728e-009,0.5318
1.3152e-009,0.5382
1.3576e-009,0.5462
1.4000e-009,0.5612
1.4425e-009,0.5726
1.4849e-009,0.5611
1.5273e-009,0.5642
1.5697e-009,0.5624
1.6121e-009,0.5114
1.6546e-009,0.4173
1.6970e-009,0.2993
1.7394e-009,0.1450
1.7819e-009,-0.0087
1.8243e-009,-0.0989
1.8667e-009,-0.1419
1.9091e-009,-0.1625
1.9516e-009,-0.1554
1.9940e-009,-0.1315
2.0364e-009,-0.1130
2.0788e-009,-0.1022
2.1213e-009,-0.0919
2.1637e-009,-0.0938
2.2061e-009,-0.1053
2.2485e-009,-0.1128
2.2910e-009,-0.1164
2.3334e-009,-0.1123
2.3758e-009,-0.1029
2.4182e-009,-0.1009
2.4606e-009,-0.1021
2.5031e-009,-0.0899
2.5455e-009,-0.0651
2.5879e-009,-0.0333
2.6303e-009,0.0103
2.6728e-009,0.0534
2.7152e-009,0.0773
2.7576e-009,0.0862
2.8000e-009,0.0879
2.8425e-009,0.0804
2.8849e-009,0.0657
2.9273e-009,0.0539
2.9698e-009,0.0467
3.0122e-009,0.0419
3.0546e-009,0.0434
3.0970e-009,0.0498
3.1395e-009,0.0549
3.1819e-009,0.0563
3.2243e-009,0.0528
3.2667e-009,0.0469
3.3092e-009,0.0441
3.3516e-009,0.0440
3.3940e-009,0.0406
3.4364e-009,0.0330
3.4789e-009,0.0210
3.5213e-009,0.0027
3.5637e-009,-0.0166
3.6061e-009,-0.0296
3.6485e-009,-0.0362
3.6910e-009,-0.0395
3.7334e-009,-0.0040
3.7758e-009,0.0908
3.8183e-009,0.2349
3.8607e-009,0.3936
3.9031e-009,0.5377
3.9455e-009,0.6488
3.9879e-009,0.7408
4.0304e-009,0.8039
4.0728e-009,0.8453
4.1152e-009,0.8617
4.1577e-009,0.8653
4.2001e-009,0.8551
4.2425e-009,0.8498
4.2849e-009,0.8538
4.3274e-009,0.8602
4.3698e-009,0.8741
4.4122e-009,0.9033
4.4546e-009,0.9673
4.4970e-009,1.0732
4.5395e-009,1.2086
4.5819e-009,1.3448
4.6243e-009,1.4024
4.6668e-009,1.2133
4.7092e-009,0.9768
4.7516e-009,0.8243
4.7940e-009,0.6984
4.8364e-009,0.5896
4.8789e-009,0.5383
4.9213e-009,0.5224
4.9637e-009,0.5430
5.0062e-009,0.6022
5.0486e-009,0.6779
5.0910e-009,0.7127
5.1334e-009,0.7251
5.1758e-009,0.7093
5.2183e-009,0.6813
5.2607e-009,0.6913
5.3031e-009,0.6567
5.3456e-009,0.4993
5.3880e-009,0.2764
5.4304e-009,0.0615
5.4728e-009,-0.1304
5.5153e-009,-0.2326
5.5577e-009,-0.2016
5.6001e-009,0.0327
5.6425e-009,0.2810
5.6849e-009,0.4446
5.7274e-009,0.5757
5.7698e-009,0.6610
5.8122e-009,0.6846
5.8547e-009,0.7017
5.8971e-009,0.6788
5.9395e-009,0.6437
5.9819e-009,0.6082
6.0243e-009,0.6222
6.0668e-009,0.6571
6.1092e-009,0.6953
6.1516e-009,0.7257
6.1941e-009,0.7305
6.2365e-009,0.7826
6.2789e-009,0.9353
6.3213e-009,1.1431
6.3637e-009,1.3415
6.4062e-009,1.4947
6.4486e-009,1.5553
6.4910e-009,1.5186
6.5335e-009,1.4746
6.5759e-009,1.4633
6.6183e-009,1.4572
6.6607e-009,1.4654
6.7032e-009,1.4946
6.7456e-009,1.5373
6.7880e-009,1.5803
6.8304e-009,1.6198
6.8728e-009,1.6364
6.9153e-009,1.6140
6.9577e-009,1.5750
7.0001e-009,1.5394
7.0426e-009,1.5267
7.0850e-009,1.5382
7.1274e-009,1.5387
7.1698e-009,1.5055
7.2122e-009,1.4562
7.2547e-009,1.4141
7.2971e-009,1.3883
7.3395e-009,1.3955
7.3820e-009,1.4345
7.4244e-009,1.4722
7.4668e-009,1.4947
7.5092e-009,1.5087
7.5516e-009,1.5135
7.5941e-009,1.5032
7.6365e-009,1.4825
7.6789e-009,1.4600
7.7213e-009,1.4389
7.7638e-009,1.4311
7.8062e-009,1.4433
7.8486e-009,1.4670
7.8910e-009,1.4886
7.9335e-009,1.4958
7.9759e-009,1.4886
8.0183e-009,1.4819
8.0608e-009,1.4887
8.1032e-009,1.5058
8.1456e-009,1.5249
8.1880e-009,1.5395
8.2305e-009,1.5400
8.2729e-009,1.5265
8.3153e-009,1.5109
8.3577e-009,1.5070
8.4001e-009,1.5046
8.4426e-009,1.3951
8.4850e-009,1.2686
8.5274e-009,1.1347
8.5698e-009,0.9761
8.6123e-009,0.8336
8.6547e-009,0.7265
8.6971e-009,0.6398
8.7396e-009,0.5665
8.7820e-009,0.5364
8.8244e-009,0.5384
8.8668e-009,0.5532
8.9093e-009,0.5764
8.9517e-009,0.5844
8.9941e-009,0.5687
9.0365e-009,0.5671
9.0790e-009,0.5508
9.1214e-009,0.4891
9.1638e-009,0.3972
9.2062e-009,0.2807
9.2486e-009,0.1266
9.2911e-009,-0.0143
9.3335e-009,-0.0926
9.3759e-009,-0.1372
9.4183e-009,-0.1609
9.4608e-009,-0.1571
9.5032e-009,-0.1394
9.5456e-009,-0.1244
9.5881e-009,-0.1087
9.6305e-009,-0.0918
9.6729e-009,-0.0901
9.7153e-009,-0.0988
9.7578e-009,-0.1078
9.8002e-009,-0.1145
9.8426e-009,-0.1112
9.8850e-009,-0.1027
9.9274e-009,-0.1010
9.9699e-009,-0.0986
1.00123e-008,-0.0834
1.00547e-008,-0.0597
1.00971e-008,-0.0283
1.01396e-008,0.0148
1.01820e-008,0.0529
1.02244e-008,0.0720
1.02668e-008,0.0650
1.03093e-008,0.0566
1.03517e-008,0.1179
1.03941e-008,0.2653
1.04366e-008,0.4174
1.04790e-008,0.5662
1.05214e-008,0.6975
1.05638e-008,0.8133
1.06063e-008,0.9062
1.06487e-008,0.9724
1.06911e-008,1.0005
1.07335e-008,0.9966
1.07759e-008,0.9801
1.08184e-008,0.9649
1.08608e-008,0.9632
1.09032e-008,0.9673
1.09456e-008,0.9579
1.09881e-008,0.9404
1.10305e-008,0.9602
1.10729e-008,1.0388
1.11154e-008,1.1626
1.11578e-008,1.3117
1.12002e-008,1.4516
1.12426e-008,1.5395
1.12851e-008,1.5724
1.13275e-008,1.5803
1.13699e-008,1.5800
1.14123e-008,1.5723
1.14548e-008,1.5630
1.14972e-008,1.5591
1.15396e-008,1.5629
1.15820e-008,1.5775
1.16244e-008,1.5991
1.16669e-008,1.6165
1.17093e-008,1.6208
1.17517e-008,1.6108
1.17941e-008,1.5966
1.18366e-008,1.5928
1.18790e-008,1.5980
1.19214e-008,1.5933
1.19639e-008,1.5687
1.20063e-008,1.5290
1.20487e-008,1.4827
1.20911e-008,1.4429
1.21336e-008,1.4240
1.21760e-008,1.4262
1.22184e-008,1.4369
1.22608e-008,1.4489
1.23032e-008,1.4614
1.23457e-008,1.4715
1.23881e-008,1.4759
1.24305e-008,1.4739
1.24729e-008,1.4656
1.25154e-008,1.4537
1.25578e-008,1.4443
1.26002e-008,1.4432
1.26427e-008,1.4505
1.26851e-008,1.4602
1.27275e-008,1.4642
1.27699e-008,1.4619
1.28124e-008,1.4610
1.28548e-008,1.4673
1.28972e-008,1.4812
1.29396e-008,1.5001
1.29821e-008,1.5179
1.30245e-008,1.5274
1.30669e-008,1.5461
1.31093e-008,1.4654
1.31517e-008,1.3107
1.31942e-008,1.1659
1.32366e-008,1.0085
1.32790e-008,0.8369
1.33214e-008,0.7180
1.33639e-008,0.6406
1.34063e-008,0.5899
1.34487e-008,0.5649
1.34912e-008,0.5713
1.35336e-008,0.5732
1.35760e-008,0.5791
1.36184e-008,0.5882
1.36609e-008,0.5803
1.37033e-008,0.5811
1.37457e-008,0.5815
1.37881e-008,0.5315
1.38306e-008,0.4302
1.38730e-008,0.3075
1.39154e-008,0.1586
1.39578e-008,0.0054
1.40002e-008,-0.0894
1.40427e-008,-0.1307
1.40851e-008,-0.1526
1.41275e-008,-0.1501
1.41699e-008,-0.1281
1.42124e-008,-0.1095
1.42548e-008,-0.1023
1.42972e-008,-0.0964
1.43397e-008,-0.0985
1.43821e-008,-0.1096
1.44245e-008,-0.1148
1.44669e-008,-0.1146
1.45094e-008,-0.1097
1.45518e-008,-0.1007
1.45942e-008,-0.0987
1.46366e-008,-0.1007
1.46790e-008,-0.0888
1.47215e-008,-0.0617
1.47639e-008,-0.0294
1.48063e-008,0.0108
1.48487e-008,0.0524
1.48912e-008,0.0760
1.49336e-008,0.0832
1.49760e-008,0.0843
1.50185e-008,0.0780
1.50609e-008,0.0639
1.51033e-008,0.0518
1.51457e-008,0.0464
1.51881e-008,0.0436
1.52306e-008,0.0456
1.52730e-008,0.0517
1.53154e-008,0.0558
1.53579e-008,0.0555
1.54003e-008,0.0512
1.54427e-008,0.0454
1.54851e-008,0.0429
1.55276e-008,0.0433
1.55700e-008,0.0401
1.56124e-008,0.0315
1.56548e-008,0.0193
1.56972e-008,0.0021
1.57397e-008,-0.0166
1.57821e-008,-0.0294
1.58245e-008,-0.0353
1.58670e-008,-0.0375
1.59094e-008,-0.0353
1.59518e-008,-0.0285
1.59942e-008,-0.0221
1.60366e-008,-0.0186
1.60791e-008,-0.0171
1.61215e-008,-0.0184
1.61639e-008,-0.0221
1.62064e-008,-0.0252
1.62488e-008,-0.0256
1.62912e-008,-0.0233
1.63336e-008,-0.0198
1.63761e-008,-0.0175
1.64185e-008,-0.0169
1.64609e-008,-0.0161
1.65033e-008,-0.0138
1.65457e-008,-0.0096
1.65882e-008,-0.0028
1.66306e-008,0.0054
1.66730e-008,0.0118
1.67155e-008,0.0157
1.67579e-008,0.0178
1.68003e-008,0.0174
1.68427e-008,0.0144
1.68851e-008,0.0110
1.69276e-008,0.0086
1.69700e-008,0.0075
