.HEADER
..NAMES
Time,V U1.K23
.DATA
0.0e+000,0.2154
4.24e-011,0.2154
8.49e-011,0.2154
1.273e-010,0.2154
1.697e-010,0.2154
2.121e-010,0.2154
2.545e-010,0.2154
2.970e-010,0.2154
3.394e-010,0.2154
3.818e-010,0.2254
4.242e-010,0.3665
4.667e-010,0.5517
5.091e-010,0.7515
5.515e-010,0.9136
5.940e-010,1.0198
6.364e-010,1.0872
6.788e-010,1.1389
7.212e-010,1.1770
7.636e-010,1.1913
8.061e-010,1.2002
8.485e-010,1.1973
8.909e-010,1.2081
9.333e-010,1.2150
9.758e-010,1.2031
1.0182e-009,1.1832
1.0606e-009,1.1669
1.1030e-009,1.1754
1.1455e-009,1.2096
1.1879e-009,1.2380
1.2303e-009,1.2522
1.2728e-009,1.2529
1.3152e-009,1.2494
1.3576e-009,1.2526
1.4000e-009,1.2581
1.4425e-009,1.2598
1.4849e-009,1.2594
1.5273e-009,1.2599
1.5697e-009,1.2613
1.6121e-009,1.2644
1.6546e-009,1.2642
1.6970e-009,1.2615
1.7394e-009,1.2609
1.7819e-009,1.2639
1.8243e-009,1.2699
1.8667e-009,1.2727
1.9091e-009,1.2695
1.9516e-009,1.2643
1.9940e-009,1.2612
2.0364e-009,1.2621
2.0788e-009,1.2647
2.1213e-009,1.2654
2.1637e-009,1.2643
2.2061e-009,1.2638
2.2485e-009,1.2642
2.2910e-009,1.2648
2.3334e-009,1.2650
2.3758e-009,1.2643
2.4182e-009,1.2640
2.4606e-009,1.2646
2.5031e-009,1.2654
2.5455e-009,1.2656
2.5879e-009,1.2646
2.6303e-009,1.2634
2.6728e-009,1.2633
2.7152e-009,1.2643
2.7576e-009,1.2653
2.8000e-009,1.2653
2.8425e-009,1.2646
2.8849e-009,1.2642
2.9273e-009,1.2644
2.9698e-009,1.2647
3.0122e-009,1.2648
3.0546e-009,1.2645
3.0970e-009,1.2643
3.1395e-009,1.2645
3.1819e-009,1.2544
3.2243e-009,1.1125
3.2667e-009,0.8736
3.3092e-009,0.6984
3.3516e-009,0.5448
3.3940e-009,0.4305
3.4364e-009,0.3596
3.4789e-009,0.3125
3.5213e-009,0.2799
3.5637e-009,0.2780
3.6061e-009,0.2714
3.6485e-009,0.2706
3.6910e-009,0.2635
3.7334e-009,0.2542
3.7758e-009,0.2725
3.8183e-009,0.3002
3.8607e-009,0.3127
3.9031e-009,0.3007
3.9455e-009,0.2616
3.9879e-009,0.2316
4.0304e-009,0.2243
4.0728e-009,0.2214
4.1152e-009,0.2206
4.1577e-009,0.2192
4.2001e-009,0.2168
4.2425e-009,0.2181
4.2849e-009,0.2199
4.3274e-009,0.2173
4.3698e-009,0.2154
4.4122e-009,0.2147
4.4546e-009,0.2155
4.4970e-009,0.2189
4.5395e-009,0.2192
4.5819e-009,0.2150
4.6243e-009,0.2087
4.6668e-009,0.2059
4.7092e-009,0.2104
4.7516e-009,0.2162
4.7940e-009,0.2180
4.8364e-009,0.2167
4.8789e-009,0.2149
4.9213e-009,0.2149
4.9637e-009,0.2162
5.0062e-009,0.2159
5.0486e-009,0.2147
5.0910e-009,0.2844
5.1334e-009,0.4644
5.1758e-009,0.6444
5.2183e-009,0.8443
5.2607e-009,0.9720
5.3031e-009,1.0550
5.3456e-009,1.1139
5.3880e-009,1.1618
5.4304e-009,1.1861
5.4728e-009,1.1994
5.5153e-009,1.1977
5.5577e-009,1.2001
5.6001e-009,1.2133
5.6425e-009,1.2104
5.6849e-009,1.1934
5.7274e-009,1.1729
5.7698e-009,1.1662
5.8122e-009,1.1913
5.8547e-009,1.2260
5.8971e-009,1.2469
5.9395e-009,1.2537
5.9819e-009,1.2442
6.0243e-009,1.1338
6.0668e-009,0.8839
6.1092e-009,0.7042
6.1516e-009,0.5488
6.1941e-009,0.4385
6.2365e-009,0.3639
6.2789e-009,0.3156
6.3213e-009,0.2807
6.3637e-009,0.2746
6.4062e-009,0.2703
6.4486e-009,0.2686
6.4910e-009,0.2678
6.5335e-009,0.2602
6.5759e-009,0.2740
6.6183e-009,0.3008
6.6607e-009,0.3131
6.7032e-009,0.3024
6.7456e-009,0.2649
6.7880e-009,0.2305
6.8304e-009,0.2232
6.8728e-009,0.2228
6.9153e-009,0.2217
6.9577e-009,0.2706
7.0001e-009,0.4560
7.0426e-009,0.6390
7.0850e-009,0.8412
7.1274e-009,0.9674
7.1698e-009,1.0507
7.2122e-009,1.1098
7.2547e-009,1.1594
7.2971e-009,1.1871
7.3395e-009,1.1986
7.3820e-009,1.1971
7.4244e-009,1.1930
7.4668e-009,1.2049
7.5092e-009,1.2073
7.5516e-009,1.1943
7.5941e-009,1.1754
7.6365e-009,1.1660
7.6789e-009,1.1883
7.7213e-009,1.2255
7.7638e-009,1.2473
7.8062e-009,1.2535
7.8486e-009,1.2483
7.8910e-009,1.1760
7.9335e-009,0.9347
7.9759e-009,0.7388
8.0183e-009,0.5754
8.0608e-009,0.4575
8.1032e-009,0.3747
8.1456e-009,0.3239
8.1880e-009,0.2869
8.2305e-009,0.2746
8.2729e-009,0.2727
8.3153e-009,0.2686
8.3577e-009,0.2691
8.4001e-009,0.2612
8.4426e-009,0.2690
8.4850e-009,0.2952
8.5274e-009,0.3113
8.5698e-009,0.3063
8.6123e-009,0.2742
8.6547e-009,0.2358
8.6971e-009,0.2235
8.7396e-009,0.2226
8.7820e-009,0.2216
8.8244e-009,0.2440
8.8668e-009,0.4161
8.9093e-009,0.6053
8.9517e-009,0.8069
8.9941e-009,0.9473
9.0365e-009,1.0377
9.0790e-009,1.0992
9.1214e-009,1.1502
9.1638e-009,1.1842
9.2062e-009,1.1961
9.2486e-009,1.1990
9.2911e-009,1.1924
9.3335e-009,1.2025
9.3759e-009,1.2083
9.4183e-009,1.1974
9.4608e-009,1.1789
9.5032e-009,1.1659
9.5456e-009,1.1815
9.5881e-009,1.2190
9.6305e-009,1.2442
9.6729e-009,1.2533
9.7153e-009,1.2502
9.7578e-009,1.2481
9.8002e-009,1.2541
9.8426e-009,1.2596
9.8850e-009,1.2597
9.9274e-009,1.2585
9.9699e-009,1.2589
1.00123e-008,1.2611
1.00547e-008,1.2646
1.00971e-008,1.2643
1.01396e-008,1.2617
1.01820e-008,1.2613
1.02244e-008,1.2645
1.02668e-008,1.2705
1.03093e-008,1.2723
1.03517e-008,1.2680
1.03941e-008,1.2626
1.04366e-008,1.2605
1.04790e-008,1.2626
1.05214e-008,1.2652
1.05638e-008,1.2651
1.06063e-008,1.2636
1.06487e-008,1.2633
1.06911e-008,1.2641
1.07335e-008,1.2649
1.07759e-008,1.2648
1.08184e-008,1.2639
1.08608e-008,1.2637
1.09032e-008,1.2644
1.09456e-008,1.2652
1.09881e-008,1.2652
1.10305e-008,1.2641
1.10729e-008,1.2631
1.11154e-008,1.2632
1.11578e-008,1.2643
1.12002e-008,1.2652
1.12426e-008,1.2650
1.12851e-008,1.2642
1.13275e-008,1.2639
1.13699e-008,1.2642
1.14123e-008,1.2646
1.14548e-008,1.2646
1.14972e-008,1.2642
1.15396e-008,1.2640
1.15820e-008,1.2643
1.16244e-008,1.2645
1.16669e-008,1.2644
1.17093e-008,1.2642
1.17517e-008,1.2640
1.17941e-008,1.2641
1.18366e-008,1.2644
1.18790e-008,1.2646
1.19214e-008,1.2644
1.19639e-008,1.2642
1.20063e-008,1.2641
1.20487e-008,1.2642
1.20911e-008,1.2644
1.21336e-008,1.2644
1.21760e-008,1.2642
1.22184e-008,1.2642
1.22608e-008,1.2642
1.23032e-008,1.2643
1.23457e-008,1.2643
1.23881e-008,1.2642
1.24305e-008,1.2642
1.24729e-008,1.2642
1.25154e-008,1.2643
1.25578e-008,1.2643
1.26002e-008,1.2642
1.26427e-008,1.2642
1.26851e-008,1.2642
1.27275e-008,1.2642
1.27699e-008,1.2643
1.28124e-008,1.2643
1.28548e-008,1.2642
1.28972e-008,1.2642
1.29396e-008,1.2642
1.29821e-008,1.2642
1.30245e-008,1.2642
1.30669e-008,1.2642
1.31093e-008,1.2642
1.31517e-008,1.2642
1.31942e-008,1.2642
1.32366e-008,1.2642
1.32790e-008,1.2642
1.33214e-008,1.2642
1.33639e-008,1.2642
1.34063e-008,1.2642
1.34487e-008,1.2642
1.34912e-008,1.2642
1.35336e-008,1.2642
1.35760e-008,1.2642
1.36184e-008,1.2642
1.36609e-008,1.2642
1.37033e-008,1.2642
1.37457e-008,1.2642
1.37881e-008,1.2642
1.38306e-008,1.2642
1.38730e-008,1.2642
1.39154e-008,1.2642
1.39578e-008,1.2642
1.40002e-008,1.2642
1.40427e-008,1.2642
1.40851e-008,1.2642
1.41275e-008,1.2642
1.41699e-008,1.2642
1.42124e-008,1.2642
1.42548e-008,1.2641
1.42972e-008,1.2642
1.43397e-008,1.2642
1.43821e-008,1.2641
1.44245e-008,1.2585
1.44669e-008,1.1492
1.45094e-008,0.9088
1.45518e-008,0.7294
1.45942e-008,0.5674
1.46366e-008,0.4468
1.46790e-008,0.3692
1.47215e-008,0.3194
1.47639e-008,0.2829
1.48063e-008,0.2778
1.48487e-008,0.2722
1.48912e-008,0.2701
1.49336e-008,0.2653
1.49760e-008,0.2538
1.50185e-008,0.2674
1.50609e-008,0.2958
1.51033e-008,0.3116
1.51457e-008,0.3046
1.51881e-008,0.2685
1.52306e-008,0.2344
1.52730e-008,0.2246
1.53154e-008,0.2214
1.53579e-008,0.2202
1.54003e-008,0.2896
1.54427e-008,0.4824
1.54851e-008,0.6642
1.55276e-008,0.8611
1.55700e-008,0.9799
1.56124e-008,1.0584
1.56548e-008,1.1161
1.56972e-008,1.1642
1.57397e-008,1.1885
1.57821e-008,1.2005
1.58245e-008,1.1970
1.58670e-008,1.1945
1.59094e-008,1.2058
1.59518e-008,1.2048
1.59942e-008,1.1904
1.60366e-008,1.1723
1.60791e-008,1.1667
1.61215e-008,1.1932
1.61639e-008,1.2292
1.62064e-008,1.2484
1.62488e-008,1.2529
1.62912e-008,1.2450
1.63336e-008,1.1507
1.63761e-008,0.9046
1.64185e-008,0.7190
1.64609e-008,0.5591
1.65033e-008,0.4456
1.65457e-008,0.3677
1.65882e-008,0.3185
1.66306e-008,0.2828
1.66730e-008,0.2746
1.67155e-008,0.2714
1.67579e-008,0.2688
1.68003e-008,0.2684
1.68427e-008,0.2603
1.68851e-008,0.2713
1.69276e-008,0.2977
1.69700e-008,0.3116
1.70124e-008,0.3038
1.70548e-008,0.2687
1.70973e-008,0.2326
1.71397e-008,0.2230
1.71821e-008,0.2223
1.72246e-008,0.2213
1.72670e-008,0.2586
1.73094e-008,0.4401
1.73518e-008,0.6249
1.73942e-008,0.8278
1.74367e-008,0.9593
1.74791e-008,1.0454
1.75215e-008,1.1052
1.75640e-008,1.1555
1.76064e-008,1.1857
1.76488e-008,1.1973
1.76912e-008,1.1977
1.77336e-008,1.1925
1.77761e-008,1.2038
1.78185e-008,1.2075
1.78609e-008,1.1952
1.79033e-008,1.1764
1.79458e-008,1.1655
1.79882e-008,1.1852
1.80306e-008,1.2227
1.80731e-008,1.2458
1.81155e-008,1.2532
1.81579e-008,1.2493
1.82003e-008,1.2483
1.82427e-008,1.2548
1.82852e-008,1.2597
1.83276e-008,1.2593
1.83700e-008,1.2582
1.84125e-008,1.2588
1.84549e-008,1.2613
1.84973e-008,1.2647
1.85397e-008,1.2638
1.85822e-008,1.2613
1.86246e-008,1.2612
1.86670e-008,1.2650
1.87094e-008,1.2709
1.87518e-008,1.2719
1.87943e-008,1.2671
1.88367e-008,1.2619
1.88791e-008,1.2603
1.89216e-008,1.2628
1.89640e-008,1.2652
1.90064e-008,1.2647
1.90488e-008,1.2632
1.90912e-008,1.2632
1.91337e-008,1.2356
1.91761e-008,1.0286
1.92185e-008,0.8126
1.92610e-008,0.6382
1.93034e-008,0.4999
1.93458e-008,0.4005
1.93882e-008,0.3416
1.94307e-008,0.2995
1.94731e-008,0.2766
1.95155e-008,0.2753
1.95579e-008,0.2691
1.96003e-008,0.2695
1.96428e-008,0.2592
1.96852e-008,0.2575
1.97276e-008,0.2820
1.97701e-008,0.3060
1.98125e-008,0.3117
1.98549e-008,0.2894
1.98973e-008,0.2482
1.99397e-008,0.2270
1.99822e-008,0.2226
2.00246e-008,0.2206
2.00670e-008,0.2203
2.01095e-008,0.2181
2.01519e-008,0.2164
2.01943e-008,0.2186
2.02367e-008,0.2190
2.02792e-008,0.2162
2.03216e-008,0.2152
2.03640e-008,0.2145
2.04064e-008,0.2162
2.04488e-008,0.2191
2.04913e-008,0.2179
2.05337e-008,0.2128
2.05761e-008,0.2069
2.06186e-008,0.2065
2.06610e-008,0.2123
2.07034e-008,0.2170
2.07458e-008,0.2176
2.07882e-008,0.2158
2.08307e-008,0.2143
2.08731e-008,0.2150
2.09155e-008,0.2160
2.09580e-008,0.2152
2.10004e-008,0.2163
2.10428e-008,0.3369
2.10852e-008,0.5249
2.11277e-008,0.7186
2.11701e-008,0.8932
2.12125e-008,1.0047
2.12549e-008,1.0763
2.12973e-008,1.1306
2.13398e-008,1.1734
2.13822e-008,1.1902
2.14246e-008,1.2006
2.14671e-008,1.1961
2.15095e-008,1.2043
2.15519e-008,1.2145
2.15943e-008,1.2056
2.16367e-008,1.1861
2.16792e-008,1.1676
2.17216e-008,1.1709
2.17640e-008,1.2035
2.18064e-008,1.2344
2.18489e-008,1.2505
2.18913e-008,1.2528
2.19337e-008,1.2287
2.19762e-008,1.0547
2.20186e-008,0.8128
2.20610e-008,0.6465
2.21034e-008,0.5084
2.21458e-008,0.4086
2.21883e-008,0.3449
2.22307e-008,0.3018
2.22731e-008,0.2744
2.23156e-008,0.2746
2.23580e-008,0.2681
2.24004e-008,0.2692
2.24428e-008,0.2647
2.24852e-008,0.2613
2.25277e-008,0.2830
2.25701e-008,0.3072
2.26125e-008,0.3121
2.26549e-008,0.2921
2.26974e-008,0.2502
