.HEADER
..NAMES
Time,V U1.K23
.DATA
0.0e+000,0.2154
4.24e-011,0.2154
8.49e-011,0.2154
1.273e-010,0.2154
1.697e-010,0.2154
2.121e-010,0.2154
2.545e-010,0.2154
2.970e-010,0.2154
3.394e-010,0.2154
3.818e-010,0.2154
4.242e-010,0.2154
4.667e-010,0.2154
5.091e-010,0.2154
5.515e-010,0.2154
5.940e-010,0.2154
6.364e-010,0.2154
6.788e-010,0.2154
7.212e-010,0.2154
7.636e-010,0.2154
8.061e-010,0.2154
8.485e-010,0.2214
8.909e-010,0.3565
9.333e-010,0.5431
9.758e-010,0.7409
1.0182e-009,0.9073
1.0606e-009,1.0154
1.1030e-009,1.0842
1.1455e-009,1.1366
1.1879e-009,1.1760
1.2303e-009,1.1906
1.2728e-009,1.2002
1.3152e-009,1.1971
1.3576e-009,1.2073
1.4000e-009,1.2153
1.4425e-009,1.2040
1.4849e-009,1.1841
1.5273e-009,1.1672
1.5697e-009,1.1740
1.6121e-009,1.2078
1.6546e-009,1.2371
1.6970e-009,1.2518
1.7394e-009,1.2531
1.7819e-009,1.2494
1.8243e-009,1.2524
1.8667e-009,1.2579
1.9091e-009,1.2598
1.9516e-009,1.2594
1.9940e-009,1.2598
2.0364e-009,1.2612
2.0788e-009,1.2643
2.1213e-009,1.2643
2.1637e-009,1.2616
2.2061e-009,1.2608
2.2485e-009,1.2637
2.2910e-009,1.2697
2.3334e-009,1.2728
2.3758e-009,1.2697
2.4182e-009,1.2645
2.4606e-009,1.2613
2.5031e-009,1.2620
2.5455e-009,1.2646
2.5879e-009,1.2654
2.6303e-009,1.2644
2.6728e-009,1.2638
2.7152e-009,1.2642
2.7576e-009,1.2648
2.8000e-009,1.2650
2.8425e-009,1.2643
2.8849e-009,1.2640
2.9273e-009,1.2646
2.9698e-009,1.2654
3.0122e-009,1.2656
3.0546e-009,1.2646
3.0970e-009,1.2635
3.1395e-009,1.2633
3.1819e-009,1.2642
3.2243e-009,1.2652
3.2667e-009,1.2653
3.3092e-009,1.2647
3.3516e-009,1.2642
3.3940e-009,1.2644
3.4364e-009,1.2647
3.4789e-009,1.2648
3.5213e-009,1.2645
3.5637e-009,1.2643
3.6061e-009,1.2645
3.6485e-009,1.2559
3.6910e-009,1.1234
3.7334e-009,0.8832
3.7758e-009,0.7071
3.8183e-009,0.5512
3.8607e-009,0.4352
3.9031e-009,0.3625
3.9455e-009,0.3146
3.9879e-009,0.2807
4.0304e-009,0.2780
4.0728e-009,0.2716
4.1152e-009,0.2706
4.1577e-009,0.2642
4.2001e-009,0.2541
4.2425e-009,0.2711
4.2849e-009,0.2992
4.3274e-009,0.3126
4.3698e-009,0.3020
4.4122e-009,0.2636
4.4546e-009,0.2324
4.4970e-009,0.2245
4.5395e-009,0.2215
4.5819e-009,0.2206
4.6243e-009,0.2193
4.6668e-009,0.2169
4.7092e-009,0.2180
4.7516e-009,0.2199
4.7940e-009,0.2174
4.8364e-009,0.2154
4.8789e-009,0.2148
4.9213e-009,0.2154
4.9637e-009,0.2187
5.0062e-009,0.2193
5.0486e-009,0.2152
5.0910e-009,0.2090
5.1334e-009,0.2059
5.1758e-009,0.2101
5.2183e-009,0.2160
5.2607e-009,0.2180
5.3031e-009,0.2168
5.3456e-009,0.2149
5.3880e-009,0.2149
5.4304e-009,0.2161
5.4728e-009,0.2159
5.5153e-009,0.2148
5.5577e-009,0.2765
5.6001e-009,0.4548
5.6425e-009,0.6340
5.6849e-009,0.8364
5.7274e-009,0.9667
5.7698e-009,1.0517
5.8122e-009,1.1110
5.8547e-009,1.1599
5.8971e-009,1.1854
5.9395e-009,1.1989
5.9819e-009,1.1980
6.0243e-009,1.1995
6.0668e-009,1.2129
6.1092e-009,1.2111
6.1516e-009,1.1944
6.1941e-009,1.1737
6.2365e-009,1.1657
6.2789e-009,1.1894
6.3213e-009,1.2246
6.3637e-009,1.2462
6.4062e-009,1.2537
6.4486e-009,1.2458
6.4910e-009,1.1444
6.5335e-009,0.8953
6.5759e-009,0.7121
6.6183e-009,0.5547
6.6607e-009,0.4430
6.7032e-009,0.3665
6.7456e-009,0.3176
6.7880e-009,0.2819
6.8304e-009,0.2744
6.8728e-009,0.2707
6.9153e-009,0.2684
6.9577e-009,0.2681
7.0001e-009,0.2603
7.0426e-009,0.2728
7.0850e-009,0.2997
7.1274e-009,0.3130
7.1698e-009,0.3035
7.2122e-009,0.2670
7.2547e-009,0.2315
7.2971e-009,0.2233
7.3395e-009,0.2229
7.3820e-009,0.2218
7.4244e-009,0.2618
7.4668e-009,0.4453
7.5092e-009,0.6300
7.5516e-009,0.8329
7.5941e-009,0.9624
7.6365e-009,1.0475
7.6789e-009,1.1069
7.7213e-009,1.1572
7.7638e-009,1.1865
7.8062e-009,1.1980
7.8486e-009,1.1976
7.8910e-009,1.1926
7.9335e-009,1.2044
7.9759e-009,1.2078
8.0183e-009,1.1952
8.0608e-009,1.1762
8.1032e-009,1.1656
8.1456e-009,1.1863
8.1880e-009,1.2240
8.2305e-009,1.2467
8.2729e-009,1.2535
8.3153e-009,1.2489
8.3577e-009,1.1855
8.4001e-009,0.9471
8.4426e-009,0.7465
8.4850e-009,0.5823
8.5274e-009,0.4624
8.5698e-009,0.3776
8.6123e-009,0.3258
8.6547e-009,0.2885
8.6971e-009,0.2745
8.7396e-009,0.2732
8.7820e-009,0.2685
8.8244e-009,0.2693
8.8668e-009,0.2615
8.9093e-009,0.2680
8.9517e-009,0.2939
8.9941e-009,0.3110
9.0365e-009,0.3071
9.0790e-009,0.2763
9.1214e-009,0.2372
9.1638e-009,0.2237
9.2062e-009,0.2227
9.2486e-009,0.2217
9.2911e-009,0.2371
9.3335e-009,0.4050
9.3759e-009,0.5965
9.4183e-009,0.7972
9.4608e-009,0.9419
9.5032e-009,1.0338
9.5456e-009,1.0964
9.5881e-009,1.1480
9.6305e-009,1.1834
9.6729e-009,1.1955
9.7153e-009,1.1993
9.7578e-009,1.1922
9.8002e-009,1.2018
9.8426e-009,1.2087
9.8850e-009,1.1983
9.9274e-009,1.1797
9.9699e-009,1.1658
1.00123e-008,1.1797
1.00547e-008,1.2173
1.00971e-008,1.2436
1.01396e-008,1.2531
1.01820e-008,1.2504
1.02244e-008,1.2479
1.02668e-008,1.2538
1.03093e-008,1.2595
1.03517e-008,1.2598
1.03941e-008,1.2584
1.04366e-008,1.2588
1.04790e-008,1.2609
1.05214e-008,1.2645
1.05638e-008,1.2644
1.06063e-008,1.2617
1.06487e-008,1.2612
1.06911e-008,1.2643
1.07335e-008,1.2703
1.07759e-008,1.2725
1.08184e-008,1.2683
1.08608e-008,1.2628
1.09032e-008,1.2604
1.09456e-008,1.2624
1.09881e-008,1.2652
1.10305e-008,1.2651
1.10729e-008,1.2636
1.11154e-008,1.2633
1.11578e-008,1.2641
1.12002e-008,1.2649
1.12426e-008,1.2649
1.12851e-008,1.2640
1.13275e-008,1.2637
1.13699e-008,1.2644
1.14123e-008,1.2652
1.14548e-008,1.2653
1.14972e-008,1.2642
1.15396e-008,1.2631
1.15820e-008,1.2631
1.16244e-008,1.2642
1.16669e-008,1.2652
1.17093e-008,1.2651
1.17517e-008,1.2642
1.17941e-008,1.2638
1.18366e-008,1.2642
1.18790e-008,1.2646
1.19214e-008,1.2646
1.19639e-008,1.2642
1.20063e-008,1.2640
1.20487e-008,1.2643
1.20911e-008,1.2645
1.21336e-008,1.2644
1.21760e-008,1.2642
1.22184e-008,1.2640
1.22608e-008,1.2641
1.23032e-008,1.2644
1.23457e-008,1.2646
1.23881e-008,1.2644
1.24305e-008,1.2642
1.24729e-008,1.2641
1.25154e-008,1.2642
1.25578e-008,1.2644
1.26002e-008,1.2644
1.26427e-008,1.2642
1.26851e-008,1.2642
1.27275e-008,1.2642
1.27699e-008,1.2643
1.28124e-008,1.2643
1.28548e-008,1.2642
1.28972e-008,1.2642
1.29396e-008,1.2642
1.29821e-008,1.2643
1.30245e-008,1.2643
1.30669e-008,1.2642
1.31093e-008,1.2642
1.31517e-008,1.2642
1.31942e-008,1.2642
1.32366e-008,1.2643
1.32790e-008,1.2643
1.33214e-008,1.2642
1.33639e-008,1.2642
1.34063e-008,1.2642
1.34487e-008,1.2642
1.34912e-008,1.2642
1.35336e-008,1.2642
1.35760e-008,1.2642
1.36184e-008,1.2642
1.36609e-008,1.2642
1.37033e-008,1.2642
1.37457e-008,1.2642
1.37881e-008,1.2642
1.38306e-008,1.2642
1.38730e-008,1.2642
1.39154e-008,1.2642
1.39578e-008,1.2642
1.40002e-008,1.2642
1.40427e-008,1.2642
1.40851e-008,1.2642
1.41275e-008,1.2642
1.41699e-008,1.2642
1.42124e-008,1.2642
1.42548e-008,1.2642
1.42972e-008,1.2642
1.43397e-008,1.2642
1.43821e-008,1.2642
1.44245e-008,1.2642
1.44669e-008,1.2642
1.45094e-008,1.2642
1.45518e-008,1.2642
1.45942e-008,1.2642
1.46366e-008,1.2642
1.46790e-008,1.2642
1.47215e-008,1.2641
1.47639e-008,1.2642
1.48063e-008,1.2642
1.48487e-008,1.2641
1.48912e-008,1.2595
1.49336e-008,1.1594
1.49760e-008,0.9198
1.50185e-008,0.7380
1.50609e-008,0.5740
1.51033e-008,0.4517
1.51457e-008,0.3720
1.51881e-008,0.3216
1.52306e-008,0.2841
1.52730e-008,0.2777
1.53154e-008,0.2726
1.53579e-008,0.2701
1.54003e-008,0.2659
1.54427e-008,0.2540
1.54851e-008,0.2661
1.55276e-008,0.2946
1.55700e-008,0.3113
1.56124e-008,0.3057
1.56548e-008,0.2707
1.56972e-008,0.2354
1.57397e-008,0.2247
1.57821e-008,0.2216
1.58245e-008,0.2202
1.58670e-008,0.2830
1.59094e-008,0.4732
1.59518e-008,0.6550
1.59942e-008,0.8539
1.60366e-008,0.9754
1.60791e-008,1.0556
1.61215e-008,1.1136
1.61639e-008,1.1620
1.62064e-008,1.1878
1.62488e-008,1.2001
1.62912e-008,1.1975
1.63336e-008,1.1943
1.63761e-008,1.2053
1.64185e-008,1.2051
1.64609e-008,1.1912
1.65033e-008,1.1732
1.65457e-008,1.1665
1.65882e-008,1.1915
1.66306e-008,1.2278
1.66730e-008,1.2478
1.67155e-008,1.2530
1.67579e-008,1.2462
1.68003e-008,1.1611
1.68427e-008,0.9165
1.68851e-008,0.7268
1.69276e-008,0.5654
1.69700e-008,0.4502
1.70124e-008,0.3703
1.70548e-008,0.3205
1.70973e-008,0.2842
1.71397e-008,0.2744
1.71821e-008,0.2719
1.72246e-008,0.2687
1.72670e-008,0.2687
1.73094e-008,0.2605
1.73518e-008,0.2701
1.73942e-008,0.2965
1.74367e-008,0.3114
1.74791e-008,0.3048
1.75215e-008,0.2709
1.75640e-008,0.2337
1.76064e-008,0.2231
1.76488e-008,0.2223
1.76912e-008,0.2214
1.77336e-008,0.2530
1.77761e-008,0.4307
1.78185e-008,0.6169
1.78609e-008,0.8195
1.79033e-008,0.9544
1.79458e-008,1.0423
1.79882e-008,1.1027
1.80306e-008,1.1532
1.80731e-008,1.1849
1.81155e-008,1.1968
1.81579e-008,1.1982
1.82003e-008,1.1924
1.82427e-008,1.2032
1.82852e-008,1.2076
1.83276e-008,1.1959
1.83700e-008,1.1773
1.84125e-008,1.1657
1.84549e-008,1.1837
1.84973e-008,1.2211
1.85397e-008,1.2450
1.85822e-008,1.2531
1.86246e-008,1.2496
1.86670e-008,1.2481
1.87094e-008,1.2544
1.87518e-008,1.2595
1.87943e-008,1.2594
1.88367e-008,1.2583
1.88791e-008,1.2588
1.89216e-008,1.2611
1.89640e-008,1.2646
1.90064e-008,1.2639
1.90488e-008,1.2614
1.90912e-008,1.2612
1.91337e-008,1.2647
1.91761e-008,1.2706
1.92185e-008,1.2719
1.92610e-008,1.2674
1.93034e-008,1.2621
1.93458e-008,1.2603
1.93882e-008,1.2626
1.94307e-008,1.2651
1.94731e-008,1.2648
1.95155e-008,1.2633
1.95579e-008,1.2631
1.96003e-008,1.2403
1.96428e-008,1.0415
1.96852e-008,0.8211
1.97276e-008,0.6464
1.97701e-008,0.5059
1.98125e-008,0.4043
1.98549e-008,0.3439
1.98973e-008,0.3014
1.99397e-008,0.2768
1.99822e-008,0.2756
2.00246e-008,0.2691
2.00670e-008,0.2696
2.01095e-008,0.2599
2.01519e-008,0.2568
2.01943e-008,0.2805
2.02367e-008,0.3052
2.02792e-008,0.3119
2.03216e-008,0.2912
2.03640e-008,0.2500
2.04064e-008,0.2275
2.04488e-008,0.2227
2.04913e-008,0.2206
2.05337e-008,0.2204
2.05761e-008,0.2183
2.06186e-008,0.2163
2.06610e-008,0.2185
2.07034e-008,0.2191
2.07458e-008,0.2163
2.07882e-008,0.2152
2.08307e-008,0.2145
2.08731e-008,0.2160
2.09155e-008,0.2190
2.09580e-008,0.2180
2.10004e-008,0.2131
2.10428e-008,0.2071
2.10852e-008,0.2063
2.11277e-008,0.2120
2.11701e-008,0.2169
2.12125e-008,0.2176
2.12549e-008,0.2159
2.12973e-008,0.2144
2.13398e-008,0.2150
2.13822e-008,0.2160
2.14246e-008,0.2153
2.14671e-008,0.2163
2.15095e-008,0.3291
2.15519e-008,0.5165
2.15943e-008,0.7080
2.16367e-008,0.8865
2.16792e-008,1.0003
2.17216e-008,1.0733
2.17640e-008,1.1284
2.18064e-008,1.1719
2.18489e-008,1.1896
2.18913e-008,1.2006
2.19337e-008,1.1962
2.19762e-008,1.2036
2.20186e-008,1.2143
2.20610e-008,1.2063
2.21034e-008,1.1871
2.21458e-008,1.1683
2.21883e-008,1.1701
2.22307e-008,1.2017
2.22731e-008,1.2332
2.23156e-008,1.2500
2.23580e-008,1.2530
2.24004e-008,1.2309
2.24428e-008,1.0666
2.24852e-008,0.8221
2.25277e-008,0.6548
2.25701e-008,0.5141
2.26125e-008,0.4127
2.26549e-008,0.3477
2.26974e-008,0.3037
