.HEADER
..NAMES
Time,V U1.N24
.DATA
0.0e+000,1.2617
4.24e-011,1.2617
8.49e-011,1.2617
1.273e-010,1.2617
1.697e-010,1.2617
2.121e-010,1.2617
2.545e-010,1.2617
2.970e-010,1.2617
3.394e-010,1.2617
3.818e-010,1.2543
4.242e-010,1.1344
4.667e-010,0.9012
5.091e-010,0.7228
5.515e-010,0.5404
5.940e-010,0.4048
6.364e-010,0.3406
6.788e-010,0.3041
7.212e-010,0.2867
7.636e-010,0.2673
8.061e-010,0.2484
8.485e-010,0.2343
8.909e-010,0.2358
9.333e-010,0.2529
9.758e-010,0.2816
1.0182e-009,0.3145
1.0606e-009,0.3276
1.1030e-009,0.3049
1.1455e-009,0.2749
1.1879e-009,0.2383
1.2303e-009,0.2082
1.2728e-009,0.2074
1.3152e-009,0.2147
1.3576e-009,0.3027
1.4000e-009,0.5029
1.4425e-009,0.6813
1.4849e-009,0.8828
1.5273e-009,1.0157
1.5697e-009,1.0908
1.6121e-009,1.1428
1.6546e-009,1.1719
1.6970e-009,1.1988
1.7394e-009,1.2179
1.7819e-009,1.2303
1.8243e-009,1.2289
1.8667e-009,1.2142
1.9091e-009,1.1919
1.9516e-009,1.1650
1.9940e-009,1.1511
2.0364e-009,1.1686
2.0788e-009,1.1944
2.1213e-009,1.2280
2.1637e-009,1.2569
2.2061e-009,1.2610
2.2485e-009,1.2510
2.2910e-009,1.1366
2.3334e-009,0.8815
2.3758e-009,0.7012
2.4182e-009,0.5277
2.4606e-009,0.4017
2.5031e-009,0.3381
2.5455e-009,0.3009
2.5879e-009,0.2782
2.6303e-009,0.2605
2.6728e-009,0.2431
2.7152e-009,0.2338
2.7576e-009,0.2404
2.8000e-009,0.2623
2.8425e-009,0.2907
2.8849e-009,0.3195
2.9273e-009,0.3309
2.9698e-009,0.3023
3.0122e-009,0.2687
3.0546e-009,0.2355
3.0970e-009,0.2068
3.1395e-009,0.2073
3.1819e-009,0.2170
3.2243e-009,0.2706
3.2667e-009,0.4610
3.3092e-009,0.6383
3.3516e-009,0.8467
3.3940e-009,0.9923
3.4364e-009,1.0799
3.4789e-009,1.1352
3.5213e-009,1.1690
3.5637e-009,1.1921
3.6061e-009,1.2127
3.6485e-009,1.2260
3.6910e-009,1.2287
3.7334e-009,1.2178
3.7758e-009,1.1980
3.8183e-009,1.1729
3.8607e-009,1.1528
3.9031e-009,1.1644
3.9455e-009,1.1881
3.9879e-009,1.2196
4.0304e-009,1.2524
4.0728e-009,1.2619
4.1152e-009,1.2581
4.1577e-009,1.2540
4.2001e-009,1.2499
4.2425e-009,1.2521
4.2849e-009,1.2569
4.3274e-009,1.2590
4.3698e-009,1.2598
4.4122e-009,1.2576
4.4546e-009,1.2551
4.4970e-009,1.2546
4.5395e-009,1.2568
4.5819e-009,1.2611
4.6243e-009,1.2661
4.6668e-009,1.2704
4.7092e-009,1.2703
4.7516e-009,1.2664
4.7940e-009,1.2625
4.8364e-009,1.2590
4.8789e-009,1.2579
4.9213e-009,1.2600
4.9637e-009,1.2619
5.0062e-009,1.2626
5.0486e-009,1.2624
5.0910e-009,1.2613
5.1334e-009,1.2609
5.1758e-009,1.2611
5.2183e-009,1.2618
5.2607e-009,1.2627
5.3031e-009,1.2631
5.3456e-009,1.2629
5.3880e-009,1.2622
5.4304e-009,1.2614
5.4728e-009,1.2607
5.5153e-009,1.2606
5.5577e-009,1.2613
5.6001e-009,1.2620
5.6425e-009,1.2624
5.6849e-009,1.2625
5.7274e-009,1.2621
5.7698e-009,1.2617
5.8122e-009,1.2616
5.8547e-009,1.2617
5.8971e-009,1.2619
5.9395e-009,1.2621
5.9819e-009,1.2620
6.0243e-009,1.2367
6.0668e-009,1.0379
6.1092e-009,0.8267
6.1516e-009,0.6419
6.1941e-009,0.4786
6.2365e-009,0.3700
6.2789e-009,0.3237
6.3213e-009,0.2941
6.3637e-009,0.2808
6.4062e-009,0.2590
6.4486e-009,0.2415
6.4910e-009,0.2325
6.5335e-009,0.2412
6.5759e-009,0.2642
6.6183e-009,0.2953
6.6607e-009,0.3250
6.7032e-009,0.3210
6.7456e-009,0.2929
6.7880e-009,0.2610
6.8304e-009,0.2232
6.8728e-009,0.2049
6.9153e-009,0.2112
6.9577e-009,0.2234
7.0001e-009,0.3808
7.0426e-009,0.5781
7.0850e-009,0.7725
7.1274e-009,0.9434
7.1698e-009,1.0537
7.2122e-009,1.1156
7.2547e-009,1.1589
7.2971e-009,1.1812
7.3395e-009,1.2084
7.3820e-009,1.2239
7.4244e-009,1.2320
7.4668e-009,1.2243
7.5092e-009,1.2054
7.5516e-009,1.1817
7.5941e-009,1.1555
7.6365e-009,1.1559
7.6789e-009,1.1788
7.7213e-009,1.2073
7.7638e-009,1.2425
7.8062e-009,1.2615
7.8486e-009,1.2592
7.8910e-009,1.2308
7.9335e-009,1.0351
7.9759e-009,0.7980
8.0183e-009,0.6267
8.0608e-009,0.4707
8.1032e-009,0.3666
8.1456e-009,0.3211
8.1880e-009,0.2879
8.2305e-009,0.2732
8.2729e-009,0.2521
8.3153e-009,0.2385
8.3577e-009,0.2342
8.4001e-009,0.2484
8.4426e-009,0.2740
8.4850e-009,0.3026
8.5274e-009,0.3290
8.5698e-009,0.3225
8.6123e-009,0.2877
8.6547e-009,0.2557
8.6971e-009,0.2213
8.7396e-009,0.2036
8.7820e-009,0.2123
8.8244e-009,0.2183
8.8668e-009,0.2201
8.9093e-009,0.2218
8.9517e-009,0.2184
8.9941e-009,0.2160
9.0365e-009,0.2165
9.0790e-009,0.2185
9.1214e-009,0.2225
9.1638e-009,0.2244
9.2062e-009,0.2227
9.2486e-009,0.2179
9.2911e-009,0.2122
9.3335e-009,0.2072
9.3759e-009,0.2060
9.4183e-009,0.2106
9.4608e-009,0.2154
9.5032e-009,0.2185
9.5456e-009,0.2205
9.5881e-009,0.2188
9.6305e-009,0.2161
9.6729e-009,0.2158
9.7153e-009,0.2161
9.7578e-009,0.2168
9.8002e-009,0.2175
9.8426e-009,0.2173
9.8850e-009,0.2166
9.9274e-009,0.2157
9.9699e-009,0.2150
1.00123e-008,0.2150
1.00547e-008,0.2158
1.00971e-008,0.2167
1.01396e-008,0.2175
1.01820e-008,0.2178
1.02244e-008,0.2172
1.02668e-008,0.2164
1.03093e-008,0.2160
