.HEADER
..NAMES
Time,V U1.N24
.DATA
0.0e+000,1.2617
4.24e-011,1.2617
8.49e-011,1.2617
1.273e-010,1.2617
1.697e-010,1.2617
2.121e-010,1.2617
2.545e-010,1.2617
2.970e-010,1.2617
3.394e-010,1.2617
3.818e-010,1.2617
4.242e-010,1.2617
4.667e-010,1.2617
5.091e-010,1.2617
5.515e-010,1.2617
5.940e-010,1.2617
6.364e-010,1.2617
6.788e-010,1.2617
7.212e-010,1.2617
7.636e-010,1.2617
8.061e-010,1.2617
8.485e-010,1.2557
8.909e-010,1.1445
9.333e-010,0.9110
9.758e-010,0.7322
1.0182e-009,0.5481
1.0606e-009,0.4099
1.1030e-009,0.3429
1.1455e-009,0.3057
1.1879e-009,0.2872
1.2303e-009,0.2684
1.2728e-009,0.2492
1.3152e-009,0.2346
1.3576e-009,0.2353
1.4000e-009,0.2517
1.4425e-009,0.2801
1.4849e-009,0.3130
1.5273e-009,0.3280
1.5697e-009,0.3063
1.6121e-009,0.2765
1.6546e-009,0.2402
1.6970e-009,0.2090
1.7394e-009,0.2070
1.7819e-009,0.2145
1.8243e-009,0.2929
1.8667e-009,0.4927
1.9091e-009,0.6708
1.9516e-009,0.8748
1.9940e-009,1.0103
2.0364e-009,1.0877
2.0788e-009,1.1405
2.1213e-009,1.1710
2.1637e-009,1.1973
2.2061e-009,1.2172
2.2485e-009,1.2300
2.2910e-009,1.2295
2.3334e-009,1.2154
2.3758e-009,1.1931
2.4182e-009,1.1664
2.4606e-009,1.1508
2.5031e-009,1.1673
2.5455e-009,1.1929
2.5879e-009,1.2261
2.6303e-009,1.2562
2.6728e-009,1.2613
2.7152e-009,1.2531
2.7576e-009,1.1479
2.8000e-009,0.8930
2.8425e-009,0.7095
2.8849e-009,0.5349
2.9273e-009,0.4066
2.9698e-009,0.3400
3.0122e-009,0.3026
3.0546e-009,0.2787
3.0970e-009,0.2616
3.1395e-009,0.2437
3.1819e-009,0.2339
3.2243e-009,0.2395
3.2667e-009,0.2610
3.3092e-009,0.2894
3.3516e-009,0.3182
3.3940e-009,0.3314
3.4364e-009,0.3041
3.4789e-009,0.2702
3.5213e-009,0.2372
3.5637e-009,0.2076
3.6061e-009,0.2068
3.6485e-009,0.2168
3.6910e-009,0.2614
3.7334e-009,0.4504
3.7758e-009,0.6294
3.8183e-009,0.8374
3.8607e-009,0.9860
3.9031e-009,1.0768
3.9455e-009,1.1328
3.9879e-009,1.1680
4.0304e-009,1.1906
4.0728e-009,1.2119
4.1152e-009,1.2255
4.1577e-009,1.2291
4.2001e-009,1.2187
4.2425e-009,1.1991
4.2849e-009,1.1744
4.3274e-009,1.1529
4.3698e-009,1.1632
4.4122e-009,1.1867
4.4546e-009,1.2177
4.4970e-009,1.2513
4.5395e-009,1.2620
4.5819e-009,1.2583
4.6243e-009,1.2543
4.6668e-009,1.2500
4.7092e-009,1.2518
4.7516e-009,1.2568
4.7940e-009,1.2589
4.8364e-009,1.2598
4.8789e-009,1.2578
4.9213e-009,1.2552
4.9637e-009,1.2546
5.0062e-009,1.2566
5.0486e-009,1.2608
5.0910e-009,1.2658
5.1334e-009,1.2703
5.1758e-009,1.2704
5.2183e-009,1.2666
5.2607e-009,1.2627
5.3031e-009,1.2591
5.3456e-009,1.2578
5.3880e-009,1.2599
5.4304e-009,1.2618
5.4728e-009,1.2625
5.5153e-009,1.2624
5.5577e-009,1.2614
5.6001e-009,1.2609
5.6425e-009,1.2611
5.6849e-009,1.2618
5.7274e-009,1.2627
5.7698e-009,1.2631
5.8122e-009,1.2629
5.8547e-009,1.2622
5.8971e-009,1.2614
5.9395e-009,1.2607
5.9819e-009,1.2606
6.0243e-009,1.2612
6.0668e-009,1.2620
6.1092e-009,1.2624
6.1516e-009,1.2625
6.1941e-009,1.2621
6.2365e-009,1.2617
6.2789e-009,1.2616
6.3213e-009,1.2617
6.3637e-009,1.2619
6.4062e-009,1.2621
6.4486e-009,1.2620
6.4910e-009,1.2413
6.5335e-009,1.0503
6.5759e-009,0.8349
6.6183e-009,0.6514
6.6607e-009,0.4856
6.7032e-009,0.3732
6.7456e-009,0.3253
6.7880e-009,0.2950
6.8304e-009,0.2817
6.8728e-009,0.2599
6.9153e-009,0.2423
6.9577e-009,0.2326
7.0001e-009,0.2405
7.0426e-009,0.2628
7.0850e-009,0.2936
7.1274e-009,0.3241
7.1698e-009,0.3221
7.2122e-009,0.2943
7.2547e-009,0.2628
7.2971e-009,0.2248
7.3395e-009,0.2050
7.3820e-009,0.2108
7.4244e-009,0.2189
7.4668e-009,0.3697
7.5092e-009,0.5692
7.5516e-009,0.7613
7.5941e-009,0.9365
7.6365e-009,1.0499
7.6789e-009,1.1128
7.7213e-009,1.1573
7.7638e-009,1.1798
7.8062e-009,1.2075
7.8486e-009,1.2232
7.8910e-009,1.2320
7.9335e-009,1.2250
7.9759e-009,1.2066
8.0183e-009,1.1831
8.0608e-009,1.1563
8.1032e-009,1.1549
8.1456e-009,1.1775
8.1880e-009,1.2056
8.2305e-009,1.2409
8.2729e-009,1.2614
8.3153e-009,1.2595
8.3577e-009,1.2333
8.4001e-009,1.0478
8.4426e-009,0.8063
8.4850e-009,0.6355
8.5274e-009,0.4771
8.5698e-009,0.3700
8.6123e-009,0.3231
8.6547e-009,0.2892
8.6971e-009,0.2739
8.7396e-009,0.2529
8.7820e-009,0.2390
8.8244e-009,0.2340
8.8668e-009,0.2474
8.9093e-009,0.2727
8.9517e-009,0.3012
8.9941e-009,0.3281
9.0365e-009,0.3239
9.0790e-009,0.2893
9.1214e-009,0.2573
9.1638e-009,0.2229
9.2062e-009,0.2036
9.2486e-009,0.2118
9.2911e-009,0.2183
9.3335e-009,0.2200
9.3759e-009,0.2219
9.4183e-009,0.2186
9.4608e-009,0.2161
9.5032e-009,0.2164
9.5456e-009,0.2184
9.5881e-009,0.2223
9.6305e-009,0.2244
9.6729e-009,0.2229
9.7153e-009,0.2182
9.7578e-009,0.2125
9.8002e-009,0.2073
9.8426e-009,0.2059
9.8850e-009,0.2103
9.9274e-009,0.2152
9.9699e-009,0.2183
1.00123e-008,0.2205
1.00547e-008,0.2189
1.00971e-008,0.2161
1.01396e-008,0.2158
1.01820e-008,0.2161
1.02244e-008,0.2168
1.02668e-008,0.2175
1.03093e-008,0.2173
