.HEADER
..NAMES
Time,V U1.M24
.DATA
0.0e+000,0.2161
4.24e-011,0.2161
8.49e-011,0.2161
1.273e-010,0.2161
1.697e-010,0.2161
2.121e-010,0.2161
2.545e-010,0.2161
2.970e-010,0.2161
3.394e-010,0.2161
3.818e-010,0.2161
4.242e-010,0.2161
4.667e-010,0.2161
5.091e-010,0.2161
5.515e-010,0.2161
5.940e-010,0.2161
6.364e-010,0.2161
6.788e-010,0.2161
7.212e-010,0.2161
7.636e-010,0.2161
8.061e-010,0.2161
8.485e-010,0.2161
8.909e-010,0.2981
9.333e-010,0.4749
9.758e-010,0.6568
1.0182e-009,0.8652
1.0606e-009,1.0070
1.1030e-009,1.0901
1.1455e-009,1.1423
1.1879e-009,1.1642
1.2303e-009,1.1715
1.2728e-009,1.1738
1.3152e-009,1.1743
1.3576e-009,1.1833
1.4000e-009,1.2138
1.4425e-009,1.2223
1.4849e-009,1.2097
1.5273e-009,1.1981
1.5697e-009,1.1773
1.6121e-009,1.1869
1.6546e-009,1.2199
1.6970e-009,1.2458
1.7394e-009,1.2657
1.7819e-009,1.2581
1.8243e-009,1.1249
1.8667e-009,0.8728
1.9091e-009,0.6909
1.9516e-009,0.5132
1.9940e-009,0.3915
2.0364e-009,0.3331
2.0788e-009,0.2989
2.1213e-009,0.2969
2.1637e-009,0.3074
2.2061e-009,0.3024
2.2485e-009,0.2934
2.2910e-009,0.2775
2.3334e-009,0.2436
2.3758e-009,0.2505
2.4182e-009,0.2873
2.4606e-009,0.2949
2.5031e-009,0.3000
2.5455e-009,0.2785
2.5879e-009,0.2331
2.6303e-009,0.2134
2.6728e-009,0.2066
2.7152e-009,0.2084
2.7576e-009,0.2816
2.8000e-009,0.4731
2.8425e-009,0.6546
2.8849e-009,0.8704
2.9273e-009,1.0075
2.9698e-009,1.0853
3.0122e-009,1.1367
3.0546e-009,1.1548
3.0970e-009,1.1634
3.1395e-009,1.1762
3.1819e-009,1.1796
3.2243e-009,1.1835
3.2667e-009,1.2115
3.3092e-009,1.2182
3.3516e-009,1.2017
3.3940e-009,1.1961
3.4364e-009,1.1783
3.4789e-009,1.1863
3.5213e-009,1.2210
3.5637e-009,1.2465
3.6061e-009,1.2660
3.6485e-009,1.2645
3.6910e-009,1.1663
3.7334e-009,0.9182
3.7758e-009,0.7268
3.8183e-009,0.5433
3.8607e-009,0.4144
3.9031e-009,0.3442
3.9455e-009,0.3048
3.9879e-009,0.2950
4.0304e-009,0.3048
4.0728e-009,0.3031
4.1152e-009,0.2939
4.1577e-009,0.2833
4.2001e-009,0.2507
4.2425e-009,0.2454
4.2849e-009,0.2820
4.3274e-009,0.2932
4.3698e-009,0.2989
4.4122e-009,0.2849
4.4546e-009,0.2412
4.4970e-009,0.2158
4.5395e-009,0.2077
4.5819e-009,0.2076
4.6243e-009,0.2149
4.6668e-009,0.2180
4.7092e-009,0.2202
4.7516e-009,0.2257
4.7940e-009,0.2228
4.8364e-009,0.2166
4.8789e-009,0.2152
4.9213e-009,0.2080
4.9637e-009,0.2070
5.0062e-009,0.2185
5.0486e-009,0.2211
5.0910e-009,0.2190
5.1334e-009,0.2162
5.1758e-009,0.2095
5.2183e-009,0.2093
5.2607e-009,0.2138
5.3031e-009,0.2167
5.3456e-009,0.2189
5.3880e-009,0.2178
5.4304e-009,0.2162
5.4728e-009,0.2173
5.5153e-009,0.2167
5.5577e-009,0.2328
5.6001e-009,0.3845
5.6425e-009,0.5601
5.6849e-009,0.7724
5.7274e-009,0.9457
5.7698e-009,1.0572
5.8122e-009,1.1207
5.8547e-009,1.1571
5.8971e-009,1.1675
5.9395e-009,1.1704
5.9819e-009,1.1761
6.0243e-009,1.1763
6.0668e-009,1.1989
6.1092e-009,1.2229
6.1516e-009,1.2144
6.1941e-009,1.2058
6.2365e-009,1.1859
6.2789e-009,1.1765
6.3213e-009,1.2029
6.3637e-009,1.2340
6.4062e-009,1.2570
6.4486e-009,1.2690
6.4910e-009,1.2641
6.5335e-009,1.2579
6.5759e-009,1.2563
6.6183e-009,1.2545
6.6607e-009,1.2554
6.7032e-009,1.2589
6.7456e-009,1.2596
6.7880e-009,1.2655
6.8304e-009,1.2718
6.8728e-009,1.2673
6.9153e-009,1.2634
6.9577e-009,1.2603
7.0001e-009,1.2587
7.0426e-009,1.2652
7.0850e-009,1.2698
7.1274e-009,1.2692
7.1698e-009,1.2666
7.2122e-009,1.2622
7.2547e-009,1.2607
7.2971e-009,1.2623
7.3395e-009,1.2632
7.3820e-009,1.2635
7.4244e-009,1.2644
7.4668e-009,1.2639
7.5092e-009,1.2645
7.5516e-009,1.2657
7.5941e-009,1.2640
7.6365e-009,1.2627
7.6789e-009,1.2626
7.7213e-009,1.2628
7.7638e-009,1.2646
7.8062e-009,1.2654
7.8486e-009,1.2645
7.8910e-009,1.2636
7.9335e-009,1.2629
7.9759e-009,1.2631
8.0183e-009,1.2642
8.0608e-009,1.2644
8.1032e-009,1.2640
8.1456e-009,1.2640
8.1880e-009,1.2638
8.2305e-009,1.2638
8.2729e-009,1.2642
8.3153e-009,1.2638
8.3577e-009,1.2634
8.4001e-009,1.2636
8.4426e-009,1.2638
8.4850e-009,1.2642
8.5274e-009,1.2643
8.5698e-009,1.2638
8.6123e-009,1.2636
8.6547e-009,1.2636
8.6971e-009,1.2637
8.7396e-009,1.2640
8.7820e-009,1.2640
8.8244e-009,1.2637
8.8668e-009,1.2637
8.9093e-009,1.2638
8.9517e-009,1.2638
8.9941e-009,1.2639
9.0365e-009,1.2638
9.0790e-009,1.2637
9.1214e-009,1.2638
9.1638e-009,1.2638
9.2062e-009,1.2639
9.2486e-009,1.2639
9.2911e-009,1.2637
9.3335e-009,1.2637
9.3759e-009,1.2637
9.4183e-009,1.2638
9.4608e-009,1.2638
9.5032e-009,1.2638
9.5456e-009,1.2637
9.5881e-009,1.2637
9.6305e-009,1.2638
9.6729e-009,1.2638
9.7153e-009,1.2638
9.7578e-009,1.2637
9.8002e-009,1.2637
9.8426e-009,1.2637
9.8850e-009,1.2637
9.9274e-009,1.2638
9.9699e-009,1.2637
1.00123e-008,1.2637
1.00547e-008,1.2637
1.00971e-008,1.2637
1.01396e-008,1.2637
1.01820e-008,1.2637
1.02244e-008,1.2637
1.02668e-008,1.2637
1.03093e-008,1.2637
1.03517e-008,1.2637
1.03941e-008,1.2637
1.04366e-008,1.2637
1.04790e-008,1.2637
1.05214e-008,1.2637
1.05638e-008,1.2637
1.06063e-008,1.2637
1.06487e-008,1.2637
1.06911e-008,1.2637
1.07335e-008,1.2637
1.07759e-008,1.2637
1.08184e-008,1.2637
1.08608e-008,1.2637
1.09032e-008,1.2637
1.09456e-008,1.2637
1.09881e-008,1.2636
1.10305e-008,1.2637
1.10729e-008,1.2637
1.11154e-008,1.2637
1.11578e-008,1.2579
1.12002e-008,1.1510
1.12426e-008,0.9192
1.12851e-008,0.7390
1.13275e-008,0.5533
1.13699e-008,0.4140
1.14123e-008,0.3442
1.14548e-008,0.3044
1.14972e-008,0.2915
1.15396e-008,0.2990
1.15820e-008,0.3001
1.16244e-008,0.2951
1.16669e-008,0.2859
1.17093e-008,0.2512
1.17517e-008,0.2463
1.17941e-008,0.2764
1.18366e-008,0.2851
1.18790e-008,0.2969
1.19214e-008,0.2855
1.19639e-008,0.2430
1.20063e-008,0.2191
1.20487e-008,0.2079
1.20911e-008,0.2059
1.21336e-008,0.2130
1.21760e-008,0.2177
1.22184e-008,0.2198
1.22608e-008,0.2245
1.23032e-008,0.2221
1.23457e-008,0.2173
1.23881e-008,0.2160
1.24305e-008,0.2075
1.24729e-008,0.2068
1.25154e-008,0.2174
1.25578e-008,0.2192
1.26002e-008,0.2191
1.26427e-008,0.2169
1.26851e-008,0.2097
1.27275e-008,0.2092
1.27699e-008,0.2130
1.28124e-008,0.2158
1.28548e-008,0.2182
