.HEADER
..NAMES
Time,V U1.P24
.DATA
0.0e+000,0.2170
4.24e-011,0.2170
8.49e-011,0.2170
1.273e-010,0.2170
1.697e-010,0.2170
2.121e-010,0.2170
2.545e-010,0.2170
2.970e-010,0.2170
3.394e-010,0.2170
3.818e-010,0.2170
4.242e-010,0.3091
4.667e-010,0.4943
5.091e-010,0.6919
5.515e-010,0.9127
5.940e-010,1.0533
6.364e-010,1.1289
6.788e-010,1.1722
7.212e-010,1.1807
7.636e-010,1.2003
8.061e-010,1.2072
8.485e-010,1.2126
8.909e-010,1.2216
9.333e-010,1.2319
9.758e-010,1.2420
1.0182e-009,1.2454
1.0606e-009,1.2359
1.1030e-009,1.2173
1.1455e-009,1.1921
1.1879e-009,1.1721
1.2303e-009,1.1741
1.2728e-009,1.1893
1.3152e-009,1.2100
1.3576e-009,1.1054
1.4000e-009,0.8530
1.4425e-009,0.6458
1.4849e-009,0.4399
1.5273e-009,0.3207
1.5697e-009,0.2833
1.6121e-009,0.2627
1.6546e-009,0.2723
1.6970e-009,0.2687
1.7394e-009,0.2636
1.7819e-009,0.2621
1.8243e-009,0.2524
1.8667e-009,0.2353
1.9091e-009,0.2257
1.9516e-009,0.2256
1.9940e-009,0.2443
2.0364e-009,0.2711
2.0788e-009,0.3017
2.1213e-009,0.3236
2.1637e-009,0.3114
2.2061e-009,0.2825
2.2485e-009,0.2442
2.2910e-009,0.2864
2.3334e-009,0.4876
2.3758e-009,0.7037
2.4182e-009,0.9521
2.4606e-009,1.0975
2.5031e-009,1.1579
2.5455e-009,1.1860
2.5879e-009,1.1861
2.6303e-009,1.1974
2.6728e-009,1.2065
2.7152e-009,1.2124
2.7576e-009,1.2200
2.8000e-009,1.2349
2.8425e-009,1.2467
2.8849e-009,1.2539
2.9273e-009,1.2409
2.9698e-009,1.2163
3.0122e-009,1.1857
3.0546e-009,1.1594
3.0970e-009,1.1618
3.1395e-009,1.1835
3.1819e-009,1.2196
3.2243e-009,1.2552
3.2667e-009,1.2702
3.3092e-009,1.2667
3.3516e-009,1.2537
3.3940e-009,1.2426
3.4364e-009,1.2430
3.4789e-009,1.2504
3.5213e-009,1.2585
3.5637e-009,1.2644
3.6061e-009,1.2650
3.6485e-009,1.2638
3.6910e-009,1.2628
3.7334e-009,1.2612
3.7758e-009,1.2594
3.8183e-009,1.2576
3.8607e-009,1.2580
3.9031e-009,1.2614
3.9455e-009,1.2660
3.9879e-009,1.2703
4.0304e-009,1.2717
4.0728e-009,1.2694
4.1152e-009,1.2645
4.1577e-009,1.2000
4.2001e-009,0.9652
4.2425e-009,0.7635
4.2849e-009,0.5576
4.3274e-009,0.4055
4.3698e-009,0.3259
4.4122e-009,0.2859
4.4546e-009,0.2734
4.4970e-009,0.2718
4.5395e-009,0.2640
4.5819e-009,0.2611
4.6243e-009,0.2581
4.6668e-009,0.2419
4.7092e-009,0.2342
4.7516e-009,0.2297
4.7940e-009,0.2410
4.8364e-009,0.2603
4.8789e-009,0.2841
4.9213e-009,0.3088
4.9637e-009,0.3086
5.0062e-009,0.2892
5.0486e-009,0.2610
5.0910e-009,0.2567
5.1334e-009,0.4279
5.1758e-009,0.6364
5.2183e-009,0.8846
5.2607e-009,1.0563
5.3031e-009,1.1428
5.3456e-009,1.1802
5.3880e-009,1.1906
5.4304e-009,1.1938
5.4728e-009,1.2058
5.5153e-009,1.2118
5.5577e-009,1.2164
5.6001e-009,1.2310
5.6425e-009,1.2413
5.6849e-009,1.2532
5.7274e-009,1.2452
5.7698e-009,1.2245
5.8122e-009,1.1964
5.8547e-009,1.1666
5.8971e-009,1.1597
5.9395e-009,1.1756
5.9819e-009,1.2068
6.0243e-009,1.2035
6.0668e-009,0.9848
6.1092e-009,0.7482
6.1516e-009,0.5244
6.1941e-009,0.3625
6.2365e-009,0.2905
6.2789e-009,0.2701
6.3213e-009,0.2653
6.3637e-009,0.2754
6.4062e-009,0.2667
6.4486e-009,0.2625
6.4910e-009,0.2597
6.5335e-009,0.2414
6.5759e-009,0.2296
6.6183e-009,0.2212
6.6607e-009,0.2326
6.7032e-009,0.2575
6.7456e-009,0.2876
6.7880e-009,0.3182
6.8304e-009,0.3226
6.8728e-009,0.2981
6.9153e-009,0.2626
6.9577e-009,0.2228
7.0001e-009,0.2009
7.0426e-009,0.2043
7.0850e-009,0.2167
7.1274e-009,0.2300
7.1698e-009,0.2333
7.2122e-009,0.2275
7.2547e-009,0.2212
7.2971e-009,0.2154
7.3395e-009,0.2132
7.3820e-009,0.2145
7.4244e-009,0.2155
7.4668e-009,0.2171
7.5092e-009,0.2198
7.5516e-009,0.2221
7.5941e-009,0.2224
7.6365e-009,0.2192
7.6789e-009,0.2146
7.7213e-009,0.2101
7.7638e-009,0.2075
7.8062e-009,0.2091
7.8486e-009,0.2132
7.8910e-009,0.2177
7.9335e-009,0.2208
7.9759e-009,0.2208
8.0183e-009,0.2187
8.0608e-009,0.2162
8.1032e-009,0.2147
8.1456e-009,0.2150
8.1880e-009,0.2162
8.2305e-009,0.2172
8.2729e-009,0.2179
8.3153e-009,0.2177
8.3577e-009,0.2172
8.4001e-009,0.2168
8.4426e-009,0.2165
8.4850e-009,0.2162
8.5274e-009,0.2159
8.5698e-009,0.2161
8.6123e-009,0.2166
8.6547e-009,0.2173
8.6971e-009,0.2178
8.7396e-009,0.2178
8.7820e-009,0.2174
8.8244e-009,0.2172
8.8668e-009,0.3273
8.9093e-009,0.5151
8.9517e-009,0.7218
8.9941e-009,0.9327
9.0365e-009,1.0655
9.0790e-009,1.1361
9.1214e-009,1.1750
9.1638e-009,1.1819
9.2062e-009,1.2015
9.2486e-009,1.2076
9.2911e-009,1.2128
9.3335e-009,1.2231
9.3759e-009,1.2325
9.4183e-009,1.2434
9.4608e-009,1.2447
9.5032e-009,1.2341
9.5456e-009,1.2145
9.5881e-009,1.1886
9.6305e-009,1.1710
9.6729e-009,1.1748
9.7153e-009,1.1919
9.7578e-009,1.2093
9.8002e-009,1.0785
9.8426e-009,0.8261
9.8850e-009,0.6180
9.9274e-009,0.4212
9.9699e-009,0.3122
1.00123e-008,0.2802
1.00547e-008,0.2614
1.00971e-008,0.2735
