.HEADER
..NAMES
Time,V U1.F25
.DATA
0.0e+000,1.2617
4.24e-011,1.2617
8.49e-011,1.2617
1.273e-010,1.2617
1.697e-010,1.2617
2.121e-010,1.2617
2.545e-010,1.2617
2.970e-010,1.2617
3.394e-010,1.2617
3.818e-010,1.2617
4.242e-010,1.2617
4.667e-010,1.2617
5.091e-010,1.2617
5.515e-010,1.2617
5.940e-010,1.2617
6.364e-010,1.2617
6.788e-010,1.2617
7.212e-010,1.2617
7.636e-010,1.2617
8.061e-010,1.2617
8.485e-010,1.2617
8.909e-010,1.2258
9.333e-010,1.0165
9.758e-010,0.8147
1.0182e-009,0.6266
1.0606e-009,0.4679
1.1030e-009,0.3628
1.1455e-009,0.3196
1.1879e-009,0.3004
1.2303e-009,0.2822
1.2728e-009,0.2780
1.3152e-009,0.2730
1.3576e-009,0.2696
1.4000e-009,0.2658
1.4425e-009,0.2498
1.4849e-009,0.2296
1.5273e-009,0.2434
1.5697e-009,0.2714
1.6121e-009,0.2792
1.6546e-009,0.2907
1.6970e-009,0.2941
1.7394e-009,0.2614
1.7819e-009,0.2135
1.8243e-009,0.2125
1.8667e-009,0.3685
1.9091e-009,0.5665
1.9516e-009,0.7916
1.9940e-009,0.9722
2.0364e-009,1.0788
2.0788e-009,1.1310
2.1213e-009,1.1559
2.1637e-009,1.1787
2.2061e-009,1.1876
2.2485e-009,1.1962
2.2910e-009,1.1953
2.3334e-009,1.1992
2.3758e-009,1.2181
2.4182e-009,1.2398
2.4606e-009,1.2366
2.5031e-009,1.2170
2.5455e-009,1.1981
2.5879e-009,1.1730
2.6303e-009,1.1708
2.6728e-009,1.2019
2.7152e-009,1.2470
2.7576e-009,1.2710
2.8000e-009,1.2841
2.8425e-009,1.2777
2.8849e-009,1.2618
2.9273e-009,1.2516
2.9698e-009,1.2514
3.0122e-009,1.2564
3.0546e-009,1.2596
3.0970e-009,1.2605
3.1395e-009,1.2590
3.1819e-009,1.2612
3.2243e-009,1.2656
3.2667e-009,1.2662
3.3092e-009,1.2620
3.3516e-009,1.2597
3.3940e-009,1.2576
3.4364e-009,1.2562
3.4789e-009,1.2615
3.5213e-009,1.2692
3.5637e-009,1.2705
3.6061e-009,1.2663
3.6485e-009,1.2625
3.6910e-009,1.2446
3.7334e-009,1.0833
3.7758e-009,0.8634
3.8183e-009,0.6867
3.8607e-009,0.5145
3.9031e-009,0.3894
3.9455e-009,0.3265
3.9879e-009,0.3057
4.0304e-009,0.2858
4.0728e-009,0.2807
4.1152e-009,0.2743
4.1577e-009,0.2701
4.2001e-009,0.2673
4.2425e-009,0.2553
4.2849e-009,0.2335
4.3274e-009,0.2368
4.3698e-009,0.2672
4.4122e-009,0.2776
4.4546e-009,0.2859
4.4970e-009,0.2950
4.5395e-009,0.2742
4.5819e-009,0.2250
4.6243e-009,0.2031
4.6668e-009,0.3139
4.7092e-009,0.5111
4.7516e-009,0.7190
4.7940e-009,0.9276
4.8364e-009,1.0537
4.8789e-009,1.1211
4.9213e-009,1.1498
4.9637e-009,1.1730
5.0062e-009,1.1845
5.0486e-009,1.1952
5.0910e-009,1.1957
5.1334e-009,1.1968
5.1758e-009,1.2118
5.2183e-009,1.2348
5.2607e-009,1.2405
5.3031e-009,1.2224
5.3456e-009,1.2046
5.3880e-009,1.1796
5.4304e-009,1.1683
5.4728e-009,1.1901
5.5153e-009,1.2351
5.5577e-009,1.2658
5.6001e-009,1.2814
5.6425e-009,1.2819
5.6849e-009,1.2663
5.7274e-009,1.2540
5.7698e-009,1.2505
5.8122e-009,1.2553
5.8547e-009,1.2587
5.8971e-009,1.2608
5.9395e-009,1.2593
5.9819e-009,1.2604
6.0243e-009,1.2645
6.0668e-009,1.2667
6.1092e-009,1.2633
6.1516e-009,1.2603
6.1941e-009,1.2585
6.2365e-009,1.2562
6.2789e-009,1.2594
6.3213e-009,1.2674
6.3637e-009,1.2710
6.4062e-009,1.2676
6.4486e-009,1.2638
6.4910e-009,1.2593
6.5335e-009,1.2563
6.5759e-009,1.2578
6.6183e-009,1.2614
6.6607e-009,1.2637
6.7032e-009,1.2636
6.7456e-009,1.2624
6.7880e-009,1.2612
6.8304e-009,1.2618
6.8728e-009,1.2626
6.9153e-009,1.2622
6.9577e-009,1.2615
7.0001e-009,1.2615
7.0426e-009,1.2611
7.0850e-009,1.2611
7.1274e-009,1.2627
7.1698e-009,1.2637
7.2122e-009,1.2626
7.2547e-009,1.2613
7.2971e-009,1.2610
7.3395e-009,1.2607
7.3820e-009,1.2612
7.4244e-009,1.2625
7.4668e-009,1.2630
7.5092e-009,1.2625
7.5516e-009,1.2618
7.5941e-009,1.2614
7.6365e-009,1.2615
7.6789e-009,1.2620
7.7213e-009,1.2621
7.7638e-009,1.2619
7.8062e-009,1.2619
7.8486e-009,1.2618
7.8910e-009,1.2617
7.9335e-009,1.2619
7.9759e-009,1.2623
8.0183e-009,1.2621
8.0608e-009,1.2616
8.1032e-009,1.2616
8.1456e-009,1.2617
8.1880e-009,1.2618
8.2305e-009,1.2620
8.2729e-009,1.2622
8.3153e-009,1.2620
8.3577e-009,1.2617
8.4001e-009,1.2617
8.4426e-009,1.2618
8.4850e-009,1.2619
8.5274e-009,1.2620
8.5698e-009,1.2619
8.6123e-009,1.2619
8.6547e-009,1.2618
8.6971e-009,1.2618
8.7396e-009,1.2618
8.7820e-009,1.2620
8.8244e-009,1.2619
8.8668e-009,1.2618
8.9093e-009,1.2618
8.9517e-009,1.2619
8.9941e-009,1.2619
9.0365e-009,1.2619
9.0790e-009,1.2619
9.1214e-009,1.2619
9.1638e-009,1.2618
9.2062e-009,1.2618
9.2486e-009,1.2618
9.2911e-009,1.2619
9.3335e-009,1.2619
9.3759e-009,1.2619
9.4183e-009,1.2618
9.4608e-009,1.2618
9.5032e-009,1.2618
9.5456e-009,1.2618
9.5881e-009,1.2619
9.6305e-009,1.2619
9.6729e-009,1.2618
9.7153e-009,1.2618
9.7578e-009,1.2618
9.8002e-009,1.2618
9.8426e-009,1.2618
9.8850e-009,1.2618
9.9274e-009,1.2619
9.9699e-009,1.2618
1.00123e-008,1.2618
1.00547e-008,1.2618
1.00971e-008,1.2618
1.01396e-008,1.2618
1.01820e-008,1.2618
1.02244e-008,1.2618
1.02668e-008,1.2618
1.03093e-008,1.2618
