.HEADER
..NAMES
Time,V U1.T24
.DATA
0.0e+000,0.2170
4.24e-011,0.2170
8.49e-011,0.2170
1.273e-010,0.2170
1.697e-010,0.2170
2.121e-010,0.2170
2.545e-010,0.2170
2.970e-010,0.2170
3.394e-010,0.2170
3.818e-010,0.2170
4.242e-010,0.2975
4.667e-010,0.4788
5.091e-010,0.6693
5.515e-010,0.8953
5.940e-010,1.0434
6.364e-010,1.1265
6.788e-010,1.1757
7.212e-010,1.1903
7.636e-010,1.2032
8.061e-010,1.2088
8.485e-010,1.1980
8.909e-010,1.1848
9.333e-010,1.1815
9.758e-010,1.1781
1.0182e-009,1.1954
1.0606e-009,1.2201
1.1030e-009,1.2333
1.1455e-009,1.2282
1.1879e-009,1.2078
1.2303e-009,1.1849
1.2728e-009,1.1774
1.3152e-009,1.1948
1.3576e-009,1.2258
1.4000e-009,1.2545
1.4425e-009,1.2673
1.4849e-009,1.2636
1.5273e-009,1.2563
1.5697e-009,1.2518
1.6121e-009,1.2512
1.6546e-009,1.2562
1.6970e-009,1.2590
1.7394e-009,1.2579
1.7819e-009,1.2587
1.8243e-009,1.2606
1.8667e-009,1.2638
1.9091e-009,1.2687
1.9516e-009,1.2705
1.9940e-009,1.2687
2.0364e-009,1.2646
2.0788e-009,1.2596
2.1213e-009,1.2585
2.1637e-009,1.2615
2.2061e-009,1.2657
2.2485e-009,1.2670
2.2910e-009,1.1846
2.3334e-009,0.9438
2.3758e-009,0.7447
2.4182e-009,0.5361
2.4606e-009,0.3870
2.5031e-009,0.3148
2.5455e-009,0.2774
2.5879e-009,0.2638
2.6303e-009,0.2682
2.6728e-009,0.2636
2.7152e-009,0.2779
2.7576e-009,0.3007
2.8000e-009,0.2982
2.8425e-009,0.2970
2.8849e-009,0.2815
2.9273e-009,0.2502
2.9698e-009,0.2358
3.0122e-009,0.2506
3.0546e-009,0.2747
3.0970e-009,0.2965
3.1395e-009,0.3014
3.1819e-009,0.2788
3.2243e-009,0.2428
3.2667e-009,0.2151
3.3092e-009,0.2049
3.3516e-009,0.2112
3.3940e-009,0.2195
3.4364e-009,0.2227
3.4789e-009,0.2257
3.5213e-009,0.2231
3.5637e-009,0.2193
3.6061e-009,0.2220
3.6485e-009,0.2219
3.6910e-009,0.2177
3.7334e-009,0.2150
3.7758e-009,0.2107
3.8183e-009,0.2081
3.8607e-009,0.2112
3.9031e-009,0.2161
3.9455e-009,0.2211
3.9879e-009,0.2222
4.0304e-009,0.2179
4.0728e-009,0.2135
4.1152e-009,0.2105
4.1577e-009,0.2106
4.2001e-009,0.2153
4.2425e-009,0.2192
4.2849e-009,0.2196
4.3274e-009,0.2187
4.3698e-009,0.2171
4.4122e-009,0.2160
4.4546e-009,0.2163
4.4970e-009,0.2171
4.5395e-009,0.2173
4.5819e-009,0.2168
4.6243e-009,0.2160
4.6668e-009,0.2159
4.7092e-009,0.2166
4.7516e-009,0.2173
4.7940e-009,0.2181
4.8364e-009,0.2183
4.8789e-009,0.2173
4.9213e-009,0.2162
4.9637e-009,0.2159
5.0062e-009,0.2160
5.0486e-009,0.2168
5.0910e-009,0.2346
5.1334e-009,0.3866
5.1758e-009,0.5695
5.2183e-009,0.7950
5.2607e-009,0.9777
5.3031e-009,1.0929
5.3456e-009,1.1550
5.3880e-009,1.1882
5.4304e-009,1.1943
5.4728e-009,1.2087
5.5153e-009,1.2044
5.5577e-009,1.1897
5.6001e-009,1.1832
5.6425e-009,1.1781
5.6849e-009,1.1848
5.7274e-009,1.2080
5.7698e-009,1.2289
5.8122e-009,1.2322
5.8547e-009,1.2192
5.8971e-009,1.1949
5.9395e-009,1.1783
5.9819e-009,1.1834
6.0243e-009,1.2100
6.0668e-009,1.2413
6.1092e-009,1.2632
6.1516e-009,1.2666
6.1941e-009,1.2595
6.2365e-009,1.2537
6.2789e-009,1.2505
6.3213e-009,1.2533
6.3637e-009,1.2582
6.4062e-009,1.2583
6.4486e-009,1.2578
6.4910e-009,1.2596
6.5335e-009,1.2617
6.5759e-009,1.2662
6.6183e-009,1.2701
6.6607e-009,1.2697
6.7032e-009,1.2668
6.7456e-009,1.2618
6.7880e-009,1.2583
6.8304e-009,1.2596
6.8728e-009,1.2634
6.9153e-009,1.2677
6.9577e-009,1.2533
7.0001e-009,1.0695
7.0426e-009,0.8359
7.0850e-009,0.6347
7.1274e-009,0.4520
7.1698e-009,0.3395
7.2122e-009,0.2938
7.2547e-009,0.2635
7.2971e-009,0.2690
7.3395e-009,0.2640
7.3820e-009,0.2683
7.4244e-009,0.2914
7.4668e-009,0.3016
7.5092e-009,0.2968
7.5516e-009,0.2922
7.5941e-009,0.2657
7.6365e-009,0.2385
7.6789e-009,0.2410
7.7213e-009,0.2622
7.7638e-009,0.2870
7.8062e-009,0.3018
7.8486e-009,0.2931
7.8910e-009,0.2601
7.9335e-009,0.2268
7.9759e-009,0.2073
8.0183e-009,0.2067
8.0608e-009,0.2161
8.1032e-009,0.2213
8.1456e-009,0.2243
8.1880e-009,0.2251
8.2305e-009,0.2203
8.2729e-009,0.2201
8.3153e-009,0.2228
8.3577e-009,0.2196
8.4001e-009,0.2162
8.4426e-009,0.2129
8.4850e-009,0.2085
8.5274e-009,0.2091
8.5698e-009,0.2135
8.6123e-009,0.2187
8.6547e-009,0.2224
8.6971e-009,0.2202
8.7396e-009,0.2153
8.7820e-009,0.2117
8.8244e-009,0.2098
8.8668e-009,0.2125
8.9093e-009,0.2177
8.9517e-009,0.2196
8.9941e-009,0.2191
9.0365e-009,0.2179
9.0790e-009,0.2163
9.1214e-009,0.2159
9.1638e-009,0.2167
9.2062e-009,0.2172
9.2486e-009,0.2170
9.2911e-009,0.2163
9.3335e-009,0.2157
9.3759e-009,0.2161
9.4183e-009,0.2169
9.4608e-009,0.2176
9.5032e-009,0.2182
9.5456e-009,0.2178
9.5881e-009,0.2166
9.6305e-009,0.2159
9.6729e-009,0.2158
9.7153e-009,0.2163
9.7578e-009,0.2173
9.8002e-009,0.3012
9.8426e-009,0.4829
9.8850e-009,0.6738
9.9274e-009,0.8981
9.9699e-009,1.0450
1.00123e-008,1.1274
1.00547e-008,1.1764
1.00971e-008,1.1903
