.HEADER
..NAMES
Time,V U1.T24
.DATA
0.0e+000,0.2170
4.24e-011,0.2170
8.49e-011,0.2170
1.273e-010,0.2170
1.697e-010,0.2170
2.121e-010,0.2170
2.545e-010,0.2170
2.970e-010,0.2170
3.394e-010,0.2170
3.818e-010,0.2170
4.242e-010,0.2170
4.667e-010,0.2170
5.091e-010,0.2170
5.515e-010,0.2170
5.940e-010,0.2170
6.364e-010,0.2170
6.788e-010,0.2170
7.212e-010,0.2170
7.636e-010,0.2170
8.061e-010,0.2170
8.485e-010,0.2170
8.909e-010,0.2896
9.333e-010,0.4695
9.758e-010,0.6570
1.0182e-009,0.8863
1.0606e-009,1.0377
1.1030e-009,1.1232
1.1455e-009,1.1738
1.1879e-009,1.1902
1.2303e-009,1.2023
1.2728e-009,1.2091
1.3152e-009,1.1989
1.3576e-009,1.1850
1.4000e-009,1.1818
1.4425e-009,1.1778
1.4849e-009,1.1942
1.5273e-009,1.2190
1.5697e-009,1.2332
1.6121e-009,1.2289
1.6546e-009,1.2091
1.6970e-009,1.1857
1.7394e-009,1.1771
1.7819e-009,1.1934
1.8243e-009,1.2242
1.8667e-009,1.2534
1.9091e-009,1.2672
1.9516e-009,1.2640
1.9940e-009,1.2566
2.0364e-009,1.2519
2.0788e-009,1.2510
2.1213e-009,1.2559
2.1637e-009,1.2591
2.2061e-009,1.2579
2.2485e-009,1.2586
2.2910e-009,1.2605
2.3334e-009,1.2635
2.3758e-009,1.2685
2.4182e-009,1.2706
2.4606e-009,1.2689
2.5031e-009,1.2649
2.5455e-009,1.2598
2.5879e-009,1.2584
2.6303e-009,1.2613
2.6728e-009,1.2655
2.7152e-009,1.2678
2.7576e-009,1.1943
2.8000e-009,0.9556
2.8425e-009,0.7543
2.8849e-009,0.5450
2.9273e-009,0.3926
2.9698e-009,0.3168
3.0122e-009,0.2792
3.0546e-009,0.2633
3.0970e-009,0.2686
3.1395e-009,0.2634
3.1819e-009,0.2767
3.2243e-009,0.3001
3.2667e-009,0.2985
3.3092e-009,0.2971
3.3516e-009,0.2828
3.3940e-009,0.2516
3.4364e-009,0.2357
3.4789e-009,0.2496
3.5213e-009,0.2734
3.5637e-009,0.2958
3.6061e-009,0.3018
3.6485e-009,0.2804
3.6910e-009,0.2444
3.7334e-009,0.2161
3.7758e-009,0.2049
3.8183e-009,0.2107
3.8607e-009,0.2193
3.9031e-009,0.2225
3.9455e-009,0.2256
3.9879e-009,0.2233
4.0304e-009,0.2193
4.0728e-009,0.2218
4.1152e-009,0.2221
4.1577e-009,0.2179
4.2001e-009,0.2152
4.2425e-009,0.2109
4.2849e-009,0.2081
4.3274e-009,0.2110
4.3698e-009,0.2158
4.4122e-009,0.2209
4.4546e-009,0.2223
4.4970e-009,0.2181
4.5395e-009,0.2136
4.5819e-009,0.2106
4.6243e-009,0.2104
4.6668e-009,0.2150
4.7092e-009,0.2191
4.7516e-009,0.2196
4.7940e-009,0.2187
4.8364e-009,0.2172
4.8789e-009,0.2160
4.9213e-009,0.2163
4.9637e-009,0.2171
5.0062e-009,0.2173
5.0486e-009,0.2168
5.0910e-009,0.2160
5.1334e-009,0.2159
5.1758e-009,0.2165
5.2183e-009,0.2173
5.2607e-009,0.2180
5.3031e-009,0.2183
5.3456e-009,0.2173
5.3880e-009,0.2163
5.4304e-009,0.2159
5.4728e-009,0.2160
5.5153e-009,0.2168
5.5577e-009,0.2293
5.6001e-009,0.3766
5.6425e-009,0.5606
5.6849e-009,0.7831
5.7274e-009,0.9703
5.7698e-009,1.0889
5.8122e-009,1.1527
5.8547e-009,1.1876
5.8971e-009,1.1935
5.9395e-009,1.2085
5.9819e-009,1.2050
6.0243e-009,1.1903
6.0668e-009,1.1832
6.1092e-009,1.1783
6.1516e-009,1.1839
6.1941e-009,1.2067
6.2365e-009,1.2283
6.2789e-009,1.2326
6.3213e-009,1.2203
6.3637e-009,1.1960
6.4062e-009,1.1786
6.4486e-009,1.1824
6.4910e-009,1.2084
6.5335e-009,1.2399
6.5759e-009,1.2626
6.6183e-009,1.2668
6.6607e-009,1.2598
6.7032e-009,1.2539
6.7456e-009,1.2506
6.7880e-009,1.2530
6.8304e-009,1.2580
6.8728e-009,1.2584
6.9153e-009,1.2578
6.9577e-009,1.2595
7.0001e-009,1.2616
7.0426e-009,1.2660
7.0850e-009,1.2700
7.1274e-009,1.2698
7.1698e-009,1.2670
7.2122e-009,1.2620
7.2547e-009,1.2583
7.2971e-009,1.2595
7.3395e-009,1.2632
7.3820e-009,1.2675
7.4244e-009,1.2557
7.4668e-009,1.0818
7.5092e-009,0.8449
7.5516e-009,0.6453
7.5941e-009,0.4593
7.6365e-009,0.3430
7.6789e-009,0.2957
7.7213e-009,0.2641
7.7638e-009,0.2686
7.8062e-009,0.2643
7.8486e-009,0.2676
7.8910e-009,0.2902
7.9335e-009,0.3019
7.9759e-009,0.2968
8.0183e-009,0.2930
8.0608e-009,0.2673
8.1032e-009,0.2392
8.1456e-009,0.2402
8.1880e-009,0.2611
8.2305e-009,0.2859
8.2729e-009,0.3016
8.3153e-009,0.2942
8.3577e-009,0.2619
8.4001e-009,0.2282
8.4426e-009,0.2078
8.4850e-009,0.2063
8.5274e-009,0.2157
8.5698e-009,0.2211
8.6123e-009,0.2241
8.6547e-009,0.2253
8.6971e-009,0.2205
8.7396e-009,0.2200
8.7820e-009,0.2228
8.8244e-009,0.2198
8.8668e-009,0.2163
8.9093e-009,0.2132
8.9517e-009,0.2087
8.9941e-009,0.2089
9.0365e-009,0.2133
9.0790e-009,0.2185
9.1214e-009,0.2224
9.1638e-009,0.2205
9.2062e-009,0.2155
9.2486e-009,0.2118
9.2911e-009,0.2098
9.3335e-009,0.2123
9.3759e-009,0.2175
9.4183e-009,0.2196
9.4608e-009,0.2191
9.5032e-009,0.2179
9.5456e-009,0.2164
9.5881e-009,0.2159
9.6305e-009,0.2166
9.6729e-009,0.2172
9.7153e-009,0.2171
9.7578e-009,0.2163
9.8002e-009,0.2157
9.8426e-009,0.2161
9.8850e-009,0.2168
9.9274e-009,0.2176
9.9699e-009,0.2182
1.00123e-008,0.2178
1.00547e-008,0.2166
1.00971e-008,0.2159
