.HEADER
..NAMES
Time,V U1.R23
.DATA
0.0e+000,1.2632
4.24e-011,1.2632
8.49e-011,1.2632
1.273e-010,1.2632
1.697e-010,1.2632
2.121e-010,1.2632
2.545e-010,1.2632
2.970e-010,1.2632
3.394e-010,1.2632
3.818e-010,1.2509
4.242e-010,1.0954
4.667e-010,0.8661
5.091e-010,0.6863
5.515e-010,0.5112
5.940e-010,0.3932
6.364e-010,0.3319
6.788e-010,0.2956
7.212e-010,0.2858
7.636e-010,0.2858
8.061e-010,0.2960
8.485e-010,0.2946
8.909e-010,0.2924
9.333e-010,0.2743
9.758e-010,0.2427
1.0182e-009,0.2578
1.0606e-009,0.2809
1.1030e-009,0.2948
1.1455e-009,0.3034
1.1879e-009,0.2707
1.2303e-009,0.2345
1.2728e-009,0.2183
1.3152e-009,0.2077
1.3576e-009,0.3277
1.4000e-009,0.5341
1.4425e-009,0.7248
1.4849e-009,0.9215
1.5273e-009,1.0406
1.5697e-009,1.1107
1.6121e-009,1.1527
1.6546e-009,1.1702
1.6970e-009,1.1773
1.7394e-009,1.1652
1.7819e-009,1.1736
1.8243e-009,1.1785
1.8667e-009,1.1952
1.9091e-009,1.2261
1.9516e-009,1.2123
1.9940e-009,1.1938
2.0364e-009,1.1770
2.0788e-009,1.1647
2.1213e-009,1.1952
2.1637e-009,1.2306
2.2061e-009,1.2518
2.2485e-009,1.2514
2.2910e-009,1.0999
2.3334e-009,0.8409
2.3758e-009,0.6613
2.4182e-009,0.4917
2.4606e-009,0.3801
2.5031e-009,0.3244
2.5455e-009,0.2917
2.5879e-009,0.2840
2.6303e-009,0.2889
2.6728e-009,0.3062
2.7152e-009,0.2980
2.7576e-009,0.2897
2.8000e-009,0.2703
2.8425e-009,0.2356
2.8849e-009,0.2575
2.9273e-009,0.2915
2.9698e-009,0.3037
3.0122e-009,0.3074
3.0546e-009,0.2690
3.0970e-009,0.2259
3.1395e-009,0.2139
3.1819e-009,0.2085
3.2243e-009,0.2944
3.2667e-009,0.4969
3.3092e-009,0.6781
3.3516e-009,0.8884
3.3940e-009,1.0230
3.4364e-009,1.0992
3.4789e-009,1.1441
3.5213e-009,1.1631
3.5637e-009,1.1763
3.6061e-009,1.1654
3.6485e-009,1.1748
3.6910e-009,1.1810
3.7334e-009,1.1901
3.7758e-009,1.2211
3.8183e-009,1.2139
3.8607e-009,1.1948
3.9031e-009,1.1829
3.9455e-009,1.1669
3.9879e-009,1.1881
4.0304e-009,1.2251
4.0728e-009,1.2466
4.1152e-009,1.2580
4.1577e-009,1.1494
4.2001e-009,0.8864
4.2425e-009,0.6975
4.2849e-009,0.5187
4.3274e-009,0.3965
4.3698e-009,0.3337
4.4122e-009,0.2974
4.4546e-009,0.2857
4.4970e-009,0.2848
4.5395e-009,0.3037
4.5819e-009,0.3003
4.6243e-009,0.2913
4.6668e-009,0.2778
4.7092e-009,0.2401
4.7516e-009,0.2490
4.7940e-009,0.2870
4.8364e-009,0.3013
4.8789e-009,0.3093
4.9213e-009,0.2801
4.9637e-009,0.2315
5.0062e-009,0.2153
5.0486e-009,0.2089
5.0910e-009,0.2597
5.1334e-009,0.4577
5.1758e-009,0.6401
5.2183e-009,0.8552
5.2607e-009,1.0019
5.3031e-009,1.0875
5.3456e-009,1.1377
5.3880e-009,1.1599
5.4304e-009,1.1773
5.4728e-009,1.1666
5.5153e-009,1.1718
5.5577e-009,1.1808
5.6001e-009,1.1860
5.6425e-009,1.2165
5.6849e-009,1.2188
5.7274e-009,1.1968
5.7698e-009,1.1863
5.8122e-009,1.1685
5.8547e-009,1.1807
5.8971e-009,1.2195
5.9395e-009,1.2427
5.9819e-009,1.2608
6.0243e-009,1.2622
6.0668e-009,1.2555
6.1092e-009,1.2533
6.1516e-009,1.2539
6.1941e-009,1.2557
6.2365e-009,1.2537
6.2789e-009,1.2590
6.3213e-009,1.2621
6.3637e-009,1.2644
6.4062e-009,1.2718
6.4486e-009,1.2672
6.4910e-009,1.2615
6.5335e-009,1.2605
6.5759e-009,1.2584
6.6183e-009,1.2644
6.6607e-009,1.2704
6.7032e-009,1.2691
6.7456e-009,1.2664
6.7880e-009,1.2625
6.8304e-009,1.2601
6.8728e-009,1.2612
6.9153e-009,1.2633
6.9577e-009,1.2634
7.0001e-009,1.2627
7.0426e-009,1.2640
7.0850e-009,1.2638
7.1274e-009,1.2641
7.1698e-009,1.2651
7.2122e-009,1.2628
7.2547e-009,1.2620
7.2971e-009,1.2625
7.3395e-009,1.2626
7.3820e-009,1.2645
7.4244e-009,1.2650
7.4668e-009,1.2637
7.5092e-009,1.2629
7.5516e-009,1.2625
7.5941e-009,1.2628
7.6365e-009,1.2637
7.6789e-009,1.2642
7.7213e-009,1.2636
7.7638e-009,1.2633
7.8062e-009,1.2636
7.8486e-009,1.2634
7.8910e-009,1.2636
7.9335e-009,1.2637
7.9759e-009,1.2630
8.0183e-009,1.2632
8.0608e-009,1.2634
8.1032e-009,1.2635
8.1456e-009,1.2639
8.1880e-009,1.2637
8.2305e-009,1.2632
8.2729e-009,1.2632
8.3153e-009,1.2633
8.3577e-009,1.2635
8.4001e-009,1.2637
8.4426e-009,1.2636
8.4850e-009,1.2633
8.5274e-009,1.2633
8.5698e-009,1.2634
8.6123e-009,1.2634
8.6547e-009,1.2635
8.6971e-009,1.2634
8.7396e-009,1.2633
8.7820e-009,1.2634
8.8244e-009,1.2467
8.8668e-009,1.0673
8.9093e-009,0.8456
8.9517e-009,0.6628
8.9941e-009,0.4939
9.0365e-009,0.3845
9.0790e-009,0.3258
9.1214e-009,0.2942
9.1638e-009,0.2848
9.2062e-009,0.2874
9.2486e-009,0.2966
9.2911e-009,0.2943
9.3335e-009,0.2921
9.3759e-009,0.2701
9.4183e-009,0.2420
9.4608e-009,0.2617
9.5032e-009,0.2827
9.5456e-009,0.2969
9.5881e-009,0.3021
9.6305e-009,0.2654
9.6729e-009,0.2323
9.7153e-009,0.2167
9.7578e-009,0.2075
9.8002e-009,0.2125
9.8426e-009,0.2168
9.8850e-009,0.2179
9.9274e-009,0.2192
9.9699e-009,0.2214
1.00123e-008,0.2205
1.00547e-008,0.2161
1.00971e-008,0.2149
1.01396e-008,0.2079
1.01820e-008,0.2047
1.02244e-008,0.2136
1.02668e-008,0.2176
1.03093e-008,0.2191
1.03517e-008,0.2170
1.03941e-008,0.2084
1.04366e-008,0.2071
1.04790e-008,0.2108
1.05214e-008,0.2136
1.05638e-008,0.2168
1.06063e-008,0.2167
1.06487e-008,0.2150
1.06911e-008,0.2146
1.07335e-008,0.3121
1.07759e-008,0.4911
1.08184e-008,0.6771
1.08608e-008,0.8808
1.09032e-008,1.0110
