.HEADER
..NAMES
Time,V U1.R23
.DATA
0.0e+000,1.2632
4.24e-011,1.2632
8.49e-011,1.2632
1.273e-010,1.2632
1.697e-010,1.2632
2.121e-010,1.2632
2.545e-010,1.2632
2.970e-010,1.2632
3.394e-010,1.2632
3.818e-010,1.2632
4.242e-010,1.2632
4.667e-010,1.2632
5.091e-010,1.2632
5.515e-010,1.2632
5.940e-010,1.2632
6.364e-010,1.2632
6.788e-010,1.2632
7.212e-010,1.2632
7.636e-010,1.2632
8.061e-010,1.2632
8.485e-010,1.2524
8.909e-010,1.1066
9.333e-010,0.8748
9.758e-010,0.6960
1.0182e-009,0.5184
1.0606e-009,0.3970
1.1030e-009,0.3346
1.1455e-009,0.2964
1.1879e-009,0.2863
1.2303e-009,0.2853
1.2728e-009,0.2957
1.3152e-009,0.2948
1.3576e-009,0.2926
1.4000e-009,0.2760
1.4425e-009,0.2433
1.4849e-009,0.2563
1.5273e-009,0.2803
1.5697e-009,0.2940
1.6121e-009,0.3038
1.6546e-009,0.2730
1.6970e-009,0.2356
1.7394e-009,0.2190
1.7819e-009,0.2079
1.8243e-009,0.3174
1.8667e-009,0.5243
1.9091e-009,0.7128
1.9516e-009,0.9140
1.9940e-009,1.0365
2.0364e-009,1.1076
2.0788e-009,1.1513
2.1213e-009,1.1690
2.1637e-009,1.1780
2.2061e-009,1.1653
2.2485e-009,1.1731
2.2910e-009,1.1783
2.3334e-009,1.1933
2.3758e-009,1.2256
2.4182e-009,1.2138
2.4606e-009,1.1944
2.5031e-009,1.1781
2.5455e-009,1.1642
2.5879e-009,1.1928
2.6303e-009,1.2295
2.6728e-009,1.2508
2.7152e-009,1.2539
2.7576e-009,1.1122
2.8000e-009,0.8514
2.8425e-009,0.6706
2.8849e-009,0.4983
2.9273e-009,0.3839
2.9698e-009,0.3266
3.0122e-009,0.2927
3.0546e-009,0.2843
3.0970e-009,0.2878
3.1395e-009,0.3060
3.1819e-009,0.2987
3.2243e-009,0.2900
3.2667e-009,0.2721
3.3092e-009,0.2362
3.3516e-009,0.2554
3.3940e-009,0.2907
3.4364e-009,0.3032
3.4789e-009,0.3081
3.5213e-009,0.2716
3.5637e-009,0.2270
3.6061e-009,0.2142
3.6485e-009,0.2086
3.6910e-009,0.2843
3.7334e-009,0.4866
3.7758e-009,0.6675
3.8183e-009,0.8801
3.8607e-009,1.0182
3.9031e-009,1.0962
3.9455e-009,1.1424
3.9879e-009,1.1621
4.0304e-009,1.1767
4.0728e-009,1.1656
4.1152e-009,1.1741
4.1577e-009,1.1810
4.2001e-009,1.1887
4.2425e-009,1.2201
4.2849e-009,1.2154
4.3274e-009,1.1952
4.3698e-009,1.1838
4.4122e-009,1.1670
4.4546e-009,1.1859
4.4970e-009,1.2238
4.5395e-009,1.2456
4.5819e-009,1.2595
4.6243e-009,1.1612
4.6668e-009,0.8984
4.7092e-009,0.7061
4.7516e-009,0.5259
4.7940e-009,0.4012
4.8364e-009,0.3358
4.8789e-009,0.2986
4.9213e-009,0.2860
4.9637e-009,0.2841
5.0062e-009,0.3032
5.0486e-009,0.3011
5.0910e-009,0.2915
5.1334e-009,0.2793
5.1758e-009,0.2413
5.2183e-009,0.2470
5.2607e-009,0.2859
5.3031e-009,0.3008
5.3456e-009,0.3095
5.3880e-009,0.2826
5.4304e-009,0.2331
5.4728e-009,0.2157
5.5153e-009,0.2091
5.5577e-009,0.2500
5.6001e-009,0.4468
5.6425e-009,0.6312
5.6849e-009,0.8456
5.7274e-009,0.9961
5.7698e-009,1.0841
5.8122e-009,1.1359
5.8547e-009,1.1591
5.8971e-009,1.1773
5.9395e-009,1.1670
5.9819e-009,1.1710
6.0243e-009,1.1808
6.0668e-009,1.1850
6.1092e-009,1.2150
6.1516e-009,1.2201
6.1941e-009,1.1975
6.2365e-009,1.1870
6.2789e-009,1.1690
6.3213e-009,1.1787
6.3637e-009,1.2180
6.4062e-009,1.2418
6.4486e-009,1.2602
6.4910e-009,1.2626
6.5335e-009,1.2557
6.5759e-009,1.2533
6.6183e-009,1.2538
6.6607e-009,1.2558
6.7032e-009,1.2536
6.7456e-009,1.2586
6.7880e-009,1.2621
6.8304e-009,1.2641
6.8728e-009,1.2716
6.9153e-009,1.2677
6.9577e-009,1.2616
7.0001e-009,1.2607
7.0426e-009,1.2583
7.0850e-009,1.2639
7.1274e-009,1.2703
7.1698e-009,1.2692
7.2122e-009,1.2666
7.2547e-009,1.2627
7.2971e-009,1.2601
7.3395e-009,1.2611
7.3820e-009,1.2632
7.4244e-009,1.2635
7.4668e-009,1.2627
7.5092e-009,1.2639
7.5516e-009,1.2638
7.5941e-009,1.2641
7.6365e-009,1.2651
7.6789e-009,1.2629
7.7213e-009,1.2619
7.7638e-009,1.2625
7.8062e-009,1.2625
7.8486e-009,1.2644
7.8910e-009,1.2651
7.9335e-009,1.2638
7.9759e-009,1.2629
8.0183e-009,1.2625
8.0608e-009,1.2627
8.1032e-009,1.2636
8.1456e-009,1.2642
8.1880e-009,1.2636
8.2305e-009,1.2633
8.2729e-009,1.2636
8.3153e-009,1.2634
8.3577e-009,1.2636
8.4001e-009,1.2637
8.4426e-009,1.2630
8.4850e-009,1.2631
8.5274e-009,1.2634
8.5698e-009,1.2635
8.6123e-009,1.2639
8.6547e-009,1.2637
8.6971e-009,1.2632
8.7396e-009,1.2632
8.7820e-009,1.2633
8.8244e-009,1.2634
8.8668e-009,1.2637
8.9093e-009,1.2636
8.9517e-009,1.2633
8.9941e-009,1.2633
9.0365e-009,1.2634
9.0790e-009,1.2634
9.1214e-009,1.2635
9.1638e-009,1.2634
9.2062e-009,1.2633
9.2486e-009,1.2634
9.2911e-009,1.2490
9.3335e-009,1.0792
9.3759e-009,0.8540
9.4183e-009,0.6726
9.4608e-009,0.5010
9.5032e-009,0.3881
9.5456e-009,0.3283
9.5881e-009,0.2948
9.6305e-009,0.2853
9.6729e-009,0.2868
9.7153e-009,0.2964
9.7578e-009,0.2945
9.8002e-009,0.2924
9.8426e-009,0.2720
9.8850e-009,0.2422
9.9274e-009,0.2602
9.9699e-009,0.2820
1.00123e-008,0.2961
1.00547e-008,0.3029
1.00971e-008,0.2677
1.01396e-008,0.2333
1.01820e-008,0.2174
1.02244e-008,0.2076
1.02668e-008,0.2122
1.03093e-008,0.2167
1.03517e-008,0.2178
1.03941e-008,0.2192
1.04366e-008,0.2213
1.04790e-008,0.2207
1.05214e-008,0.2162
1.05638e-008,0.2150
1.06063e-008,0.2084
1.06487e-008,0.2045
1.06911e-008,0.2132
1.07335e-008,0.2175
1.07759e-008,0.2190
1.08184e-008,0.2174
1.08608e-008,0.2087
1.09032e-008,0.2070
