.HEADER
..NAMES
Time,V U1.V24
.DATA
0.0e+000,1.2624
4.24e-011,1.2624
8.49e-011,1.2624
1.273e-010,1.2624
1.697e-010,1.2624
2.121e-010,1.2624
2.545e-010,1.2624
2.970e-010,1.2624
3.394e-010,1.2624
3.818e-010,1.2596
4.242e-010,1.1760
4.667e-010,0.9481
5.091e-010,0.7641
5.515e-010,0.5749
5.940e-010,0.4294
6.364e-010,0.3466
6.788e-010,0.3129
7.212e-010,0.2880
7.636e-010,0.2802
8.061e-010,0.2736
8.485e-010,0.2699
8.909e-010,0.2681
9.333e-010,0.2610
9.758e-010,0.2382
1.0182e-009,0.2380
1.0606e-009,0.2669
1.1030e-009,0.2786
1.1455e-009,0.2890
1.1879e-009,0.2956
1.2303e-009,0.2614
1.2728e-009,0.2169
1.3152e-009,0.2051
1.3576e-009,0.1982
1.4000e-009,0.2012
1.4425e-009,0.2138
1.4849e-009,0.2205
1.5273e-009,0.2195
1.5697e-009,0.2189
1.6121e-009,0.2157
1.6546e-009,0.2156
1.6970e-009,0.2167
1.7394e-009,0.2132
1.7819e-009,0.2092
1.8243e-009,0.2143
1.8667e-009,0.2184
1.9091e-009,0.2164
1.9516e-009,0.2180
1.9940e-009,0.2170
2.0364e-009,0.2079
2.0788e-009,0.2066
2.1213e-009,0.2128
2.1637e-009,0.2150
2.2061e-009,0.2174
2.2485e-009,0.2192
2.2910e-009,0.2170
2.3334e-009,0.2149
2.3758e-009,0.2143
2.4182e-009,0.2140
2.4606e-009,0.2153
2.5031e-009,0.2157
2.5455e-009,0.2143
2.5879e-009,0.2144
2.6303e-009,0.2161
2.6728e-009,0.2157
2.7152e-009,0.2151
2.7576e-009,0.2160
2.8000e-009,0.2149
2.8425e-009,0.2132
2.8849e-009,0.2148
2.9273e-009,0.2163
2.9698e-009,0.2158
3.0122e-009,0.2158
3.0546e-009,0.2155
3.0970e-009,0.2146
3.1395e-009,0.2146
3.1819e-009,0.2149
3.2243e-009,0.2333
3.2667e-009,0.3813
3.3092e-009,0.5559
3.3516e-009,0.7667
3.3940e-009,0.9378
3.4364e-009,1.0548
3.4789e-009,1.1161
3.5213e-009,1.1538
3.5637e-009,1.1748
3.6061e-009,1.1895
3.6485e-009,1.1970
3.6910e-009,1.2015
3.7334e-009,1.2049
3.7758e-009,1.2196
3.8183e-009,1.2325
3.8607e-009,1.2225
3.9031e-009,1.2087
3.9455e-009,1.1925
3.9879e-009,1.1787
4.0304e-009,1.1930
4.0728e-009,1.2292
4.1152e-009,1.2542
4.1577e-009,1.2721
4.2001e-009,1.2733
4.2425e-009,1.2636
4.2849e-009,1.2558
4.3274e-009,1.2547
4.3698e-009,1.2558
4.4122e-009,1.2596
4.4546e-009,1.2609
4.4970e-009,1.2605
4.5395e-009,1.2617
4.5819e-009,1.2654
4.6243e-009,1.2652
4.6668e-009,1.2623
4.7092e-009,1.2612
4.7516e-009,1.2594
4.7940e-009,1.2593
4.8364e-009,1.2655
4.8789e-009,1.2696
4.9213e-009,1.2678
4.9637e-009,1.2653
5.0062e-009,1.2612
5.0486e-009,1.2586
5.0910e-009,1.2598
5.1334e-009,1.2620
5.1758e-009,1.2633
5.2183e-009,1.2641
5.2607e-009,1.2631
5.3031e-009,1.2622
5.3456e-009,1.2627
5.3880e-009,1.2633
5.4304e-009,1.2626
5.4728e-009,1.2624
5.5153e-009,1.2624
5.5577e-009,1.2619
5.6001e-009,1.2625
5.6425e-009,1.2640
5.6849e-009,1.2636
5.7274e-009,1.2625
5.7698e-009,1.2621
5.8122e-009,1.2617
5.8547e-009,1.2621
5.8971e-009,1.2630
5.9395e-009,1.2633
5.9819e-009,1.2632
6.0243e-009,1.2628
6.0668e-009,1.2623
6.1092e-009,1.2624
6.1516e-009,1.2628
6.1941e-009,1.2628
6.2365e-009,1.2626
6.2789e-009,1.2627
6.3213e-009,1.2626
6.3637e-009,1.2625
6.4062e-009,1.2628
6.4486e-009,1.2630
6.4910e-009,1.2626
6.5335e-009,1.2625
6.5759e-009,1.2625
6.6183e-009,1.2625
6.6607e-009,1.2627
6.7032e-009,1.2629
