.HEADER
..NAMES
Time,V U1.V24
.DATA
0.0e+000,1.2624
4.24e-011,1.2624
8.49e-011,1.2624
1.273e-010,1.2624
1.697e-010,1.2624
2.121e-010,1.2624
2.545e-010,1.2624
2.970e-010,1.2624
3.394e-010,1.2624
3.818e-010,1.2624
4.242e-010,1.2624
4.667e-010,1.2624
5.091e-010,1.2624
5.515e-010,1.2624
5.940e-010,1.2624
6.364e-010,1.2624
6.788e-010,1.2624
7.212e-010,1.2624
7.636e-010,1.2624
8.061e-010,1.2624
8.485e-010,1.2605
8.909e-010,1.1852
9.333e-010,0.9590
9.758e-010,0.7729
1.0182e-009,0.5830
1.0606e-009,0.4352
1.1030e-009,0.3487
1.1455e-009,0.3143
1.1879e-009,0.2888
1.2303e-009,0.2806
1.2728e-009,0.2738
1.3152e-009,0.2701
1.3576e-009,0.2682
1.4000e-009,0.2618
1.4425e-009,0.2392
1.4849e-009,0.2370
1.5273e-009,0.2656
1.5697e-009,0.2784
1.6121e-009,0.2883
1.6546e-009,0.2960
1.6970e-009,0.2639
1.7394e-009,0.2182
1.7819e-009,0.2055
1.8243e-009,0.1984
1.8667e-009,0.2008
1.9091e-009,0.2132
1.9516e-009,0.2204
1.9940e-009,0.2195
2.0364e-009,0.2190
2.0788e-009,0.2158
2.1213e-009,0.2156
2.1637e-009,0.2167
2.2061e-009,0.2135
2.2485e-009,0.2092
2.2910e-009,0.2139
2.3334e-009,0.2184
2.3758e-009,0.2165
2.4182e-009,0.2179
2.4606e-009,0.2173
2.5031e-009,0.2083
2.5455e-009,0.2064
2.5879e-009,0.2125
2.6303e-009,0.2149
2.6728e-009,0.2172
2.7152e-009,0.2192
2.7576e-009,0.2171
2.8000e-009,0.2150
2.8425e-009,0.2143
2.8849e-009,0.2140
2.9273e-009,0.2153
2.9698e-009,0.2158
3.0122e-009,0.2143
3.0546e-009,0.2144
3.0970e-009,0.2161
3.1395e-009,0.2157
3.1819e-009,0.2151
3.2243e-009,0.2160
3.2667e-009,0.2150
3.3092e-009,0.2132
3.3516e-009,0.2147
3.3940e-009,0.2163
3.4364e-009,0.2158
3.4789e-009,0.2158
3.5213e-009,0.2156
3.5637e-009,0.2146
3.6061e-009,0.2146
3.6485e-009,0.2149
3.6910e-009,0.2280
3.7334e-009,0.3717
3.7758e-009,0.5475
3.8183e-009,0.7558
3.8607e-009,0.9306
3.9031e-009,1.0505
3.9455e-009,1.1139
3.9879e-009,1.1522
4.0304e-009,1.1742
4.0728e-009,1.1889
4.1152e-009,1.1966
4.1577e-009,1.2014
4.2001e-009,1.2044
4.2425e-009,1.2186
4.2849e-009,1.2326
4.3274e-009,1.2233
4.3698e-009,1.2092
4.4122e-009,1.1936
4.4546e-009,1.1789
4.4970e-009,1.1913
4.5395e-009,1.2276
4.5819e-009,1.2533
4.6243e-009,1.2714
4.6668e-009,1.2737
4.7092e-009,1.2641
4.7516e-009,1.2560
4.7940e-009,1.2546
4.8364e-009,1.2556
4.8789e-009,1.2594
4.9213e-009,1.2609
4.9637e-009,1.2605
5.0062e-009,1.2615
5.0486e-009,1.2652
5.0910e-009,1.2654
5.1334e-009,1.2623
5.1758e-009,1.2613
5.2183e-009,1.2596
5.2607e-009,1.2591
5.3031e-009,1.2652
5.3456e-009,1.2696
5.3880e-009,1.2680
5.4304e-009,1.2654
5.4728e-009,1.2614
5.5153e-009,1.2586
5.5577e-009,1.2597
5.6001e-009,1.2619
5.6425e-009,1.2633
5.6849e-009,1.2641
5.7274e-009,1.2632
5.7698e-009,1.2622
5.8122e-009,1.2627
5.8547e-009,1.2633
5.8971e-009,1.2627
5.9395e-009,1.2623
5.9819e-009,1.2624
6.0243e-009,1.2620
6.0668e-009,1.2624
6.1092e-009,1.2639
6.1516e-009,1.2637
6.1941e-009,1.2626
6.2365e-009,1.2621
6.2789e-009,1.2617
6.3213e-009,1.2620
6.3637e-009,1.2630
6.4062e-009,1.2633
6.4486e-009,1.2632
6.4910e-009,1.2629
6.5335e-009,1.2623
6.5759e-009,1.2623
6.6183e-009,1.2628
6.6607e-009,1.2628
6.7032e-009,1.2626
