.HEADER
..NAMES
Time,V U1.U26
.DATA
0.0e+000,0.2190
4.24e-011,0.2190
8.49e-011,0.2190
1.273e-010,0.2190
1.697e-010,0.2190
2.121e-010,0.2190
2.545e-010,0.2190
2.970e-010,0.2190
3.394e-010,0.2190
3.818e-010,0.2190
4.242e-010,0.2190
4.667e-010,0.2190
5.091e-010,0.2190
5.515e-010,0.2190
5.940e-010,0.2190
6.364e-010,0.2190
6.788e-010,0.2190
7.212e-010,0.2190
7.636e-010,0.2190
8.061e-010,0.2190
8.485e-010,0.2190
8.909e-010,0.2365
9.333e-010,0.3769
9.758e-010,0.5498
1.0182e-009,0.7602
1.0606e-009,0.9334
1.1030e-009,1.0544
1.1455e-009,1.1250
1.1879e-009,1.1613
1.2303e-009,1.1829
1.2728e-009,1.2000
1.3152e-009,1.2137
1.3576e-009,1.2170
1.4000e-009,1.2210
1.4425e-009,1.2255
1.4849e-009,1.2317
1.5273e-009,1.2124
1.5697e-009,1.1955
1.6121e-009,1.1816
1.6546e-009,1.1762
1.6970e-009,1.1838
1.7394e-009,1.2142
1.7819e-009,1.2492
1.8243e-009,1.2676
1.8667e-009,1.2773
1.9091e-009,1.2714
1.9516e-009,1.2612
1.9940e-009,1.2539
2.0364e-009,1.2516
2.0788e-009,1.2542
2.1213e-009,1.2597
2.1637e-009,1.2599
2.2061e-009,1.2595
2.2485e-009,1.2599
2.2910e-009,1.2622
2.3334e-009,1.2600
2.3758e-009,1.2581
2.4182e-009,1.2602
2.4606e-009,1.2610
2.5031e-009,1.2623
2.5455e-009,1.2653
2.5879e-009,1.2684
2.6303e-009,1.2663
2.6728e-009,1.2628
2.7152e-009,1.2598
2.7576e-009,1.2413
2.8000e-009,1.0731
2.8425e-009,0.8627
2.8849e-009,0.6767
2.9273e-009,0.5080
2.9698e-009,0.3834
3.0122e-009,0.3177
3.0546e-009,0.2912
3.0970e-009,0.2793
3.1395e-009,0.2678
3.1819e-009,0.2529
3.2243e-009,0.2555
3.2667e-009,0.2551
3.3092e-009,0.2485
3.3516e-009,0.2389
3.3940e-009,0.2671
3.4364e-009,0.2938
3.4789e-009,0.2966
3.5213e-009,0.2981
3.5637e-009,0.2953
3.6061e-009,0.2619
3.6485e-009,0.2162
3.6910e-009,0.2038
3.7334e-009,0.3288
3.7758e-009,0.5298
3.8183e-009,0.7454
3.8607e-009,0.9410
3.9031e-009,1.0657
3.9455e-009,1.1349
3.9879e-009,1.1629
4.0304e-009,1.1827
4.0728e-009,1.1999
4.1152e-009,1.2150
4.1577e-009,1.2145
4.2001e-009,1.2221
4.2425e-009,1.2289
4.2849e-009,1.2351
4.3274e-009,1.2154
4.3698e-009,1.1926
4.4122e-009,1.1773
4.4546e-009,1.1662
4.4970e-009,1.1751
4.5395e-009,1.2085
4.5819e-009,1.2519
4.6243e-009,1.2732
4.6668e-009,1.2823
4.7092e-009,1.2744
4.7516e-009,1.2611
4.7940e-009,1.2506
4.8364e-009,1.2491
4.8789e-009,1.2537
4.9213e-009,1.2605
4.9637e-009,1.2600
5.0062e-009,1.2589
5.0486e-009,1.2605
5.0910e-009,1.2620
5.1334e-009,1.2600
5.1758e-009,1.2573
5.2183e-009,1.2597
5.2607e-009,1.2602
5.3031e-009,1.2619
5.3456e-009,1.2656
5.3880e-009,1.2697
5.4304e-009,1.2676
5.4728e-009,1.2627
5.5153e-009,1.2591
5.5577e-009,1.2492
5.6001e-009,1.1334
5.6425e-009,0.9164
5.6849e-009,0.7355
5.7274e-009,0.5548
5.7698e-009,0.4133
5.8122e-009,0.3321
5.8547e-009,0.2968
5.8971e-009,0.2820
5.9395e-009,0.2725
5.9819e-009,0.2554
6.0243e-009,0.2542
6.0668e-009,0.2551
6.1092e-009,0.2518
6.1516e-009,0.2397
6.1941e-009,0.2561
6.2365e-009,0.2895
6.2789e-009,0.2956
6.3213e-009,0.2969
6.3637e-009,0.2981
6.4062e-009,0.2753
6.4486e-009,0.2271
6.4910e-009,0.2041
6.5335e-009,0.2810
6.5759e-009,0.4715
6.6183e-009,0.6725
6.6607e-009,0.8923
6.7032e-009,1.0355
6.7456e-009,1.1184
6.7880e-009,1.1562
6.8304e-009,1.1764
6.8728e-009,1.1942
6.9153e-009,1.2121
6.9577e-009,1.2153
7.0001e-009,1.2193
7.0426e-009,1.2263
7.0850e-009,1.2340
7.1274e-009,1.2230
7.1698e-009,1.1976
7.2122e-009,1.1830
7.2547e-009,1.1675
7.2971e-009,1.1699
7.3395e-009,1.1959
7.3820e-009,1.2406
7.4244e-009,1.2635
7.4668e-009,1.1716
7.5092e-009,0.9267
7.5516e-009,0.7149
7.5941e-009,0.5195
7.6365e-009,0.3869
7.6789e-009,0.3180
7.7213e-009,0.2931
7.7638e-009,0.2807
7.8062e-009,0.2697
7.8486e-009,0.2543
7.8910e-009,0.2514
7.9335e-009,0.2543
7.9759e-009,0.2499
8.0183e-009,0.2380
8.0608e-009,0.2488
8.1032e-009,0.2896
8.1456e-009,0.3047
8.1880e-009,0.3079
8.2305e-009,0.3044
8.2729e-009,0.2784
8.3153e-009,0.2244
8.3577e-009,0.1928
8.4001e-009,0.2437
8.4426e-009,0.4341
8.4850e-009,0.6372
8.5274e-009,0.8652
8.5698e-009,1.0159
8.6123e-009,1.1052
8.6547e-009,1.1484
8.6971e-009,1.1707
8.7396e-009,1.1910
8.7820e-009,1.2096
8.8244e-009,1.2159
8.8668e-009,1.2170
8.9093e-009,1.2250
8.9517e-009,1.2332
8.9941e-009,1.2286
9.0365e-009,1.2011
9.0790e-009,1.1839
9.1214e-009,1.1674
9.1638e-009,1.1671
9.2062e-009,1.1893
9.2486e-009,1.2340
9.2911e-009,1.2678
9.3335e-009,1.2800
9.3759e-009,1.2792
9.4183e-009,1.2656
9.4608e-009,1.2534
9.5032e-009,1.2487
9.5456e-009,1.2514
9.5881e-009,1.2579
9.6305e-009,1.2612
9.6729e-009,1.2585
