.HEADER
..NAMES
Time,V U1.U24
.DATA
0.0e+000,0.2163
4.24e-011,0.2163
8.49e-011,0.2163
1.273e-010,0.2163
1.697e-010,0.2163
2.121e-010,0.2163
2.545e-010,0.2163
2.970e-010,0.2163
3.394e-010,0.2163
3.818e-010,0.2163
4.242e-010,0.2905
4.667e-010,0.4645
5.091e-010,0.6433
5.515e-010,0.8550
5.940e-010,1.0000
6.364e-010,1.0864
6.788e-010,1.1385
7.212e-010,1.1668
7.636e-010,1.1851
8.061e-010,1.1954
8.485e-010,1.2012
8.909e-010,1.2030
9.333e-010,1.2115
9.758e-010,1.2266
1.0182e-009,1.2238
1.0606e-009,1.2073
1.1030e-009,1.1937
1.1455e-009,1.1757
1.1879e-009,1.1839
1.2303e-009,1.2202
1.2728e-009,1.2485
1.3152e-009,1.2618
1.3576e-009,1.1504
1.4000e-009,0.8875
1.4425e-009,0.6930
1.4849e-009,0.5131
1.5273e-009,0.3901
1.5697e-009,0.3336
1.6121e-009,0.3028
1.6546e-009,0.2828
1.6970e-009,0.2772
1.7394e-009,0.2755
1.7819e-009,0.2721
1.8243e-009,0.2692
1.8667e-009,0.2571
1.9091e-009,0.2358
1.9516e-009,0.2504
1.9940e-009,0.2911
2.0364e-009,0.3026
2.0788e-009,0.3087
2.1213e-009,0.2886
2.1637e-009,0.2309
2.2061e-009,0.2028
2.2485e-009,0.2018
2.2910e-009,0.2039
2.3334e-009,0.2164
2.3758e-009,0.2240
2.4182e-009,0.2210
2.4606e-009,0.2210
2.5031e-009,0.2184
2.5455e-009,0.2164
2.5879e-009,0.2178
2.6303e-009,0.2159
2.6728e-009,0.2104
2.7152e-009,0.2130
2.7576e-009,0.2208
2.8000e-009,0.2204
2.8425e-009,0.2184
2.8849e-009,0.2162
2.9273e-009,0.2068
2.9698e-009,0.2057
3.0122e-009,0.2144
3.0546e-009,0.2182
3.0970e-009,0.2203
3.1395e-009,0.2203
3.1819e-009,0.2166
3.2243e-009,0.2496
3.2667e-009,0.4094
3.3092e-009,0.5823
3.3516e-009,0.8018
3.3940e-009,0.9630
3.4364e-009,1.0657
3.4789e-009,1.1249
3.5213e-009,1.1622
3.5637e-009,1.1801
3.6061e-009,1.1932
3.6485e-009,1.2003
3.6910e-009,1.2008
3.7334e-009,1.2058
3.7758e-009,1.2233
3.8183e-009,1.2290
3.8607e-009,1.2126
3.9031e-009,1.1988
3.9455e-009,1.1787
3.9879e-009,1.1763
4.0304e-009,1.2085
4.0728e-009,1.2416
4.1152e-009,1.2630
4.1577e-009,1.2145
4.2001e-009,0.9629
4.2425e-009,0.7461
4.2849e-009,0.5591
4.3274e-009,0.4202
4.3698e-009,0.3427
4.4122e-009,0.3109
4.4546e-009,0.2856
4.4970e-009,0.2785
4.5395e-009,0.2760
4.5819e-009,0.2737
4.6243e-009,0.2702
4.6668e-009,0.2625
4.7092e-009,0.2403
4.7516e-009,0.2401
4.7940e-009,0.2812
4.8364e-009,0.3012
4.8789e-009,0.3075
4.9213e-009,0.2998
4.9637e-009,0.2477
5.0062e-009,0.2055
5.0486e-009,0.2022
5.0910e-009,0.2206
5.1334e-009,0.4038
5.1758e-009,0.6071
5.2183e-009,0.8133
5.2607e-009,0.9731
5.3031e-009,1.0747
5.3456e-009,1.1270
5.3880e-009,1.1628
5.4304e-009,1.1796
5.4728e-009,1.1886
5.5153e-009,1.1945
5.5577e-009,1.2047
5.6001e-009,1.2111
5.6425e-009,1.2246
5.6849e-009,1.2325
5.7274e-009,1.2044
5.7698e-009,1.1832
5.8122e-009,1.1750
5.8547e-009,1.1760
5.8971e-009,1.2113
5.9395e-009,1.2507
5.9819e-009,1.2651
6.0243e-009,1.2724
6.0668e-009,1.2644
6.1092e-009,1.2545
6.1516e-009,1.2543
6.1941e-009,1.2561
6.2365e-009,1.2579
6.2789e-009,1.2610
6.3213e-009,1.2625
6.3637e-009,1.2628
6.4062e-009,1.2655
6.4486e-009,1.2675
6.4910e-009,1.2629
6.5335e-009,1.2595
6.5759e-009,1.2616
6.6183e-009,1.2625
6.6607e-009,1.2678
6.7032e-009,1.2730
6.7456e-009,1.2692
6.7880e-009,1.2648
6.8304e-009,1.2615
6.8728e-009,1.2592
6.9153e-009,1.2616
6.9577e-009,1.2643
7.0001e-009,1.2645
