.HEADER
..NAMES
Time,V U1.W26
.DATA
0.0e+000,0.2172
4.24e-011,0.2172
8.49e-011,0.2172
1.273e-010,0.2172
1.697e-010,0.2172
2.121e-010,0.2172
2.545e-010,0.2172
2.970e-010,0.2172
3.394e-010,0.2172
3.818e-010,0.2172
4.242e-010,0.2403
4.667e-010,0.3829
5.091e-010,0.5543
5.515e-010,0.7575
5.940e-010,0.9344
6.364e-010,1.0702
6.788e-010,1.1591
7.212e-010,1.2212
7.636e-010,1.2588
8.061e-010,1.2663
8.485e-010,1.2462
8.909e-010,1.2263
9.333e-010,1.2032
9.758e-010,1.1981
1.0182e-009,1.2117
1.0606e-009,1.2115
1.1030e-009,1.2002
1.1455e-009,1.1897
1.1879e-009,1.1846
1.2303e-009,1.1899
1.2728e-009,1.2133
1.3152e-009,1.2488
1.3576e-009,1.2295
1.4000e-009,1.0201
1.4425e-009,0.8022
1.4849e-009,0.6130
1.5273e-009,0.4496
1.5697e-009,0.3213
1.6121e-009,0.2534
1.6546e-009,0.2054
1.6970e-009,0.1802
1.7394e-009,0.1915
1.7819e-009,0.2361
1.8243e-009,0.2664
1.8667e-009,0.2893
1.9091e-009,0.2870
1.9516e-009,0.2612
1.9940e-009,0.2654
2.0364e-009,0.2936
2.0788e-009,0.3025
2.1213e-009,0.2975
2.1637e-009,0.2879
2.2061e-009,0.2542
2.2485e-009,0.2051
2.2910e-009,0.2003
2.3334e-009,0.3605
2.3758e-009,0.5596
2.4182e-009,0.7649
2.4606e-009,0.9478
2.5031e-009,1.0876
2.5455e-009,1.1724
2.5879e-009,1.2416
2.6303e-009,1.2813
2.6728e-009,1.2826
2.7152e-009,1.2470
2.7576e-009,1.2161
2.8000e-009,1.1887
2.8425e-009,1.1904
2.8849e-009,1.2146
2.9273e-009,1.2172
2.9698e-009,1.1971
3.0122e-009,1.1830
3.0546e-009,1.1766
3.0970e-009,1.1825
3.1395e-009,1.2126
3.1819e-009,1.2572
3.2243e-009,1.2764
3.2667e-009,1.2750
3.3092e-009,1.2748
3.3516e-009,1.2699
3.3940e-009,1.2640
3.4364e-009,1.2616
3.4789e-009,1.2596
3.5213e-009,1.2508
3.5637e-009,1.2437
3.6061e-009,1.2488
3.6485e-009,1.2580
3.6910e-009,1.2680
3.7334e-009,1.2741
3.7758e-009,1.2694
3.8183e-009,1.2623
3.8607e-009,1.2612
3.9031e-009,1.2635
3.9455e-009,1.2660
3.9879e-009,1.2695
4.0304e-009,1.2703
4.0728e-009,1.2638
4.1152e-009,1.2591
4.1577e-009,1.2496
4.2001e-009,1.1119
