.HEADER
..NAMES
Time,V U1.W26
.DATA
0.0e+000,0.2172
4.24e-011,0.2172
8.49e-011,0.2172
1.273e-010,0.2172
1.697e-010,0.2172
2.121e-010,0.2172
2.545e-010,0.2172
2.970e-010,0.2172
3.394e-010,0.2172
3.818e-010,0.2172
4.242e-010,0.2172
4.667e-010,0.2172
5.091e-010,0.2172
5.515e-010,0.2172
5.940e-010,0.2172
6.364e-010,0.2172
6.788e-010,0.2172
7.212e-010,0.2172
7.636e-010,0.2172
8.061e-010,0.2172
8.485e-010,0.2172
8.909e-010,0.2347
9.333e-010,0.3737
9.758e-010,0.5459
1.0182e-009,0.7476
1.0606e-009,0.9260
1.1030e-009,1.0651
1.1455e-009,1.1551
1.1879e-009,1.2190
1.2303e-009,1.2572
1.2728e-009,1.2670
1.3152e-009,1.2473
1.3576e-009,1.2276
1.4000e-009,1.2040
1.4425e-009,1.1978
1.4849e-009,1.2111
1.5273e-009,1.2121
1.5697e-009,1.2007
1.6121e-009,1.1900
1.6546e-009,1.1846
1.6970e-009,1.1893
1.7394e-009,1.2115
1.7819e-009,1.2473
1.8243e-009,1.2353
1.8667e-009,1.0327
1.9091e-009,0.8112
1.9516e-009,0.6216
1.9940e-009,0.4574
2.0364e-009,0.3257
2.0788e-009,0.2562
2.1213e-009,0.2072
2.1637e-009,0.1809
2.2061e-009,0.1897
2.2485e-009,0.2341
2.2910e-009,0.2650
2.3334e-009,0.2888
2.3758e-009,0.2879
2.4182e-009,0.2622
2.4606e-009,0.2641
2.5031e-009,0.2926
2.5455e-009,0.3025
2.5879e-009,0.2978
2.6303e-009,0.2887
2.6728e-009,0.2567
2.7152e-009,0.2069
2.7576e-009,0.1954
2.8000e-009,0.3494
2.8425e-009,0.5502
2.8849e-009,0.7543
2.9273e-009,0.9391
2.9698e-009,1.0820
3.0122e-009,1.1684
3.0546e-009,1.2391
3.0970e-009,1.2798
3.1395e-009,1.2841
3.1819e-009,1.2488
3.2243e-009,1.2176
3.2667e-009,1.1894
3.3092e-009,1.1895
3.3516e-009,1.2135
3.3940e-009,1.2181
3.4364e-009,1.1980
3.4789e-009,1.1835
3.5213e-009,1.1767
3.5637e-009,1.1817
3.6061e-009,1.2103
3.6485e-009,1.2554
3.6910e-009,1.2763
3.7334e-009,1.2751
3.7758e-009,1.2749
3.8183e-009,1.2703
3.8607e-009,1.2643
3.9031e-009,1.2617
3.9455e-009,1.2598
3.9879e-009,1.2513
4.0304e-009,1.2437
4.0728e-009,1.2483
4.1152e-009,1.2575
4.1577e-009,1.2675
4.2001e-009,1.2741
