.HEADER
..NAMES
Time,V U1.Y25
.DATA
0.0e+000,1.2611
4.24e-011,1.2611
8.49e-011,1.2611
1.273e-010,1.2611
1.697e-010,1.2611
2.121e-010,1.2611
2.545e-010,1.2611
2.970e-010,1.2611
3.394e-010,1.2611
3.818e-010,1.2611
4.242e-010,1.2381
4.667e-010,1.0480
5.091e-010,0.8383
5.515e-010,0.6520
5.940e-010,0.4881
6.364e-010,0.3771
6.788e-010,0.3242
7.212e-010,0.3062
7.636e-010,0.2865
8.061e-010,0.2790
8.485e-010,0.2684
8.909e-010,0.2505
9.333e-010,0.2386
9.758e-010,0.2403
1.0182e-009,0.2609
1.0606e-009,0.2896
1.1030e-009,0.3292
1.1455e-009,0.3436
1.1879e-009,0.3255
1.2303e-009,0.2906
1.2728e-009,0.2470
1.3152e-009,0.2049
1.3576e-009,0.1817
1.4000e-009,0.1905
1.4425e-009,0.2025
1.4849e-009,0.2112
1.5273e-009,0.2189
1.5697e-009,0.2218
1.6121e-009,0.2181
1.6546e-009,0.2139
1.6970e-009,0.2134
1.7394e-009,0.2133
1.7819e-009,0.2159
1.8243e-009,0.2214
1.8667e-009,0.2259
1.9091e-009,0.2256
1.9516e-009,0.2208
1.9940e-009,0.2137
2.0364e-009,0.2054
2.0788e-009,0.2024
2.1213e-009,0.2053
2.1637e-009,0.2115
2.2061e-009,0.2174
2.2485e-009,0.2221
2.2910e-009,0.2228
2.3334e-009,0.2195
2.3758e-009,0.2171
2.4182e-009,0.2161
2.4606e-009,0.2154
2.5031e-009,0.2155
2.5455e-009,0.2168
2.5879e-009,0.2178
2.6303e-009,0.2181
2.6728e-009,0.2179
2.7152e-009,0.2171
2.7576e-009,0.2155
2.8000e-009,0.2144
2.8425e-009,0.2145
2.8849e-009,0.2156
2.9273e-009,0.2172
2.9698e-009,0.2186
3.0122e-009,0.2189
3.0546e-009,0.2181
3.0970e-009,0.2169
3.1395e-009,0.2161
3.1819e-009,0.2157
3.2243e-009,0.2159
3.2667e-009,0.2166
3.3092e-009,0.2170
3.3516e-009,0.2170
3.3940e-009,0.2171
3.4364e-009,0.2170
3.4789e-009,0.2167
3.5213e-009,0.2164
3.5637e-009,0.2164
3.6061e-009,0.2164
3.6485e-009,0.2167
3.6910e-009,0.2171
3.7334e-009,0.2173
3.7758e-009,0.2172
3.8183e-009,0.2169
3.8607e-009,0.2166
3.9031e-009,0.2164
3.9455e-009,0.2164
3.9879e-009,0.2167
4.0304e-009,0.2169
4.0728e-009,0.2170
4.1152e-009,0.2170
4.1577e-009,0.2169
4.2001e-009,0.2168
4.2425e-009,0.2167
4.2849e-009,0.2167
4.3274e-009,0.2167
4.3698e-009,0.2168
4.4122e-009,0.2169
