.HEADER
..NAMES
Time,V U1.H23
.DATA
0.0e+000,0.2164
4.24e-011,0.2164
8.49e-011,0.2164
1.273e-010,0.2164
1.697e-010,0.2164
2.121e-010,0.2164
2.545e-010,0.2164
2.970e-010,0.2164
3.394e-010,0.2164
3.818e-010,0.2164
4.242e-010,0.2164
4.667e-010,0.2164
5.091e-010,0.2164
5.515e-010,0.2164
5.940e-010,0.2164
6.364e-010,0.2164
6.788e-010,0.2164
7.212e-010,0.2164
7.636e-010,0.2164
8.061e-010,0.2164
8.485e-010,0.2164
8.909e-010,0.2477
9.333e-010,0.4074
9.758e-010,0.5808
1.0182e-009,0.7976
1.0606e-009,0.9595
1.1030e-009,1.0690
1.1455e-009,1.1231
1.1879e-009,1.1567
1.2303e-009,1.1763
1.2728e-009,1.1896
1.3152e-009,1.1974
1.3576e-009,1.2016
1.4000e-009,1.2052
1.4425e-009,1.2195
1.4849e-009,1.2418
1.5273e-009,1.2484
1.5697e-009,1.2326
1.6121e-009,1.2163
1.6546e-009,1.1912
1.6970e-009,1.1817
1.7394e-009,1.2021
1.7819e-009,1.2394
1.8243e-009,1.2619
1.8667e-009,1.2784
1.9091e-009,1.2759
1.9516e-009,1.2652
1.9940e-009,1.2569
2.0364e-009,1.2563
2.0788e-009,1.2575
2.1213e-009,1.2613
2.1637e-009,1.2625
2.2061e-009,1.2616
2.2485e-009,1.2628
2.2910e-009,1.2668
2.3334e-009,1.2688
2.3758e-009,1.2662
2.4182e-009,1.2631
2.4606e-009,1.2602
2.5031e-009,1.2577
2.5455e-009,1.2613
2.5879e-009,1.2685
2.6303e-009,1.2714
2.6728e-009,1.2693
2.7152e-009,1.2664
2.7576e-009,1.2338
2.8000e-009,1.0303
2.8425e-009,0.8249
2.8849e-009,0.6420
2.9273e-009,0.4805
2.9698e-009,0.3694
3.0122e-009,0.3235
3.0546e-009,0.2998
3.0970e-009,0.2844
3.1395e-009,0.2803
3.1819e-009,0.2754
3.2243e-009,0.2710
3.2667e-009,0.2681
3.3092e-009,0.2517
3.3516e-009,0.2253
3.3940e-009,0.2239
3.4364e-009,0.2536
3.4789e-009,0.2683
3.5213e-009,0.2853
3.5637e-009,0.2982
3.6061e-009,0.2747
3.6485e-009,0.2264
3.6910e-009,0.2153
3.7334e-009,0.3572
3.7758e-009,0.5527
3.8183e-009,0.7743
3.8607e-009,0.9630
3.9031e-009,1.0751
3.9455e-009,1.1305
3.9879e-009,1.1582
4.0304e-009,1.1780
4.0728e-009,1.1896
4.1152e-009,1.1979
4.1577e-009,1.1963
4.2001e-009,1.1971
4.2425e-009,1.2145
4.2849e-009,1.2426
4.3274e-009,1.2559
4.3698e-009,1.2423
4.4122e-009,1.2206
4.4546e-009,1.1861
4.4970e-009,1.1689
4.5395e-009,1.1903
4.5819e-009,1.2349
4.6243e-009,1.2461
4.6668e-009,1.0794
4.7092e-009,0.8376
4.7516e-009,0.6327
4.7940e-009,0.4594
4.8364e-009,0.3528
4.8789e-009,0.3124
4.9213e-009,0.2989
4.9637e-009,0.2824
5.0062e-009,0.2755
