.HEADER
..NAMES
Time,V U1.J23
.DATA
0.0e+000,1.2628
4.24e-011,1.2628
8.49e-011,1.2628
1.273e-010,1.2628
1.697e-010,1.2628
2.121e-010,1.2628
2.545e-010,1.2628
2.970e-010,1.2628
3.394e-010,1.2628
3.818e-010,1.2503
4.242e-010,1.0921
4.667e-010,0.8563
5.091e-010,0.6764
5.515e-010,0.5142
5.940e-010,0.4174
6.364e-010,0.3626
6.788e-010,0.3263
7.212e-010,0.3041
7.636e-010,0.2687
8.061e-010,0.2537
8.485e-010,0.2416
8.909e-010,0.2312
9.333e-010,0.2333
9.758e-010,0.2410
1.0182e-009,0.2528
1.0606e-009,0.2637
1.1030e-009,0.2824
1.1455e-009,0.2982
1.1879e-009,0.2945
1.2303e-009,0.2806
1.2728e-009,0.2537
1.3152e-009,0.2259
1.3576e-009,0.2163
1.4000e-009,0.2178
1.4425e-009,0.2227
1.4849e-009,0.2232
1.5273e-009,0.2182
1.5697e-009,0.2131
1.6121e-009,0.2098
1.6546e-009,0.2118
1.6970e-009,0.2160
1.7394e-009,0.2178
1.7819e-009,0.2186
1.8243e-009,0.2192
1.8667e-009,0.2189
1.9091e-009,0.2172
1.9516e-009,0.2152
1.9940e-009,0.2132
2.0364e-009,0.2108
2.0788e-009,0.2102
2.1213e-009,0.2110
2.1637e-009,0.2125
2.2061e-009,0.2147
2.2485e-009,0.2163
2.2910e-009,0.2963
2.3334e-009,0.4758
2.3758e-009,0.6576
2.4182e-009,0.8641
2.4606e-009,0.9876
2.5031e-009,1.0598
2.5455e-009,1.1071
2.5879e-009,1.1346
2.6303e-009,1.1782
2.6728e-009,1.2022
2.7152e-009,1.2201
2.7576e-009,1.2318
2.8000e-009,1.2338
2.8425e-009,1.2342
2.8849e-009,1.2267
2.9273e-009,1.2179
2.9698e-009,1.2033
3.0122e-009,1.1870
3.0546e-009,1.1827
3.0970e-009,1.1871
3.1395e-009,1.2063
3.1819e-009,1.2328
3.2243e-009,1.2497
3.2667e-009,1.2558
3.3092e-009,1.2521
3.3516e-009,1.2484
3.3940e-009,1.2513
3.4364e-009,1.2579
3.4789e-009,1.2646
3.5213e-009,1.2658
3.5637e-009,1.2625
3.6061e-009,1.2595
3.6485e-009,1.2583
3.6910e-009,1.2587
3.7334e-009,1.2595
3.7758e-009,1.2604
3.8183e-009,1.2617
3.8607e-009,1.2634
3.9031e-009,1.2659
3.9455e-009,1.2672
3.9879e-009,1.2671
4.0304e-009,1.2660
4.0728e-009,1.2640
4.1152e-009,1.2623
4.1577e-009,1.2616
4.2001e-009,1.2620
4.2425e-009,1.2631
4.2849e-009,1.2637
4.3274e-009,1.2634
4.3698e-009,1.2624
4.4122e-009,1.2616
4.4546e-009,1.2618
4.4970e-009,1.2627
4.5395e-009,1.2635
4.5819e-009,1.2637
4.6243e-009,1.2635
4.6668e-009,1.2632
4.7092e-009,1.2630
4.7516e-009,1.2630
4.7940e-009,1.2629
4.8364e-009,1.2627
4.8789e-009,1.2626
4.9213e-009,1.2627
4.9637e-009,1.2629
5.0062e-009,1.2631
5.0486e-009,1.2631
5.0910e-009,1.2631
5.1334e-009,1.2629
5.1758e-009,1.2629
5.2183e-009,1.2629
5.2607e-009,1.2630
5.3031e-009,1.2631
5.3456e-009,1.2631
5.3880e-009,1.2631
5.4304e-009,1.2630
5.4728e-009,1.2629
5.5153e-009,1.2628
5.5577e-009,1.2629
5.6001e-009,1.2630
5.6425e-009,1.2630
5.6849e-009,1.2630
5.7274e-009,1.2630
5.7698e-009,1.2630
5.8122e-009,1.2630
5.8547e-009,1.2630
5.8971e-009,1.2630
5.9395e-009,1.2629
5.9819e-009,1.2626
6.0243e-009,1.2133
6.0668e-009,0.9869
6.1092e-009,0.7849
6.1516e-009,0.6005
6.1941e-009,0.4654
6.2365e-009,0.3928
6.2789e-009,0.3447
6.3213e-009,0.3193
6.3637e-009,0.2887
6.4062e-009,0.2599
6.4486e-009,0.2501
6.4910e-009,0.2361
6.5335e-009,0.2310
6.5759e-009,0.2360
6.6183e-009,0.2457
6.6607e-009,0.2575
6.7032e-009,0.2701
6.7456e-009,0.2911
6.7880e-009,0.2987
6.8304e-009,0.2899
6.8728e-009,0.2713
6.9153e-009,0.2408
6.9577e-009,0.2199
7.0001e-009,0.2163
7.0426e-009,0.2199
7.0850e-009,0.2239
7.1274e-009,0.2216
7.1698e-009,0.2161
