.HEADER
..NAMES
Time,V U1.J23
.DATA
0.0e+000,1.2628
4.24e-011,1.2628
8.49e-011,1.2628
1.273e-010,1.2628
1.697e-010,1.2628
2.121e-010,1.2628
2.545e-010,1.2628
2.970e-010,1.2628
3.394e-010,1.2628
3.818e-010,1.2628
4.242e-010,1.2628
4.667e-010,1.2628
5.091e-010,1.2628
5.515e-010,1.2628
5.940e-010,1.2628
6.364e-010,1.2628
6.788e-010,1.2628
7.212e-010,1.2628
7.636e-010,1.2628
8.061e-010,1.2628
8.485e-010,1.2518
8.909e-010,1.1036
9.333e-010,0.8653
9.758e-010,0.6858
1.0182e-009,0.5204
1.0606e-009,0.4205
1.1030e-009,0.3653
1.1455e-009,0.3274
1.1879e-009,0.3057
1.2303e-009,0.2701
1.2728e-009,0.2541
1.3152e-009,0.2423
1.3576e-009,0.2314
1.4000e-009,0.2331
1.4425e-009,0.2405
1.4849e-009,0.2522
1.5273e-009,0.2630
1.5697e-009,0.2813
1.6121e-009,0.2979
1.6546e-009,0.2950
1.6970e-009,0.2815
1.7394e-009,0.2553
1.7819e-009,0.2269
1.8243e-009,0.2164
1.8667e-009,0.2177
1.9091e-009,0.2225
1.9516e-009,0.2234
1.9940e-009,0.2185
2.0364e-009,0.2133
2.0788e-009,0.2099
2.1213e-009,0.2116
2.1637e-009,0.2159
2.2061e-009,0.2177
2.2485e-009,0.2185
2.2910e-009,0.2192
2.3334e-009,0.2190
2.3758e-009,0.2173
2.4182e-009,0.2153
2.4606e-009,0.2133
2.5031e-009,0.2109
2.5455e-009,0.2101
2.5879e-009,0.2109
2.6303e-009,0.2124
2.6728e-009,0.2146
2.7152e-009,0.2163
2.7576e-009,0.2884
2.8000e-009,0.4665
2.8425e-009,0.6462
2.8849e-009,0.8562
2.9273e-009,0.9833
2.9698e-009,1.0566
3.0122e-009,1.1052
3.0546e-009,1.1326
3.0970e-009,1.1764
3.1395e-009,1.2014
3.1819e-009,1.2191
3.2243e-009,1.2315
3.2667e-009,1.2337
3.3092e-009,1.2344
3.3516e-009,1.2272
3.3940e-009,1.2183
3.4364e-009,1.2043
3.4789e-009,1.1875
3.5213e-009,1.1826
3.5637e-009,1.1865
3.6061e-009,1.2050
3.6485e-009,1.2317
3.6910e-009,1.2492
3.7334e-009,1.2558
3.7758e-009,1.2523
3.8183e-009,1.2483
3.8607e-009,1.2510
3.9031e-009,1.2575
3.9455e-009,1.2643
3.9879e-009,1.2659
4.0304e-009,1.2626
4.0728e-009,1.2596
4.1152e-009,1.2583
4.1577e-009,1.2587
4.2001e-009,1.2594
4.2425e-009,1.2603
4.2849e-009,1.2616
4.3274e-009,1.2633
4.3698e-009,1.2658
4.4122e-009,1.2672
4.4546e-009,1.2672
4.4970e-009,1.2661
4.5395e-009,1.2641
4.5819e-009,1.2623
4.6243e-009,1.2616
4.6668e-009,1.2620
4.7092e-009,1.2631
4.7516e-009,1.2637
4.7940e-009,1.2634
4.8364e-009,1.2625
4.8789e-009,1.2616
4.9213e-009,1.2618
4.9637e-009,1.2627
5.0062e-009,1.2635
5.0486e-009,1.2637
5.0910e-009,1.2635
5.1334e-009,1.2632
5.1758e-009,1.2631
5.2183e-009,1.2630
5.2607e-009,1.2629
5.3031e-009,1.2627
5.3456e-009,1.2626
5.3880e-009,1.2627
5.4304e-009,1.2629
5.4728e-009,1.2631
5.5153e-009,1.2631
5.5577e-009,1.2631
5.6001e-009,1.2630
5.6425e-009,1.2629
5.6849e-009,1.2629
5.7274e-009,1.2630
5.7698e-009,1.2631
5.8122e-009,1.2631
5.8547e-009,1.2631
5.8971e-009,1.2630
5.9395e-009,1.2629
5.9819e-009,1.2628
6.0243e-009,1.2629
6.0668e-009,1.2630
6.1092e-009,1.2630
6.1516e-009,1.2630
6.1941e-009,1.2629
6.2365e-009,1.2630
6.2789e-009,1.2630
6.3213e-009,1.2630
6.3637e-009,1.2630
6.4062e-009,1.2629
6.4486e-009,1.2628
6.4910e-009,1.2214
6.5335e-009,0.9992
6.5759e-009,0.7929
6.6183e-009,0.6089
6.6607e-009,0.4708
6.7032e-009,0.3955
6.7456e-009,0.3464
6.7880e-009,0.3202
6.8304e-009,0.2906
6.8728e-009,0.2607
6.9153e-009,0.2506
6.9577e-009,0.2367
7.0001e-009,0.2309
7.0426e-009,0.2357
7.0850e-009,0.2451
7.1274e-009,0.2570
7.1698e-009,0.2693
