.HEADER
..NAMES
Time,V U1.L23
.DATA
0.0e+000,1.2625
4.24e-011,1.2625
8.49e-011,1.2625
1.273e-010,1.2625
1.697e-010,1.2625
2.121e-010,1.2625
2.545e-010,1.2625
2.970e-010,1.2625
3.394e-010,1.2625
3.818e-010,1.2427
4.242e-010,1.0512
4.667e-010,0.8252
5.091e-010,0.6325
5.515e-010,0.4521
5.940e-010,0.3495
6.364e-010,0.2943
6.788e-010,0.2815
7.212e-010,0.2742
7.636e-010,0.2551
8.061e-010,0.2547
8.485e-010,0.2567
8.909e-010,0.2772
9.333e-010,0.2922
9.758e-010,0.2848
1.0182e-009,0.2734
1.0606e-009,0.2688
1.1030e-009,0.2853
1.1455e-009,0.2964
1.1879e-009,0.2915
1.2303e-009,0.2692
1.2728e-009,0.2406
1.3152e-009,0.2249
1.3576e-009,0.2151
1.4000e-009,0.2169
1.4425e-009,0.2273
1.4849e-009,0.2316
1.5273e-009,0.2295
1.5697e-009,0.2202
1.6121e-009,0.2139
1.6546e-009,0.2144
1.6970e-009,0.2174
1.7394e-009,0.2190
1.7819e-009,0.2148
1.8243e-009,0.2104
1.8667e-009,0.2100
1.9091e-009,0.2125
1.9516e-009,0.2150
1.9940e-009,0.2144
2.0364e-009,0.2127
2.0788e-009,0.2121
2.1213e-009,0.2128
2.1637e-009,0.2140
2.2061e-009,0.2157
2.2485e-009,0.2178
2.2910e-009,0.2178
2.3334e-009,0.2156
2.3758e-009,0.2134
2.4182e-009,0.2130
2.4606e-009,0.2148
2.5031e-009,0.2164
2.5455e-009,0.2165
2.5879e-009,0.2155
2.6303e-009,0.2146
2.6728e-009,0.2149
2.7152e-009,0.2156
2.7576e-009,0.2160
2.8000e-009,0.2158
2.8425e-009,0.2155
2.8849e-009,0.2153
2.9273e-009,0.2152
2.9698e-009,0.2152
3.0122e-009,0.2155
3.0546e-009,0.2158
3.0970e-009,0.2157
3.1395e-009,0.2151
3.1819e-009,0.2148
3.2243e-009,0.2151
3.2667e-009,0.2156
3.3092e-009,0.2158
3.3516e-009,0.2156
3.3940e-009,0.2153
3.4364e-009,0.2152
3.4789e-009,0.2153
3.5213e-009,0.2155
3.5637e-009,0.2155
3.6061e-009,0.2155
3.6485e-009,0.2154
3.6910e-009,0.2154
3.7334e-009,0.2153
3.7758e-009,0.2153
3.8183e-009,0.2155
3.8607e-009,0.2156
3.9031e-009,0.2155
3.9455e-009,0.2154
3.9879e-009,0.2153
4.0304e-009,0.2154
4.0728e-009,0.2155
4.1152e-009,0.2155
4.1577e-009,0.2154
4.2001e-009,0.2154
4.2425e-009,0.2154
4.2849e-009,0.2155
4.3274e-009,0.2155
4.3698e-009,0.2155
4.4122e-009,0.2155
4.4546e-009,0.2155
4.4970e-009,0.2155
4.5395e-009,0.2154
4.5819e-009,0.2155
4.6243e-009,0.2155
4.6668e-009,0.2155
4.7092e-009,0.2155
4.7516e-009,0.2155
4.7940e-009,0.2155
4.8364e-009,0.2155
4.8789e-009,0.2155
4.9213e-009,0.2155
4.9637e-009,0.2155
5.0062e-009,0.2155
5.0486e-009,0.2155
5.0910e-009,0.2773
5.1334e-009,0.4544
5.1758e-009,0.6352
5.2183e-009,0.8645
5.2607e-009,1.0164
5.3031e-009,1.1069
5.3456e-009,1.1596
5.3880e-009,1.1711
5.4304e-009,1.1977
5.4728e-009,1.2096
5.5153e-009,1.2182
5.5577e-009,1.2148
5.6001e-009,1.1938
5.6425e-009,1.1875
5.6849e-009,1.1883
5.7274e-009,1.2018
5.7698e-009,1.2031
5.8122e-009,1.1909
5.8547e-009,1.1817
5.8971e-009,1.1835
5.9395e-009,1.2075
