.HEADER
..NAMES
Time,V U1.H24&G25
.DATA
2.1e-012,-1.0448
4.45e-011,-1.0448
8.69e-011,-1.0448
1.294e-010,-1.0448
1.718e-010,-1.0448
2.142e-010,-1.0448
2.566e-010,-1.0448
2.991e-010,-1.0448
3.415e-010,-1.0448
3.839e-010,-1.0448
4.263e-010,-1.0448
4.687e-010,-1.0448
5.112e-010,-1.0448
5.536e-010,-1.0448
5.960e-010,-1.0448
6.385e-010,-1.0448
6.809e-010,-1.0448
7.233e-010,-1.0448
7.657e-010,-1.0448
8.081e-010,-1.0448
8.506e-010,-1.0448
8.930e-010,-1.0448
9.354e-010,-1.0448
9.779e-010,-1.0448
1.0203e-009,-1.0448
1.0627e-009,-1.0448
1.1051e-009,-1.0448
1.1476e-009,-1.0448
1.1900e-009,-1.0448
1.2324e-009,-1.0448
1.2748e-009,-1.0448
1.3172e-009,-1.0376
1.3597e-009,-0.8318
1.4021e-009,-0.4136
1.4445e-009,-0.0592
1.4870e-009,0.3244
1.5294e-009,0.5938
1.5718e-009,0.7246
1.6142e-009,0.8112
1.6567e-009,0.8492
1.6991e-009,0.8829
1.7415e-009,0.9104
1.7839e-009,0.9290
1.8263e-009,0.9327
1.8688e-009,0.9156
1.9112e-009,0.9053
1.9536e-009,0.9019
1.9960e-009,0.8752
2.0385e-009,0.8728
2.0809e-009,0.8889
2.1233e-009,0.9017
2.1658e-009,0.9606
2.2082e-009,1.0113
2.2506e-009,1.0191
2.2930e-009,0.8038
2.3355e-009,0.3234
2.3779e-009,-0.0503
2.4203e-009,-0.4155
2.4627e-009,-0.6483
2.5052e-009,-0.7476
2.5476e-009,-0.8166
2.5900e-009,-0.8539
2.6324e-009,-0.8875
2.6749e-009,-0.9158
2.7173e-009,-0.9294
2.7597e-009,-0.9265
2.8021e-009,-0.9058
2.8445e-009,-0.8888
2.8870e-009,-0.8909
2.9294e-009,-0.8666
2.9718e-009,-0.8614
3.0142e-009,-0.8845
3.0567e-009,-0.9030
3.0991e-009,-0.9678
3.1415e-009,-1.0232
3.1839e-009,-1.0269
3.2264e-009,-0.8369
3.2688e-009,-0.3552
3.3112e-009,0.0201
3.3537e-009,0.3858
3.3961e-009,0.6263
3.4385e-009,0.7386
3.4809e-009,0.8113
3.5234e-009,0.8563
3.5658e-009,0.8885
3.6082e-009,0.9160
3.6506e-009,0.9312
3.6931e-009,0.9281
3.7355e-009,0.9101
3.7779e-009,0.8908
3.8203e-009,0.8953
3.8628e-009,0.8733
3.9052e-009,0.8630
3.9476e-009,0.8862
3.9900e-009,0.9040
4.0324e-009,0.9644
4.0749e-009,1.0233
4.1173e-009,1.0318
4.1597e-009,0.8796
4.2022e-009,0.4061
4.2446e-009,0.0217
4.2870e-009,-0.3499
4.3294e-009,-0.6019
4.3718e-009,-0.7279
4.4143e-009,-0.8013
4.4567e-009,-0.8507
4.4991e-009,-0.8813
4.5415e-009,-0.9097
4.5840e-009,-0.9279
4.6264e-009,-0.9256
4.6688e-009,-0.9104
4.7113e-009,-0.8885
4.7537e-009,-0.8934
4.7961e-009,-0.8735
4.8385e-009,-0.8593
4.8809e-009,-0.8815
4.9234e-009,-0.8982
4.9658e-009,-0.9541
5.0082e-009,-1.0167
5.0507e-009,-1.0306
5.0931e-009,-0.9161
5.1355e-009,-0.4503
5.1779e-009,-0.0496
5.2203e-009,0.3237
5.2628e-009,0.5858
5.3052e-009,0.7250
5.3476e-009,0.7984
5.3901e-009,0.8518
5.4325e-009,0.8811
5.4749e-009,0.9100
5.5173e-009,0.9303
5.5597e-009,0.9290
5.6022e-009,0.9158
5.6446e-009,0.8913
5.6870e-009,0.8960
5.7295e-009,0.8789
5.7719e-009,0.8608
5.8143e-009,0.8816
5.8567e-009,0.8985
5.8992e-009,0.9492
5.9416e-009,1.0153
5.9840e-009,1.0338
6.0264e-009,0.9513
6.0688e-009,0.5031
6.1113e-009,0.0865
6.1537e-009,-0.2857
6.1961e-009,-0.5597
6.2386e-009,-0.7134
6.2810e-009,-0.7891
6.3234e-009,-0.8461
6.3658e-009,-0.8741
6.4082e-009,-0.9044
6.4507e-009,-0.9271
6.4931e-009,-0.9268
6.5355e-009,-0.9158
6.5780e-009,-0.8900
6.6204e-009,-0.8935
6.6628e-009,-0.8794
6.7052e-009,-0.8585
6.7476e-009,-0.8771
6.7901e-009,-0.8942
6.8325e-009,-0.9397
6.8749e-009,-1.0084
6.9174e-009,-1.0309
6.9598e-009,-0.9740
7.0022e-009,-0.5511
7.0446e-009,-0.1152
7.0871e-009,0.2544
7.1295e-009,0.5409
7.1719e-009,0.7085
7.2143e-009,0.7859
7.2567e-009,0.8460
7.2992e-009,0.8735
7.3416e-009,0.9046
7.3840e-009,0.9284
7.4265e-009,0.9296
7.4689e-009,0.9202
7.5113e-009,0.8934
7.5537e-009,0.8952
7.5962e-009,0.8844
7.6386e-009,0.8608
7.6810e-009,0.8765
7.7234e-009,0.8949
7.7659e-009,0.9349
7.8083e-009,1.0055
7.8507e-009,1.0332
7.8931e-009,0.9946
7.9355e-009,0.6042
7.9780e-009,0.1533
8.0204e-009,-0.2129
8.0628e-009,-0.5139
8.1052e-009,-0.6952
8.1477e-009,-0.7759
8.1901e-009,-0.8398
8.2325e-009,-0.8670
8.2749e-009,-0.8995
8.3174e-009,-0.9247
8.3598e-009,-0.9275
8.4022e-009,-0.9198
8.4447e-009,-0.8933
8.4871e-009,-0.8926
8.5295e-009,-0.8849
8.5719e-009,-0.8597
8.6144e-009,-0.8721
8.6568e-009,-0.8914
8.6992e-009,-0.9263
8.7416e-009,-0.9978
8.7840e-009,-1.0300
8.8265e-009,-1.0032
8.8689e-009,-0.6503
8.9113e-009,-0.1846
8.9537e-009,0.1789
8.9962e-009,0.4933
9.0386e-009,0.6877
9.0810e-009,0.7713
9.1235e-009,0.8380
9.1659e-009,0.8665
9.2083e-009,0.8997
9.2507e-009,0.9251
9.2932e-009,0.9299
9.3356e-009,0.9235
9.3780e-009,0.8974
9.4204e-009,0.8936
9.4629e-009,0.8892
9.5053e-009,0.8629
9.5477e-009,0.8711
9.5901e-009,0.8921
9.6325e-009,0.9222
9.6750e-009,0.9935
9.7174e-009,1.0314
9.7598e-009,1.0114
9.8022e-009,0.6994
9.8447e-009,0.2251
9.8871e-009,-0.1363
9.9295e-009,-0.4652
9.9720e-009,-0.6723
1.00144e-008,-0.7601
1.00568e-008,-0.8303
1.00992e-008,-0.8607
1.01417e-008,-0.8946
1.01841e-008,-0.9210
1.02265e-008,-0.9280
1.02689e-008,-0.9226
1.03113e-008,-0.8983
1.03538e-008,-0.8910
1.03962e-008,-0.8892
1.04386e-008,-0.8629
1.04810e-008,-0.8671
1.05235e-008,-0.8890
1.05659e-008,-0.9149
1.06083e-008,-0.9852
1.06507e-008,-1.0278
1.06932e-008,-1.0149
1.07356e-008,-0.7418
1.07780e-008,-0.2612
1.08205e-008,0.1009
1.08629e-008,0.4428
1.09053e-008,0.6617
1.09477e-008,0.7549
1.09902e-008,0.8266
1.10326e-008,0.8607
1.10750e-008,0.8945
1.11174e-008,0.9208
1.11598e-008,0.9301
1.12023e-008,0.9257
1.12447e-008,0.9029
1.12871e-008,0.8918
1.13295e-008,0.8927
1.13720e-008,0.8669
1.14144e-008,0.8663
1.14568e-008,0.8893
1.14993e-008,0.9119
1.15417e-008,0.9799
1.15841e-008,1.0282
1.16265e-008,1.0217
1.16690e-008,0.7871
1.17114e-008,0.3058
1.17538e-008,-0.0585
1.17962e-008,-0.4134
1.18387e-008,-0.6433
1.18811e-008,-0.7444
1.19235e-008,-0.8174
1.19659e-008,-0.8557
1.20083e-008,-0.8891
1.20508e-008,-0.9163
1.20932e-008,-0.9284
1.21356e-008,-0.9246
1.21780e-008,-0.9043
1.22205e-008,-0.8895
1.22629e-008,-0.8922
1.23053e-008,-0.8677
1.23478e-008,-0.8629
1.23902e-008,-0.8861
1.24326e-008,-0.9059
1.24750e-008,-0.9711
1.25175e-008,-1.0240
1.25599e-008,-1.0244
1.26023e-008,-0.8277
1.26447e-008,-0.3471
1.26871e-008,0.0249
1.27296e-008,0.3892
1.27720e-008,0.6291
1.28144e-008,0.7399
1.28568e-008,0.8127
1.28993e-008,0.8561
1.29417e-008,0.8884
1.29841e-008,0.9156
1.30265e-008,0.9304
1.30690e-008,0.9273
1.31114e-008,0.9090
1.31538e-008,0.8906
1.31963e-008,0.8948
1.32387e-008,0.8721
1.32811e-008,0.8625
1.33235e-008,0.8859
1.33660e-008,0.9040
1.34084e-008,0.9652
1.34508e-008,1.0230
1.34932e-008,1.0298
1.35356e-008,0.8707
1.35781e-008,0.3955
1.36205e-008,0.0135
1.36629e-008,-0.3576
1.37053e-008,-0.6075
1.37478e-008,-0.7304
1.37902e-008,-0.8036
1.38326e-008,-0.8517
1.38751e-008,-0.8826
1.39175e-008,-0.9109
1.39599e-008,-0.9286
1.40023e-008,-0.9260
1.40448e-008,-0.9104
1.40872e-008,-0.8890
1.41296e-008,-0.8938
1.41720e-008,-0.8733
1.42145e-008,-0.8600
1.42569e-008,-0.8825
1.42993e-008,-0.8994
1.43417e-008,-0.9563
1.43841e-008,-1.0180
1.44266e-008,-1.0302
1.44690e-008,-0.9091
1.45114e-008,-0.4408
1.45538e-008,-0.0436
1.45963e-008,0.3299
1.46387e-008,0.5897
1.46811e-008,0.7260
1.47236e-008,0.7993
1.47660e-008,0.8518
1.48084e-008,0.8814
1.48508e-008,0.9101
1.48933e-008,0.9300
1.49357e-008,0.9284
1.49781e-008,0.9148
1.50205e-008,0.8907
1.50629e-008,0.8955
1.51054e-008,0.8779
1.51478e-008,0.8604
1.51902e-008,0.8816
1.52327e-008,0.8986
1.52751e-008,0.9503
1.53175e-008,1.0158
1.53599e-008,1.0333
1.54023e-008,0.9449
1.54448e-008,0.4920
1.54872e-008,0.0789
1.55296e-008,-0.2940
1.55721e-008,-0.5653
1.56145e-008,-0.7159
1.56569e-008,-0.7909
1.56993e-008,-0.8471
1.57417e-008,-0.8753
1.57842e-008,-0.9054
1.58266e-008,-0.9277
1.58690e-008,-0.9271
1.59114e-008,-0.9157
1.59539e-008,-0.8901
1.59963e-008,-0.8939
1.60387e-008,-0.8792
1.60812e-008,-0.8589
1.61236e-008,-0.8780
1.61660e-008,-0.8950
1.62084e-008,-0.9416
1.62508e-008,-1.0098
1.62933e-008,-1.0314
1.63357e-008,-0.9667
1.63781e-008,-0.5392
1.64206e-008,-0.1077
1.64630e-008,0.2624
1.65054e-008,0.5456
1.65478e-008,0.7101
1.65903e-008,0.7870
1.66327e-008,0.8463
1.66751e-008,0.8741
1.67175e-008,0.9049
1.67599e-008,0.9282
1.68024e-008,0.9292
1.68448e-008,0.9193
1.68872e-008,0.8928
1.69297e-008,0.8950
1.69721e-008,0.8834
1.70145e-008,0.8605
1.70569e-008,0.8768
1.70993e-008,0.8950
1.71418e-008,0.9364
1.71842e-008,1.0062
1.72266e-008,1.0328
1.72691e-008,0.9879
1.73115e-008,0.5913
1.73539e-008,0.1446
1.73963e-008,-0.2221
1.74388e-008,-0.5199
1.74812e-008,-0.6978
1.75236e-008,-0.7780
1.75660e-008,-0.8410
1.76084e-008,-0.8681
1.76509e-008,-0.9004
1.76933e-008,-0.9252
1.77357e-008,-0.9278
1.77782e-008,-0.9196
1.78206e-008,-0.8932
1.78630e-008,-0.8931
