.HEADER
..NAMES
Time,V U1.H24&G25
.DATA
2.1e-012,0.2172
4.45e-011,0.2172
8.69e-011,0.2172
1.294e-010,0.2172
1.718e-010,0.2172
2.142e-010,0.2172
2.566e-010,0.2172
2.991e-010,0.2172
3.415e-010,0.2172
3.839e-010,0.2172
4.263e-010,0.2172
4.687e-010,0.2172
5.112e-010,0.2172
5.536e-010,0.2172
5.960e-010,0.2172
6.385e-010,0.2172
6.809e-010,0.2172
7.233e-010,0.2172
7.657e-010,0.2172
8.081e-010,0.2172
8.506e-010,0.2172
8.930e-010,0.2172
9.354e-010,0.2172
9.779e-010,0.2172
1.0203e-009,0.2172
1.0627e-009,0.2172
1.1051e-009,0.2172
1.1476e-009,0.2172
1.1900e-009,0.2172
1.2324e-009,0.2172
1.2748e-009,0.2172
1.3172e-009,0.2198
1.3597e-009,0.3090
1.4021e-009,0.4871
1.4445e-009,0.6565
1.4870e-009,0.8603
1.5294e-009,0.9964
1.5718e-009,1.0671
1.6142e-009,1.1207
1.6567e-009,1.1460
1.6991e-009,1.1696
1.7415e-009,1.1882
1.7839e-009,1.1995
1.8263e-009,1.2028
1.8688e-009,1.1974
1.9112e-009,1.1932
1.9536e-009,1.1890
1.9960e-009,1.1780
2.0385e-009,1.1797
2.0809e-009,1.1823
2.1233e-009,1.1849
2.1658e-009,1.2151
2.2082e-009,1.2367
2.2506e-009,1.2389
2.2930e-009,1.1158
2.3355e-009,0.8487
2.3779e-009,0.6548
2.4203e-009,0.4866
2.4627e-009,0.3752
2.5052e-009,0.3321
2.5476e-009,0.3062
2.5900e-009,0.2940
2.6324e-009,0.2829
2.6749e-009,0.2742
2.7173e-009,0.2703
2.7597e-009,0.2725
2.8021e-009,0.2859
2.8445e-009,0.2957
2.8870e-009,0.2927
2.9294e-009,0.3061
2.9718e-009,0.3109
3.0142e-009,0.2946
3.0567e-009,0.2808
3.0991e-009,0.2476
3.1415e-009,0.2185
3.1839e-009,0.2167
3.2264e-009,0.2999
3.2688e-009,0.5126
3.3112e-009,0.6891
3.3537e-009,0.8842
3.3961e-009,1.0103
3.4385e-009,1.0725
3.4809e-009,1.1199
3.5234e-009,1.1492
3.5658e-009,1.1712
3.6082e-009,1.1902
3.6506e-009,1.2007
3.6931e-009,1.2000
3.7355e-009,1.1939
3.7779e-009,1.1860
3.8203e-009,1.1861
3.8628e-009,1.1759
3.9052e-009,1.1742
3.9476e-009,1.1817
3.9900e-009,1.1856
