.HEADER
..NAMES
Time,V U1.H24&G25
.DATA
2.1e-012,1.2620
4.45e-011,1.2620
8.69e-011,1.2620
1.294e-010,1.2620
1.718e-010,1.2620
2.142e-010,1.2620
2.566e-010,1.2620
2.991e-010,1.2620
3.415e-010,1.2620
3.839e-010,1.2620
4.263e-010,1.2620
4.687e-010,1.2620
5.112e-010,1.2620
5.536e-010,1.2620
5.960e-010,1.2620
6.385e-010,1.2620
6.809e-010,1.2620
7.233e-010,1.2620
7.657e-010,1.2620
8.081e-010,1.2620
8.506e-010,1.2620
8.930e-010,1.2620
9.354e-010,1.2620
9.779e-010,1.2620
1.0203e-009,1.2620
1.0627e-009,1.2620
1.1051e-009,1.2620
1.1476e-009,1.2620
1.1900e-009,1.2620
1.2324e-009,1.2620
1.2748e-009,1.2620
1.3172e-009,1.2574
1.3597e-009,1.1409
1.4021e-009,0.9007
1.4445e-009,0.7157
1.4870e-009,0.5359
1.5294e-009,0.4026
1.5718e-009,0.3425
1.6142e-009,0.3094
1.6567e-009,0.2969
1.6991e-009,0.2866
1.7415e-009,0.2778
1.7839e-009,0.2705
1.8263e-009,0.2700
1.8688e-009,0.2819
1.9112e-009,0.2880
1.9536e-009,0.2871
1.9960e-009,0.3028
2.0385e-009,0.3069
2.0809e-009,0.2934
2.1233e-009,0.2832
2.1658e-009,0.2544
2.2082e-009,0.2254
2.2506e-009,0.2198
2.2930e-009,0.3120
2.3355e-009,0.5253
2.3779e-009,0.7051
2.4203e-009,0.9021
2.4627e-009,1.0236
2.5052e-009,1.0798
2.5476e-009,1.1227
2.5900e-009,1.1479
2.6324e-009,1.1704
2.6749e-009,1.1900
2.7173e-009,1.1997
2.7597e-009,1.1990
2.8021e-009,1.1917
2.8445e-009,1.1846
2.8870e-009,1.1837
2.9294e-009,1.1727
2.9718e-009,1.1723
3.0142e-009,1.1791
3.0567e-009,1.1837
3.0991e-009,1.2154
3.1415e-009,1.2417
3.1839e-009,1.2436
3.2264e-009,1.1368
3.2688e-009,0.8678
3.3112e-009,0.6689
3.3537e-009,0.4983
3.3961e-009,0.3840
3.4385e-009,0.3339
3.4809e-009,0.3086
3.5234e-009,0.2929
3.5658e-009,0.2827
3.6082e-009,0.2742
3.6506e-009,0.2694
3.6931e-009,0.2718
3.7355e-009,0.2838
3.7779e-009,0.2952
3.8203e-009,0.2907
3.8628e-009,0.3026
3.9052e-009,0.3112
3.9476e-009,0.2955
3.9900e-009,0.2817
4.0324e-009,0.2517
4.0749e-009,0.2195
4.1173e-009,0.2136
