.HEADER
..NAMES
Time,V U1.H24&G25
.DATA
0.0e+000,-1.0448
4.24e-011,-1.0448
8.49e-011,-1.0448
1.273e-010,-1.0448
1.697e-010,-1.0448
2.121e-010,-1.0448
2.545e-010,-1.0448
2.970e-010,-1.0448
3.394e-010,-1.0448
3.818e-010,-1.0448
4.242e-010,-1.0448
4.667e-010,-1.0448
5.091e-010,-1.0448
5.515e-010,-1.0448
5.940e-010,-1.0448
6.364e-010,-1.0448
6.788e-010,-1.0448
7.212e-010,-1.0448
7.636e-010,-1.0448
8.061e-010,-1.0448
8.485e-010,-1.0376
8.909e-010,-0.8318
9.333e-010,-0.4136
9.758e-010,-0.0592
1.0182e-009,0.3244
1.0606e-009,0.5938
1.1030e-009,0.7246
1.1455e-009,0.8112
1.1879e-009,0.8492
1.2303e-009,0.8829
1.2728e-009,0.9104
1.3152e-009,0.9290
1.3576e-009,0.9327
1.4000e-009,0.9156
1.4425e-009,0.9053
1.4849e-009,0.9019
1.5273e-009,0.8752
1.5697e-009,0.8728
1.6121e-009,0.8889
1.6546e-009,0.9017
1.6970e-009,0.9606
1.7394e-009,1.0113
1.7819e-009,1.0191
1.8243e-009,0.8038
1.8667e-009,0.3234
1.9091e-009,-0.0503
1.9516e-009,-0.4155
1.9940e-009,-0.6483
2.0364e-009,-0.7476
2.0788e-009,-0.8166
2.1213e-009,-0.8539
2.1637e-009,-0.8875
2.2061e-009,-0.9158
2.2485e-009,-0.9294
2.2910e-009,-0.9265
2.3334e-009,-0.9058
2.3758e-009,-0.8888
2.4182e-009,-0.8909
2.4606e-009,-0.8666
2.5031e-009,-0.8614
2.5455e-009,-0.8845
2.5879e-009,-0.9030
2.6303e-009,-0.9678
2.6728e-009,-1.0232
2.7152e-009,-1.0269
2.7576e-009,-0.8369
2.8000e-009,-0.3552
2.8425e-009,0.0201
2.8849e-009,0.3858
2.9273e-009,0.6263
2.9698e-009,0.7386
3.0122e-009,0.8113
3.0546e-009,0.8563
3.0970e-009,0.8885
3.1395e-009,0.9160
3.1819e-009,0.9312
3.2243e-009,0.9281
3.2667e-009,0.9101
3.3092e-009,0.8908
3.3516e-009,0.8953
3.3940e-009,0.8733
3.4364e-009,0.8630
3.4789e-009,0.8862
3.5213e-009,0.9040
3.5637e-009,0.9644
3.6061e-009,1.0233
3.6485e-009,1.0318
3.6910e-009,0.8796
3.7334e-009,0.4061
3.7758e-009,0.0217
3.8183e-009,-0.3499
3.8607e-009,-0.6019
3.9031e-009,-0.7279
3.9455e-009,-0.8013
3.9879e-009,-0.8507
4.0304e-009,-0.8813
4.0728e-009,-0.9097
4.1152e-009,-0.9279
4.1577e-009,-0.9256
4.2001e-009,-0.9104
4.2425e-009,-0.8885
4.2849e-009,-0.8934
4.3274e-009,-0.8735
4.3698e-009,-0.8593
4.4122e-009,-0.8815
4.4546e-009,-0.8982
4.4970e-009,-0.9541
4.5395e-009,-1.0167
4.5819e-009,-1.0306
4.6243e-009,-0.9161
4.6668e-009,-0.4503
4.7092e-009,-0.0496
4.7516e-009,0.3237
4.7940e-009,0.5858
4.8364e-009,0.7250
4.8789e-009,0.7984
4.9213e-009,0.8518
4.9637e-009,0.8811
5.0062e-009,0.9100
5.0486e-009,0.9303
5.0910e-009,0.9290
5.1334e-009,0.9158
5.1758e-009,0.8913
5.2183e-009,0.8960
5.2607e-009,0.8789
5.3031e-009,0.8608
5.3456e-009,0.8816
5.3880e-009,0.8985
5.4304e-009,0.9492
5.4728e-009,1.0153
5.5153e-009,1.0338
5.5577e-009,0.9513
5.6001e-009,0.5031
5.6425e-009,0.0865
5.6849e-009,-0.2857
5.7274e-009,-0.5597
5.7698e-009,-0.7134
5.8122e-009,-0.7891
5.8547e-009,-0.8461
5.8971e-009,-0.8741
5.9395e-009,-0.9044
5.9819e-009,-0.9271
6.0243e-009,-0.9268
6.0668e-009,-0.9158
6.1092e-009,-0.8900
6.1516e-009,-0.8935
6.1941e-009,-0.8794
6.2365e-009,-0.8585
6.2789e-009,-0.8771
6.3213e-009,-0.8942
6.3637e-009,-0.9397
6.4062e-009,-1.0084
6.4486e-009,-1.0309
6.4910e-009,-0.9740
6.5335e-009,-0.5511
6.5759e-009,-0.1152
6.6183e-009,0.2544
6.6607e-009,0.5409
6.7032e-009,0.7085
6.7456e-009,0.7859
6.7880e-009,0.8460
6.8304e-009,0.8735
6.8728e-009,0.9046
6.9153e-009,0.9284
6.9577e-009,0.9296
7.0001e-009,0.9202
7.0426e-009,0.8934
7.0850e-009,0.8952
7.1274e-009,0.8844
7.1698e-009,0.8608
7.2122e-009,0.8765
7.2547e-009,0.8949
7.2971e-009,0.9349
7.3395e-009,1.0055
7.3820e-009,1.0332
7.4244e-009,0.9946
7.4668e-009,0.6042
7.5092e-009,0.1533
7.5516e-009,-0.2129
7.5941e-009,-0.5139
7.6365e-009,-0.6952
7.6789e-009,-0.7759
7.7213e-009,-0.8398
7.7638e-009,-0.8670
7.8062e-009,-0.8995
7.8486e-009,-0.9247
7.8910e-009,-0.9275
7.9335e-009,-0.9198
7.9759e-009,-0.8933
8.0183e-009,-0.8926
8.0608e-009,-0.8849
8.1032e-009,-0.8597
8.1456e-009,-0.8721
8.1880e-009,-0.8914
8.2305e-009,-0.9263
8.2729e-009,-0.9978
8.3153e-009,-1.0300
8.3577e-009,-1.0032
8.4001e-009,-0.6503
8.4426e-009,-0.1846
8.4850e-009,0.1789
8.5274e-009,0.4933
8.5698e-009,0.6877
8.6123e-009,0.7713
8.6547e-009,0.8380
8.6971e-009,0.8665
8.7396e-009,0.8997
8.7820e-009,0.9251
8.8244e-009,0.9299
8.8668e-009,0.9235
8.9093e-009,0.8974
8.9517e-009,0.8936
8.9941e-009,0.8892
9.0365e-009,0.8629
9.0790e-009,0.8711
9.1214e-009,0.8921
9.1638e-009,0.9222
9.2062e-009,0.9935
9.2486e-009,1.0314
9.2911e-009,1.0114
9.3335e-009,0.6994
9.3759e-009,0.2251
9.4183e-009,-0.1363
9.4608e-009,-0.4652
