.HEADER
..NAMES
Time,V U1.H24&G25
.DATA
0.0e+000,-1.0448
4.24e-011,-1.0448
8.49e-011,-1.0448
1.273e-010,-1.0448
1.697e-010,-1.0448
2.121e-010,-1.0448
2.545e-010,-1.0448
2.970e-010,-1.0448
3.394e-010,-1.0448
3.818e-010,-1.0448
4.242e-010,-1.0448
4.667e-010,-1.0448
5.091e-010,-1.0448
5.515e-010,-1.0448
5.940e-010,-1.0448
6.364e-010,-1.0448
6.788e-010,-1.0448
7.212e-010,-1.0448
7.636e-010,-1.0448
8.061e-010,-1.0448
8.485e-010,-1.0448
8.909e-010,-1.0477
9.333e-010,-1.0480
9.758e-010,-1.0471
1.0182e-009,-1.0450
1.0606e-009,-1.0427
1.1030e-009,-1.0425
1.1455e-009,-1.0446
1.1879e-009,-1.0451
1.2303e-009,-1.0454
1.2728e-009,-1.0454
1.3152e-009,-1.0383
1.3576e-009,-0.8477
1.4000e-009,-0.4302
1.4425e-009,-0.0775
1.4849e-009,0.3103
1.5273e-009,0.5848
1.5697e-009,0.7203
1.6121e-009,0.8078
1.6546e-009,0.8470
1.6970e-009,0.8808
1.7394e-009,0.9091
1.7819e-009,0.9298
1.8243e-009,0.9385
1.8667e-009,0.9213
1.9091e-009,0.9048
1.9516e-009,0.9007
1.9940e-009,0.8735
2.0364e-009,0.8694
2.0788e-009,0.8895
2.1213e-009,0.9013
2.1637e-009,0.9571
2.2061e-009,1.0094
2.2485e-009,1.0187
2.2910e-009,0.8207
2.3334e-009,0.3428
2.3758e-009,-0.0331
2.4182e-009,-0.4031
2.4606e-009,-0.6403
2.5031e-009,-0.7443
2.5455e-009,-0.8130
2.5879e-009,-0.8510
2.6303e-009,-0.8848
2.6728e-009,-0.9155
2.7152e-009,-0.9304
2.7576e-009,-0.9276
2.8000e-009,-0.9078
2.8425e-009,-0.8878
2.8849e-009,-0.8905
2.9273e-009,-0.8681
2.9698e-009,-0.8612
3.0122e-009,-0.8841
3.0546e-009,-0.9018
3.0970e-009,-0.9640
3.1395e-009,-1.0213
3.1819e-009,-1.0282
3.2243e-009,-0.8563
3.2667e-009,-0.3779
3.3092e-009,0.0025
3.3516e-009,0.3721
3.3940e-009,0.6170
3.4364e-009,0.7349
3.4789e-009,0.8076
3.5213e-009,0.8552
3.5637e-009,0.8870
3.6061e-009,0.9150
3.6485e-009,0.9313
3.6910e-009,0.9256
3.7334e-009,0.9078
3.7758e-009,0.8888
3.8183e-009,0.8950
3.8607e-009,0.8760
3.9031e-009,0.8655
3.9455e-009,0.8863
3.9879e-009,0.9029
4.0304e-009,0.9604
4.0728e-009,1.0210
4.1152e-009,1.0336
4.1577e-009,0.9005
4.2001e-009,0.4323
4.2425e-009,0.0406
4.2849e-009,-0.3331
4.3274e-009,-0.5908
4.3698e-009,-0.7241
4.4122e-009,-0.7980
4.4546e-009,-0.8505
4.4970e-009,-0.8807
4.5395e-009,-0.9085
4.5819e-009,-0.9275
4.6243e-009,-0.9250
4.6668e-009,-0.9108
4.7092e-009,-0.8888
4.7516e-009,-0.8941
4.7940e-009,-0.8753
4.8364e-009,-0.8591
4.8789e-009,-0.8800
4.9213e-009,-0.8965
4.9637e-009,-0.9503
5.0062e-009,-1.0147
5.0486e-009,-1.0308
5.0910e-009,-0.9312
5.1334e-009,-0.4741
5.1758e-009,-0.0652
5.2183e-009,0.3078
5.2607e-009,0.5750
5.3031e-009,0.7217
5.3456e-009,0.7958
5.3880e-009,0.8508
5.4304e-009,0.8794
5.4728e-009,0.9085
5.5153e-009,0.9297
5.5577e-009,0.9292
5.6001e-009,0.9171
5.6425e-009,0.8919
5.6849e-009,0.8960
5.7274e-009,0.8802
5.7698e-009,0.8606
5.8122e-009,0.8804
5.8547e-009,0.8977
5.8971e-009,0.9459
5.9395e-009,1.0131
5.9819e-009,1.0337
6.0243e-009,0.9628
6.0668e-009,0.5280
6.1092e-009,0.1028
6.1516e-009,-0.2684
6.1941e-009,-0.5486
6.2365e-009,-0.7093
6.2789e-009,-0.7860
6.3213e-009,-0.8447
6.3637e-009,-0.8722
6.4062e-009,-0.9031
6.4486e-009,-0.9265
6.4910e-009,-0.9249
6.5335e-009,-0.9118
6.5759e-009,-0.8889
6.6183e-009,-0.8934
6.6607e-009,-0.8815
6.7032e-009,-0.8617
6.7456e-009,-0.8773
6.7880e-009,-0.8929
6.8304e-009,-0.9360
6.8728e-009,-1.0055
6.9153e-009,-1.0307
6.9577e-009,-0.9827
7.0001e-009,-0.5776
7.0426e-009,-0.1338
7.0850e-009,0.2346
7.1274e-009,0.5286
7.1698e-009,0.7033
7.2122e-009,0.7822
7.2547e-009,0.8448
7.2971e-009,0.8734
7.3395e-009,0.9034
7.3820e-009,0.9268
7.4244e-009,0.9291
7.4668e-009,0.9202
7.5092e-009,0.8942
7.5516e-009,0.8959
7.5941e-009,0.8861
7.6365e-009,0.8612
7.6789e-009,0.8752
7.7213e-009,0.8938
7.7638e-009,0.9316
7.8062e-009,1.0028
7.8486e-009,1.0329
7.8910e-009,0.9985
7.9335e-009,0.6279
7.9759e-009,0.1702
8.0183e-009,-0.1942
8.0608e-009,-0.5020
8.1032e-009,-0.6900
8.1456e-009,-0.7727
8.1880e-009,-0.8379
8.2305e-009,-0.8654
8.2729e-009,-0.8983
8.3153e-009,-0.9235
8.3577e-009,-0.9276
8.4001e-009,-0.9207
8.4426e-009,-0.8945
8.4850e-009,-0.8923
8.5274e-009,-0.8859
8.5698e-009,-0.8603
8.6123e-009,-0.8708
8.6547e-009,-0.8908
8.6971e-009,-0.9235
8.7396e-009,-0.9949
8.7820e-009,-1.0294
8.8244e-009,-1.0063
8.8668e-009,-0.6730
8.9093e-009,-0.2024
8.9517e-009,0.1600
8.9941e-009,0.4813
9.0365e-009,0.6817
9.0790e-009,0.7675
9.1214e-009,0.8355
9.1638e-009,0.8649
9.2062e-009,0.8985
9.2486e-009,0.9241
9.2911e-009,0.9300
9.3335e-009,0.9241
9.3759e-009,0.8987
9.4183e-009,0.8933
