.HEADER
..NAMES
Time,V U1.H24&G25
.DATA
0.0e+000,0.2172
4.24e-011,0.2172
8.49e-011,0.2172
1.273e-010,0.2172
1.697e-010,0.2172
2.121e-010,0.2172
2.545e-010,0.2172
2.970e-010,0.2172
3.394e-010,0.2172
3.818e-010,0.2172
4.242e-010,0.2172
4.667e-010,0.2172
5.091e-010,0.2172
5.515e-010,0.2172
5.940e-010,0.2172
6.364e-010,0.2172
6.788e-010,0.2172
7.212e-010,0.2172
7.636e-010,0.2172
8.061e-010,0.2172
8.485e-010,0.2172
8.909e-010,0.2125
9.333e-010,0.2114
9.758e-010,0.2118
1.0182e-009,0.2141
1.0606e-009,0.2168
1.1030e-009,0.2182
1.1455e-009,0.2166
1.1879e-009,0.2163
1.2303e-009,0.2159
1.2728e-009,0.2161
1.3152e-009,0.2197
1.3576e-009,0.3036
1.4000e-009,0.4819
1.4425e-009,0.6488
1.4849e-009,0.8546
1.5273e-009,0.9931
1.5697e-009,1.0652
1.6121e-009,1.1187
1.6546e-009,1.1436
1.6970e-009,1.1668
1.7394e-009,1.1868
1.7819e-009,1.2006
1.8243e-009,1.2118
1.8667e-009,1.2067
1.9091e-009,1.1965
1.9516e-009,1.1903
1.9940e-009,1.1776
2.0364e-009,1.1773
2.0788e-009,1.1837
2.1213e-009,1.1858
2.1637e-009,1.2141
2.2061e-009,1.2360
2.2485e-009,1.2384
2.2910e-009,1.1247
2.3334e-009,0.8578
2.3758e-009,0.6621
2.4182e-009,0.4909
2.4606e-009,0.3780
2.5031e-009,0.3332
2.5455e-009,0.3082
2.5879e-009,0.2971
2.6303e-009,0.2861
2.6728e-009,0.2739
2.7152e-009,0.2687
2.7576e-009,0.2706
2.8000e-009,0.2837
2.8425e-009,0.2962
2.8849e-009,0.2934
2.9273e-009,0.3052
2.9698e-009,0.3110
3.0122e-009,0.2951
3.0546e-009,0.2813
3.0970e-009,0.2494
3.1395e-009,0.2197
3.1819e-009,0.2161
3.2243e-009,0.2918
3.2667e-009,0.5031
3.3092e-009,0.6809
3.3516e-009,0.8772
3.3940e-009,1.0057
3.4364e-009,1.0698
3.4789e-009,1.1171
3.5213e-009,1.1480
3.5637e-009,1.1701
3.6061e-009,1.1898
3.6485e-009,1.2009
3.6910e-009,1.1960
3.7334e-009,1.1880
3.7758e-009,1.1814
3.8183e-009,1.1824
3.8607e-009,1.1750
3.9031e-009,1.1755
3.9455e-009,1.1820
3.9879e-009,1.1846
4.0304e-009,1.2132
4.0728e-009,1.2413
4.1152e-009,1.2463
4.1577e-009,1.1703
