.HEADER
..NAMES
Time,V U1.H24&G25
.DATA
0.0e+000,1.2620
4.24e-011,1.2620
8.49e-011,1.2620
1.273e-010,1.2620
1.697e-010,1.2620
2.121e-010,1.2620
2.545e-010,1.2620
2.970e-010,1.2620
3.394e-010,1.2620
3.818e-010,1.2620
4.242e-010,1.2620
4.667e-010,1.2620
5.091e-010,1.2620
5.515e-010,1.2620
5.940e-010,1.2620
6.364e-010,1.2620
6.788e-010,1.2620
7.212e-010,1.2620
7.636e-010,1.2620
8.061e-010,1.2620
8.485e-010,1.2620
8.909e-010,1.2601
9.333e-010,1.2593
9.758e-010,1.2589
1.0182e-009,1.2591
1.0606e-009,1.2595
1.1030e-009,1.2607
1.1455e-009,1.2612
1.1879e-009,1.2614
1.2303e-009,1.2614
1.2728e-009,1.2616
1.3152e-009,1.2580
1.3576e-009,1.1513
1.4000e-009,0.9121
1.4425e-009,0.7263
1.4849e-009,0.5443
1.5273e-009,0.4083
1.5697e-009,0.3449
1.6121e-009,0.3109
1.6546e-009,0.2967
1.6970e-009,0.2859
1.7394e-009,0.2777
1.7819e-009,0.2708
1.8243e-009,0.2733
1.8667e-009,0.2853
1.9091e-009,0.2917
1.9516e-009,0.2896
1.9940e-009,0.3041
2.0364e-009,0.3079
2.0788e-009,0.2942
2.1213e-009,0.2846
2.1637e-009,0.2570
2.2061e-009,0.2267
2.2485e-009,0.2196
2.2910e-009,0.3040
2.3334e-009,0.5150
2.3758e-009,0.6952
2.4182e-009,0.8939
2.4606e-009,1.0183
2.5031e-009,1.0775
2.5455e-009,1.1213
2.5879e-009,1.1481
2.6303e-009,1.1709
2.6728e-009,1.1894
2.7152e-009,1.1991
2.7576e-009,1.1982
2.8000e-009,1.1915
2.8425e-009,1.1840
2.8849e-009,1.1839
2.9273e-009,1.1734
2.9698e-009,1.1722
3.0122e-009,1.1791
3.0546e-009,1.1831
3.0970e-009,1.2134
3.1395e-009,1.2410
3.1819e-009,1.2442
3.2243e-009,1.1480
3.2667e-009,0.8809
3.3092e-009,0.6784
3.3516e-009,0.5051
3.3940e-009,0.3887
3.4364e-009,0.3349
3.4789e-009,0.3094
3.5213e-009,0.2928
3.5637e-009,0.2832
3.6061e-009,0.2748
3.6485e-009,0.2696
3.6910e-009,0.2704
3.7334e-009,0.2802
3.7758e-009,0.2926
3.8183e-009,0.2874
3.8607e-009,0.2990
