.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
2.1e-012,0.2171
4.45e-011,0.2171
8.69e-011,0.2171
1.294e-010,0.2171
1.718e-010,0.2171
2.142e-010,0.2171
2.566e-010,0.2171
2.991e-010,0.2171
3.415e-010,0.2171
3.839e-010,0.2171
4.263e-010,0.2171
4.687e-010,0.2171
5.112e-010,0.2171
5.536e-010,0.2171
5.960e-010,0.2171
6.385e-010,0.2171
6.809e-010,0.2171
7.233e-010,0.2171
7.657e-010,0.2171
8.081e-010,0.2171
8.506e-010,0.2171
8.930e-010,0.2171
9.354e-010,0.2171
9.779e-010,0.2171
1.0203e-009,0.2171
1.0627e-009,0.2171
1.1051e-009,0.2171
1.1476e-009,0.2171
1.1900e-009,0.2171
1.2324e-009,0.2171
1.2748e-009,0.2171
1.3172e-009,0.2188
1.3597e-009,0.3127
1.4021e-009,0.4675
1.4445e-009,0.6480
1.4870e-009,0.8344
1.5294e-009,0.9863
1.5718e-009,1.0810
1.6142e-009,1.1297
1.6567e-009,1.1569
1.6991e-009,1.1551
1.7415e-009,1.1407
1.7839e-009,1.1407
1.8263e-009,1.1513
1.8688e-009,1.1671
1.9112e-009,1.1772
1.9536e-009,1.1820
1.9960e-009,1.1821
2.0385e-009,1.1910
2.0809e-009,1.2102
2.1233e-009,1.2265
2.1658e-009,1.2430
2.2082e-009,1.2495
2.2506e-009,1.2351
2.2930e-009,1.1039
2.3355e-009,0.8956
2.3779e-009,0.7078
2.4203e-009,0.5379
2.4627e-009,0.4020
2.5052e-009,0.3243
2.5476e-009,0.3007
2.5900e-009,0.2954
2.6324e-009,0.3100
2.6749e-009,0.3341
2.7173e-009,0.3306
2.7597e-009,0.3104
2.8021e-009,0.2970
2.8445e-009,0.2981
2.8870e-009,0.3010
2.9294e-009,0.2999
2.9718e-009,0.2843
3.0142e-009,0.2536
3.0567e-009,0.2327
3.0991e-009,0.2215
3.1415e-009,0.2192
3.1839e-009,0.2250
3.2264e-009,0.3101
3.2688e-009,0.4682
3.3112e-009,0.6391
3.3537e-009,0.8317
3.3961e-009,0.9793
3.4385e-009,1.0696
3.4809e-009,1.1151
3.5234e-009,1.1461
3.5658e-009,1.1531
3.6082e-009,1.1419
3.6506e-009,1.1415
3.6931e-009,1.1502
3.7355e-009,1.1640
3.7779e-009,1.1743
3.8203e-009,1.1806
3.8628e-009,1.1832
3.9052e-009,1.1902
3.9476e-009,1.2094
3.9900e-009,1.2253
4.0324e-009,1.2420
4.0749e-009,1.2495
4.1173e-009,1.2411
4.1597e-009,1.1385
4.2022e-009,0.9352
4.2446e-009,0.7506
4.2870e-009,0.5711
4.3294e-009,0.4276
4.3718e-009,0.3359
4.4143e-009,0.3035
4.4567e-009,0.2938
4.4991e-009,0.3047
4.5415e-009,0.3303
4.5840e-009,0.3337
4.6264e-009,0.3145
4.6688e-009,0.2985
4.7113e-009,0.2972
4.7537e-009,0.3006
4.7961e-009,0.3003
4.8385e-009,0.2892
4.8809e-009,0.2593
4.9234e-009,0.2360
4.9658e-009,0.2232
5.0082e-009,0.2193
5.0507e-009,0.2231
5.0931e-009,0.2842
5.1355e-009,0.4361
5.1779e-009,0.5993
5.2203e-009,0.7995
5.2628e-009,0.9542
5.3052e-009,1.0571
5.3476e-009,1.1072
5.3901e-009,1.1412
5.4325e-009,1.1537
5.4749e-009,1.1439
5.5173e-009,1.1404
5.5597e-009,1.1479
5.6022e-009,1.1611
5.6446e-009,1.1728
5.6870e-009,1.1795
5.7295e-009,1.1830
5.7719e-009,1.1872
5.8143e-009,1.2055
5.8567e-009,1.2221
5.8992e-009,1.2390
5.9416e-009,1.2492
5.9840e-009,1.2462
6.0264e-009,1.1728
6.0688e-009,0.9749
6.1113e-009,0.7887
6.1537e-009,0.6010
6.1961e-009,0.4529
6.2386e-009,0.3477
6.2810e-009,0.3069
6.3234e-009,0.2944
6.3658e-009,0.3009
6.4082e-009,0.3256
6.4507e-009,0.3356
6.4931e-009,0.3185
6.5355e-009,0.3005
6.5780e-009,0.2965
6.6204e-009,0.3003
6.6628e-009,0.3005
6.7052e-009,0.2931
6.7476e-009,0.2652
6.7901e-009,0.2395
6.8325e-009,0.2250
6.8749e-009,0.2194
6.9174e-009,0.2212
6.9598e-009,0.2573
7.0022e-009,0.4038
7.0446e-009,0.5651
7.0871e-009,0.7650
7.1295e-009,0.9260
7.1719e-009,1.0426
7.2143e-009,1.0995
7.2567e-009,1.1354
7.2992e-009,1.1536
7.3416e-009,1.1461
7.3840e-009,1.1398
7.4265e-009,1.1459
7.4689e-009,1.1582
7.5113e-009,1.1710
7.5537e-009,1.1783
7.5962e-009,1.1828
7.6386e-009,1.1852
7.6810e-009,1.2015
7.7234e-009,1.2190
7.7659e-009,1.2357
7.8083e-009,1.2482
7.8507e-009,1.2483
7.8931e-009,1.2046
7.9355e-009,1.0168
7.9780e-009,0.8237
