.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
2.1e-012,-1.0448
4.45e-011,-1.0448
8.69e-011,-1.0448
1.294e-010,-1.0448
1.718e-010,-1.0448
2.142e-010,-1.0448
2.566e-010,-1.0448
2.991e-010,-1.0448
3.415e-010,-1.0448
3.839e-010,-1.0448
4.263e-010,-1.0448
4.687e-010,-1.0448
5.112e-010,-1.0448
5.536e-010,-1.0448
5.960e-010,-1.0448
6.385e-010,-1.0448
6.809e-010,-1.0448
7.233e-010,-1.0448
7.657e-010,-1.0448
8.081e-010,-1.0448
8.506e-010,-1.0448
8.930e-010,-1.0448
9.354e-010,-1.0448
9.779e-010,-1.0448
1.0203e-009,-1.0448
1.0627e-009,-1.0448
1.1051e-009,-1.0448
1.1476e-009,-1.0448
1.1900e-009,-1.0448
1.2324e-009,-1.0448
1.2748e-009,-1.0448
1.3172e-009,-1.0341
1.3597e-009,-0.8145
1.4021e-009,-0.4583
1.4445e-009,-0.0866
1.4870e-009,0.2754
1.5294e-009,0.5742
1.5718e-009,0.7558
1.6142e-009,0.8327
1.6567e-009,0.8661
1.6991e-009,0.8451
1.7415e-009,0.8076
1.7839e-009,0.8126
1.8263e-009,0.8431
1.8688e-009,0.8754
1.9112e-009,0.8869
1.9536e-009,0.8874
1.9960e-009,0.8844
2.0385e-009,0.9059
2.0809e-009,0.9528
2.1233e-009,0.9899
2.1658e-009,1.0201
2.2082e-009,1.0316
2.2506e-009,1.0140
2.2930e-009,0.7855
2.3355e-009,0.4136
2.3779e-009,0.0475
2.4203e-009,-0.3106
2.4627e-009,-0.5895
2.5052e-009,-0.7517
2.5476e-009,-0.8166
2.5900e-009,-0.8493
2.6324e-009,-0.8357
2.6749e-009,-0.8027
2.7173e-009,-0.8109
2.7597e-009,-0.8429
2.8021e-009,-0.8744
2.8445e-009,-0.8823
2.8870e-009,-0.8818
2.9294e-009,-0.8822
2.9718e-009,-0.9054
3.0142e-009,-0.9549
3.0567e-009,-0.9917
3.0991e-009,-1.0201
3.1415e-009,-1.0290
3.1839e-009,-1.0132
3.2264e-009,-0.8132
3.2688e-009,-0.4493
3.3112e-009,-0.0915
3.3537e-009,0.2773
3.3961e-009,0.5652
3.4385e-009,0.7409
3.4809e-009,0.8140
3.5234e-009,0.8513
3.5658e-009,0.8425
3.6082e-009,0.8084
3.6506e-009,0.8127
3.6931e-009,0.8422
3.7355e-009,0.8737
3.7779e-009,0.8841
3.8203e-009,0.8841
3.8628e-009,0.8850
3.9052e-009,0.9036
3.9476e-009,0.9517
3.9900e-009,0.9892
4.0324e-009,1.0195
4.0749e-009,1.0311
4.1173e-009,1.0199
4.1597e-009,0.8463
4.2022e-009,0.4872
4.2446e-009,0.1346
4.2870e-009,-0.2434
4.3294e-009,-0.5377
4.3718e-009,-0.7258
4.4143e-009,-0.8055
4.4567e-009,-0.8473
4.4991e-009,-0.8441
4.5415e-009,-0.8085
4.5840e-009,-0.8064
4.6264e-009,-0.8351
4.6688e-009,-0.8690
4.7113e-009,-0.8821
4.7537e-009,-0.8823
4.7961e-009,-0.8828
4.8385e-009,-0.8974
4.8809e-009,-0.9455
4.9234e-009,-0.9849
4.9658e-009,-1.0156
5.0082e-009,-1.0287
5.0507e-009,-1.0214
5.0931e-009,-0.8738
5.1355e-009,-0.5209
5.1779e-009,-0.1713
5.2203e-009,0.2149
5.2628e-009,0.5158
5.3052e-009,0.7174
5.3476e-009,0.8029
5.3901e-009,0.8465
5.4325e-009,0.8475
5.4749e-009,0.8131
5.5173e-009,0.8085
5.5597e-009,0.8356
5.6022e-009,0.8685
5.6446e-009,0.8836
5.6870e-009,0.8836
5.7295e-009,0.8847
5.7719e-009,0.8963
5.8143e-009,0.9423
5.8567e-009,0.9824
5.8992e-009,1.0144
5.9416e-009,1.0304
5.9840e-009,1.0264
6.0264e-009,0.9063
6.0688e-009,0.5591
6.1113e-009,0.2096
6.1537e-009,-0.1805
6.1961e-009,-0.4857
6.2386e-009,-0.7008
6.2810e-009,-0.7946
6.3234e-009,-0.8416
6.3658e-009,-0.8489
6.4082e-009,-0.8149
6.4507e-009,-0.8035
6.4931e-009,-0.8286
6.5355e-009,-0.8635
6.5780e-009,-0.8816
6.6204e-009,-0.8822
6.6628e-009,-0.8832
6.7052e-009,-0.8913
6.7476e-009,-0.9359
6.7901e-009,-0.9783
6.8325e-009,-1.0106
6.8749e-009,-1.0279
6.9174e-009,-1.0263
6.9598e-009,-0.9351
7.0022e-009,-0.5942
7.0446e-009,-0.2425
7.0871e-009,0.1490
7.1295e-009,0.4610
7.1719e-009,0.6895
7.2143e-009,0.7922
7.2567e-009,0.8398
7.2992e-009,0.8513
7.3416e-009,0.8193
7.3840e-009,0.8058
7.4265e-009,0.8292
7.4689e-009,0.8625
7.5113e-009,0.8825
7.5537e-009,0.8834
7.5962e-009,0.8847
7.6386e-009,0.8909
7.6810e-009,0.9324
7.7234e-009,0.9755
7.7659e-009,1.0087
7.8083e-009,1.0289
7.8507e-009,1.0297
7.8931e-009,0.9631
7.9355e-009,0.6336
7.9780e-009,0.2770
8.0204e-009,-0.1117
8.0628e-009,-0.4295
8.1052e-009,-0.6697
8.1477e-009,-0.7842
8.1901e-009,-0.8344
8.2325e-009,-0.8521
8.2749e-009,-0.8219
8.3174e-009,-0.8019
8.3598e-009,-0.8225
8.4022e-009,-0.8572
8.4447e-009,-0.8803
8.4871e-009,-0.8823
8.5295e-009,-0.8834
8.5719e-009,-0.8870
8.6144e-009,-0.9260
8.6568e-009,-0.9714
8.6992e-009,-1.0050
8.7416e-009,-1.0264
8.7840e-009,-1.0281
8.8265e-009,-0.9814
8.8689e-009,-0.6709
8.9113e-009,-0.3092
8.9537e-009,0.0761
8.9962e-009,0.4033
9.0386e-009,0.6546
9.0810e-009,0.7809
9.1235e-009,0.8324
9.1659e-009,0.8535
9.2083e-009,0.8264
9.2507e-009,0.8043
9.2932e-009,0.8234
9.3356e-009,0.8560
9.3780e-009,0.8806
9.4204e-009,0.8834
9.4629e-009,0.8845
9.5053e-009,0.8873
9.5477e-009,0.9223
9.5901e-009,0.9683
9.6325e-009,1.0025
9.6750e-009,1.0267
9.7174e-009,1.0304
9.7598e-009,0.9980
9.8022e-009,0.7098
9.8447e-009,0.3433
9.8871e-009,-0.0361
9.9295e-009,-0.3719
9.9720e-009,-0.6317
1.00144e-008,-0.7708
1.00568e-008,-0.8269
1.00992e-008,-0.8532
1.01417e-008,-0.8297
1.01841e-008,-0.8017
1.02265e-008,-0.8169
1.02689e-008,-0.8502
1.03113e-008,-0.8780
1.03538e-008,-0.8825
1.03962e-008,-0.8833
1.04386e-008,-0.8845
1.04810e-008,-0.9160
1.05235e-008,-0.9640
1.05659e-008,-0.9989
1.06083e-008,-1.0240
1.06507e-008,-1.0289
1.06932e-008,-1.0039
1.07356e-008,-0.7437
1.07780e-008,-0.3753
1.08205e-008,-0.0020
1.08629e-008,0.3444
1.09053e-008,0.6140
1.09477e-008,0.7648
1.09902e-008,0.8245
1.10326e-008,0.8534
1.10750e-008,0.8340
1.11174e-008,0.8045
1.11598e-008,0.8179
1.12023e-008,0.8492
1.12447e-008,0.8777
1.12871e-008,0.8836
1.13295e-008,0.8841
1.13720e-008,0.8854
1.14144e-008,0.9126
1.14568e-008,0.9606
1.14993e-008,0.9960
1.15417e-008,1.0235
1.15841e-008,1.0308
1.16265e-008,1.0101
1.16690e-008,0.7783
1.17114e-008,0.4096
1.17538e-008,0.0432
1.17962e-008,-0.3124
1.18387e-008,-0.5897
1.18811e-008,-0.7516
1.19235e-008,-0.8181
1.19659e-008,-0.8518
1.20083e-008,-0.8375
1.20508e-008,-0.8038
1.20932e-008,-0.8117
1.21356e-008,-0.8432
1.21780e-008,-0.8746
1.22205e-008,-0.8827
1.22629e-008,-0.8831
1.23053e-008,-0.8834
1.23478e-008,-0.9067
1.23902e-008,-0.9558
1.24326e-008,-0.9925
1.24750e-008,-1.0207
1.25175e-008,-1.0293
1.25599e-008,-1.0124
1.26023e-008,-0.8077
1.26447e-008,-0.4430
1.26871e-008,-0.0833
1.27296e-008,0.2835
1.27720e-008,0.5699
1.28144e-008,0.7432
1.28568e-008,0.8148
1.28993e-008,0.8510
1.29417e-008,0.8411
1.29841e-008,0.8073
1.30265e-008,0.8127
1.30690e-008,0.8425
1.31114e-008,0.8737
1.31538e-008,0.8837
1.31963e-008,0.8837
1.32387e-008,0.8846
1.32811e-008,0.9039
1.33235e-008,0.9521
1.33660e-008,0.9894
1.34084e-008,1.0195
1.34508e-008,1.0308
1.34932e-008,1.0182
1.35356e-008,0.8394
1.35781e-008,0.4788
1.36205e-008,0.1250
1.36629e-008,-0.2510
1.37053e-008,-0.5437
1.37478e-008,-0.7291
1.37902e-008,-0.8073
1.38326e-008,-0.8483
1.38751e-008,-0.8440
1.39175e-008,-0.8083
1.39599e-008,-0.8072
1.40023e-008,-0.8363
1.40448e-008,-0.8700
1.40872e-008,-0.8826
1.41296e-008,-0.8828
1.41720e-008,-0.8832
1.42145e-008,-0.8986
1.42569e-008,-0.9469
1.42993e-008,-0.9861
1.43417e-008,-1.0165
1.43841e-008,-1.0291
1.44266e-008,-1.0206
1.44690e-008,-0.8680
1.45114e-008,-0.5139
1.45538e-008,-0.1637
1.45963e-008,0.2211
1.46387e-008,0.5209
1.46811e-008,0.7196
1.47236e-008,0.8037
1.47660e-008,0.8467
1.48084e-008,0.8467
1.48508e-008,0.8123
1.48933e-008,0.8086
1.49357e-008,0.8359
1.49781e-008,0.8687
1.50205e-008,0.8834
1.50629e-008,0.8833
1.51054e-008,0.8844
1.51478e-008,0.8966
1.51902e-008,0.9429
1.52327e-008,0.9828
1.52751e-008,1.0146
1.53175e-008,1.0302
1.53599e-008,1.0255
1.54023e-008,0.8999
1.54448e-008,0.5510
1.54872e-008,0.2014
1.55296e-008,-0.1882
1.55721e-008,-0.4922
1.56145e-008,-0.7043
1.56569e-008,-0.7963
1.56993e-008,-0.8427
1.57417e-008,-0.8488
1.57842e-008,-0.8144
1.58266e-008,-0.8040
1.58690e-008,-0.8295
1.59114e-008,-0.8645
1.59539e-008,-0.8821
1.59963e-008,-0.8826
1.60387e-008,-0.8834
1.60812e-008,-0.8922
1.61236e-008,-0.9373
1.61660e-008,-0.9794
1.62084e-008,-1.0115
1.62508e-008,-1.0284
1.62933e-008,-1.0263
1.63357e-008,-0.9273
1.63781e-008,-0.5853
1.64206e-008,-0.2349
1.64630e-008,0.1566
1.65054e-008,0.4673
1.65478e-008,0.6925
1.65903e-008,0.7930
1.66327e-008,0.8403
1.66751e-008,0.8505
1.67175e-008,0.8183
1.67599e-008,0.8060
1.68024e-008,0.8298
1.68448e-008,0.8629
1.68872e-008,0.8823
1.69297e-008,0.8831
1.69721e-008,0.8845
1.70145e-008,0.8914
1.70569e-008,0.9333
1.70993e-008,0.9760
1.71418e-008,1.0090
1.71842e-008,1.0288
1.72266e-008,1.0293
1.72691e-008,0.9557
1.73115e-008,0.6238
1.73539e-008,0.2685
1.73963e-008,-0.1207
1.74388e-008,-0.4367
1.74812e-008,-0.6739
1.75236e-008,-0.7858
1.75660e-008,-0.8356
1.76084e-008,-0.8519
1.76509e-008,-0.8213
1.76933e-008,-0.8024
1.77357e-008,-0.8236
1.77782e-008,-0.8582
1.78206e-008,-0.8806
1.78630e-008,-0.8825
