.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
2.1e-012,1.2619
4.45e-011,1.2619
8.69e-011,1.2619
1.294e-010,1.2619
1.718e-010,1.2619
2.142e-010,1.2619
2.566e-010,1.2619
2.991e-010,1.2619
3.415e-010,1.2619
3.839e-010,1.2619
4.263e-010,1.2619
4.687e-010,1.2619
5.112e-010,1.2619
5.536e-010,1.2619
5.960e-010,1.2619
6.385e-010,1.2619
6.809e-010,1.2619
7.233e-010,1.2619
7.657e-010,1.2619
8.081e-010,1.2619
8.506e-010,1.2619
8.930e-010,1.2619
9.354e-010,1.2619
9.779e-010,1.2619
1.0203e-009,1.2619
1.0627e-009,1.2619
1.1051e-009,1.2619
1.1476e-009,1.2619
1.1900e-009,1.2619
1.2324e-009,1.2619
1.2748e-009,1.2619
1.3172e-009,1.2529
1.3597e-009,1.1273
1.4021e-009,0.9258
1.4445e-009,0.7346
1.4870e-009,0.5591
1.5294e-009,0.4121
1.5718e-009,0.3251
1.6142e-009,0.2970
1.6567e-009,0.2908
1.6991e-009,0.3100
1.7415e-009,0.3331
1.7839e-009,0.3281
1.8263e-009,0.3082
1.8688e-009,0.2917
1.9112e-009,0.2903
1.9536e-009,0.2946
1.9960e-009,0.2977
2.0385e-009,0.2851
2.0809e-009,0.2573
2.1233e-009,0.2365
2.1658e-009,0.2230
2.2082e-009,0.2179
2.2506e-009,0.2211
2.2930e-009,0.3184
2.3355e-009,0.4820
2.3779e-009,0.6603
2.4203e-009,0.8485
2.4627e-009,0.9915
2.5052e-009,1.0761
2.5476e-009,1.1173
2.5900e-009,1.1447
2.6324e-009,1.1457
2.6749e-009,1.1368
2.7173e-009,1.1415
2.7597e-009,1.1533
2.8021e-009,1.1714
2.8445e-009,1.1803
2.8870e-009,1.1827
2.9294e-009,1.1821
2.9718e-009,1.1897
3.0142e-009,1.2085
3.0567e-009,1.2244
3.0991e-009,1.2416
3.1415e-009,1.2482
3.1839e-009,1.2382
3.2264e-009,1.1233
3.2688e-009,0.9175
3.3112e-009,0.7306
3.3537e-009,0.5544
3.3961e-009,0.4141
3.4385e-009,0.3287
3.4809e-009,0.3011
3.5234e-009,0.2948
3.5658e-009,0.3106
3.6082e-009,0.3335
3.6506e-009,0.3288
3.6931e-009,0.3080
3.7355e-009,0.2903
3.7779e-009,0.2902
3.8203e-009,0.2965
3.8628e-009,0.2982
3.9052e-009,0.2865
3.9476e-009,0.2577
3.9900e-009,0.2361
4.0324e-009,0.2226
4.0749e-009,0.2184
4.1173e-009,0.2213
4.1597e-009,0.2922
4.2022e-009,0.4481
4.2446e-009,0.6160
4.2870e-009,0.8145
4.3294e-009,0.9653
4.3718e-009,1.0617
4.4143e-009,1.1089
4.4567e-009,1.1411
4.4991e-009,1.1488
4.5415e-009,1.1388
4.5840e-009,1.1401
4.6264e-009,1.1496
4.6688e-009,1.1675
4.7113e-009,1.1793
4.7537e-009,1.1829
4.7961e-009,1.1831
4.8385e-009,1.1866
4.8809e-009,1.2047
4.9234e-009,1.2209
4.9658e-009,1.2388
5.0082e-009,1.2480
5.0507e-009,1.2445
5.0931e-009,1.1579
5.1355e-009,0.9570
5.1779e-009,0.7706
5.2203e-009,0.5846
5.2628e-009,0.4384
5.3052e-009,0.3397
5.3476e-009,0.3043
5.3901e-009,0.2947
5.4325e-009,0.3062
5.4749e-009,0.3308
5.5173e-009,0.3319
5.5597e-009,0.3123
5.6022e-009,0.2927
5.6446e-009,0.2891
5.6870e-009,0.2959
5.7295e-009,0.2983
5.7719e-009,0.2909
5.8143e-009,0.2632
5.8567e-009,0.2396
5.8992e-009,0.2246
5.9416e-009,0.2188
5.9840e-009,0.2198
6.0264e-009,0.2665
6.0688e-009,0.4158
6.1113e-009,0.5791
6.1537e-009,0.7815
6.1961e-009,0.9387
6.2386e-009,1.0485
6.2810e-009,1.1015
