.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
0.0e+000,-1.0448
4.24e-011,-1.0448
8.49e-011,-1.0448
1.273e-010,-1.0448
1.697e-010,-1.0448
2.121e-010,-1.0448
2.545e-010,-1.0448
2.970e-010,-1.0448
3.394e-010,-1.0448
3.818e-010,-1.0448
4.242e-010,-1.0448
4.667e-010,-1.0448
5.091e-010,-1.0448
5.515e-010,-1.0448
5.940e-010,-1.0448
6.364e-010,-1.0448
6.788e-010,-1.0448
7.212e-010,-1.0448
7.636e-010,-1.0448
8.061e-010,-1.0448
8.485e-010,-1.0341
8.909e-010,-0.8145
9.333e-010,-0.4583
9.758e-010,-0.0866
1.0182e-009,0.2754
1.0606e-009,0.5742
1.1030e-009,0.7558
1.1455e-009,0.8327
1.1879e-009,0.8661
1.2303e-009,0.8451
1.2728e-009,0.8076
1.3152e-009,0.8126
1.3576e-009,0.8431
1.4000e-009,0.8754
1.4425e-009,0.8869
1.4849e-009,0.8874
1.5273e-009,0.8844
1.5697e-009,0.9059
1.6121e-009,0.9528
1.6546e-009,0.9899
1.6970e-009,1.0201
1.7394e-009,1.0316
1.7819e-009,1.0140
1.8243e-009,0.7855
1.8667e-009,0.4136
1.9091e-009,0.0475
1.9516e-009,-0.3106
1.9940e-009,-0.5895
2.0364e-009,-0.7517
2.0788e-009,-0.8166
2.1213e-009,-0.8493
2.1637e-009,-0.8357
2.2061e-009,-0.8027
2.2485e-009,-0.8109
2.2910e-009,-0.8429
2.3334e-009,-0.8744
2.3758e-009,-0.8823
2.4182e-009,-0.8818
2.4606e-009,-0.8822
2.5031e-009,-0.9054
2.5455e-009,-0.9549
2.5879e-009,-0.9917
2.6303e-009,-1.0201
2.6728e-009,-1.0290
2.7152e-009,-1.0132
2.7576e-009,-0.8132
2.8000e-009,-0.4493
2.8425e-009,-0.0915
2.8849e-009,0.2773
2.9273e-009,0.5652
2.9698e-009,0.7409
3.0122e-009,0.8140
3.0546e-009,0.8513
3.0970e-009,0.8425
3.1395e-009,0.8084
3.1819e-009,0.8127
3.2243e-009,0.8422
3.2667e-009,0.8737
3.3092e-009,0.8841
3.3516e-009,0.8841
3.3940e-009,0.8850
3.4364e-009,0.9036
3.4789e-009,0.9517
3.5213e-009,0.9892
3.5637e-009,1.0195
3.6061e-009,1.0311
3.6485e-009,1.0199
3.6910e-009,0.8463
3.7334e-009,0.4872
3.7758e-009,0.1346
3.8183e-009,-0.2434
3.8607e-009,-0.5377
3.9031e-009,-0.7258
3.9455e-009,-0.8055
3.9879e-009,-0.8473
4.0304e-009,-0.8441
4.0728e-009,-0.8085
4.1152e-009,-0.8064
4.1577e-009,-0.8351
4.2001e-009,-0.8690
4.2425e-009,-0.8821
4.2849e-009,-0.8823
4.3274e-009,-0.8828
4.3698e-009,-0.8974
4.4122e-009,-0.9455
4.4546e-009,-0.9849
4.4970e-009,-1.0156
4.5395e-009,-1.0287
4.5819e-009,-1.0214
4.6243e-009,-0.8738
4.6668e-009,-0.5209
4.7092e-009,-0.1713
4.7516e-009,0.2149
4.7940e-009,0.5158
4.8364e-009,0.7174
4.8789e-009,0.8029
4.9213e-009,0.8465
4.9637e-009,0.8475
5.0062e-009,0.8131
5.0486e-009,0.8085
5.0910e-009,0.8356
5.1334e-009,0.8685
5.1758e-009,0.8836
5.2183e-009,0.8836
5.2607e-009,0.8847
5.3031e-009,0.8963
5.3456e-009,0.9423
5.3880e-009,0.9824
5.4304e-009,1.0144
5.4728e-009,1.0304
5.5153e-009,1.0264
5.5577e-009,0.9063
5.6001e-009,0.5591
5.6425e-009,0.2096
5.6849e-009,-0.1805
5.7274e-009,-0.4857
5.7698e-009,-0.7008
5.8122e-009,-0.7946
5.8547e-009,-0.8416
5.8971e-009,-0.8489
5.9395e-009,-0.8149
5.9819e-009,-0.8035
6.0243e-009,-0.8286
6.0668e-009,-0.8635
6.1092e-009,-0.8816
6.1516e-009,-0.8822
6.1941e-009,-0.8832
6.2365e-009,-0.8913
6.2789e-009,-0.9359
6.3213e-009,-0.9783
6.3637e-009,-1.0106
6.4062e-009,-1.0279
6.4486e-009,-1.0263
6.4910e-009,-0.9351
6.5335e-009,-0.5942
6.5759e-009,-0.2425
6.6183e-009,0.1490
6.6607e-009,0.4610
6.7032e-009,0.6895
6.7456e-009,0.7922
6.7880e-009,0.8398
6.8304e-009,0.8513
6.8728e-009,0.8193
6.9153e-009,0.8058
6.9577e-009,0.8292
7.0001e-009,0.8625
7.0426e-009,0.8825
7.0850e-009,0.8834
7.1274e-009,0.8847
7.1698e-009,0.8909
7.2122e-009,0.9324
7.2547e-009,0.9755
7.2971e-009,1.0087
7.3395e-009,1.0289
7.3820e-009,1.0297
7.4244e-009,0.9631
7.4668e-009,0.6336
7.5092e-009,0.2770
7.5516e-009,-0.1117
7.5941e-009,-0.4295
7.6365e-009,-0.6697
7.6789e-009,-0.7842
7.7213e-009,-0.8344
7.7638e-009,-0.8521
7.8062e-009,-0.8219
7.8486e-009,-0.8019
7.8910e-009,-0.8225
7.9335e-009,-0.8572
7.9759e-009,-0.8803
8.0183e-009,-0.8823
8.0608e-009,-0.8834
8.1032e-009,-0.8870
8.1456e-009,-0.9260
8.1880e-009,-0.9714
8.2305e-009,-1.0050
8.2729e-009,-1.0264
8.3153e-009,-1.0281
8.3577e-009,-0.9814
8.4001e-009,-0.6709
8.4426e-009,-0.3092
8.4850e-009,0.0761
8.5274e-009,0.4033
8.5698e-009,0.6546
8.6123e-009,0.7809
8.6547e-009,0.8324
8.6971e-009,0.8535
8.7396e-009,0.8264
8.7820e-009,0.8043
8.8244e-009,0.8234
8.8668e-009,0.8560
8.9093e-009,0.8806
8.9517e-009,0.8834
8.9941e-009,0.8845
9.0365e-009,0.8873
9.0790e-009,0.9223
9.1214e-009,0.9683
9.1638e-009,1.0025
9.2062e-009,1.0267
9.2486e-009,1.0304
9.2911e-009,0.9980
9.3335e-009,0.7098
9.3759e-009,0.3433
9.4183e-009,-0.0361
9.4608e-009,-0.3719
