.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
0.0e+000,-1.0448
4.24e-011,-1.0448
8.49e-011,-1.0448
1.273e-010,-1.0448
1.697e-010,-1.0448
2.121e-010,-1.0448
2.545e-010,-1.0448
2.970e-010,-1.0448
3.394e-010,-1.0448
3.818e-010,-1.0448
4.242e-010,-1.0448
4.667e-010,-1.0448
5.091e-010,-1.0448
5.515e-010,-1.0448
5.940e-010,-1.0448
6.364e-010,-1.0448
6.788e-010,-1.0448
7.212e-010,-1.0448
7.636e-010,-1.0448
8.061e-010,-1.0448
8.485e-010,-1.0448
8.909e-010,-1.0448
9.333e-010,-1.0448
9.758e-010,-1.0448
1.0182e-009,-1.0448
1.0606e-009,-1.0448
1.1030e-009,-1.0448
1.1455e-009,-1.0448
1.1879e-009,-1.0448
1.2303e-009,-1.0448
1.2728e-009,-1.0448
1.3152e-009,-1.0352
1.3576e-009,-0.8292
1.4000e-009,-0.4746
1.4425e-009,-0.1066
1.4849e-009,0.2593
1.5273e-009,0.5620
1.5697e-009,0.7494
1.6121e-009,0.8300
1.6546e-009,0.8656
1.6970e-009,0.8471
1.7394e-009,0.8087
1.7819e-009,0.8116
1.8243e-009,0.8414
1.8667e-009,0.8741
1.9091e-009,0.8868
1.9516e-009,0.8874
1.9940e-009,0.8845
2.0364e-009,0.9039
2.0788e-009,0.9507
2.1213e-009,0.9882
2.1637e-009,1.0190
2.2061e-009,1.0314
2.2485e-009,1.0158
2.2910e-009,0.8001
2.3334e-009,0.4303
2.3758e-009,0.0676
2.4182e-009,-0.2955
2.4606e-009,-0.5785
2.5031e-009,-0.7463
2.5455e-009,-0.8142
2.5879e-009,-0.8485
2.6303e-009,-0.8372
2.6728e-009,-0.8037
2.7152e-009,-0.8098
2.7576e-009,-0.8412
2.8000e-009,-0.8733
2.8425e-009,-0.8823
2.8849e-009,-0.8817
2.9273e-009,-0.8822
2.9698e-009,-0.9034
3.0122e-009,-0.9527
3.0546e-009,-0.9900
3.0970e-009,-1.0190
3.1395e-009,-1.0290
3.1819e-009,-1.0151
3.2243e-009,-0.8275
3.2667e-009,-0.4661
3.3092e-009,-0.1117
3.3516e-009,0.2620
3.3940e-009,0.5535
3.4364e-009,0.7351
3.4789e-009,0.8112
3.5213e-009,0.8503
3.5637e-009,0.8439
3.6061e-009,0.8096
3.6485e-009,0.8117
3.6910e-009,0.8406
3.7334e-009,0.8724
3.7758e-009,0.8840
3.8183e-009,0.8840
3.8607e-009,0.8850
3.9031e-009,0.9019
3.9455e-009,0.9495
3.9879e-009,0.9876
4.0304e-009,1.0183
4.0728e-009,1.0310
4.1152e-009,1.0216
4.1577e-009,0.8605
4.2001e-009,0.5044
4.2425e-009,0.1539
4.2849e-009,-0.2281
4.3274e-009,-0.5252
4.3698e-009,-0.7197
4.4122e-009,-0.8027
4.4546e-009,-0.8460
4.4970e-009,-0.8452
4.5395e-009,-0.8100
4.5819e-009,-0.8057
4.6243e-009,-0.8335
4.6668e-009,-0.8676
4.7092e-009,-0.8820
4.7516e-009,-0.8823
4.7940e-009,-0.8829
4.8364e-009,-0.8958
4.8789e-009,-0.9431
4.9213e-009,-0.9832
4.9637e-009,-1.0144
5.0062e-009,-1.0285
5.0486e-009,-1.0227
5.0910e-009,-0.8881
5.1334e-009,-0.5384
5.1758e-009,-0.1896
5.2183e-009,0.1995
5.2607e-009,0.5028
5.3031e-009,0.7110
5.3456e-009,0.8003
5.3880e-009,0.8450
5.4304e-009,0.8485
5.4728e-009,0.8147
5.5153e-009,0.8079
5.5577e-009,0.8341
5.6001e-009,0.8671
5.6425e-009,0.8834
5.6849e-009,0.8836
5.7274e-009,0.8848
5.7698e-009,0.8950
5.8122e-009,0.9399
5.8547e-009,0.9808
5.8971e-009,1.0130
5.9395e-009,1.0301
5.9819e-009,1.0278
6.0243e-009,0.9212
6.0668e-009,0.5770
6.1092e-009,0.2268
6.1516e-009,-0.1643
6.1941e-009,-0.4722
6.2365e-009,-0.6935
6.2789e-009,-0.7920
6.3213e-009,-0.8399
6.3637e-009,-0.8497
6.4062e-009,-0.8165
6.4486e-009,-0.8031
6.4910e-009,-0.8271
6.5335e-009,-0.8619
6.5759e-009,-0.8812
6.6183e-009,-0.8822
6.6607e-009,-0.8832
6.7032e-009,-0.8902
6.7456e-009,-0.9335
6.7880e-009,-0.9766
6.8304e-009,-1.0092
6.8728e-009,-1.0276
6.9153e-009,-1.0272
6.9577e-009,-0.9473
7.0001e-009,-0.6124
7.0426e-009,-0.2588
7.0850e-009,0.1319
7.1274e-009,0.4470
7.1698e-009,0.6814
7.2122e-009,0.7897
7.2547e-009,0.8380
7.2971e-009,0.8520
7.3395e-009,0.8210
7.3820e-009,0.8054
7.4244e-009,0.8279
7.4668e-009,0.8610
7.5092e-009,0.8821
7.5516e-009,0.8834
7.5941e-009,0.8847
7.6365e-009,0.8900
7.6789e-009,0.9300
7.7213e-009,0.9738
7.7638e-009,1.0072
7.8062e-009,1.0284
7.8486e-009,1.0299
7.8910e-009,0.9724
7.9335e-009,0.6523
7.9759e-009,0.2932
8.0183e-009,-0.0938
8.0608e-009,-0.4155
8.1032e-009,-0.6608
8.1456e-009,-0.7812
8.1880e-009,-0.8325
8.2305e-009,-0.8525
8.2729e-009,-0.8237
8.3153e-009,-0.8018
8.3577e-009,-0.8212
8.4001e-009,-0.8555
8.4426e-009,-0.8797
8.4850e-009,-0.8823
8.5274e-009,-0.8834
8.5698e-009,-0.8863
8.6123e-009,-0.9235
8.6547e-009,-0.9696
8.6971e-009,-1.0035
8.7396e-009,-1.0259
8.7820e-009,-1.0283
8.8244e-009,-0.9874
8.8668e-009,-0.6891
8.9093e-009,-0.3252
8.9517e-009,0.0573
8.9941e-009,0.3890
9.0365e-009,0.6449
9.0790e-009,0.7774
9.1214e-009,0.8306
9.1638e-009,0.8537
9.2062e-009,0.8282
9.2486e-009,0.8042
9.2911e-009,0.8221
9.3335e-009,0.8544
9.3759e-009,0.8799
9.4183e-009,0.8835
