.HEADER
..NAMES
Time,V U1.L24&L25
.DATA
0.0e+000,0.2171
4.24e-011,0.2171
8.49e-011,0.2171
1.273e-010,0.2171
1.697e-010,0.2171
2.121e-010,0.2171
2.545e-010,0.2171
2.970e-010,0.2171
3.394e-010,0.2171
3.818e-010,0.2171
4.242e-010,0.2171
4.667e-010,0.2171
5.091e-010,0.2171
5.515e-010,0.2171
5.940e-010,0.2171
6.364e-010,0.2171
6.788e-010,0.2171
7.212e-010,0.2171
7.636e-010,0.2171
8.061e-010,0.2171
8.485e-010,0.2171
8.909e-010,0.2171
9.333e-010,0.2171
9.758e-010,0.2171
1.0182e-009,0.2171
1.0606e-009,0.2171
1.1030e-009,0.2171
1.1455e-009,0.2171
1.1879e-009,0.2171
1.2303e-009,0.2171
1.2728e-009,0.2171
1.3152e-009,0.2187
1.3576e-009,0.3069
1.4000e-009,0.4604
1.4425e-009,0.6378
1.4849e-009,0.8264
1.5273e-009,0.9803
1.5697e-009,1.0775
1.6121e-009,1.1278
1.6546e-009,1.1562
1.6970e-009,1.1556
1.7394e-009,1.1412
1.7819e-009,1.1405
1.8243e-009,1.1506
1.8667e-009,1.1664
1.9091e-009,1.1768
1.9516e-009,1.1818
1.9940e-009,1.1821
2.0364e-009,1.1902
2.0788e-009,1.2094
2.1213e-009,1.2256
2.1637e-009,1.2424
2.2061e-009,1.2494
2.2485e-009,1.2367
2.2910e-009,1.1127
2.3334e-009,0.9050
2.3758e-009,0.7176
2.4182e-009,0.5454
2.4606e-009,0.4076
2.5031e-009,0.3269
2.5455e-009,0.3014
2.5879e-009,0.2953
2.6303e-009,0.3088
2.6728e-009,0.3333
2.7152e-009,0.3314
2.7576e-009,0.3114
2.8000e-009,0.2973
2.8425e-009,0.2978
2.8849e-009,0.3009
2.9273e-009,0.3000
2.9698e-009,0.2856
3.0122e-009,0.2550
3.0546e-009,0.2335
3.0970e-009,0.2218
3.1395e-009,0.2191
3.1819e-009,0.2246
3.2243e-009,0.3045
3.2667e-009,0.4610
3.3092e-009,0.6291
3.3516e-009,0.8239
3.3940e-009,0.9735
3.4364e-009,1.0666
3.4789e-009,1.1132
3.5213e-009,1.1451
3.5637e-009,1.1532
3.6061e-009,1.1424
3.6485e-009,1.1413
3.6910e-009,1.1497
3.7334e-009,1.1633
3.7758e-009,1.1739
3.8183e-009,1.1803
3.8607e-009,1.1832
3.9031e-009,1.1895
3.9455e-009,1.2086
3.9879e-009,1.2245
4.0304e-009,1.2413
4.0728e-009,1.2495
4.1152e-009,1.2425
4.1577e-009,1.1471
4.2001e-009,0.9451
4.2425e-009,0.7604
4.2849e-009,0.5786
4.3274e-009,0.4339
4.3698e-009,0.3389
4.4122e-009,0.3044
4.4546e-009,0.2939
4.4970e-009,0.3037
4.5395e-009,0.3291
4.5819e-009,0.3343
4.6243e-009,0.3156
4.6668e-009,0.2990
4.7092e-009,0.2970
4.7516e-009,0.3005
4.7940e-009,0.3003
4.8364e-009,0.2903
4.8789e-009,0.2608
4.9213e-009,0.2369
4.9637e-009,0.2237
5.0062e-009,0.2193
5.0486e-009,0.2227
5.0910e-009,0.2786
5.1334e-009,0.4288
5.1758e-009,0.5907
5.2183e-009,0.7916
5.2607e-009,0.9477
5.3031e-009,1.0539
5.3456e-009,1.1053
5.3880e-009,1.1399
5.4304e-009,1.1536
5.4728e-009,1.1444
5.5153e-009,1.1403
5.5577e-009,1.1475
5.6001e-009,1.1604
5.6425e-009,1.1723
5.6849e-009,1.1792
5.7274e-009,1.1830
5.7698e-009,1.1868
5.8122e-009,1.2047
5.8547e-009,1.2214
5.8971e-009,1.2382
5.9395e-009,1.2490
5.9819e-009,1.2472
6.0243e-009,1.1818
6.0668e-009,0.9854
6.1092e-009,0.7980
6.1516e-009,0.6090
6.1941e-009,0.4598
6.2365e-009,0.3513
6.2789e-009,0.3077
6.3213e-009,0.2947
6.3637e-009,0.3001
6.4062e-009,0.3243
6.4486e-009,0.3359
6.4910e-009,0.3196
6.5335e-009,0.3011
6.5759e-009,0.2964
6.6183e-009,0.3001
6.6607e-009,0.3005
6.7032e-009,0.2940
6.7456e-009,0.2668
6.7880e-009,0.2404
