.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
2.1e-012,-1.0454
4.45e-011,-1.0454
8.69e-011,-1.0454
1.294e-010,-1.0454
1.718e-010,-1.0454
2.142e-010,-1.0454
2.566e-010,-1.0454
2.991e-010,-1.0454
3.415e-010,-1.0454
3.839e-010,-1.0454
4.263e-010,-1.0454
4.687e-010,-1.0454
5.112e-010,-1.0454
5.536e-010,-1.0454
5.960e-010,-1.0454
6.385e-010,-1.0454
6.809e-010,-1.0454
7.233e-010,-1.0454
7.657e-010,-1.0454
8.081e-010,-1.0454
8.506e-010,-1.0454
8.930e-010,-1.0454
9.354e-010,-1.0454
9.779e-010,-1.0454
1.0203e-009,-1.0454
1.0627e-009,-1.0454
1.1051e-009,-1.0454
1.1476e-009,-1.0454
1.1900e-009,-1.0454
1.2324e-009,-1.0454
1.2748e-009,-1.0454
1.3172e-009,-1.0406
1.3597e-009,-0.8886
1.4021e-009,-0.5432
1.4445e-009,-0.1906
1.4870e-009,0.1907
1.5294e-009,0.4550
1.5718e-009,0.6318
1.6142e-009,0.7516
1.6567e-009,0.7794
1.6991e-009,0.8010
1.7415e-009,0.8309
1.7839e-009,0.8323
1.8263e-009,0.8507
1.8688e-009,0.8721
1.9112e-009,0.8848
1.9536e-009,0.9000
1.9960e-009,0.8834
2.0385e-009,0.8663
2.0809e-009,0.8630
2.1233e-009,0.8638
2.1658e-009,0.8918
2.2082e-009,0.9435
2.2506e-009,0.9910
2.2930e-009,0.8680
2.3355e-009,0.4838
2.3779e-009,0.0965
2.4203e-009,-0.2932
2.4627e-009,-0.5381
2.5052e-009,-0.6822
2.5476e-009,-0.7773
2.5900e-009,-0.7852
2.6324e-009,-0.7980
2.6749e-009,-0.8338
2.7173e-009,-0.8383
2.7597e-009,-0.8517
2.8021e-009,-0.8741
2.8445e-009,-0.8850
2.8870e-009,-0.8971
2.9294e-009,-0.8775
2.9718e-009,-0.8559
3.0142e-009,-0.8525
3.0567e-009,-0.8547
3.0991e-009,-0.8882
3.1415e-009,-0.9511
3.1839e-009,-1.0082
3.2264e-009,-0.9122
3.2688e-009,-0.5243
3.3112e-009,-0.1264
3.3537e-009,0.2731
3.3961e-009,0.5252
3.4385e-009,0.6704
3.4809e-009,0.7749
3.5234e-009,0.7900
3.5658e-009,0.7995
3.6082e-009,0.8305
3.6506e-009,0.8342
3.6931e-009,0.8456
3.7355e-009,0.8741
3.7779e-009,0.8890
3.8203e-009,0.9023
3.8628e-009,0.8827
3.9052e-009,0.8565
3.9476e-009,0.8530
3.9900e-009,0.8560
4.0324e-009,0.8863
4.0749e-009,0.9488
4.1173e-009,1.0096
4.1597e-009,0.9478
4.2022e-009,0.5708
4.2446e-009,0.1684
4.2870e-009,-0.2377
4.3294e-009,-0.5050
4.3718e-009,-0.6558
4.4143e-009,-0.7621
4.4567e-009,-0.7799
4.4991e-009,-0.7910
4.5415e-009,-0.8272
4.5840e-009,-0.8385
4.6264e-009,-0.8457
4.6688e-009,-0.8718
4.7113e-009,-0.8844
4.7537e-009,-0.8970
4.7961e-009,-0.8828
4.8385e-009,-0.8568
4.8809e-009,-0.8516
4.9234e-009,-0.8525
4.9658e-009,-0.8789
5.0082e-009,-0.9406
5.0507e-009,-1.0027
5.0931e-009,-0.9718
5.1355e-009,-0.6098
5.1779e-009,-0.2011
5.2203e-009,0.2080
5.2628e-009,0.4870
5.3052e-009,0.6447
5.3476e-009,0.7620
5.3901e-009,0.7890
5.4325e-009,0.7961
5.4749e-009,0.8246
5.5173e-009,0.8354
5.5597e-009,0.8399
5.6022e-009,0.8696
5.6446e-009,0.8864
5.6870e-009,0.9008
5.7295e-009,0.8890
5.7719e-009,0.8592
5.8143e-009,0.8524
5.8567e-009,0.8542
5.8992e-009,0.8768
5.9416e-009,0.9359
5.9840e-009,0.9992
6.0264e-009,0.9948
6.0688e-009,0.6572
6.1113e-009,0.2426
6.1537e-009,-0.1673
6.1961e-009,-0.4635
6.2386e-009,-0.6301
6.2810e-009,-0.7497
6.3234e-009,-0.7806
6.3658e-009,-0.7877
6.4082e-009,-0.8198
6.4507e-009,-0.8396
6.4931e-009,-0.8414
6.5355e-009,-0.8678
6.5780e-009,-0.8826
6.6204e-009,-0.8953
6.6628e-009,-0.8887
6.7052e-009,-0.8602
6.7476e-009,-0.8520
6.7901e-009,-0.8518
6.8325e-009,-0.8704
6.8749e-009,-0.9278
6.9174e-009,-0.9917
6.9598e-009,-1.0061
7.0022e-009,-0.6964
7.0446e-009,-0.2761
7.0871e-009,0.1326
7.1295e-009,0.4425
7.1719e-009,0.6170
7.2143e-009,0.7456
7.2567e-009,0.7895
7.2992e-009,0.7936
7.3416e-009,0.8176
7.3840e-009,0.8363
7.4265e-009,0.8356
7.4689e-009,0.8641
7.5113e-009,0.8838
7.5537e-009,0.8982
7.5962e-009,0.8946
7.6386e-009,0.8632
7.6810e-009,0.8524
7.7234e-009,0.8532
7.7659e-009,0.8689
7.8083e-009,0.9229
7.8507e-009,0.9875
7.8931e-009,1.0150
7.9355e-009,0.7399
