.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
2.1e-012,0.2168
4.45e-011,0.2168
8.69e-011,0.2168
1.294e-010,0.2168
1.718e-010,0.2168
2.142e-010,0.2168
2.566e-010,0.2168
2.991e-010,0.2168
3.415e-010,0.2168
3.839e-010,0.2168
4.263e-010,0.2168
4.687e-010,0.2168
5.112e-010,0.2168
5.536e-010,0.2168
5.960e-010,0.2168
6.385e-010,0.2168
6.809e-010,0.2168
7.233e-010,0.2168
7.657e-010,0.2168
8.081e-010,0.2168
8.506e-010,0.2168
8.930e-010,0.2168
9.354e-010,0.2168
9.779e-010,0.2168
1.0203e-009,0.2168
1.0627e-009,0.2168
1.1051e-009,0.2168
1.1476e-009,0.2168
1.1900e-009,0.2168
1.2324e-009,0.2168
1.2748e-009,0.2168
1.3172e-009,0.2191
1.3597e-009,0.2870
1.4021e-009,0.4354
1.4445e-009,0.5969
1.4870e-009,0.7919
1.5294e-009,0.9329
1.5718e-009,1.0258
1.6142e-009,1.0797
1.6567e-009,1.0880
1.6991e-009,1.1098
1.7415e-009,1.1303
1.7839e-009,1.1375
1.8263e-009,1.1566
1.8688e-009,1.1784
1.9112e-009,1.1891
1.9536e-009,1.1912
1.9960e-009,1.1772
2.0385e-009,1.1698
2.0809e-009,1.1723
2.1233e-009,1.1696
2.1658e-009,1.1810
2.2082e-009,1.2061
2.2506e-009,1.2291
2.2930e-009,1.1545
2.3355e-009,0.9343
2.3779e-009,0.7277
2.4203e-009,0.5406
2.4627e-009,0.4276
2.5052e-009,0.3669
2.5476e-009,0.3284
2.5900e-009,0.3418
2.6324e-009,0.3515
2.6749e-009,0.3331
2.7173e-009,0.3147
2.7597e-009,0.2968
2.8021e-009,0.2818
2.8445e-009,0.2803
2.8870e-009,0.2825
2.9294e-009,0.2980
2.9718e-009,0.3162
3.0142e-009,0.3202
3.0567e-009,0.3124
3.0991e-009,0.2868
3.1415e-009,0.2520
3.1839e-009,0.2245
3.2264e-009,0.2631
3.2688e-009,0.4343
3.3112e-009,0.6220
3.3537e-009,0.8326
3.3961e-009,0.9729
3.4385e-009,1.0467
3.4809e-009,1.0909
3.5234e-009,1.0904
3.5658e-009,1.1032
3.6082e-009,1.1258
3.6506e-009,1.1362
3.6931e-009,1.1564
3.7355e-009,1.1844
3.7779e-009,1.1954
3.8203e-009,1.1926
3.8628e-009,1.1749
3.9052e-009,1.1626
3.9476e-009,1.1653
3.9900e-009,1.1644
4.0324e-009,1.1766
4.0749e-009,1.2089
4.1173e-009,1.2393
4.1597e-009,1.1971
4.2022e-009,0.9829
4.2446e-009,0.7655
4.2870e-009,0.5662
4.3294e-009,0.4410
4.3718e-009,0.3761
4.4143e-009,0.3333
4.4567e-009,0.3413
4.4991e-009,0.3538
4.5415e-009,0.3378
4.5840e-009,0.3175
4.6264e-009,0.3006
4.6688e-009,0.2826
4.7113e-009,0.2781
4.7537e-009,0.2809
4.7961e-009,0.2949
4.8385e-009,0.3153
4.8809e-009,0.3210
4.9234e-009,0.3149
4.9658e-009,0.2930
5.0082e-009,0.2577
5.0507e-009,0.2270
5.0931e-009,0.2341
5.1355e-009,0.3961
5.1779e-009,0.5850
5.2203e-009,0.7965
5.2628e-009,0.9514
5.3052e-009,1.0346
5.3476e-009,1.0864
5.3901e-009,1.0907
5.4325e-009,1.0986
5.4749e-009,1.1218
5.5173e-009,1.1344
5.5597e-009,1.1510
5.6022e-009,1.1797
5.6446e-009,1.1946
5.6870e-009,1.1942
5.7295e-009,1.1789
5.7719e-009,1.1632
5.8143e-009,1.1643
5.8567e-009,1.1645
5.8992e-009,1.1721
5.9416e-009,1.2023
5.9840e-009,1.2341
6.0264e-009,1.2227
6.0688e-009,1.0316
6.1113e-009,0.8035
6.1537e-009,0.5990
6.1961e-009,0.4601
6.2386e-009,0.3867
6.2810e-009,0.3375
6.3234e-009,0.3368
6.3658e-009,0.3527
6.4082e-009,0.3426
6.4507e-009,0.3205
6.4931e-009,0.3043
6.5355e-009,0.2852
6.5780e-009,0.2778
6.6204e-009,0.2802
6.6628e-009,0.2907
6.7052e-009,0.3121
6.7476e-009,0.3210
6.7901e-009,0.3168
6.8325e-009,0.2988
6.8749e-009,0.2644
6.9174e-009,0.2323
6.9598e-009,0.2197
7.0022e-009,0.3574
7.0446e-009,0.5482
7.0871e-009,0.7551
7.1295e-009,0.9265
7.1719e-009,1.0211
7.2143e-009,1.0801
7.2567e-009,1.0924
7.2992e-009,1.0949
7.3416e-009,1.1174
7.3840e-009,1.1328
7.4265e-009,1.1460
7.4689e-009,1.1743
7.5113e-009,1.1933
7.5537e-009,1.1950
7.5962e-009,1.1830
7.6386e-009,1.1648
7.6810e-009,1.1634
7.7234e-009,1.1649
7.7659e-009,1.1685
7.8083e-009,1.1955
7.8507e-009,1.2283
7.8931e-009,1.2366
7.9355e-009,1.0786
7.9780e-009,0.8428
8.0204e-009,0.6359
8.0628e-009,0.4823
8.1052e-009,0.3985
8.1477e-009,0.3449
8.1901e-009,0.3326
8.2325e-009,0.3509
8.2749e-009,0.3469
8.3174e-009,0.3240
8.3598e-009,0.3079
8.4022e-009,0.2884
8.4447e-009,0.2779
8.4871e-009,0.2796
8.5295e-009,0.2870
8.5719e-009,0.3083
8.6144e-009,0.3205
8.6568e-009,0.3183
8.6992e-009,0.3039
8.7416e-009,0.2714
8.7840e-009,0.2379
8.8265e-009,0.2186
8.8689e-009,0.3229
8.9113e-009,0.5123
8.9537e-009,0.7116
8.9962e-009,0.8988
9.0386e-009,1.0067
9.0810e-009,1.0703
9.1235e-009,1.0937
9.1659e-009,1.0920
9.2083e-009,1.1126
9.2507e-009,1.1310
9.2932e-009,1.1419
9.3356e-009,1.1686
9.3780e-009,1.1913
9.4204e-009,1.1954
9.4629e-009,1.1866
9.5053e-009,1.1673
9.5477e-009,1.1626
9.5901e-009,1.1652
9.6325e-009,1.1660
9.6750e-009,1.1889
9.7174e-009,1.2222
9.7598e-009,1.2404
9.8022e-009,1.1201
9.8447e-009,0.8847
9.8871e-009,0.6766
9.9295e-009,0.5070
9.9720e-009,0.4104
1.00144e-008,0.3552
1.00568e-008,0.3302
1.00992e-008,0.3485
1.01417e-008,0.3504
1.01841e-008,0.3278
1.02265e-008,0.3111
1.02689e-008,0.2920
1.03113e-008,0.2786
1.03538e-008,0.2791
1.03962e-008,0.2842
1.04386e-008,0.3041
1.04810e-008,0.3195
1.05235e-008,0.3195
1.05659e-008,0.3082
1.06083e-008,0.2785
1.06507e-008,0.2439
1.06932e-008,0.2212
1.07356e-008,0.2934
1.07780e-008,0.4756
1.08205e-008,0.6678
1.08629e-008,0.8686
1.09053e-008,0.9918
1.09477e-008,1.0586
1.09902e-008,1.0932
1.10326e-008,1.0903
1.10750e-008,1.1077
1.11174e-008,1.1287
1.11598e-008,1.1387
1.12023e-008,1.1628
1.12447e-008,1.1885
1.12871e-008,1.1954
1.13295e-008,1.1897
1.13720e-008,1.1705
1.14144e-008,1.1621
1.14568e-008,1.1652
1.14993e-008,1.1646
1.15417e-008,1.1827
1.15841e-008,1.2159
1.16265e-008,1.2411
1.16690e-008,1.1577
1.17114e-008,0.9297
1.17538e-008,0.7198
1.17962e-008,0.5335
1.18387e-008,0.4230
1.18811e-008,0.3653
1.19235e-008,0.3305
1.19659e-008,0.3453
1.20083e-008,0.3527
1.20508e-008,0.3322
1.20932e-008,0.3140
1.21356e-008,0.2959
