.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
2.1e-012,1.2622
4.45e-011,1.2622
8.69e-011,1.2622
1.294e-010,1.2622
1.718e-010,1.2622
2.142e-010,1.2622
2.566e-010,1.2622
2.991e-010,1.2622
3.415e-010,1.2622
3.839e-010,1.2622
4.263e-010,1.2622
4.687e-010,1.2622
5.112e-010,1.2622
5.536e-010,1.2622
5.960e-010,1.2622
6.385e-010,1.2622
6.809e-010,1.2622
7.233e-010,1.2622
7.657e-010,1.2622
8.081e-010,1.2622
8.506e-010,1.2622
8.930e-010,1.2622
9.354e-010,1.2622
9.779e-010,1.2622
1.0203e-009,1.2622
1.0627e-009,1.2622
1.1051e-009,1.2622
1.1476e-009,1.2622
1.1900e-009,1.2622
1.2324e-009,1.2622
1.2748e-009,1.2622
1.3172e-009,1.2597
1.3597e-009,1.1756
1.4021e-009,0.9786
1.4445e-009,0.7875
1.4870e-009,0.6013
1.5294e-009,0.4779
1.5718e-009,0.3940
1.6142e-009,0.3281
1.6567e-009,0.3086
1.6991e-009,0.3088
1.7415e-009,0.2994
1.7839e-009,0.3052
1.8263e-009,0.3059
1.8688e-009,0.3063
1.9112e-009,0.3043
1.9536e-009,0.2913
1.9960e-009,0.2937
2.0385e-009,0.3035
2.0809e-009,0.3093
2.1233e-009,0.3059
2.1658e-009,0.2891
2.2082e-009,0.2626
2.2506e-009,0.2381
2.2930e-009,0.2865
2.3355e-009,0.4505
2.3779e-009,0.6312
2.4203e-009,0.8338
2.4627e-009,0.9657
2.5052e-009,1.0492
2.5476e-009,1.1058
2.5900e-009,1.1270
2.6324e-009,1.1496
2.6749e-009,1.1669
2.7173e-009,1.1530
2.7597e-009,1.1485
2.8021e-009,1.1559
2.8445e-009,1.1653
2.8870e-009,1.1796
2.9294e-009,1.1755
2.9718e-009,1.1722
3.0142e-009,1.1727
3.0567e-009,1.1671
3.0991e-009,1.1750
3.1415e-009,1.2031
3.1839e-009,1.2327
3.2264e-009,1.1753
3.2688e-009,0.9586
3.3112e-009,0.7484
3.3537e-009,0.5595
3.3961e-009,0.4477
3.4385e-009,0.3763
3.4809e-009,0.3160
3.5234e-009,0.3004
3.5658e-009,0.3037
3.6082e-009,0.2953
3.6506e-009,0.3020
3.6931e-009,0.3108
3.7355e-009,0.3103
