.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
0.0e+000,-1.0454
4.24e-011,-1.0454
8.49e-011,-1.0454
1.273e-010,-1.0454
1.697e-010,-1.0454
2.121e-010,-1.0454
2.545e-010,-1.0454
2.970e-010,-1.0454
3.394e-010,-1.0454
3.818e-010,-1.0454
4.242e-010,-1.0454
4.667e-010,-1.0454
5.091e-010,-1.0454
5.515e-010,-1.0454
5.940e-010,-1.0454
6.364e-010,-1.0454
6.788e-010,-1.0454
7.212e-010,-1.0454
7.636e-010,-1.0454
8.061e-010,-1.0454
8.485e-010,-1.0406
8.909e-010,-0.8886
9.333e-010,-0.5432
9.758e-010,-0.1906
1.0182e-009,0.1907
1.0606e-009,0.4550
1.1030e-009,0.6318
1.1455e-009,0.7516
1.1879e-009,0.7794
1.2303e-009,0.8010
1.2728e-009,0.8309
1.3152e-009,0.8323
1.3576e-009,0.8507
1.4000e-009,0.8721
1.4425e-009,0.8848
1.4849e-009,0.9000
1.5273e-009,0.8834
1.5697e-009,0.8663
1.6121e-009,0.8630
1.6546e-009,0.8638
1.6970e-009,0.8918
1.7394e-009,0.9435
1.7819e-009,0.9910
1.8243e-009,0.8680
1.8667e-009,0.4838
1.9091e-009,0.0965
1.9516e-009,-0.2932
1.9940e-009,-0.5381
2.0364e-009,-0.6822
2.0788e-009,-0.7773
2.1213e-009,-0.7852
2.1637e-009,-0.7980
2.2061e-009,-0.8338
2.2485e-009,-0.8383
2.2910e-009,-0.8517
2.3334e-009,-0.8741
2.3758e-009,-0.8850
2.4182e-009,-0.8971
2.4606e-009,-0.8775
2.5031e-009,-0.8559
2.5455e-009,-0.8525
2.5879e-009,-0.8547
2.6303e-009,-0.8882
2.6728e-009,-0.9511
2.7152e-009,-1.0082
2.7576e-009,-0.9122
2.8000e-009,-0.5243
2.8425e-009,-0.1264
2.8849e-009,0.2731
2.9273e-009,0.5252
2.9698e-009,0.6704
3.0122e-009,0.7749
3.0546e-009,0.7900
3.0970e-009,0.7995
3.1395e-009,0.8305
3.1819e-009,0.8342
3.2243e-009,0.8456
3.2667e-009,0.8741
3.3092e-009,0.8890
3.3516e-009,0.9023
3.3940e-009,0.8827
3.4364e-009,0.8565
3.4789e-009,0.8530
3.5213e-009,0.8560
3.5637e-009,0.8863
3.6061e-009,0.9488
3.6485e-009,1.0096
3.6910e-009,0.9478
3.7334e-009,0.5708
3.7758e-009,0.1684
3.8183e-009,-0.2377
3.8607e-009,-0.5050
3.9031e-009,-0.6558
3.9455e-009,-0.7621
3.9879e-009,-0.7799
4.0304e-009,-0.7910
4.0728e-009,-0.8272
4.1152e-009,-0.8385
4.1577e-009,-0.8457
4.2001e-009,-0.8718
4.2425e-009,-0.8844
4.2849e-009,-0.8970
4.3274e-009,-0.8828
4.3698e-009,-0.8568
4.4122e-009,-0.8516
4.4546e-009,-0.8525
4.4970e-009,-0.8789
4.5395e-009,-0.9406
4.5819e-009,-1.0027
4.6243e-009,-0.9718
4.6668e-009,-0.6098
4.7092e-009,-0.2011
4.7516e-009,0.2080
4.7940e-009,0.4870
4.8364e-009,0.6447
4.8789e-009,0.7620
4.9213e-009,0.7890
4.9637e-009,0.7961
5.0062e-009,0.8246
5.0486e-009,0.8354
5.0910e-009,0.8399
5.1334e-009,0.8696
5.1758e-009,0.8864
5.2183e-009,0.9008
5.2607e-009,0.8890
5.3031e-009,0.8592
5.3456e-009,0.8524
5.3880e-009,0.8542
5.4304e-009,0.8768
5.4728e-009,0.9359
5.5153e-009,0.9992
5.5577e-009,0.9948
5.6001e-009,0.6572
5.6425e-009,0.2426
5.6849e-009,-0.1673
5.7274e-009,-0.4635
5.7698e-009,-0.6301
5.8122e-009,-0.7497
5.8547e-009,-0.7806
5.8971e-009,-0.7877
5.9395e-009,-0.8198
5.9819e-009,-0.8396
6.0243e-009,-0.8414
6.0668e-009,-0.8678
6.1092e-009,-0.8826
6.1516e-009,-0.8953
6.1941e-009,-0.8887
6.2365e-009,-0.8602
6.2789e-009,-0.8520
6.3213e-009,-0.8518
6.3637e-009,-0.8704
6.4062e-009,-0.9278
6.4486e-009,-0.9917
6.4910e-009,-1.0061
6.5335e-009,-0.6964
6.5759e-009,-0.2761
6.6183e-009,0.1326
6.6607e-009,0.4425
6.7032e-009,0.6170
6.7456e-009,0.7456
6.7880e-009,0.7895
6.8304e-009,0.7936
6.8728e-009,0.8176
6.9153e-009,0.8363
6.9577e-009,0.8356
7.0001e-009,0.8641
7.0426e-009,0.8838
7.0850e-009,0.8982
7.1274e-009,0.8946
7.1698e-009,0.8632
7.2122e-009,0.8524
7.2547e-009,0.8532
7.2971e-009,0.8689
7.3395e-009,0.9229
7.3820e-009,0.9875
7.4244e-009,1.0150
7.4668e-009,0.7399
7.5092e-009,0.3175
7.5516e-009,-0.0889
7.5941e-009,-0.4162
7.6365e-009,-0.6021
7.6789e-009,-0.7314
7.7213e-009,-0.7815
7.7638e-009,-0.7850
7.8062e-009,-0.8117
7.8486e-009,-0.8397
7.8910e-009,-0.8387
7.9335e-009,-0.8630
7.9759e-009,-0.8807
8.0183e-009,-0.8928
8.0608e-009,-0.8935
8.1032e-009,-0.8647
8.1456e-009,-0.8525
8.1880e-009,-0.8516
8.2305e-009,-0.8636
8.2729e-009,-0.9150
8.3153e-009,-0.9801
8.3577e-009,-1.0147
8.4001e-009,-0.7745
8.4426e-009,-0.3521
8.4850e-009,0.0513
8.5274e-009,0.3926
8.5698e-009,0.5887
8.6123e-009,0.7226
8.6547e-009,0.7885
8.6971e-009,0.7914
8.7396e-009,0.8106
8.7820e-009,0.8363
8.8244e-009,0.8333
8.8668e-009,0.8581
8.9093e-009,0.8810
8.9517e-009,0.8951
8.9941e-009,0.8988
9.0365e-009,0.8685
9.0790e-009,0.8527
9.1214e-009,0.8527
9.1638e-009,0.8628
9.2062e-009,0.9101
9.2486e-009,0.9753
9.2911e-009,1.0161
9.3335e-009,0.8120
9.3759e-009,0.3948
9.4183e-009,-0.0054
9.4608e-009,-0.3639
9.5032e-009,-0.5742
