.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
0.0e+000,-1.0454
4.24e-011,-1.0454
8.49e-011,-1.0454
1.273e-010,-1.0454
1.697e-010,-1.0454
2.121e-010,-1.0454
2.545e-010,-1.0454
2.970e-010,-1.0454
3.394e-010,-1.0454
3.818e-010,-1.0454
4.242e-010,-1.0454
4.667e-010,-1.0454
5.091e-010,-1.0454
5.515e-010,-1.0454
5.940e-010,-1.0454
6.364e-010,-1.0454
6.788e-010,-1.0454
7.212e-010,-1.0454
7.636e-010,-1.0454
8.061e-010,-1.0454
8.485e-010,-1.0454
8.909e-010,-1.0454
9.333e-010,-1.0454
9.758e-010,-1.0454
1.0182e-009,-1.0454
1.0606e-009,-1.0454
1.1030e-009,-1.0454
1.1455e-009,-1.0454
1.1879e-009,-1.0454
1.2303e-009,-1.0454
1.2728e-009,-1.0454
1.3152e-009,-1.0415
1.3576e-009,-0.9018
1.4000e-009,-0.5605
1.4425e-009,-0.2105
1.4849e-009,0.1751
1.5273e-009,0.4453
1.5697e-009,0.6240
1.6121e-009,0.7481
1.6546e-009,0.7784
1.6970e-009,0.7998
1.7394e-009,0.8301
1.7819e-009,0.8323
1.8243e-009,0.8493
1.8667e-009,0.8714
1.9091e-009,0.8840
1.9516e-009,0.8997
1.9940e-009,0.8847
2.0364e-009,0.8667
2.0788e-009,0.8631
2.1213e-009,0.8634
2.1637e-009,0.8897
2.2061e-009,0.9409
2.2485e-009,0.9897
2.2910e-009,0.8822
2.3334e-009,0.5035
2.3758e-009,0.1163
2.4182e-009,-0.2783
2.4606e-009,-0.5296
2.5031e-009,-0.6764
2.5455e-009,-0.7751
2.5879e-009,-0.7850
2.6303e-009,-0.7969
2.6728e-009,-0.8324
2.7152e-009,-0.8385
2.7576e-009,-0.8505
2.8000e-009,-0.8734
2.8425e-009,-0.8844
2.8849e-009,-0.8970
2.9273e-009,-0.8789
2.9698e-009,-0.8565
3.0122e-009,-0.8526
3.0546e-009,-0.8542
3.0970e-009,-0.8857
3.1395e-009,-0.9481
3.1819e-009,-1.0063
3.2243e-009,-0.9269
3.2667e-009,-0.5448
3.3092e-009,-0.1455
3.3516e-009,0.2576
3.3940e-009,0.5162
3.4364e-009,0.6645
3.4789e-009,0.7722
3.5213e-009,0.7898
3.5637e-009,0.7988
3.6061e-009,0.8291
3.6485e-009,0.8345
3.6910e-009,0.8443
3.7334e-009,0.8730
3.7758e-009,0.8883
3.8183e-009,0.9020
3.8607e-009,0.8843
3.9031e-009,0.8573
3.9455e-009,0.8530
3.9879e-009,0.8557
4.0304e-009,0.8840
4.0728e-009,0.9457
4.1152e-009,1.0071
4.1577e-009,0.9603
4.2001e-009,0.5915
4.2425e-009,0.1867
4.2849e-009,-0.2212
4.3274e-009,-0.4949
4.3698e-009,-0.6498
4.4122e-009,-0.7594
4.4546e-009,-0.7799
4.4970e-009,-0.7901
4.5395e-009,-0.8253
4.5819e-009,-0.8387
4.6243e-009,-0.8446
4.6668e-009,-0.8708
4.7092e-009,-0.8839
4.7516e-009,-0.8965
4.7940e-009,-0.8842
4.8364e-009,-0.8576
4.8789e-009,-0.8518
4.9213e-009,-0.8523
4.9637e-009,-0.8767
5.0062e-009,-0.9375
5.0486e-009,-1.0000
5.0910e-009,-0.9809
5.1334e-009,-0.6308
5.1758e-009,-0.2193
5.2183e-009,0.1904
5.2607e-009,0.4764
5.3031e-009,0.6383
5.3456e-009,0.7584
5.3880e-009,0.7890
5.4304e-009,0.7956
5.4728e-009,0.8230
5.5153e-009,0.8357
5.5577e-009,0.8388
5.6001e-009,0.8683
5.6425e-009,0.8858
5.6849e-009,0.9002
5.7274e-009,0.8904
5.7698e-009,0.8602
5.8122e-009,0.8525
5.8547e-009,0.8540
5.8971e-009,0.8749
5.9395e-009,0.9328
5.9819e-009,0.9964
6.0243e-009,1.0005
6.0668e-009,0.6780
6.1092e-009,0.2610
6.1516e-009,-0.1484
6.1941e-009,-0.4520
6.2365e-009,-0.6234
6.2789e-009,-0.7457
6.3213e-009,-0.7807
6.3637e-009,-0.7870
6.4062e-009,-0.8177
6.4486e-009,-0.8396
6.4910e-009,-0.8406
6.5335e-009,-0.8667
6.5759e-009,-0.8821
6.6183e-009,-0.8947
6.6607e-009,-0.8899
6.7032e-009,-0.8612
6.7456e-009,-0.8522
6.7880e-009,-0.8516
6.8304e-009,-0.8686
6.8728e-009,-0.9247
6.9153e-009,-0.9888
6.9577e-009,-1.0081
7.0001e-009,-0.7161
7.0426e-009,-0.2945
7.0850e-009,0.1131
7.1274e-009,0.4305
7.1698e-009,0.6102
7.2122e-009,0.7404
7.2547e-009,0.7893
7.2971e-009,0.7931
7.3395e-009,0.8159
7.3820e-009,0.8364
7.4244e-009,0.8350
7.4668e-009,0.8627
7.5092e-009,0.8831
7.5516e-009,0.8975
7.5941e-009,0.8957
7.6365e-009,0.8645
7.6789e-009,0.8525
7.7213e-009,0.8531
7.7638e-009,0.8673
7.8062e-009,0.9198
7.8486e-009,0.9845
7.8910e-009,1.0154
7.9335e-009,0.7581
7.9759e-009,0.3359
8.0183e-009,-0.0688
8.0608e-009,-0.4035
8.1032e-009,-0.5954
8.1456e-009,-0.7257
8.1880e-009,-0.7812
8.2305e-009,-0.7843
8.2729e-009,-0.8098
8.3153e-009,-0.8394
8.3577e-009,-0.8383
8.4001e-009,-0.8618
8.4426e-009,-0.8802
8.4850e-009,-0.8921
8.5274e-009,-0.8943
8.5698e-009,-0.8659
8.6123e-009,-0.8528
8.6547e-009,-0.8516
8.6971e-009,-0.8623
8.7396e-009,-0.9119
8.7820e-009,-0.9771
8.8244e-009,-1.0148
8.8668e-009,-0.7913
8.9093e-009,-0.3709
8.9517e-009,0.0307
8.9941e-009,0.3795
9.0365e-009,0.5819
9.0790e-009,0.7163
9.1214e-009,0.7876
9.1638e-009,0.7909
9.2062e-009,0.8092
9.2486e-009,0.8361
9.2911e-009,0.8330
9.3335e-009,0.8567
9.3759e-009,0.8802
9.4183e-009,0.8943
9.4608e-009,0.8995
