.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
0.0e+000,0.2168
4.24e-011,0.2168
8.49e-011,0.2168
1.273e-010,0.2168
1.697e-010,0.2168
2.121e-010,0.2168
2.545e-010,0.2168
2.970e-010,0.2168
3.394e-010,0.2168
3.818e-010,0.2168
4.242e-010,0.2168
4.667e-010,0.2168
5.091e-010,0.2168
5.515e-010,0.2168
5.940e-010,0.2168
6.364e-010,0.2168
6.788e-010,0.2168
7.212e-010,0.2168
7.636e-010,0.2168
8.061e-010,0.2168
8.485e-010,0.2168
8.909e-010,0.2168
9.333e-010,0.2168
9.758e-010,0.2168
1.0182e-009,0.2168
1.0606e-009,0.2168
1.1030e-009,0.2168
1.1455e-009,0.2168
1.1879e-009,0.2168
1.2303e-009,0.2168
1.2728e-009,0.2168
1.3152e-009,0.2187
1.3576e-009,0.2817
1.4000e-009,0.4282
1.4425e-009,0.5877
1.4849e-009,0.7840
1.5273e-009,0.9277
1.5697e-009,1.0221
1.6121e-009,1.0785
1.6546e-009,1.0874
1.6970e-009,1.1086
1.7394e-009,1.1298
1.7819e-009,1.1371
1.8243e-009,1.1554
1.8667e-009,1.1775
1.9091e-009,1.1887
1.9516e-009,1.1915
1.9940e-009,1.1779
2.0364e-009,1.1698
2.0788e-009,1.1723
2.1213e-009,1.1697
2.1637e-009,1.1800
2.2061e-009,1.2048
2.2485e-009,1.2285
2.2910e-009,1.1631
2.3334e-009,0.9458
2.3758e-009,0.7381
2.4182e-009,0.5477
2.4606e-009,0.4314
2.5031e-009,0.3695
2.5455e-009,0.3291
2.5879e-009,0.3409
2.6303e-009,0.3516
2.6728e-009,0.3343
2.7152e-009,0.3154
2.7576e-009,0.2977
2.8000e-009,0.2822
2.8425e-009,0.2801
2.8849e-009,0.2823
2.9273e-009,0.2969
2.9698e-009,0.3155
3.0122e-009,0.3203
3.0546e-009,0.3132
3.0970e-009,0.2885
3.1395e-009,0.2536
3.1819e-009,0.2254
3.2243e-009,0.2568
3.2667e-009,0.4256
3.3092e-009,0.6128
3.3516e-009,0.8242
3.3940e-009,0.9679
3.4364e-009,1.0441
3.4789e-009,1.0901
3.5213e-009,1.0904
3.5637e-009,1.1022
3.6061e-009,1.1250
3.6485e-009,1.1357
3.6910e-009,1.1551
3.7334e-009,1.1832
3.7758e-009,1.1952
3.8183e-009,1.1930
3.8607e-009,1.1759
3.9031e-009,1.1627
3.9455e-009,1.1652
3.9879e-009,1.1646
4.0304e-009,1.1755
4.0728e-009,1.2073
4.1152e-009,1.2381
4.1577e-009,1.2044
4.2001e-009,0.9950
4.2425e-009,0.7752
4.2849e-009,0.5741
4.3274e-009,0.4457
4.3698e-009,0.3786
4.4122e-009,0.3343
4.4546e-009,0.3403
4.4970e-009,0.3535
4.5395e-009,0.3391
4.5819e-009,0.3182
4.6243e-009,0.3015
4.6668e-009,0.2832
4.7092e-009,0.2780
4.7516e-009,0.2808
4.7940e-009,0.2938
4.8364e-009,0.3144
4.8789e-009,0.3211
4.9213e-009,0.3154
4.9637e-009,0.2945
5.0062e-009,0.2594
5.0486e-009,0.2284
5.0910e-009,0.2304
5.1334e-009,0.3872
5.1758e-009,0.5763
5.2183e-009,0.7870
5.2607e-009,0.9456
5.3031e-009,1.0315
5.3456e-009,1.0853
5.3880e-009,1.0910
5.4304e-009,1.0977
5.4728e-009,1.1209
5.5153e-009,1.1341
5.5577e-009,1.1498
5.6001e-009,1.1784
5.6425e-009,1.1943
5.6849e-009,1.1944
5.7274e-009,1.1799
5.7698e-009,1.1635
5.8122e-009,1.1641
5.8547e-009,1.1647
5.8971e-009,1.1713
5.9395e-009,1.2007
5.9819e-009,1.2327
6.0243e-009,1.2266
6.0668e-009,1.0440
6.1092e-009,0.8135
6.1516e-009,0.6081
6.1941e-009,0.4656
6.2365e-009,0.3896
6.2789e-009,0.3393
6.3213e-009,0.3358
6.3637e-009,0.3522
6.4062e-009,0.3438
6.4486e-009,0.3214
6.4910e-009,0.3053
6.5335e-009,0.2859
6.5759e-009,0.2777
6.6183e-009,0.2801
6.6607e-009,0.2898
6.7032e-009,0.3111
6.7456e-009,0.3209
6.7880e-009,0.3173
6.8304e-009,0.3002
6.8728e-009,0.2662
6.9153e-009,0.2337
6.9577e-009,0.2197
7.0001e-009,0.3493
7.0426e-009,0.5399
7.0850e-009,0.7448
7.1274e-009,0.9200
7.1698e-009,1.0178
7.2122e-009,1.0781
7.2547e-009,1.0927
7.2971e-009,1.0941
7.3395e-009,1.1164
7.3820e-009,1.1324
7.4244e-009,1.1450
7.4668e-009,1.1729
7.5092e-009,1.1928
7.5516e-009,1.1951
7.5941e-009,1.1839
7.6365e-009,1.1652
7.6789e-009,1.1632
7.7213e-009,1.1651
7.7638e-009,1.1679
7.8062e-009,1.1940
7.8486e-009,1.2269
7.8910e-009,1.2378
7.9335e-009,1.0896
7.9759e-009,0.8532
8.0183e-009,0.6458
8.0608e-009,0.4885
8.1032e-009,0.4015
8.1456e-009,0.3476
8.1880e-009,0.3318
8.2305e-009,0.3503
8.2729e-009,0.3478
8.3153e-009,0.3250
8.3577e-009,0.3087
8.4001e-009,0.2892
8.4426e-009,0.2780
8.4850e-009,0.2795
8.5274e-009,0.2863
8.5698e-009,0.3072
8.6123e-009,0.3202
8.6547e-009,0.3187
8.6971e-009,0.3051
8.7396e-009,0.2732
8.7820e-009,0.2394
8.8244e-009,0.2194
8.8668e-009,0.3163
8.9093e-009,0.5041
8.9517e-009,0.7012
8.9941e-009,0.8917
9.0365e-009,1.0033
9.0790e-009,1.0677
9.1214e-009,1.0938
9.1638e-009,1.0914
9.2062e-009,1.1116
9.2486e-009,1.1305
9.2911e-009,1.1411
9.3335e-009,1.1672
9.3759e-009,1.1906
9.4183e-009,1.1954
9.4608e-009,1.1875
9.5032e-009,1.1679
9.5456e-009,1.1624
9.5881e-009,1.1653
9.6305e-009,1.1657
9.6729e-009,1.1875
9.7153e-009,1.2208
9.7578e-009,1.2411
9.8002e-009,1.1299
9.8426e-009,0.8958
9.8850e-009,0.6875
9.9274e-009,0.5137
9.9699e-009,0.4134
1.00123e-008,0.3580
1.00547e-008,0.3301
1.00971e-008,0.3478
1.01396e-008,0.3510
1.01820e-008,0.3290
1.02244e-008,0.3119
1.02668e-008,0.2929
1.03093e-008,0.2789
1.03517e-008,0.2789
1.03941e-008,0.2837
1.04366e-008,0.3030
1.04790e-008,0.3190
1.05214e-008,0.3197
1.05638e-008,0.3092
1.06063e-008,0.2802
1.06487e-008,0.2454
1.06911e-008,0.2217
1.07335e-008,0.2875
1.07759e-008,0.4672
1.08184e-008,0.6576
1.08608e-008,0.8611
1.09032e-008,0.9878
1.09456e-008,1.0561
1.09881e-008,1.0927
1.10305e-008,1.0900
1.10729e-008,1.1067
1.11154e-008,1.1282
1.11578e-008,1.1381
1.12002e-008,1.1614
1.12426e-008,1.1875
1.12851e-008,1.1954
1.13275e-008,1.1904
1.13699e-008,1.1712
1.14123e-008,1.1620
1.14548e-008,1.1652
1.14972e-008,1.1645
1.15396e-008,1.1814
1.15820e-008,1.2144
1.16244e-008,1.2410
1.16669e-008,1.1669
1.17093e-008,0.9414
1.17517e-008,0.7306
1.17941e-008,0.5405
1.18366e-008,0.4267
1.18790e-008,0.3678
1.19214e-008,0.3310
1.19639e-008,0.3444
1.20063e-008,0.3529
1.20487e-008,0.3334
1.20911e-008,0.3147
1.21336e-008,0.2968
1.21760e-008,0.2804
1.22184e-008,0.2784
1.22608e-008,0.2819
1.23032e-008,0.2985
1.23457e-008,0.3171
1.23881e-008,0.3205
1.24305e-008,0.3124
1.24729e-008,0.2871
1.25154e-008,0.2517
1.25578e-008,0.2235
1.26002e-008,0.2586
1.26427e-008,0.4294
1.26851e-008,0.6172
1.27275e-008,0.8281
1.27699e-008,0.9697
1.28124e-008,1.0446
1.28548e-008,1.0898
1.28972e-008,1.0896
1.29396e-008,1.1021
1.29821e-008,1.1250
1.30245e-008,1.1358
1.30669e-008,1.1556
1.31093e-008,1.1835
1.31517e-008,1.1950
1.31942e-008,1.1926
1.32366e-008,1.1751
1.32790e-008,1.1622
1.33214e-008,1.1647
1.33639e-008,1.1642
1.34063e-008,1.1760
1.34487e-008,1.2079
1.34912e-008,1.2383
1.35336e-008,1.2007
1.35760e-008,0.9891
1.36184e-008,0.7704
1.36609e-008,0.5699
1.37033e-008,0.4432
1.37457e-008,0.3772
1.37881e-008,0.3337
1.38306e-008,0.3405
1.38730e-008,0.3533
1.39154e-008,0.3383
1.39578e-008,0.3177
1.40002e-008,0.3008
1.40427e-008,0.2826
1.40851e-008,0.2778
1.41275e-008,0.2807
