.HEADER
..NAMES
Time,V U1.P25&R25
.DATA
0.0e+000,1.2622
4.24e-011,1.2622
8.49e-011,1.2622
1.273e-010,1.2622
1.697e-010,1.2622
2.121e-010,1.2622
2.545e-010,1.2622
2.970e-010,1.2622
3.394e-010,1.2622
3.818e-010,1.2622
4.242e-010,1.2622
4.667e-010,1.2622
5.091e-010,1.2622
5.515e-010,1.2622
5.940e-010,1.2622
6.364e-010,1.2622
6.788e-010,1.2622
7.212e-010,1.2622
7.636e-010,1.2622
8.061e-010,1.2622
8.485e-010,1.2622
8.909e-010,1.2622
9.333e-010,1.2622
9.758e-010,1.2622
1.0182e-009,1.2622
1.0606e-009,1.2622
1.1030e-009,1.2622
1.1455e-009,1.2622
1.1879e-009,1.2622
1.2303e-009,1.2622
1.2728e-009,1.2622
1.3152e-009,1.2602
1.3576e-009,1.1834
1.4000e-009,0.9887
1.4425e-009,0.7982
1.4849e-009,0.6089
1.5273e-009,0.4824
1.5697e-009,0.3981
1.6121e-009,0.3303
1.6546e-009,0.3090
1.6970e-009,0.3088
1.7394e-009,0.2997
1.7819e-009,0.3048
1.8243e-009,0.3061
1.8667e-009,0.3062
1.9091e-009,0.3047
1.9516e-009,0.2918
1.9940e-009,0.2932
2.0364e-009,0.3031
2.0788e-009,0.3092
2.1213e-009,0.3063
2.1637e-009,0.2903
2.2061e-009,0.2639
2.2485e-009,0.2388
2.2910e-009,0.2809
2.3334e-009,0.4424
2.3758e-009,0.6219
2.4182e-009,0.8260
2.4606e-009,0.9610
2.5031e-009,1.0459
2.5455e-009,1.1042
2.5879e-009,1.1259
2.6303e-009,1.1485
2.6728e-009,1.1667
2.7152e-009,1.1539
2.7576e-009,1.1482
2.8000e-009,1.1556
2.8425e-009,1.1646
2.8849e-009,1.1793
2.9273e-009,1.1759
2.9698e-009,1.1720
3.0122e-009,1.1729
3.0546e-009,1.1674
3.0970e-009,1.1742
3.1395e-009,1.2016
3.1819e-009,1.2317
3.2243e-009,1.1837
3.2667e-009,0.9704
3.3092e-009,0.7583
3.3516e-009,0.5666
3.3940e-009,0.4517
3.4364e-009,0.3796
3.4789e-009,0.3179
3.5213e-009,0.3006
3.5637e-009,0.3034
3.6061e-009,0.2958
3.6485e-009,0.3013
3.6910e-009,0.3107
3.7334e-009,0.3102
3.7758e-009,0.3068
3.8183e-009,0.2910
3.8607e-009,0.2916
3.9031e-009,0.3054
3.9455e-009,0.3122
3.9879e-009,0.3089
4.0304e-009,0.2915
4.0728e-009,0.2616
4.1152e-009,0.2309
4.1577e-009,0.2441
4.2001e-009,0.4035
4.2425e-009,0.5885
4.2849e-009,0.7953
4.3274e-009,0.9407
4.3698e-009,1.0284
4.4122e-009,1.0937
4.4546e-009,1.1201
4.4970e-009,1.1437
4.5395e-009,1.1644
4.5819e-009,1.1569
4.6243e-009,1.1461
4.6668e-009,1.1540
4.7092e-009,1.1620
4.7516e-009,1.1774
4.7940e-009,1.1780
4.8364e-009,1.1720
4.8789e-009,1.1728
4.9213e-009,1.1677
4.9637e-009,1.1712
5.0062e-009,1.1968
5.0486e-009,1.2283
5.0910e-009,1.2113
5.1334e-009,1.0179
5.1758e-009,0.7956
5.2183e-009,0.5967
5.2607e-009,0.4692
5.3031e-009,0.3932
5.3456e-009,0.3269
5.3880e-009,0.3020
5.4304e-009,0.3021
5.4728e-009,0.2979
5.5153e-009,0.2984
5.5577e-009,0.3109
5.6001e-009,0.3101
5.6425e-009,0.3085
5.6849e-009,0.2942
5.7274e-009,0.2896
5.7698e-009,0.3033
5.8122e-009,0.3116
5.8547e-009,0.3107
5.8971e-009,0.2964
5.9395e-009,0.2679
5.9819e-009,0.2363
