.HEADER
..NAMES
Time,V U1.W24&W25
.DATA
2.1e-012,-1.0419
4.45e-011,-1.0419
8.69e-011,-1.0419
1.294e-010,-1.0419
1.718e-010,-1.0419
2.142e-010,-1.0419
2.566e-010,-1.0419
2.991e-010,-1.0419
3.415e-010,-1.0419
3.839e-010,-1.0419
4.263e-010,-1.0419
4.687e-010,-1.0419
5.112e-010,-1.0419
5.536e-010,-1.0419
5.960e-010,-1.0419
6.385e-010,-1.0419
6.809e-010,-1.0419
7.233e-010,-1.0419
7.657e-010,-1.0419
8.081e-010,-1.0419
8.506e-010,-1.0419
8.930e-010,-1.0419
9.354e-010,-1.0419
9.779e-010,-1.0419
1.0203e-009,-1.0419
1.0627e-009,-1.0419
1.1051e-009,-1.0419
1.1476e-009,-1.0419
1.1900e-009,-1.0419
1.2324e-009,-1.0419
1.2748e-009,-1.0419
1.3172e-009,-1.0411
1.3597e-009,-0.9502
1.4021e-009,-0.6284
1.4445e-009,-0.2831
1.4870e-009,0.1155
1.5294e-009,0.4439
1.5718e-009,0.6818
1.6142e-009,0.8281
1.6567e-009,0.8803
1.6991e-009,0.8981
1.7415e-009,0.8774
1.7839e-009,0.8313
1.8263e-009,0.8178
1.8688e-009,0.8340
1.9112e-009,0.8696
1.9536e-009,0.8946
1.9960e-009,0.9068
2.0385e-009,0.9080
2.0809e-009,0.9027
2.1233e-009,0.9051
2.1658e-009,0.9455
2.2082e-009,0.9970
2.2506e-009,1.0253
2.2930e-009,0.9517
2.3355e-009,0.5920
2.3779e-009,0.2070
2.4203e-009,-0.2001
2.4627e-009,-0.5139
2.5052e-009,-0.7306
2.5476e-009,-0.8636
2.5900e-009,-0.9009
2.6324e-009,-0.8979
2.6749e-009,-0.8636
2.7173e-009,-0.8077
2.7597e-009,-0.7929
2.8021e-009,-0.8225
2.8445e-009,-0.8744
2.8870e-009,-0.9055
2.9294e-009,-0.9098
2.9718e-009,-0.9018
3.0142e-009,-0.8939
3.0567e-009,-0.8996
3.0991e-009,-0.9466
3.1415e-009,-1.0058
3.1839e-009,-1.0336
3.2264e-009,-0.9783
3.2688e-009,-0.6265
3.3112e-009,-0.2365
3.3537e-009,0.1658
3.3961e-009,0.4862
3.4385e-009,0.7144
3.4809e-009,0.8580
3.5234e-009,0.9025
3.5658e-009,0.8993
3.6082e-009,0.8664
3.6506e-009,0.8108
3.6931e-009,0.7960
3.7355e-009,0.8268
3.7779e-009,0.8760
3.8203e-009,0.9082
3.8628e-009,0.9113
3.9052e-009,0.9020
3.9476e-009,0.8949
3.9900e-009,0.9010
4.0324e-009,0.9453
4.0749e-009,1.0047
4.1173e-009,1.0332
4.1597e-009,0.9992
4.2022e-009,0.6723
4.2446e-009,0.2769
4.2870e-009,-0.1225
4.3294e-009,-0.4533
4.3718e-009,-0.6934
4.4143e-009,-0.8460
4.4567e-009,-0.8987
4.4991e-009,-0.8962
4.5415e-009,-0.8677
4.5840e-009,-0.8131
4.6264e-009,-0.7908
4.6688e-009,-0.8188
4.7113e-009,-0.8686
4.7537e-009,-0.9043
4.7961e-009,-0.9088
4.8385e-009,-0.9014
4.8809e-009,-0.8939
4.9234e-009,-0.8970
4.9658e-009,-0.9365
5.0082e-009,-0.9970
5.0507e-009,-1.0297
5.0931e-009,-1.0111
5.1355e-009,-0.7097
5.1779e-009,-0.3093
5.2203e-009,0.0870
5.2628e-009,0.4282
5.3052e-009,0.6779
5.3476e-009,0.8386
5.3901e-009,0.9007
5.4325e-009,0.9002
5.4749e-009,0.8750
5.5173e-009,0.8205
5.5597e-009,0.7941
5.6022e-009,0.8199
5.6446e-009,0.8658
5.6870e-009,0.9045
5.7295e-009,0.9110
5.7719e-009,0.9038
5.8143e-009,0.8957
5.8567e-009,0.8977
5.8992e-009,0.9334
5.9416e-009,0.9942
5.9840e-009,1.0296
6.0264e-009,1.0199
6.0688e-009,0.7505
6.1113e-009,0.3480
6.1537e-009,-0.0436
6.1961e-009,-0.3949
6.2386e-009,-0.6550
6.2810e-009,-0.8234
6.3234e-009,-0.8963
6.3658e-009,-0.8977
6.4082e-009,-0.8767
6.4507e-009,-0.8240
6.4931e-009,-0.7901
6.5355e-009,-0.8116
6.5780e-009,-0.8579
6.6204e-009,-0.9008
6.6628e-009,-0.9092
6.7052e-009,-0.9037
6.7476e-009,-0.8951
6.7901e-009,-0.8947
6.8325e-009,-0.9256
6.8749e-009,-0.9864
6.9174e-009,-1.0261
6.9598e-009,-1.0219
7.0022e-009,-0.7834
7.0446e-009,-0.3813
7.0871e-009,0.0057
7.1295e-009,0.3676
7.1719e-009,0.6372
7.2143e-009,0.8121
7.2567e-009,0.8962
7.2992e-009,0.9010
7.3416e-009,0.8831
7.3840e-009,0.8315
7.4265e-009,0.7937
7.4689e-009,0.8129
7.5113e-009,0.8554
7.5537e-009,0.8999
7.5962e-009,0.9109
7.6386e-009,0.9058
7.6810e-009,0.8965
7.7234e-009,0.8956
7.7659e-009,0.9228
7.8083e-009,0.9830
7.8507e-009,1.0253
7.8931e-009,1.0262
7.9355e-009,0.8185
7.9780e-009,0.4216
8.0204e-009,0.0395
8.0628e-009,-0.3337
8.1052e-009,-0.6131
8.1477e-009,-0.7950
8.1901e-009,-0.8900
8.2325e-009,-0.8986
8.2749e-009,-0.8842
8.3174e-009,-0.8355
8.3598e-009,-0.7918
8.4022e-009,-0.8050
8.4447e-009,-0.8474
8.4871e-009,-0.8956
8.5295e-009,-0.9092
8.5719e-009,-0.9057
8.6144e-009,-0.8964
8.6568e-009,-0.8936
8.6992e-009,-0.9160
8.7416e-009,-0.9748
8.7840e-009,-1.0214
8.8265e-009,-1.0280
8.8689e-009,-0.8486
8.9113e-009,-0.4575
8.9537e-009,-0.0789
8.9962e-009,0.3053
9.0386e-009,0.5933
9.0810e-009,0.7821
9.1235e-009,0.8873
9.1659e-009,0.9016
9.2083e-009,0.8897
9.2507e-009,0.8429
9.2932e-009,0.7962
9.3356e-009,0.8064
9.3780e-009,0.8454
9.4204e-009,0.8936
9.4629e-009,0.9103
9.5053e-009,0.9076
9.5477e-009,0.8977
9.5901e-009,0.8946
