.HEADER
..NAMES
Time,V U1.W24&W25
.DATA
2.1e-012,0.2186
4.45e-011,0.2186
8.69e-011,0.2186
1.294e-010,0.2186
1.718e-010,0.2186
2.142e-010,0.2186
2.566e-010,0.2186
2.991e-010,0.2186
3.415e-010,0.2186
3.839e-010,0.2186
4.263e-010,0.2186
4.687e-010,0.2186
5.112e-010,0.2186
5.536e-010,0.2186
5.960e-010,0.2186
6.385e-010,0.2186
6.809e-010,0.2186
7.233e-010,0.2186
7.657e-010,0.2186
8.081e-010,0.2186
8.506e-010,0.2186
8.930e-010,0.2186
9.354e-010,0.2186
9.779e-010,0.2186
1.0203e-009,0.2186
1.0627e-009,0.2186
1.1051e-009,0.2186
1.1476e-009,0.2186
1.1900e-009,0.2186
1.2324e-009,0.2186
1.2748e-009,0.2186
1.3172e-009,0.2190
1.3597e-009,0.2577
1.4021e-009,0.3941
1.4445e-009,0.5500
1.4870e-009,0.7508
1.5294e-009,0.9195
1.5718e-009,1.0426
1.6142e-009,1.1200
1.6567e-009,1.1523
1.6991e-009,1.1716
1.7415e-009,1.1710
1.7839e-009,1.1524
1.8263e-009,1.1431
1.8688e-009,1.1454
1.9112e-009,1.1614
1.9536e-009,1.1782
1.9960e-009,1.1884
2.0385e-009,1.1932
2.0809e-009,1.1924
2.1233e-009,1.1944
2.1658e-009,1.2120
2.2082e-009,1.2312
2.2506e-009,1.2422
2.2930e-009,1.1988
2.3355e-009,0.9981
2.3779e-009,0.7887
2.4203e-009,0.5867
2.4627e-009,0.4387
2.5052e-009,0.3387
2.5476e-009,0.2784
2.5900e-009,0.2648
2.6324e-009,0.2734
2.6749e-009,0.2956
2.7173e-009,0.3290
2.7597e-009,0.3417
2.8021e-009,0.3249
2.8445e-009,0.2993
2.8870e-009,0.2882
2.9294e-009,0.2888
2.9718e-009,0.2899
3.0142e-009,0.2905
3.0567e-009,0.2879
3.0991e-009,0.2640
3.1415e-009,0.2297
3.1839e-009,0.2118
3.2264e-009,0.2323
3.2688e-009,0.3908
3.3112e-009,0.5698
3.3537e-009,0.7722
3.3961e-009,0.9394
3.4385e-009,1.0591
3.4809e-009,1.1356
3.5234e-009,1.1641
3.5658e-009,1.1720
3.6082e-009,1.1648
3.6506e-009,1.1416
3.6931e-009,1.1319
3.7355e-009,1.1413
3.7779e-009,1.1625
3.8203e-009,1.1840
3.8628e-009,1.1916
3.9052e-009,1.1915
3.9476e-009,1.1884
3.9900e-009,1.1905
4.0324e-009,1.2106
4.0749e-009,1.2353
4.1173e-009,1.2465
4.1597e-009,1.2231
4.2022e-009,1.0433
4.2446e-009,0.8253
4.2870e-009,0.6234
4.3294e-009,0.4671
4.3718e-009,0.3559
4.4143e-009,0.2860
4.4567e-009,0.2644
4.4991e-009,0.2720
4.5415e-009,0.2919
4.5840e-009,0.3241
4.6264e-009,0.3426
4.6688e-009,0.3282
4.7113e-009,0.3023
4.7537e-009,0.2877
4.7961e-009,0.2884
4.8385e-009,0.2904
4.8809e-009,0.2910
4.9234e-009,0.2894
4.9658e-009,0.2698
5.0082e-009,0.2351
5.0507e-009,0.2140
5.0931e-009,0.2172
5.1355e-009,0.3538
5.1779e-009,0.5348
5.2203e-009,0.7309
5.2628e-009,0.9092
5.3052e-009,1.0397
5.3476e-009,1.1249
5.3901e-009,1.1618
5.4325e-009,1.1708
5.4749e-009,1.1680
5.5173e-009,1.1462
5.5597e-009,1.1316
5.6022e-009,1.1388
5.6446e-009,1.1572
5.6870e-009,1.1810
5.7295e-009,1.1905
5.7719e-009,1.1918
5.8143e-009,1.1889
5.8567e-009,1.1890
5.8992e-009,1.2053
5.9416e-009,1.2312
5.9840e-009,1.2448
6.0264e-009,1.2360
6.0688e-009,1.0867
6.1113e-009,0.8629
6.1537e-009,0.6608
6.1961e-009,0.4945
6.2386e-009,0.3736
6.2810e-009,0.2965
6.3234e-009,0.2648
6.3658e-009,0.2698
6.4082e-009,0.2867
6.4507e-009,0.3173
6.4931e-009,0.3420
6.5355e-009,0.3322
6.5780e-009,0.3074
6.6204e-009,0.2887
6.6628e-009,0.2879
6.7052e-009,0.2900
6.7476e-009,0.2909
6.7901e-009,0.2904
6.8325e-009,0.2755
6.8749e-009,0.2415
6.9174e-009,0.2163
6.9598e-009,0.2142
7.0022e-009,0.3209
7.0446e-009,0.5010
7.0871e-009,0.6883
7.1295e-009,0.8778
7.1719e-009,1.0180
7.2143e-009,1.1106
7.2567e-009,1.1582
7.2992e-009,1.1693
7.3416e-009,1.1704
7.3840e-009,1.1511
7.4265e-009,1.1321
7.4689e-009,1.1365
7.5113e-009,1.1522
7.5537e-009,1.1773
7.5962e-009,1.1893
7.6386e-009,1.1920
7.6810e-009,1.1894
7.7234e-009,1.1881
7.7659e-009,1.2004
7.8083e-009,1.2266
7.8507e-009,1.2431
7.8931e-009,1.2418
7.9355e-009,1.1251
7.9780e-009,0.9031
8.0204e-009,0.7014
8.0628e-009,0.5234
8.1052e-009,0.3927
8.1477e-009,0.3093
8.1901e-009,0.2671
8.2325e-009,0.2680
8.2749e-009,0.2820
8.3174e-009,0.3104
8.3598e-009,0.3400
8.4022e-009,0.3360
8.4447e-009,0.3127
8.4871e-009,0.2905
8.5295e-009,0.2875
8.5719e-009,0.2896
8.6144e-009,0.2908
8.6568e-009,0.2908
8.6992e-009,0.2804
8.7416e-009,0.2483
8.7840e-009,0.2195
8.8265e-009,0.2134
8.8689e-009,0.2920
8.9113e-009,0.4663
8.9537e-009,0.6458
8.9962e-009,0.8455
9.0386e-009,0.9949
9.0810e-009,1.0945
9.1235e-009,1.1525
9.1659e-009,1.1676
9.2083e-009,1.1718
9.2507e-009,1.1560
9.2932e-009,1.1341
9.3356e-009,1.1345
9.3780e-009,1.1479
9.4204e-009,1.1730
9.4629e-009,1.1878
9.5053e-009,1.1921
9.5477e-009,1.1899
9.5901e-009,1.1878
9.6325e-009,1.1963
