.HEADER
..NAMES
Time,V U1.W24&W25
.DATA
2.1e-012,1.2605
4.45e-011,1.2605
8.69e-011,1.2605
1.294e-010,1.2605
1.718e-010,1.2605
2.142e-010,1.2605
2.566e-010,1.2605
2.991e-010,1.2605
3.415e-010,1.2605
3.839e-010,1.2605
4.263e-010,1.2605
4.687e-010,1.2605
5.112e-010,1.2605
5.536e-010,1.2605
5.960e-010,1.2605
6.385e-010,1.2605
6.809e-010,1.2605
7.233e-010,1.2605
7.657e-010,1.2605
8.081e-010,1.2605
8.506e-010,1.2605
8.930e-010,1.2605
9.354e-010,1.2605
9.779e-010,1.2605
1.0203e-009,1.2605
1.0627e-009,1.2605
1.1051e-009,1.2605
1.1476e-009,1.2605
1.1900e-009,1.2605
1.2324e-009,1.2605
1.2748e-009,1.2605
1.3172e-009,1.2601
1.3597e-009,1.2079
1.4021e-009,1.0225
1.4445e-009,0.8332
1.4870e-009,0.6354
1.5294e-009,0.4756
1.5718e-009,0.3608
1.6142e-009,0.2919
1.6567e-009,0.2720
1.6991e-009,0.2736
1.7415e-009,0.2935
1.7839e-009,0.3211
1.8263e-009,0.3253
1.8688e-009,0.3113
1.9112e-009,0.2918
1.9536e-009,0.2836
1.9960e-009,0.2816
2.0385e-009,0.2852
2.0809e-009,0.2897
2.1233e-009,0.2894
2.1658e-009,0.2665
2.2082e-009,0.2342
2.2506e-009,0.2170
2.2930e-009,0.2471
2.3355e-009,0.4061
2.3779e-009,0.5817
2.4203e-009,0.7868
2.4627e-009,0.9526
2.5052e-009,1.0693
2.5476e-009,1.1420
2.5900e-009,1.1656
2.6324e-009,1.1712
2.6749e-009,1.1591
2.7173e-009,1.1367
2.7597e-009,1.1346
2.8021e-009,1.1473
2.8445e-009,1.1736
2.8870e-009,1.1937
2.9294e-009,1.1986
2.9718e-009,1.1917
3.0142e-009,1.1844
3.0567e-009,1.1875
3.0991e-009,1.2107
3.1415e-009,1.2355
3.1839e-009,1.2454
3.2264e-009,1.2106
3.2688e-009,1.0173
3.3112e-009,0.8063
3.3537e-009,0.6064
3.3961e-009,0.4531
3.4385e-009,0.3447
3.4809e-009,0.2777
3.5234e-009,0.2616
3.5658e-009,0.2727
3.6082e-009,0.2985
3.6506e-009,0.3308
3.6931e-009,0.3359
3.7355e-009,0.3145
3.7779e-009,0.2864
3.8203e-009,0.2757
3.8628e-009,0.2803
3.9052e-009,0.2895
3.9476e-009,0.2935
3.9900e-009,0.2895
4.0324e-009,0.2653
4.0749e-009,0.2306
4.1173e-009,0.2132
4.1597e-009,0.2239
4.2022e-009,0.3710
4.2446e-009,0.5484
4.2870e-009,0.7460
4.3294e-009,0.9205
4.3718e-009,1.0493
4.4143e-009,1.1321
4.4567e-009,1.1632
4.4991e-009,1.1682
4.5415e-009,1.1596
4.5840e-009,1.1372
4.6264e-009,1.1334
4.6688e-009,1.1470
4.7113e-009,1.1709
4.7537e-009,1.1920
4.7961e-009,1.1972
4.8385e-009,1.1918
4.8809e-009,1.1849
4.9234e-009,1.1864
4.9658e-009,1.2063
5.0082e-009,1.2321
5.0507e-009,1.2436
5.0931e-009,1.2284
5.1355e-009,1.0635
5.1779e-009,0.8441
5.2203e-009,0.6439
5.2628e-009,0.4810
5.3052e-009,0.3618
5.3476e-009,0.2863
5.3901e-009,0.2611
5.4325e-009,0.2706
5.4749e-009,0.2930
5.5173e-009,0.3257
5.5597e-009,0.3375
5.6022e-009,0.3189
