.HEADER
..NAMES
Time,V U1.W24&W25
.DATA
0.0e+000,-1.0419
4.24e-011,-1.0419
8.49e-011,-1.0419
1.273e-010,-1.0419
1.697e-010,-1.0419
2.121e-010,-1.0419
2.545e-010,-1.0419
2.970e-010,-1.0419
3.394e-010,-1.0419
3.818e-010,-1.0419
4.242e-010,-1.0419
4.667e-010,-1.0419
5.091e-010,-1.0419
5.515e-010,-1.0419
5.940e-010,-1.0419
6.364e-010,-1.0419
6.788e-010,-1.0419
7.212e-010,-1.0419
7.636e-010,-1.0419
8.061e-010,-1.0419
8.485e-010,-1.0411
8.909e-010,-0.9502
9.333e-010,-0.6284
9.758e-010,-0.2831
1.0182e-009,0.1155
1.0606e-009,0.4439
1.1030e-009,0.6818
1.1455e-009,0.8281
1.1879e-009,0.8803
1.2303e-009,0.8981
1.2728e-009,0.8774
1.3152e-009,0.8313
1.3576e-009,0.8178
1.4000e-009,0.8340
1.4425e-009,0.8696
1.4849e-009,0.8946
1.5273e-009,0.9068
1.5697e-009,0.9080
1.6121e-009,0.9027
1.6546e-009,0.9051
1.6970e-009,0.9455
1.7394e-009,0.9970
1.7819e-009,1.0253
1.8243e-009,0.9517
1.8667e-009,0.5920
1.9091e-009,0.2070
1.9516e-009,-0.2001
1.9940e-009,-0.5139
2.0364e-009,-0.7306
2.0788e-009,-0.8636
2.1213e-009,-0.9009
2.1637e-009,-0.8979
2.2061e-009,-0.8636
2.2485e-009,-0.8077
2.2910e-009,-0.7929
2.3334e-009,-0.8225
2.3758e-009,-0.8744
2.4182e-009,-0.9055
2.4606e-009,-0.9098
2.5031e-009,-0.9018
2.5455e-009,-0.8939
2.5879e-009,-0.8996
2.6303e-009,-0.9466
2.6728e-009,-1.0058
2.7152e-009,-1.0336
2.7576e-009,-0.9783
2.8000e-009,-0.6265
2.8425e-009,-0.2365
2.8849e-009,0.1658
2.9273e-009,0.4862
2.9698e-009,0.7144
3.0122e-009,0.8580
3.0546e-009,0.9025
3.0970e-009,0.8993
3.1395e-009,0.8664
3.1819e-009,0.8108
3.2243e-009,0.7960
3.2667e-009,0.8268
3.3092e-009,0.8760
3.3516e-009,0.9082
3.3940e-009,0.9113
3.4364e-009,0.9020
3.4789e-009,0.8949
3.5213e-009,0.9010
3.5637e-009,0.9453
3.6061e-009,1.0047
3.6485e-009,1.0332
3.6910e-009,0.9992
3.7334e-009,0.6723
3.7758e-009,0.2769
3.8183e-009,-0.1225
3.8607e-009,-0.4533
3.9031e-009,-0.6934
3.9455e-009,-0.8460
3.9879e-009,-0.8987
4.0304e-009,-0.8962
4.0728e-009,-0.8677
4.1152e-009,-0.8131
4.1577e-009,-0.7908
4.2001e-009,-0.8188
4.2425e-009,-0.8686
4.2849e-009,-0.9043
4.3274e-009,-0.9088
4.3698e-009,-0.9014
4.4122e-009,-0.8939
4.4546e-009,-0.8970
4.4970e-009,-0.9365
4.5395e-009,-0.9970
4.5819e-009,-1.0297
4.6243e-009,-1.0111
4.6668e-009,-0.7097
4.7092e-009,-0.3093
4.7516e-009,0.0870
4.7940e-009,0.4282
4.8364e-009,0.6779
4.8789e-009,0.8386
4.9213e-009,0.9007
4.9637e-009,0.9002
5.0062e-009,0.8750
5.0486e-009,0.8205
5.0910e-009,0.7941
5.1334e-009,0.8199
5.1758e-009,0.8658
5.2183e-009,0.9045
5.2607e-009,0.9110
5.3031e-009,0.9038
5.3456e-009,0.8957
5.3880e-009,0.8977
5.4304e-009,0.9334
5.4728e-009,0.9942
5.5153e-009,1.0296
5.5577e-009,1.0199
5.6001e-009,0.7505
5.6425e-009,0.3480
5.6849e-009,-0.0436
5.7274e-009,-0.3949
5.7698e-009,-0.6550
5.8122e-009,-0.8234
5.8547e-009,-0.8963
5.8971e-009,-0.8977
5.9395e-009,-0.8767
5.9819e-009,-0.8240
6.0243e-009,-0.7901
6.0668e-009,-0.8116
6.1092e-009,-0.8579
6.1516e-009,-0.9008
6.1941e-009,-0.9092
6.2365e-009,-0.9037
6.2789e-009,-0.8951
6.3213e-009,-0.8947
6.3637e-009,-0.9256
6.4062e-009,-0.9864
6.4486e-009,-1.0261
6.4910e-009,-1.0219
6.5335e-009,-0.7834
6.5759e-009,-0.3813
6.6183e-009,0.0057
6.6607e-009,0.3676
6.7032e-009,0.6372
6.7456e-009,0.8121
6.7880e-009,0.8962
6.8304e-009,0.9010
6.8728e-009,0.8831
6.9153e-009,0.8315
6.9577e-009,0.7937
7.0001e-009,0.8129
7.0426e-009,0.8554
7.0850e-009,0.8999
7.1274e-009,0.9109
7.1698e-009,0.9058
7.2122e-009,0.8965
7.2547e-009,0.8956
7.2971e-009,0.9228
7.3395e-009,0.9830
7.3820e-009,1.0253
7.4244e-009,1.0262
7.4668e-009,0.8185
7.5092e-009,0.4216
7.5516e-009,0.0395
7.5941e-009,-0.3337
7.6365e-009,-0.6131
7.6789e-009,-0.7950
7.7213e-009,-0.8900
7.7638e-009,-0.8986
7.8062e-009,-0.8842
7.8486e-009,-0.8355
7.8910e-009,-0.7918
7.9335e-009,-0.8050
7.9759e-009,-0.8474
8.0183e-009,-0.8956
8.0608e-009,-0.9092
8.1032e-009,-0.9057
8.1456e-009,-0.8964
8.1880e-009,-0.8936
8.2305e-009,-0.9160
8.2729e-009,-0.9748
8.3153e-009,-1.0214
8.3577e-009,-1.0280
8.4001e-009,-0.8486
8.4426e-009,-0.4575
8.4850e-009,-0.0789
8.5274e-009,0.3053
8.5698e-009,0.5933
8.6123e-009,0.7821
8.6547e-009,0.8873
8.6971e-009,0.9016
8.7396e-009,0.8897
8.7820e-009,0.8429
8.8244e-009,0.7962
8.8668e-009,0.8064
8.9093e-009,0.8454
8.9517e-009,0.8936
8.9941e-009,0.9103
9.0365e-009,0.9076
9.0790e-009,0.8977
9.1214e-009,0.8946
9.1638e-009,0.9138
9.2062e-009,0.9708
9.2486e-009,1.0199
9.2911e-009,1.0317
9.3335e-009,0.8823
9.3759e-009,0.4993
9.4183e-009,0.1221
9.4608e-009,-0.2710
9.5032e-009,-0.5674
9.5456e-009,-0.7644
9.5881e-009,-0.8793
9.6305e-009,-0.8996
9.6729e-009,-0.8898
9.7153e-009,-0.8469
9.7578e-009,-0.7965
9.8002e-009,-0.7993
9.8426e-009,-0.8374
9.8850e-009,-0.8886
9.9274e-009,-0.9085
9.9699e-009,-0.9073
1.00123e-008,-0.8980
1.00547e-008,-0.8934
1.00971e-008,-0.9081
1.01396e-008,-0.9626
1.01820e-008,-1.0153
1.02244e-008,-1.0327
1.02668e-008,-0.9127
1.03093e-008,-0.5369
1.03517e-008,-0.1585
1.03941e-008,0.2413
1.04366e-008,0.5450
1.04790e-008,0.7511
1.05214e-008,0.8747
1.05638e-008,0.9021
1.06063e-008,0.8943
1.06487e-008,0.8538
1.06911e-008,0.8018
1.07335e-008,0.8009
1.07759e-008,0.8361
1.08184e-008,0.8858
1.08608e-008,0.9092
1.09032e-008,0.9091
1.09456e-008,0.8992
1.09881e-008,0.8944
1.10305e-008,0.9065
1.10729e-008,0.9583
1.11154e-008,1.0130
1.11578e-008,1.0343
1.12002e-008,0.9464
1.12426e-008,0.5795
1.12851e-008,0.1975
1.13275e-008,-0.2051
1.13699e-008,-0.5166
1.14123e-008,-0.7330
1.14548e-008,-0.8655
1.14972e-008,-0.8999
1.15396e-008,-0.8937
1.15820e-008,-0.8574
1.16244e-008,-0.8038
1.16669e-008,-0.7947
1.17093e-008,-0.8282
1.17517e-008,-0.8800
1.17941e-008,-0.9072
1.18366e-008,-0.9086
1.18790e-008,-0.8998
1.19214e-008,-0.8938
1.19639e-008,-0.9021
1.20063e-008,-0.9502
1.20487e-008,-1.0077
1.20911e-008,-1.0333
