.HEADER
..NAMES
Time,V U1.W24&W25
.DATA
0.0e+000,-1.0419
4.24e-011,-1.0419
8.49e-011,-1.0419
1.273e-010,-1.0419
1.697e-010,-1.0419
2.121e-010,-1.0419
2.545e-010,-1.0419
2.970e-010,-1.0419
3.394e-010,-1.0419
3.818e-010,-1.0419
4.242e-010,-1.0419
4.667e-010,-1.0419
5.091e-010,-1.0419
5.515e-010,-1.0419
5.940e-010,-1.0419
6.364e-010,-1.0419
6.788e-010,-1.0419
7.212e-010,-1.0419
7.636e-010,-1.0419
8.061e-010,-1.0419
8.485e-010,-1.0419
8.909e-010,-1.0419
9.333e-010,-1.0419
9.758e-010,-1.0419
1.0182e-009,-1.0419
1.0606e-009,-1.0419
1.1030e-009,-1.0419
1.1455e-009,-1.0419
1.1879e-009,-1.0419
1.2303e-009,-1.0419
1.2728e-009,-1.0419
1.3152e-009,-1.0415
1.3576e-009,-0.9632
1.4000e-009,-0.6460
1.4425e-009,-0.3002
1.4849e-009,0.0982
1.5273e-009,0.4295
1.5697e-009,0.6727
1.6121e-009,0.8235
1.6546e-009,0.8790
1.6970e-009,0.8978
1.7394e-009,0.8792
1.7819e-009,0.8333
1.8243e-009,0.8175
1.8667e-009,0.8329
1.9091e-009,0.8677
1.9516e-009,0.8938
1.9940e-009,0.9064
2.0364e-009,0.9082
2.0788e-009,0.9030
2.1213e-009,0.9043
2.1637e-009,0.9429
2.2061e-009,0.9949
2.2485e-009,1.0243
2.2910e-009,0.9636
2.3334e-009,0.6118
2.3758e-009,0.2245
2.4182e-009,-0.1826
2.4606e-009,-0.5003
2.5031e-009,-0.7225
2.5455e-009,-0.8597
2.5879e-009,-0.9006
2.6303e-009,-0.8984
2.6728e-009,-0.8659
2.7152e-009,-0.8101
2.7576e-009,-0.7924
2.8000e-009,-0.8205
2.8425e-009,-0.8718
2.8849e-009,-0.9047
2.9273e-009,-0.9099
2.9698e-009,-0.9023
3.0122e-009,-0.8942
3.0546e-009,-0.8986
3.0970e-009,-0.9436
3.1395e-009,-1.0035
3.1819e-009,-1.0329
3.2243e-009,-0.9875
3.2667e-009,-0.6470
3.3092e-009,-0.2539
3.3516e-009,0.1475
3.3940e-009,0.4723
3.4364e-009,0.7058
3.4789e-009,0.8534
3.5213e-009,0.9021
3.5637e-009,0.8998
3.6061e-009,0.8687
3.6485e-009,0.8132
3.6910e-009,0.7953
3.7334e-009,0.8250
3.7758e-009,0.8735
3.8183e-009,0.9075
3.8607e-009,0.9115
3.9031e-009,0.9026
3.9455e-009,0.8951
3.9879e-009,0.9001
4.0304e-009,0.9425
4.0728e-009,1.0023
4.1152e-009,1.0325
4.1577e-009,1.0047
4.2001e-009,0.6917
4.2425e-009,0.2942
4.2849e-009,-0.1034
4.3274e-009,-0.4390
4.3698e-009,-0.6841
4.4122e-009,-0.8408
4.4546e-009,-0.8982
4.4970e-009,-0.8967
4.5395e-009,-0.8699
4.5819e-009,-0.8157
4.6243e-009,-0.7905
4.6668e-009,-0.8170
4.7092e-009,-0.8660
4.7516e-009,-0.9035
4.7940e-009,-0.9088
4.8364e-009,-0.9020
4.8789e-009,-0.8942
4.9213e-009,-0.8964
4.9637e-009,-0.9338
5.0062e-009,-0.9944
5.0486e-009,-1.0288
5.0910e-009,-1.0130
5.1334e-009,-0.7280
5.1758e-009,-0.3265
5.2183e-009,0.0675
5.2607e-009,0.4135
5.3031e-009,0.6682
5.3456e-009,0.8326
5.3880e-009,0.8999
5.4304e-009,0.9004
5.4728e-009,0.8771
5.5153e-009,0.8232
5.5577e-009,0.7939
5.6001e-009,0.8183
5.6425e-009,0.8633
5.6849e-009,0.9034
5.7274e-009,0.9110
5.7698e-009,0.9044
5.8122e-009,0.8960
5.8547e-009,0.8972
5.8971e-009,0.9309
5.9395e-009,0.9916
5.9819e-009,1.0285
6.0243e-009,1.0217
6.0668e-009,0.7678
6.1092e-009,0.3656
6.1516e-009,-0.0236
6.1941e-009,-0.3799
6.2365e-009,-0.6449
6.2789e-009,-0.8165
6.3213e-009,-0.8950
6.3637e-009,-0.8978
6.4062e-009,-0.8786
6.4486e-009,-0.8268
6.4910e-009,-0.7903
6.5335e-009,-0.8100
6.5759e-009,-0.8553
6.6183e-009,-0.8996
6.6607e-009,-0.9092
6.7032e-009,-0.9042
6.7456e-009,-0.8954
6.7880e-009,-0.8944
6.8304e-009,-0.9232
6.8728e-009,-0.9836
6.9153e-009,-1.0249
6.9577e-009,-1.0236
7.0001e-009,-0.7994
7.0426e-009,-0.3994
7.0850e-009,-0.0149
7.1274e-009,0.3525
7.1698e-009,0.6267
7.2122e-009,0.8049
7.2547e-009,0.8944
7.2971e-009,0.9010
7.3395e-009,0.8849
7.3820e-009,0.8343
7.4244e-009,0.7942
7.4668e-009,0.8113
7.5092e-009,0.8530
7.5516e-009,0.8985
7.5941e-009,0.9108
7.6365e-009,0.9063
7.6789e-009,0.8968
7.7213e-009,0.8954
7.7638e-009,0.9206
7.8062e-009,0.9801
7.8486e-009,1.0240
7.8910e-009,1.0279
7.9335e-009,0.8339
7.9759e-009,0.4401
8.0183e-009,0.0604
8.0608e-009,-0.3183
8.1032e-009,-0.6022
8.1456e-009,-0.7876
8.1880e-009,-0.8876
8.2305e-009,-0.8988
8.2729e-009,-0.8857
8.3153e-009,-0.8383
8.3577e-009,-0.7928
8.4001e-009,-0.8036
8.4426e-009,-0.8449
8.4850e-009,-0.8940
8.5274e-009,-0.9090
8.5698e-009,-0.9061
8.6123e-009,-0.8968
8.6547e-009,-0.8935
8.6971e-009,-0.9140
8.7396e-009,-0.9719
8.7820e-009,-1.0199
8.8244e-009,-1.0296
8.8668e-009,-0.8637
8.9093e-009,-0.4763
8.9517e-009,-0.0991
8.9941e-009,0.2899
9.0365e-009,0.5819
9.0790e-009,0.7746
9.1214e-009,0.8843
9.1638e-009,0.9017
9.2062e-009,0.8910
9.2486e-009,0.8455
9.2911e-009,0.7975
9.3335e-009,0.8051
9.3759e-009,0.8431
9.4183e-009,0.8918
9.4608e-009,0.9101
9.5032e-009,0.9080
9.5456e-009,0.8981
9.5881e-009,0.8946
9.6305e-009,0.9120
9.6729e-009,0.9678
9.7153e-009,1.0183
9.7578e-009,1.0329
9.8002e-009,0.8973
9.8426e-009,0.5184
9.8850e-009,0.1416
9.9274e-009,-0.2555
9.9699e-009,-0.5554
1.00123e-008,-0.7570
1.00547e-008,-0.8760
1.00971e-008,-0.8997
1.01396e-008,-0.8909
1.01820e-008,-0.8494
1.02244e-008,-0.7982
1.02668e-008,-0.7982
1.03093e-008,-0.8351
1.03517e-008,-0.8866
1.03941e-008,-0.9082
1.04366e-008,-0.9076
1.04790e-008,-0.8984
1.05214e-008,-0.8935
1.05638e-008,-0.9066
1.06063e-008,-0.9596
1.06487e-008,-1.0134
1.06911e-008,-1.0334
1.07335e-008,-0.9279
1.07759e-008,-0.5561
1.08184e-008,-0.1769
1.08608e-008,0.2250
1.09032e-008,0.5323
1.09456e-008,0.7433
1.09881e-008,0.8711
1.10305e-008,0.9020
1.10729e-008,0.8952
1.11154e-008,0.8563
1.11578e-008,0.8036
1.12002e-008,0.7999
1.12426e-008,0.8341
1.12851e-008,0.8836
1.13275e-008,0.9088
1.13699e-008,0.9094
1.14123e-008,0.8997
1.14548e-008,0.8945
1.14972e-008,0.9052
1.15396e-008,0.9553
1.15820e-008,1.0111
1.16244e-008,1.0345
1.16669e-008,0.9593
1.17093e-008,0.5991
1.17517e-008,0.2148
1.17941e-008,-0.1879
1.18366e-008,-0.5032
1.18790e-008,-0.7249
1.19214e-008,-0.8616
1.19639e-008,-0.8997
1.20063e-008,-0.8944
1.20487e-008,-0.8598
1.20911e-008,-0.8059
