.HEADER
..NAMES
Time,V U1.W24&W25
.DATA
0.0e+000,0.2186
4.24e-011,0.2186
8.49e-011,0.2186
1.273e-010,0.2186
1.697e-010,0.2186
2.121e-010,0.2186
2.545e-010,0.2186
2.970e-010,0.2186
3.394e-010,0.2186
3.818e-010,0.2186
4.242e-010,0.2186
4.667e-010,0.2186
5.091e-010,0.2186
5.515e-010,0.2186
5.940e-010,0.2186
6.364e-010,0.2186
6.788e-010,0.2186
7.212e-010,0.2186
7.636e-010,0.2186
8.061e-010,0.2186
8.485e-010,0.2186
8.909e-010,0.2186
9.333e-010,0.2186
9.758e-010,0.2186
1.0182e-009,0.2186
1.0606e-009,0.2186
1.1030e-009,0.2186
1.1455e-009,0.2186
1.1879e-009,0.2186
1.2303e-009,0.2186
1.2728e-009,0.2186
1.3152e-009,0.2188
1.3576e-009,0.2522
1.4000e-009,0.3870
1.4425e-009,0.5423
1.4849e-009,0.7420
1.5273e-009,0.9123
1.5697e-009,1.0379
1.6121e-009,1.1175
1.6546e-009,1.1512
1.6970e-009,1.1710
1.7394e-009,1.1714
1.7819e-009,1.1533
1.8243e-009,1.1432
1.8667e-009,1.1451
1.9091e-009,1.1604
1.9516e-009,1.1776
1.9940e-009,1.1880
2.0364e-009,1.1931
2.0788e-009,1.1924
2.1213e-009,1.1940
2.1637e-009,1.2110
2.2061e-009,1.2305
2.2485e-009,1.2418
2.2910e-009,1.2055
2.3334e-009,1.0096
2.3758e-009,0.7983
2.4182e-009,0.5952
2.4606e-009,0.4452
2.5031e-009,0.3424
2.5455e-009,0.2802
2.5879e-009,0.2646
2.6303e-009,0.2727
2.6728e-009,0.2942
2.7152e-009,0.3273
2.7576e-009,0.3419
2.8000e-009,0.3260
2.8425e-009,0.3004
2.8849e-009,0.2884
2.9273e-009,0.2887
2.9698e-009,0.2898
3.0122e-009,0.2904
3.0546e-009,0.2883
3.0970e-009,0.2657
3.1395e-009,0.2312
3.1819e-009,0.2122
3.2243e-009,0.2283
3.2667e-009,0.3820
3.3092e-009,0.5617
3.3516e-009,0.7628
3.3940e-009,0.9323
3.4364e-009,1.0547
3.4789e-009,1.1332
3.5213e-009,1.1636
3.5637e-009,1.1718
3.6061e-009,1.1656
3.6485e-009,1.1426
3.6910e-009,1.1319
3.7334e-009,1.1408
3.7758e-009,1.1612
3.8183e-009,1.1832
3.8607e-009,1.1914
3.9031e-009,1.1917
3.9455e-009,1.1885
3.9879e-009,1.1901
4.0304e-009,1.2093
4.0728e-009,1.2344
4.1152e-009,1.2461
4.1577e-009,1.2264
4.2001e-009,1.0545
4.2425e-009,0.8348
4.2849e-009,0.6328
4.3274e-009,0.4740
4.3698e-009,0.3602
4.4122e-009,0.2886
4.4546e-009,0.2645
4.4970e-009,0.2715
4.5395e-009,0.2907
4.5819e-009,0.3224
4.6243e-009,0.3425
4.6668e-009,0.3292
4.7092e-009,0.3036
4.7516e-009,0.2879
4.7940e-009,0.2883
4.8364e-009,0.2903
4.8789e-009,0.2910
4.9213e-009,0.2897
4.9637e-009,0.2712
5.0062e-009,0.2368
5.0486e-009,0.2146
5.0910e-009,0.2168
5.1334e-009,0.3460
5.1758e-009,0.5271
5.2183e-009,0.7209
5.2607e-009,0.9018
5.3031e-009,1.0346
5.3456e-009,1.1218
5.3880e-009,1.1611
5.4304e-009,1.1705
5.4728e-009,1.1686
5.5153e-009,1.1473
5.5577e-009,1.1317
5.6001e-009,1.1384
5.6425e-009,1.1560
5.6849e-009,1.1801
5.7274e-009,1.1902
5.7698e-009,1.1919
5.8122e-009,1.1891
5.8547e-009,1.1888
5.8971e-009,1.2041
5.9395e-009,1.2302
5.9819e-009,1.2444
6.0243e-009,1.2376
6.0668e-009,1.0970
6.1092e-009,0.8730
6.1516e-009,0.6708
6.1941e-009,0.5018
6.2365e-009,0.3783
6.2789e-009,0.2998
6.3213e-009,0.2653
6.3637e-009,0.2694
6.4062e-009,0.2855
6.4486e-009,0.3156
6.4910e-009,0.3417
6.5335e-009,0.3333
6.5759e-009,0.3087
6.6183e-009,0.2891
6.6607e-009,0.2878
6.7032e-009,0.2899
6.7456e-009,0.2909
6.7880e-009,0.2905
6.8304e-009,0.2768
6.8728e-009,0.2433
6.9153e-009,0.2172
6.9577e-009,0.2141
7.0001e-009,0.3144
7.0426e-009,0.4933
7.0850e-009,0.6781
7.1274e-009,0.8701
7.1698e-009,1.0126
7.2122e-009,1.1070
7.2547e-009,1.1570
7.2971e-009,1.1688
7.3395e-009,1.1708
7.3820e-009,1.1522
7.4244e-009,1.1326
7.4668e-009,1.1362
7.5092e-009,1.1512
7.5516e-009,1.1763
7.5941e-009,1.1889
7.6365e-009,1.1921
7.6789e-009,1.1896
7.7213e-009,1.1880
7.7638e-009,1.1994
7.8062e-009,1.2256
7.8486e-009,1.2426
7.8910e-009,1.2432
7.9335e-009,1.1344
7.9759e-009,0.9139
8.0183e-009,0.7123
8.0608e-009,0.5309
8.1032e-009,0.3979
8.1456e-009,0.3128
8.1880e-009,0.2682
8.2305e-009,0.2676
8.2729e-009,0.2809
8.3153e-009,0.3087
8.3577e-009,0.3391
8.4001e-009,0.3368
8.4426e-009,0.3140
8.4850e-009,0.2911
8.5274e-009,0.2874
8.5698e-009,0.2894
8.6123e-009,0.2908
8.6547e-009,0.2908
8.6971e-009,0.2814
8.7396e-009,0.2502
8.7820e-009,0.2206
8.8244e-009,0.2130
8.8668e-009,0.2860
8.9093e-009,0.4583
8.9517e-009,0.6362
8.9941e-009,0.8377
9.0365e-009,0.9890
9.0790e-009,1.0906
9.1214e-009,1.1508
9.1638e-009,1.1671
9.2062e-009,1.1720
9.2486e-009,1.1570
9.2911e-009,1.1348
9.3335e-009,1.1343
9.3759e-009,1.1471
9.4183e-009,1.1718
9.4608e-009,1.1874
9.5032e-009,1.1920
9.5456e-009,1.1901
9.5881e-009,1.1877
9.6305e-009,1.1955
9.6729e-009,1.2204
9.7153e-009,1.2404
9.7578e-009,1.2467
9.8002e-009,1.1702
9.8426e-009,0.9573
9.8850e-009,0.7543
9.9274e-009,0.5606
9.9699e-009,0.4196
1.00123e-008,0.3265
1.00547e-008,0.2730
1.00971e-008,0.2658
1.01396e-008,0.2771
1.01820e-008,0.3023
1.02244e-008,0.3348
1.02668e-008,0.3397
1.03093e-008,0.3192
1.03517e-008,0.2942
1.03941e-008,0.2871
1.04366e-008,0.2890
1.04790e-008,0.2906
1.05214e-008,0.2909
1.05638e-008,0.2850
1.06063e-008,0.2572
1.06487e-008,0.2248
1.06911e-008,0.2116
1.07335e-008,0.2569
1.07759e-008,0.4224
1.08184e-008,0.5989
1.08608e-008,0.8037
1.09032e-008,0.9633
1.09456e-008,1.0740
1.09881e-008,1.1429
1.10305e-008,1.1653
1.10729e-008,1.1721
1.11154e-008,1.1612
1.11578e-008,1.1380
1.12002e-008,1.1328
1.12426e-008,1.1437
1.12851e-008,1.1668
1.13275e-008,1.1855
1.13699e-008,1.1917
1.14123e-008,1.1907
1.14548e-008,1.1879
1.14972e-008,1.1923
1.15396e-008,1.2150
1.15820e-008,1.2377
1.16244e-008,1.2472
1.16669e-008,1.2034
1.17093e-008,1.0026
1.17517e-008,0.7929
1.17941e-008,0.5925
1.18366e-008,0.4440
1.18790e-008,0.3414
1.19214e-008,0.2792
1.19639e-008,0.2647
1.20063e-008,0.2740
1.20487e-008,0.2964
1.20911e-008,0.3292
1.21336e-008,0.3416
1.21760e-008,0.3241
1.22184e-008,0.2981
1.22608e-008,0.2871
1.23032e-008,0.2886
1.23457e-008,0.2904
1.23881e-008,0.2908
1.24305e-008,0.2876
1.24729e-008,0.2640
1.25154e-008,0.2299
1.25578e-008,0.2121
1.26002e-008,0.2304
1.26427e-008,0.3857
1.26851e-008,0.5645
1.27275e-008,0.7661
1.27699e-008,0.9348
1.28124e-008,1.0563
1.28548e-008,1.1340
